READ	lFl	Fn	https://business.tankhapay.com/api/Report/InvestmentReportResultApi
READ	uYo	Mr	https://business.tankhapay.com/api/Report/LiabilityReportApi
READ	KAD	Vr	https://business.tankhapay.com/api/Report/PrepayoutReportApi
READ	Rtf	Xo	https://business.tankhapay.com/api/Report/SalarySlip
READ	VYE	Zt	https://business.tankhapay.com/api/Report/SalaryVerificationViewApi
READ	JO5	xe	https://business.tankhapay.com/api/Report/SaveInvestmentDeclarationDate
READ	R3M	V	https://business.tankhapay.com/api/Report/SaveInvestmentDeclarationDateForIndividualEmp
READ	A9Z	Cp	https://business.tankhapay.com/api/Report/SubmitBiometricForBusiness
READ	tGb	Og	https://business.tankhapay.com/api/Report/SubmitBiometricForBusiness_bulk
READ	sel	ml	https://business.tankhapay.com/api/Report/SubmitEsicForBusiness
READ	ICg	na	https://business.tankhapay.com/api/Report/SubmitUanForBusiness
READ	Tyc	rm	https://business.tankhapay.com/api/Report/TaxSummaryResultApi
READ	rgZ	et	https://business.tankhapay.com/api/Report/VerifyInvestmentProofDetails
READ	ODH	eu	https://business.tankhapay.com/api/Report/ac21Report
READ	Xzz	qi	https://business.tankhapay.com/api/Report/complianceFlagReportForBusiness
READ	kKZ	ca	https://business.tankhapay.com/api/Report/daywisecheckcheckinReport
READ	V4b	lo	https://business.tankhapay.com/api/Report/deleteLiabilityReportApi
READ	zXj	lh	https://business.tankhapay.com/api/Report/disburseLiability
READ	_p3	Fg	https://business.tankhapay.com/api/Report/getBiometricEmployeeForBusiness
READ	WUR	um	https://business.tankhapay.com/api/Report/getDetailedLiabilityReportAllEmployees
READ	Geb	Dt	https://business.tankhapay.com/api/Report/getMonthWiseOnboardingDetails
READ	cAL	qc	https://business.tankhapay.com/api/Report/getPdfBtyeCode 
READ	bo8	gg	https://business.tankhapay.com/api/Report/getPdfBtyeCodePortrait 
READ	bPc	Al	https://business.tankhapay.com/api/Report/getSalarySlipURL
READ	kyY	vt	https://business.tankhapay.com/api/Report/get_biometric_attendance_details
READ	uxA	oc	https://business.tankhapay.com/api/Report/get_hourly_summary_report
READ	GP1	Ma	https://business.tankhapay.com/api/Report/get_rembursement_report_data
READ	QZA	ka	https://business.tankhapay.com/api/Report/incrementReportBusiness
READ	_4V	Od	https://business.tankhapay.com/api/Report/liabilityReportCombined
READ	XLT	Br	https://business.tankhapay.com/api/Report/manage_biometric_att
READ	pV_	oi	https://business.tankhapay.com/api/Report/reprocess_today_checkinout
READ	f0r	Rl	https://business.tankhapay.com/api/Report/sendSalaryPdf
