path	shared	JIVO_MART_status	JIVO_MART_kind	JIVO_MART_count	JIVO_OIL_status	JIVO_OIL_kind	JIVO_OIL_count	JIVO_BEVERAGES_status	JIVO_BEVERAGES_kind	JIVO_BEVERAGES_count
/grpo/service/options/	scoped	200	object	-	200	object	-	200	object	-
/grpo/service/pending/	scoped	200	list	>=1	200	list	>=5	200	list	>=1
/grpo/summary/	scoped	200	object	-	200	object	-	200	object	-
/maintenance/alerts/	SHARED	200	object	-	200	object	-	200	object	-
/maintenance/asset-categories/	scoped	200	list	>=0	200	list	>=1	200	list	>=0
/maintenance/asset-departments/	scoped	200	list	>=0	200	list	>=2	200	list	>=0
/maintenance/asset-documents/	SHARED	200	list	>=0	200	list	>=0	200	list	>=0
/maintenance/asset-locations/	scoped	200	list	>=0	200	list	>=1	200	list	>=0
/maintenance/asset-photos/	SHARED	200	list	>=0	200	list	>=0	200	list	>=0
/maintenance/assets/	scoped	200	list	>=0	200	list	>=1	200	list	>=0
/maintenance/dashboard/	scoped	200	object	-	200	object	-	200	object	-
/maintenance/options/	scoped	200	object	-	200	object	-	200	object	-
/maintenance/pm-checklist-items/	SHARED	200	list	>=0	200	list	>=0	200	list	>=0
/maintenance/pm-executions/	SHARED	200	list	>=0	200	list	>=0	200	list	>=0
/maintenance/pm-plans/	SHARED	200	list	>=0	200	list	>=0	200	list	>=0
/maintenance/reports/	SHARED	200	object	-	200	object	-	200	object	-
/maintenance/spare-categories/	SHARED	200	list	>=0	200	list	>=0	200	list	>=0
/maintenance/spare-movements/	SHARED	200	list	>=0	200	list	>=0	200	list	>=0
/maintenance/spare-requests/	SHARED	200	list	>=0	200	list	>=0	200	list	>=0
/maintenance/spares/	SHARED	200	list	>=0	200	list	>=0	200	list	>=0
/maintenance/spares/low-stock/	SHARED	200	list	>=0	200	list	>=0	200	list	>=0
/maintenance/spares/stock/	-	404	-	-	404	-	-	404	-	-
/maintenance/vendor-visits/	SHARED	200	list	>=0	200	list	>=0	200	list	>=0
/maintenance/work-order-photos/	SHARED	200	list	>=0	200	list	>=0	200	list	>=0
/maintenance/work-orders/	scoped	200	list	>=0	200	list	>=4	200	list	>=0
/non-moving-rm/item-groups/	scoped	200	object	-	200	object	-	200	object	-
/non-moving-rm/report/	-	400	-	-	400	-	-	400	-	-
/notifications/	scoped	200	paginated_list	253	200	paginated_list	5252	200	paginated_list	653
/notifications/preferences/	SHARED	200	list	>=61	200	list	>=61	200	list	>=61
/notifications/unread-count/	SHARED	200	object	-	200	object	-	200	object	-
/po/open-pos/	-	400	-	-	400	-	-	400	-	-
/po/vendors/	scoped	200	list	>=218	200	list	>=2194	200	list	>=1664
/po/warehouses/	scoped	200	list	>=31	200	list	>=45	200	list	>=38
/production-execution/breakdown-categories/	scoped	200	list	>=0	200	list	>=4	200	list	>=0
/production-execution/checklist-templates/	SHARED	200	list	>=0	200	list	>=0	200	list	>=0
/production-execution/costs/analytics/	scoped	200	list	>=0	200	list	>=39	200	list	>=3
/production-execution/line-clearance/	scoped	200	list	>=0	200	list	>=30	200	list	>=2
/production-execution/line-configs/	scoped	200	list	>=0	200	list	>=1	200	list	>=0
