endpoint	JIVO_MART	JIVO_OIL	JIVO_BEVERAGES
/maintenance/safety-fine-photos/	200	200	200
/maintenance/safety-fines/	200	200	200
/maintenance/safety-violation-types/	200	200	200
/maintenance/scan/lookup/	404	404	404
/maintenance/scan/work-order/	405	405	405
/maintenance/spare-categories/	200	200	200
/maintenance/spare-movements/	200	200	200
/maintenance/spare-requests/	200	200	200
/maintenance/spares/	200	200	200
/maintenance/spares/low-stock/	200	200	200
/maintenance/spares/stock/	404	404	404
/maintenance/vendor-visits/	200	200	200
/maintenance/work-order-photos/	200	200	200
/maintenance/work-orders/	200	200	200
/maintenance/work-permit-attachments/	200	200	200
/maintenance/work-permit-workers/	200	200	200
/maintenance/work-permits/	200	200	200
/marketplace/batches/	200	403	403
/marketplace/combos/	200	403	403
/marketplace/delivery-notes/cut/	405	403	403
/marketplace/delivery-notes/posted/	200	403	403
/marketplace/delivery-notes/reconcile/	200	403	403
/marketplace/delivery-notes/sheets/	400	403	403
/marketplace/delivery-notes/summary/	400	403	403
/marketplace/dispatches/	200	403	403
/marketplace/dispatches/orders-in-range/	400	403	403
/marketplace/dispatches/scan/	405	403	403
/marketplace/dispatches/sheets/	400	403	403
/marketplace/gate/queue/	400	403	403
/marketplace/issue-requests/	200	403	403
/marketplace/orders/	200	403	403
/marketplace/orders/choose-variant/	405	403	403
/marketplace/orders/import/	405	403	403
/marketplace/orders/import/preview/	405	403	403
/marketplace/orders/resolve/	400	403	403
/marketplace/packing/open/	405	403	403
/marketplace/packing/queue/	200	403	403
/marketplace/packing/scan/	405	403	403
/marketplace/packing/summary/	200	403	403
/marketplace/packing/summary/complete/	405	403	403
/marketplace/reconciliation/	200	403	403
/marketplace/returns/	200	403	403
/marketplace/returns/scan/	405	403	403
/marketplace/sap-items/	200	403	403
/marketplace/settings/	400	403	403
/marketplace/sku-mappings/	200	403	403
/marketplace/sku-mappings/import/	405	403	403
/marketplace/warehouse-insights/	200	403	403
/marketplace/warehouses/	200	403	403
/non-moving-rm/item-groups/	200	200	200
/non-moving-rm/report/	400	400	400
/notifications/	200	200	200
/notifications/devices/register/	405	405	405
/notifications/devices/unregister/	405	405	405
/notifications/mark-read/	405	405	405
/notifications/preferences/	200	200	200
/notifications/send/	405	405	405
/notifications/test/	405	405	405
/notifications/unread-count/	200	200	200
/oms/invoices/	400	400	400
/oms/invoices/pending-count/	400	400	400
/person-gatein/check-status/	400	400	400
/person-gatein/contractors/	200	200	200
/person-gatein/dashboard/	200	200	200
/person-gatein/entries/	200	200	200
/person-gatein/entries/count/	404	404	404
/person-gatein/entries/search/	400	400	400
/person-gatein/entry/bulk-create/	405	405	405
/person-gatein/entry/bulk-exit/	405	405	405
/person-gatein/entry/create/	405	405	405
/person-gatein/entry/inside/	200	200	200
/person-gatein/gates/	200	200	200
/person-gatein/labours/	200	200	200
/person-gatein/person-types/	200	200	200
/person-gatein/visitors/	200	200	200
/po/open-pos/	400	400	400
/po/vendors/	200	200	200
/po/warehouses/	200	200	200
/production-execution/breakdown-categories/	200	200	200
/production-execution/checklist-templates/	200	200	200
/production-execution/cost-rates/	200	200	200
/production-execution/costs/analytics/	200	200	200
/production-execution/line-clearance/	200	200	200
/production-execution/line-configs/	200	200	200
/production-execution/line-configs/auto-fill/	400	400	400
/production-execution/lines/	200	200	200
/production-execution/machine-checklists/	200	200	200
/production-execution/machine-checklists/bulk/	405	405	405
/production-execution/machines/	200	200	200
/production-execution/reports/analytics/	200	200	200
/production-execution/reports/analytics/cost-analysis/	200	200	200
/production-execution/reports/analytics/downtime-pareto/	200	200	200
/production-execution/reports/analytics/downtime/	200	200	200
/production-execution/reports/analytics/monthly-summary/	200	200	200
/production-execution/reports/analytics/oee-trend/	200	200	200
/production-execution/reports/analytics/oee/	200	200	200
/production-execution/reports/analytics/plan-vs-production/	200	200	200
