surface	method	host	path	class	const	file
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/getListingDetails	UNKNOWN_READLIKE	fetchApi	880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/inwardProducts	UNKNOWN	updateApi	880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/mark/pick_progress	UNKNOWN	updateApi	880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/markLostPicklistGroup	UNKNOWN_READLIKE	updateApi	880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/moveInventory	UNKNOWN	updateApi	880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/pick_list/preference	UNKNOWN_READLIKE	fetchApi	880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/pick_list/shipment/rts	UNKNOWN_READLIKE	updateApi	880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/picklist/allTypeCounts	UNKNOWN_READLIKE	fetchApi	880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/print/prn	UNKNOWN		880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/recallItems	UNKNOWN	updateApi	880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/validateIMEI	UNKNOWN	fetchApi	880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfOnboarding/allocateCA	UNKNOWN		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfOnboarding/getCurrentState	UNKNOWN_READLIKE	fetchApi	9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfOnboarding/getRequiredDocuments	UNKNOWN_READLIKE	fetchApi	9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfOnboarding/markLocationAsVerified	UNKNOWN		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfOnboarding/storeNicCredentials	UNKNOWN		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbflite/getOrderHistory	UNKNOWN_READLIKE	fetchApi	fbflite.3ef917d2d7962b242054.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbflite/printPickList	UNKNOWN_READLIKE		880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fdp/batch-events	UNKNOWN	updateApi	90.4722bfd3fec2521faf2e.js
seller	UNKNOWN	seller.flipkart.com	/napi/fkgrowthcapital/describe-offer	UNKNOWN		304.fa6a0b601c260dd26c66.js
seller	UNKNOWN	seller.flipkart.com	/napi/fkgrowthcapital/es-discovery	UNKNOWN	fetchApi	304.fa6a0b601c260dd26c66.js
seller	UNKNOWN	seller.flipkart.com	/napi/fkgrowthcapital/getOffers	UNKNOWN_READLIKE		304.fa6a0b601c260dd26c66.js
seller	UNKNOWN	seller.flipkart.com	/napi/fkpromo/fk-promotion-file-validation-status	UNKNOWN_READLIKE		3404.a883c28f13dbef576c47.js
seller	UNKNOWN	seller.flipkart.com	/napi/fkpromo/fk-promotion-file-validation-status-V3	UNKNOWN_READLIKE		3404.a883c28f13dbef576c47.js
seller	UNKNOWN	seller.flipkart.com	/napi/fkpromo/fk-promotion-opt-in	UNKNOWN		3404.a883c28f13dbef576c47.js
seller	UNKNOWN	seller.flipkart.com	/napi/fkpromo/fk-promotion-opt-in-mandate	UNKNOWN		3404.a883c28f13dbef576c47.js
seller	UNKNOWN	seller.flipkart.com	/napi/fkpromo/fk-promotion-opt-out	UNKNOWN		3404.a883c28f13dbef576c47.js
seller	UNKNOWN	seller.flipkart.com	/napi/fkpromo/fk-promotion-retry-validation	UNKNOWN	retryApi	3404.a883c28f13dbef576c47.js
seller	UNKNOWN	seller.flipkart.com	/napi/fkpromo/get-fk-promotion-by-id	UNKNOWN_READLIKE		3404.a883c28f13dbef576c47.js
seller	UNKNOWN	seller.flipkart.com	/napi/fkpromo/get-fk-promotions	UNKNOWN_READLIKE		3404.a883c28f13dbef576c47.js
seller	UNKNOWN	seller.flipkart.com	/napi/fulfilment-rest/self-ship/	UNKNOWN		33.b2ae781739dbf1ef817b.js
seller	UNKNOWN	seller.flipkart.com	/napi/ga-content-manager/learning-pilot-faqs	UNKNOWN	fetchApi	90.4722bfd3fec2521faf2e.js
seller	UNKNOWN	seller.flipkart.com	/napi/ga-content-manager/sample-attachment	UNKNOWN	fetchApi	966.fec518d64c26baa001d8.js
seller	UNKNOWN	seller.flipkart.com	/napi/ga-content-manager/search-faqs	UNKNOWN_READLIKE	fetchApi	90.4722bfd3fec2521faf2e.js
seller	UNKNOWN	seller.flipkart.com	/napi/ga-content-manager/top-faqs	UNKNOWN	fetchApi	966.fec518d64c26baa001d8.js
seller	UNKNOWN	seller.flipkart.com	/napi/ga/diagnosis	UNKNOWN	fetchApi	966.fec518d64c26baa001d8.js
seller	UNKNOWN	seller.flipkart.com	/napi/ga/gaFeedback	UNKNOWN		731.f6104eadedda7632a7ac.js
seller	UNKNOWN	seller.flipkart.com	/napi/ga/gaSearch_v2	UNKNOWN_READLIKE		731.f6104eadedda7632a7ac.js
seller	UNKNOWN	seller.flipkart.com	/napi/ga/get-config-service-data	UNKNOWN_READLIKE		731.f6104eadedda7632a7ac.js
seller	UNKNOWN	seller.flipkart.com	/napi/ga/get-questionnaires	UNKNOWN_READLIKE	fetchApi	966.fec518d64c26baa001d8.js
seller	UNKNOWN	seller.flipkart.com	/napi/ga/getAssistanceCategories	UNKNOWN_READLIKE	fetchApi	966.fec518d64c26baa001d8.js
