surface	method	host	path	class	const	evidence_file
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/downloadActiveListings	READ_FILE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/downloadBulkErrorFile	READ_FILE		9258.26178f4d4422b76c6a94.js
seller	GET	seller.flipkart.com	/napi/consignment/downloadConsignmentDetails	READ_FILE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/downloadConsignmentLabel	READ_FILE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/downloadConsignmentListings	READ_FILE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/downloadConsignmentVisibilityDetails	READ_FILE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/downloadEWayBill	READ_FILE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/downloadInvoiceCSV	READ_FILE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/downloadInvoices	READ_FILE		9258.26178f4d4422b76c6a94.js
seller	GET	seller.flipkart.com	/napi/consignment/downloadPOP	READ_FILE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/downloadQCFile	READ_FILE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/downloadQCTickets	READ_FILE	QC_TICKETS	9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/generateSplitForIntent	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/getAllSkuListings	UNKNOWN_READLIKE		9258.26178f4d4422b76c6a94.js
seller	GET	seller.flipkart.com	/napi/consignment/getConsignmentDetails	READ		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/getConsignmentSummaryV2	UNKNOWN_READLIKE		9258.26178f4d4422b76c6a94.js
seller	GET	seller.flipkart.com	/napi/consignment/getConsignmentsList	READ		9258.26178f4d4422b76c6a94.js
seller	GET	seller.flipkart.com	/napi/consignment/getDedicatedSpace	READ		9258.26178f4d4422b76c6a94.js
seller	GET	seller.flipkart.com	/napi/consignment/getDownloadListingStatus	READ_FILE		9258.26178f4d4422b76c6a94.js
seller	GET	seller.flipkart.com	/napi/consignment/getFBFAddressByPincode	READ		remote-manageProfile-617.e9731b9e51151edcea56.js
seller	GET	seller.flipkart.com	/napi/consignment/getFbfGstinDocumentDetails	READ		9258.26178f4d4422b76c6a94.js
seller	GET	seller.flipkart.com	/napi/consignment/getInwardedListings	READ		9258.26178f4d4422b76c6a94.js
seller	GET	seller.flipkart.com	/napi/consignment/getInwardedQcCount	READ		9258.26178f4d4422b76c6a94.js
seller	GET	seller.flipkart.com	/napi/consignment/getListingPricingInfo	READ		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/getPickUpSlots	UNKNOWN_READLIKE		9258.26178f4d4422b76c6a94.js
seller	GET	seller.flipkart.com	/napi/consignment/getPromisableCapacities	READ		9258.26178f4d4422b76c6a94.js
seller	GET	seller.flipkart.com	/napi/consignment/getQCTickets	READ		9258.26178f4d4422b76c6a94.js
seller	GET	seller.flipkart.com	/napi/consignment/getRTDBoxDetails	READ		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/getRecoListings	UNKNOWN_READLIKE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/getSlots	UNKNOWN_READLIKE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/getZonalRecommendedListings	UNKNOWN_READLIKE		9258.26178f4d4422b76c6a94.js
seller	GET	seller.flipkart.com	/napi/consignment/isInvoiceAvailable	READ		9258.26178f4d4422b76c6a94.js
seller	PUT	seller.flipkart.com	/napi/consignment/markAsDefaultAddress	WRITE		remote-manageProfile-617.e9731b9e51151edcea56.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/markRTD	UNKNOWN		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/scheduleConsignment	WRITE		9258.26178f4d4422b76c6a94.js
seller	GET	seller.flipkart.com	/napi/consignment/schedulingEligibility	READ		9258.26178f4d4422b76c6a94.js
seller	GET	seller.flipkart.com	/napi/consignment/search	READ		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/triggerInvoiceDownload	READ_FILE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/triggerLabelDownload	READ_FILE		9258.26178f4d4422b76c6a94.js
seller	GET	seller.flipkart.com	/napi/consignment/triggerListingsDownload	READ_FILE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/update	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/updateConsignmentAddresses	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/updateConsignmentBoxInfo	WRITE		9258.26178f4d4422b76c6a94.js
