group	method	url	operationName	op_type	body_shape_redacted
seller	POST	https://seller.flipkart.com/napi/graphql	GetInsightBuckets	query?	{"operationName":"GetInsightBuckets","variables":{"viewId":"pr.insight_homepage_view","searchFilters":{"filter_by":[{"filter_type":"TEXT_MATCH","field_name":"tags","values":["NEW_PRODUCT","TOP_PERFORMING","SLOW_MOVING","
seller	POST	https://seller.flipkart.com/napi/graphql	Selection_getGmvLoss	query	{"operationName":"Selection_getGmvLoss","variables":{},"query":"query Selection_getGmvLoss {\n  getGmvLoss {\n    aggregations {\n      aggregation_name\n      value\n      buckets {\n        value\n        aggregation_c
seller	POST	https://seller.flipkart.com/napi/graphql	Lqs_getLqsAggRecos	query	{"operationName":"Lqs_getLqsAggRecos","variables":{},"query":"<gql-doc>"}
seller	POST	https://seller.flipkart.com/napi/graphql	promotions_getPromotionsTags	query	{"operationName":"promotions_getPromotionsTags","variables":{"context":"OFFER_HOME_PAGE"},"query":"query promotions_getPromotionsTags($context: String) {\n  promotions_getPromotionsTags(context: $context) {\n    promotio
seller	POST	https://seller.flipkart.com/napi/graphql	GetPromotionsConfig	query	{"operationName":"GetPromotionsConfig","variables":{"bucket":"seller-dashboard-promotions-config"},"query":"query GetPromotionsConfig($bucket: String) {\n  <redacted>(bucket: $bucket) {\n    promotionConfig {\n      offe
seller	POST	https://seller.flipkart.com/napi/graphql	Promotions_getPromotionsCohorts	query	{"operationName":"Promotions_getPromotionsCohorts","variables":{},"query":"<gql-doc>"}
seller	POST	https://seller.flipkart.com/napi/graphql	Metrics_fetchGoogleAdsWidgetsConfig	query	{"operationName":"Metrics_fetchGoogleAdsWidgetsConfig","variables":{"widgetConfigKey":"googleAdsWidgetsMetaData"},"query":"query Metrics_fetchGoogleAdsWidgetsConfig($widgetConfigKey: String) {\n  metrics_fetchGoogleAdsWi
seller	POST	https://seller.flipkart.com/napi/graphql	GoogleAds_getAllCampaigns	query	{"operationName":"GoogleAds_getAllCampaigns","variables":{},"query":"query GoogleAds_getAllCampaigns {\n  googleAds_getAllCampaigns {\n    status\n    message\n    data {\n      id\n      status\n      campaignName\n    
seller	POST	https://seller.flipkart.com/napi/graphql	Homepage_getWidget	query	{"operationName":"Homepage_getWidget","variables":{"widgetId":"critical_account_actions"},"query":"query Homepage_getWidget($widgetId: String!) {\n  homepageWidget(widgetId: $widgetId) {\n    key\n    title\n    icon_url
seller	POST	https://seller.flipkart.com/napi/graphql	getAdsWidgetMeta	query	{"operationName":"getAdsWidgetMeta","variables":{},"query":"query getAdsWidgetMeta {\n  getAdsWidgetMeta {\n    nudges {\n      title {\n        callout\n        __typename\n      }\n      subTitle {\n        callout\n  
seller	POST	https://seller.flipkart.com/orchestrator/graphql?	featureLaunchDataCard	query	{"operationName":"featureLaunchDataCard","query":"query featureLaunchDataCard($input: WidgetInput) {\n  widget(input: $input) {\n    featureLaunchData {\n      key\n      title\n      iconUrl\n      data {\n        title
seller	POST	https://seller.flipkart.com/orchestrator/graphql?	GetHomepageKpis	query	{"operationName":"GetHomepageKpis","query":"query GetHomepageKpis($input: KpiDataInput!) {\n  kpiData(input: $input) {\n    homepageKpisMetaData {\n      kpis {\n        key\n        displayText\n        description\n   
seller	POST	https://seller.flipkart.com/napi/graphql	GetBusinessSummarySalesUnits	query	{"operationName":"GetBusinessSummarySalesUnits","variables":{"fields":["gross_units","gross_gmv"],"time_interval":["today","yesterday"]},"query":"query GetBusinessSummarySalesUnits($fields: [String!]!, $time_interval: [S
seller	POST	https://seller.flipkart.com/napi/graphql	GetBusinessSummaryImpressions	query	{"operationName":"GetBusinessSummaryImpressions","variables":{"time_interval":["impressions_latest","impressions_prev"]},"query":"query GetBusinessSummaryImpressions($time_interval: [String!]!) {\n  getBusinessSummaryImp
seller	POST	https://seller.flipkart.com/orchestrator/graphql?	GetPaymentKpiMeta	query	{"operationName":"GetPaymentKpiMeta","query":"query GetPaymentKpiMeta($input: PaymentsInput!) {\n  payments(input: $input) {\n    paymentKpiMetaData {\n      heading\n      paymentDueTimeText\n      dueTimeText\n      st
seller	POST	https://seller.flipkart.com/orchestrator/graphql?	Selection_getStockWidget	query	{"operationName":"Selection_getStockWidget","query":"query Selection_getStockWidget($input: WidgetInput) {\n  widget(input: $input) {\n    stockWidget {\n      aggregations {\n        aggregationName\n        value\n    
seller	POST	https://seller.flipkart.com/orchestrator/graphql?	GetShadowPromotionsConfig	query	{"operationName":"GetShadowPromotionsConfig","query":"query GetShadowPromotionsConfig($input: AdsAndPromotionsInput) {\n  adsAndPromotions(input: $input) {\n    promotionsConfig {\n      config {\n        key\n        va
seller	POST	https://seller.flipkart.com/orchestrator/graphql?	Promotions_getPromotionsCohorts	query	{"operationName":"Promotions_getPromotionsCohorts","query":"<gql-doc>","variables":{"input":{},"useGateway":true}}
seller	POST	https://seller.flipkart.com/orchestrator/graphql?	GoogleAds_getAllCampaigns	query	{"operationName":"GoogleAds_getAllCampaigns","query":"query GoogleAds_getAllCampaigns($input: AdsAndPromotionsInput) {\n  adsAndPromotions(input: $input) {\n    googleAdsCampaigns {\n      campaigns {\n        campaignId
seller	POST	https://seller.flipkart.com/orchestrator/graphql?	GetHomepageWidget	query	{"operationName":"GetHomepageWidget","query":"query GetHomepageWidget($widgetId: String!) {\n  widget(input: {widgetId: $widgetId}) {\n    homepageWidget {\n      key\n      title\n      iconUrl\n      data {\n        ti
seller	POST	https://seller.flipkart.com/orchestrator/graphql?	getAdsWidgetMeta	query	{"operationName":"getAdsWidgetMeta","query":"query getAdsWidgetMeta($input: AdsAndPromotionsInput) {\n  adsAndPromotions(input: $input) {\n    adsWidgetMeta {\n      nudges {\n        nudgeType\n        priority\n       
seller	POST	https://seller.flipkart.com/orchestrator/graphql?	ListingsTabCounts	query	{"operationName":"ListingsTabCounts","variables":{"input":{"marketplaceContext":"ALL"}},"query":"query ListingsTabCounts($input: ListingsManagementMetricInput) {\n  listingsManagementMetrics(input: $input) {\n    tabCoun
seller	POST	https://seller.flipkart.com/napi/listing/listingsDataForStates		n/a	{"search_text":"","search_filters":{"internal_state":"ACTIVE"},"column":{"sort":{"column_name":"demand_weight","sort_by":"DESC"},"pagination":{"batch_no":0,"batch_size":20}}}
seller	POST	https://seller.flipkart.com/orchestrator/graphql?	GetListingRows	query	{"operationName":"GetListingRows","variables":{"input":{"listingRowsInput":{"internalState":"ACTIVE","searchText":"","pagination":{"pageNumber":0,"pageSize":20},"sort":{"columnName":"demand_weight","sortBy":"DESC"}}}},"q
seller	POST	https://seller.flipkart.com/orchestrator/graphql?	ListingsViewTemplate	query	{"operationName":"ListingsViewTemplate","variables":{"input":{"marketplaceContext":"ALL","viewTemplateInput":{"searchFilter":"","context":"ACTIVE"}}},"query":"query ListingsViewTemplate($input: ListingsManagementMetricIn
seller	POST	https://seller.flipkart.com/napi/listing/risk-recommendation-data-count		n/a	{}
seller	POST	https://seller.flipkart.com/orchestrator/graphql?	ListingsAtRiskCount	query	{"operationName":"ListingsAtRiskCount","variables":{"input":{"pillCountsInput":{}}},"query":"query ListingsAtRiskCount($input: ListingsManagementMetricInput) {\n  listingsManagementMetrics(input: $input) {\n    recommend
seller	POST	https://seller.flipkart.com/napi/graphql	Selection_newSelectionTableData	query?	{"operationName":"Selection_newSelectionTableData","variables":{"body":{"filter_by":[{"filter_type":"RANGE_MATCH","field_name":"fk_release_date","from":1780182976.863},{"filter_type":"TEXT_MATCH","field_name":"potential_
seller	POST	https://seller.flipkart.com/orchestrator/graphql?	ListingsNewSelectionCount	query	{"operationName":"ListingsNewSelectionCount","variables":{"input":{"pillCountsInput":{}}},"query":"<gql-doc>"}
seller	POST	https://seller.flipkart.com/napi/listing/return-reco-count-revenue		n/a	{"viewId":"rr.insight_metric_view","reasonFilters":["ADD_SIZE_CHART","quality","CHECK_SIZE_CHART","MISSHIPMENT","DAMAGED"]}
seller	POST	https://seller.flipkart.com/orchestrator/graphql?	ListingsReturnsRecommendations	query	{"operationName":"ListingsReturnsRecommendations","variables":{"input":{"marketplaceContext":"ALL","pillCountsInput":{}}},"query":"query ListingsReturnsRecommendations($input: ListingsManagementMetricInput) {\n  listings
seller	POST	https://seller.flipkart.com/napi/listing/fetch-recommendations-filter-count		n/a	{"search_text":"","search_filters":{"stock_recommendation":true,"qc_recommendation":["HIDDEN","DERANK"],"listing_tier":"eligible","minoq_recommendation":true,"multipacks_recommendation":true,"internal_state":"ACTIVE","shopsy_recommendation":true},"enableOOSTopListings":false}
seller	POST	https://seller.flipkart.com/orchestrator/graphql?	ListingsFilterCount	query	{"operationName":"ListingsFilterCount","variables":{"input":{"marketplaceContext":"ALL","pillCountsInput":{}}},"query":"query ListingsFilterCount($input: ListingsManagementMetricInput) {\n  listingsManagementMetrics(inpu
seller	POST	https://seller.flipkart.com/napi/listing/pricing-reco-data		n/a	{"filter_by":[{"filter_type":"TEXT_MATCH","field_name":"tags","values":["NEW_PRODUCT","TOP_PERFORMING","SLOW_MOVING","NON_MOVING","MOVING"]}],"order_by":[],"group_by":[{"grouping_name":"tags-based","field_name":"tags","s
seller	POST	https://seller.flipkart.com/orchestrator/graphql?	ListingsPriceRecoCount	query	{"operationName":"ListingsPriceRecoCount","variables":{"input":{"pillCountsInput":{}}},"query":"query ListingsPriceRecoCount($input: ListingsManagementMetricInput) {\n  listingsManagementMetrics(input: $input) {\n    rec
seller	POST	https://seller.flipkart.com/napi/listing/listingsFilterValues		n/a	{"internal_state":"ACTIVE","requested_filter":"vertical","search_filters":{}}
seller	POST	https://seller.flipkart.com/napi/listing/listingsStockCount		n/a	[{"listing_id":"<redacted>","service_profile":"NON_FBF"},{"listing_id":"<redacted>","service_profile":"NON_FBF"},{"listing_id":"<redacted>","service_profile":"NON_FBF"},{"listing_id":"<redacted>","service_profile":"NON_F
seller	POST	https://seller.flipkart.com/orchestrator/graphql?	GetListingStock	query?	{"operationName":"GetListingStock","variables":{"input":{"listingIds":["<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","LSTE
seller	POST	https://seller.flipkart.com/orchestrator/graphql?	GetListingPricing	query?	{"operationName":"GetListingPricing","variables":{"input":{"listingIds":["<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","LS
seller	POST	https://seller.flipkart.com/napi/listing/lqs-grade-details		n/a	{"listing_ids":["<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","LST
seller	POST	https://seller.flipkart.com/orchestrator/graphql?	ListingsLqsGrade	query?	{"operationName":"ListingsLqsGrade","variables":{"input":{"listingIds":["<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","LST
seller	POST	https://seller.flipkart.com/napi/listing/lqs-metrics-impressions		n/a	[{"listing_id":"<redacted>"},{"listing_id":"<redacted>"},{"listing_id":"<redacted>"},{"listing_id":"<redacted>"},{"listing_id":"<redacted>"},{"listing_id":"<redacted>"},{"listing_id":"<redacted>"
seller	POST	https://seller.flipkart.com/orchestrator/graphql?	ListingsLqsMetrics	query?	{"operationName":"ListingsLqsMetrics","variables":{"input":{"listingIds":["<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","L
seller	POST	https://seller.flipkart.com/napi/listing/get-listings-tier		n/a	{"listing_details":[{"listing_id":"<redacted>","service_profile":"NON_FBF"},{"listing_id":"<redacted>","service_profile":"NON_FBF"},{"listing_id":"<redacted>","service_profile":"NON_FBF"},{"listing_id":"<redacted>","serv
seller	POST	https://seller.flipkart.com/orchestrator/graphql?	ListingsTier	query?	{"operationName":"ListingsTier","variables":{"input":{"listingIds":["<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","LSTEDOG
seller	POST	https://seller.flipkart.com/napi/listing/conversion-insights		n/a	{"filter_by":[{"filter_type":"TEXT_MATCH","field_name":"insight_sub_type","values":["bring_listing_instock"]},{"filter_type":"TEXT_MATCH","field_name":"listing_id","values":["<redacted>","<redacted>","<redacted>","<redac
seller	POST	https://seller.flipkart.com/orchestrator/graphql?	ListingsConversionInsights	query?	{"operationName":"ListingsConversionInsights","variables":{"input":{"listingIds":["<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","<redacted>
seller	POST	https://seller.flipkart.com/napi/metrics/search		n/a	{"filters":[{"field_name":"date","filter_type":"RANGE_MATCH","range_from":"2026-06-10","range_to":"2026-07-10"},{"field_name":"listing_id","filter_type":"FULL_TEXT_MATCH","text_match_filter_values":["<redacted>","<redact
seller	POST	https://seller.flipkart.com/napi/listing/listings-price-recommendation		n/a	{"filter_by":[{"filter_type":"TEXT_MATCH","field_name":"listing_id","values":["<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","<redacted>
seller	POST	https://seller.flipkart.com/napi/graphql	GetPRiceRecoFromConfig	query	{"operationName":"GetPRiceRecoFromConfig","variables":{},"query":"query GetPRiceRecoFromConfig {\n  metrics_fetchPriceRecoConfig {\n    valueTagsMeta {\n      valueTagsDisplayInfo {\n        tagKey\n        displayName\n
seller	POST	https://seller.flipkart.com/orchestrator/graphql?	ListingsPriceRecommendation	query?	{"operationName":"ListingsPriceRecommendation","variables":{"input":{"listingIds":["<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","<redacted>
seller	POST	https://seller.flipkart.com/napi/graphql	GetListingActivePlans	query?	{"operationName":"GetListingActivePlans","variables":{"sellerId":"<redacted>","input":{"listing_ids":["<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","<redacted>
seller	POST	https://seller.flipkart.com/napi/graphql	ListingsVideosProductVideosBulk	query?	{"operationName":"ListingsVideosProductVideosBulk","variables":{"body":{"fsns":["<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","<redacted>","<redacted
seller	POST	https://seller.flipkart.com/napi/graphql	Reward_getWinningRewardAmount	query?	{"operationName":"Reward_getWinningRewardAmount","variables":{"rewardStatus":"JOINED","data":[{"listing_id":"<redacted>","price":1299,"marketplace_fee":{"platform_fee":0,"payment_fee":0,"forward_shipping_fee":0.01,"closi
seller	POST	https://seller.flipkart.com/napi/graphql	settlements_calculator_web_getAverageSettlementPrice	query?	{"operationName":"settlements_calculator_web_getAverageSettlementPrice","variables":{"listings":[{"listing_id":"<redacted>","selling_price":1239,"listing_price":1299,"item_unit_count":1}],"darwin_tier":"bronze","reward_p
seller	POST	https://seller.flipkart.com/napi/listing/inProgressSingle?marketplace=FLIPKART&sellerId=e56b4e65e27e4162		n/a	{"batchNo":0,"batchSize":10,"searchContext":{"sortAttributes":["lastModified"],"sortOrder":"DESC","filter":{"must":[{"match":[]}]}},"sellerId":"<redacted>"}
seller	POST	https://seller.flipkart.com/napi/metrics/insight/oosInsight?sellerId=e56b4e65e27e4162		n/a	{"request":{"filter_by":[{"filter_type":"TEXT_MATCH","field_name":"insight_sub_type","values":["bring_listing_instock"]}],"order_by":[{"field_name":"potential_loss","order":"desc"}],"group_by":[{"grouping_name":"model-ba
seller	POST	https://seller.flipkart.com/napi/sfx/getAllStates?service_profile=NON_FBF&type=low_stock&locationId=LOCd11c4c8929a44e208e29b98274763dfd&sellerId=e56b4e65e27e4162		n/a	{"search_param":null,"sort_param":null,"filter_params":{"doh":14,"sales":30},"location_id":"<redacted>"}
seller	POST	https://seller.flipkart.com/napi/sfx/getUIVListDetails?page_no=0&page_size=10&service_profile=NON_FBF&type=low_stock&locationId=LOCd11c4c8929a44e208e29b98274763dfd&sellerId=e56b4e65e27e4162		n/a	{"search_param":null,"sort_param":{"key":"sales","value":"desc"},"filter_params":{"doh":14,"sales":30},"location_id":"<redacted>"}
seller	POST	https://seller.flipkart.com/napi/graphql	GetUpcomingPaymentsV3	query	{"operationName":"<redacted>","variables":{},"query":"query <redacted> {\n  <redacted> {\n    payments {\n      start_date\n      payment_date\n      end_date\n      prepaid\n      postpaid\n      total_amount\n      eve
seller	POST	https://seller.flipkart.com/napi/graphql	GetLargeSellers	query	{"operationName":"GetLargeSellers","variables":{},"query":"<gql-doc>"}
seller	POST	https://seller.flipkart.com/napi/graphql	GetPaymentsUIConfig	query	{"operationName":"GetPaymentsUIConfig","variables":{},"query":"<gql-doc>"}
seller	POST	https://seller.flipkart.com/orchestrator/graphql?	GetPreviousPaymentDetails	query	{"operationName":"GetPreviousPaymentDetails","variables":{"input":{"refresh":false}},"query":"query GetPreviousPaymentDetails($input: SettlementInput!) {\n  settlement(input: $input) {\n    previousPaymentDetails {\n    
seller	POST	https://seller.flipkart.com/orchestrator/graphql?	GetPayoutExceptionSummaryOrchestrator	query	{"operationName":"GetPayoutExceptionSummaryOrchestrator","variables":{"input":{"darwinTier":"bronze"}},"query":"query GetPayoutExceptionSummaryOrchestrator($input: SettlementInput!) {\n  settlement(input: $input) {\n    
seller	POST	https://seller.flipkart.com/napi/metrics/bizReport/getReportsCount		n/a	{"reportGroup":null,"reportName":null,"enable":true,"status":null,"repeat_report_group_name":null,"repeat_report_name":null,"repeat_enable":false}
seller	POST	https://seller.flipkart.com/napi/metrics/bizReport/report/getReportsV2		n/a	{"reportGroup":null,"reportName":null,"enable":true,"status":null,"page_size":10,"starting_page":1}
seller	POST	https://seller.flipkart.com/napi/graphql	GetPriceRecoPageConfigV2	query	{"operationName":"<redacted>","variables":{},"query":"query <redacted> {\n  <redacted> {\n    valueTagsMeta {\n      modalMeta {\n        bannerImage\n        bannerImageFallback\n        pillIcon\n        eventName\n   
seller	POST	https://seller.flipkart.com/napi/graphql	Metrics_getCompetitorUnreadCountAsync	query	{"operationName":"Metrics_getCompetitorUnreadCountAsync","variables":{},"query":"<gql-doc>"}
seller	POST	https://seller.flipkart.com/napi/graphql	FetchSellerImpact	query?	{"operationName":"FetchSellerImpact","variables":{"filter_by":[{"filter_type":"TEXT_MATCH","field_name":"status","values":["UPDATED_SUCCESSFULLY"]},{"filter_type":"RANGE_MATCH","field_name":"updated_at","from":"20260715"
seller	POST	https://seller.flipkart.com/napi/graphql	AdoptedRecosSummary	query	{"operationName":"AdoptedRecosSummary","variables":{"toDate":"2026-07-30","fromDate":"2026-06-15"},"query":"query AdoptedRecosSummary($fromDate: String, $toDate: String) {\n  metrics_adoptedPriceRecosSummary(from_date: $
