ItemCode	Warehouse	OUT90	RET90	IN90
PM0000014	BH-BS	0	0	0
PM0000014	BH-PC	446582	0	441
PM0000015	BH-BS	0	0	0
PM0000015	BH-PC	295982	0	0
PM0000233	BH-PC	52868	0	0
PM0000232	BH-PC	52868	0	0
PM0000006	BH-PC	36562.4	0	0
PM0000254	BH-BS	0	0	0
PM0000254	BH-PC	2926.6	0	0
PM0000245	BH-PC	1365	0	0
PM0000632	BH-PC	5759	0	0
PM0000470	BH-BS	0	0	0
PM0000470	BH-PC	68885	0	0
PM0000074	BH-BS	0	0	0
PM0000074	BH-PC	19889.6	0	0
PM0000395	BH-PC	21956	0	0
FG0000030	BH-GR	25401	1713	2413
FG0000083	BH-GR	83	36	36
FG0000359	BH-PF	233124	0	257808
FG0000008	BH-GR	1659	292	292
PM0000523	BH-PM	0	0	74200
PM0000522	BH-PM	0	0	74200
PM0000187	BH-PM	0	0	26000
PM0000014	BH-PM	0	0	381500
PM0000015	BH-PM	0	0	359000
PM0000159	BH-PM	0	0	82800
PM0000158	BH-PM	0	0	82800
PM0000231	BH-PM	0	0	403900
PM0000230	BH-PM	0	0	410900
PM0000047	BH-PM	0	0	56500
PM0000048	BH-PM	0	0	56500
PM0000017	BH-PM	0	0	240900
PM0000018	BH-PM	0	0	240900
PM0000426	BH-PM	0	0	520300
PM0000425	BH-PM	0	0	520300
PM0000385	BH-PM	0	0	145500
PM0000386	BH-PM	0	0	145500
PM0000428	BH-PM	0	0	69200
PM0000427	BH-PM	0	0	69200
PM0000900	BH-PM	0	0	111000
PM0000901	BH-PM	0	0	111000
PM0000865	BH-PM	0	0	140400
PM0000866	BH-PM	0	0	140400
PM0000420	BH-PM	0	0	29500
PM0000419	BH-PM	0	0	29500
PM0000902	BH-PM	0	0	29500
PM0000903	BH-PM	0	0	29500
PM0000904	BH-PM	0	0	27000
PM0000905	BH-PM	0	0	27000
PM0000906	BH-PM	0	0	28000
PM0000907	BH-PM	0	0	28000
PM0000910	BH-PM	0	0	27500
PM0000911	BH-PM	0	0	27500
PM0000127	BH-PM	0	0	29000
PM0000126	BH-PM	0	0	29000
PM0000908	BH-PM	0	0	28000
PM0000909	BH-PM	0	0	28000
PM0000865	BH-BS	0	0	0
PM0000866	BH-BS	0	0	0
PM0000127	BH-BS	0	0	0
PM0000126	BH-BS	0	0	0
FG0000382	BH-EC	21	0	0
FG0000382	BH-SC	0	0	0
FG0000283	BH-EC	200	0	0
FG0000283	BH-SC	1	0	0
FG0000318	BH-EC	122	0	2
FG0000318	BH-SC	0	0	0
FG0000197	BH-EC	0	0	0
FG0000197	BH-SC	0	0	0
FG0000221	BH-EC	2	0	0
FG0000221	BH-SC	0	0	0
PM0000053	BH-WST	1110	0	0
PM0000470	BH-WST	0	0	0
