ItemCode	ItemName	ItmsGrpNam	InvntryUom	U_TYPE	U_Sub_Group	frozenFor	WhsCode	WhsName	OnHand	IsCommited	OnOrder	StockValue
FG0000405	COLD PRESS 4 LTR (NIRMAL RISHI ) + POMACE OLIVE 1 LTR 5 PCS	FINISHED	PCS	PREMIUM	CANOLA	N	GP-FG	GUPTA GODOWN BASEMENT FINISHED GODOWN	46	0	0	28353.36
FG0000161	EXTRA VIRGIN OLIVE 500 MLS 24 PCS	FINISHED	PCS	PREMIUM	OLIVE	N	DL-PS	PRESHIT SAMAGAM	3	0	0	379.59
FG0000161	EXTRA VIRGIN OLIVE 500 MLS 24 PCS	FINISHED	PCS	PREMIUM	OLIVE	N	BH-BT	Bhakharpur New Basement	23	0	0	1654.7
FG0000161	EXTRA VIRGIN OLIVE 500 MLS 24 PCS	FINISHED	PCS	PREMIUM	OLIVE	N	BH-PF	Bhakharpur Production Finished 1st Floor	13	0	2151	935.27
FG0000161	EXTRA VIRGIN OLIVE 500 MLS 24 PCS	FINISHED	PCS	PREMIUM	OLIVE	N	GP-FG	GUPTA GODOWN BASEMENT FINISHED GODOWN	0	360	0	0
FG0000161	EXTRA VIRGIN OLIVE 500 MLS 24 PCS	FINISHED	PCS	PREMIUM	OLIVE	N	PB-JP	Punjab Grover Agency Jagraon C & F	24	0	0	3045.19
FG0000161	EXTRA VIRGIN OLIVE 500 MLS 24 PCS	FINISHED	PCS	PREMIUM	OLIVE	N	BH-WST	Bhakharpur WASTAGE	5	0	0	359.72
FG0000015	REFINED OIL 15 LTR	FINISHED	PCS	PREMIUM	CANOLA	N	GP-FG	GUPTA GODOWN BASEMENT FINISHED GODOWN	1	0	0	327614.42
FG0000015	REFINED OIL 15 LTR	FINISHED	PCS	PREMIUM	CANOLA	N	BH-BT	Bhakharpur New Basement	50	0	0	109299.52
FG0000015	REFINED OIL 15 LTR	FINISHED	PCS	PREMIUM	CANOLA	N	PB-PS	PUNJAB PRESHIT	1	0	0	2036.52
FG0000015	REFINED OIL 15 LTR	FINISHED	PCS	PREMIUM	CANOLA	N	BH-PF	Bhakharpur Production Finished 1st Floor	448	0	928	979323.69
FG0000015	REFINED OIL 15 LTR	FINISHED	PCS	PREMIUM	CANOLA	N	BH-GR	Bhakharpur GR	4	0	0	8970.93
PM0000345	LABEL 1 LTR EXTRA VIRGIN COCONUT BACK	PACKAGING MATERIAL	PCS		LABEL	N	BH-WST	Bhakharpur WASTAGE	64	0	0	0
PM0000345	LABEL 1 LTR EXTRA VIRGIN COCONUT BACK	PACKAGING MATERIAL	PCS		LABEL	N	BH-PM	Bhakharpur Packaging Materials 1st Floor	5400	1600	0	-2208.04
PM0000345	LABEL 1 LTR EXTRA VIRGIN COCONUT BACK	PACKAGING MATERIAL	PCS		LABEL	N	BH-PP	Bhakharpur Production Process 1st Floor	3276	0	0	2236.07
PM0000345	LABEL 1 LTR EXTRA VIRGIN COCONUT BACK	PACKAGING MATERIAL	PCS		LABEL	N	BH-PC	Bhakharpur Production Consumption	3863	0	1600	2636.83
PM0000344	LABEL 1 LTR EXTRA VIRGIN COCONUT FRONT	PACKAGING MATERIAL	PCS		LABEL	N	BH-PP	Bhakharpur Production Process 1st Floor	3276	0	0	2236.07
