ItemCode	ItemName	ItmsGrpNam	InvntryUom	U_TYPE	U_Sub_Group	frozenFor	WhsCode	WhsName	OnHand	IsCommited	OnOrder	StockValue
PM0000752	HDPE BOTTLE 5 LTRS BROWN VEDAKA	PACKAGING MATERIAL	PCS		HDPE BOTTLES	N	BH-WST	Bhakharpur WASTAGE	12	0	0	414.6
PM0000752	HDPE BOTTLE 5 LTRS BROWN VEDAKA	PACKAGING MATERIAL	PCS		HDPE BOTTLES	N	GP-NM	Gupta Non-Moving	640	0	0	22114.4
PM0000752	HDPE BOTTLE 5 LTRS BROWN VEDAKA	PACKAGING MATERIAL	PCS		HDPE BOTTLES	N	BH-BS	Bhakharpur Basement	2100	0	0	73392.6
PM0000646	LABEL 500 MLS EXTRA VIRGIN FRONT VICTORY OLD	PACKAGING MATERIAL	PCS		LABEL	N	BH-PP	Bhakharpur Production Process 1st Floor	435	0	0	478.5
PM0000646	LABEL 500 MLS EXTRA VIRGIN FRONT VICTORY OLD	PACKAGING MATERIAL	PCS		LABEL	N	BH-PC	Bhakharpur Production Consumption	2800	0	0	3080
FG0000397	JIVO EXTRA VIRGIN OLIVE OIL 500 MLS 24 PCS ( CSD )	FINISHED	PCS	PREMIUM	OLIVE	N	GP-FG	GUPTA GODOWN BASEMENT FINISHED GODOWN	1	29	0	1940.42
PM0000520	LABEL 5 LTR SO OLIVE BACK	PACKAGING MATERIAL	PCS		LABEL	N	BH-PP	Bhakharpur Production Process 1st Floor	2313	0	0	5064.6
PM0000520	LABEL 5 LTR SO OLIVE BACK	PACKAGING MATERIAL	PCS		LABEL	N	BH-BS	Bhakharpur Basement	1163	0	0	2558.6
PM0000520	LABEL 5 LTR SO OLIVE BACK	PACKAGING MATERIAL	PCS		LABEL	N	BH-PC	Bhakharpur Production Consumption	188	0	0	413.6
PM0000008	CARTON 15 LTR 1 PCS	PACKAGING MATERIAL	PCS		CARTON	N	BH-PM	Bhakharpur Packaging Materials 1st Floor	0	2100	1542	-6154.4
PM0000008	CARTON 15 LTR 1 PCS	PACKAGING MATERIAL	PCS		CARTON	N	BH-WST	Bhakharpur WASTAGE	115	0	0	2392
PM0000008	CARTON 15 LTR 1 PCS	PACKAGING MATERIAL	PCS		CARTON	N	BH-PC	Bhakharpur Production Consumption	134	628	2100	3082
PM0000008	CARTON 15 LTR 1 PCS	PACKAGING MATERIAL	PCS		CARTON	N	BH-PP	Bhakharpur Production Process 1st Floor	729	0	0	15059.2
PM0000008	CARTON 15 LTR 1 PCS	PACKAGING MATERIAL	PCS		CARTON	N	GP-NM	Gupta Non-Moving	71	0	0	-40726
PM0000008	CARTON 15 LTR 1 PCS	PACKAGING MATERIAL	PCS		CARTON	N	GP-PM	Gupta Godown Packaging Material	0	900	0	-18000
PM0000008	CARTON 15 LTR 1 PCS	PACKAGING MATERIAL	PCS		CARTON	N	PB-ST	Punjab Sai Trading C & F	335	0	0	3120
PM0000490	LABEL 1 LTR COLD PRESS FRONT B.B	PACKAGING MATERIAL	PCS		LABEL	N	BH-PC	Bhakharpur Production Consumption	30	100	0	54
PM0000490	LABEL 1 LTR COLD PRESS FRONT B.B	PACKAGING MATERIAL	PCS		LABEL	N	BH-GR	Bhakharpur GR	0	540	100	0
PM0000490	LABEL 1 LTR COLD PRESS FRONT B.B	PACKAGING MATERIAL	PCS		LABEL	N	BH-PM	Bhakharpur Packaging Materials 1st Floor	7500	0	0	13500
PM0000490	LABEL 1 LTR COLD PRESS FRONT B.B	PACKAGING MATERIAL	PCS		LABEL	N	BH-WST	Bhakharpur WASTAGE	319	0	0	574.2
PM0000490	LABEL 1 LTR COLD PRESS FRONT B.B	PACKAGING MATERIAL	PCS		LABEL	N	BH-PP	Bhakharpur Production Process 1st Floor	1660	0	0	833.2
PM0000490	LABEL 1 LTR COLD PRESS FRONT B.B	PACKAGING MATERIAL	PCS		LABEL	N	BH-BS	Bhakharpur Basement	1500	0	0	2700
PM0000490	LABEL 1 LTR COLD PRESS FRONT B.B	PACKAGING MATERIAL	PCS		LABEL	N	GP-NM	Gupta Non-Moving	2100	0	0	3780
FG0000043	COLD PRESS 3 LTR 6 PCS	FINISHED	PCS	PREMIUM	CANOLA	N	BH-BT	Bhakharpur New Basement	20	0	0	9060.17
FG0000043	COLD PRESS 3 LTR 6 PCS	FINISHED	PCS	PREMIUM	CANOLA	N	GP-FG	GUPTA GODOWN BASEMENT FINISHED GODOWN	0	800	0	0
PM0000354	LABEL 1 LTR REFINED BACK NEW	PACKAGING MATERIAL	PCS		LABEL	N	BH-PC	Bhakharpur Production Consumption	119960	0	0	527.82
SF0000008	POMACE OLIVE OIL 15KG TIN	SEMI FINISHED GOODS	PCS		OLIVE	N	BH-OT	Param	2000	0	0	7200000
FG0000383	REFINED OIL 13 KG	FINISHED	PCS	PREMIUM	CANOLA	N	BH-WST	Bhakharpur WASTAGE	3	0	0	5785.9
FG0000383	REFINED OIL 13 KG	FINISHED	PCS	PREMIUM	CANOLA	N	GP-FG	GUPTA GODOWN BASEMENT FINISHED GODOWN	0	200	0	0
FG0000383	REFINED OIL 13 KG	FINISHED	PCS	PREMIUM	CANOLA	N	BH-PF	Bhakharpur Production Finished 1st Floor	5	0	0	10140.3
PM0000521	LABEL 5 LTR SO OLIVE FRONT	PACKAGING MATERIAL	PCS		LABEL	N	BH-BS	Bhakharpur Basement	1216	0	0	2675.2
PM0000521	LABEL 5 LTR SO OLIVE FRONT	PACKAGING MATERIAL	PCS		LABEL	N	BH-PP	Bhakharpur Production Process 1st Floor	2448	0	0	5361.6
RM0000007	RICE BRAN REFINED OIL	RAW MATERIAL	LTR		RICE BRAN	N	BH-WST	Bhakharpur WASTAGE	21	0	0	2832.85
RM0000007	RICE BRAN REFINED OIL	RAW MATERIAL	LTR		RICE BRAN	N	BH-LO	Bhakharpur Loose Oil	59825.53	3536	0	8103059.36
RM0000007	RICE BRAN REFINED OIL	RAW MATERIAL	LTR		RICE BRAN	N	BH-GJ	Gujarat Job Worker	0	0	4769.23	-45758.41
RM0000007	RICE BRAN REFINED OIL	RAW MATERIAL	LTR		RICE BRAN	N	BH-PM	Bhakharpur Packaging Materials 1st Floor	0	25000	0	0
RM0000007	RICE BRAN REFINED OIL	RAW MATERIAL	LTR		RICE BRAN	N	BH-GR	Bhakharpur GR	2549	0	0	344115
RM0000007	RICE BRAN REFINED OIL	RAW MATERIAL	LTR		RICE BRAN	N	BH-PC	Bhakharpur Production Consumption	69.97	0	25000	9432.45
PM0000900	LABEL 200 ML CP KACHI GHANI FRONT	PACKAGING MATERIAL	PCS	NULL	LABEL	N	BH-PM	Bhakharpur Packaging Materials 1st Floor	51000	0	0	11220
PM0000900	LABEL 200 ML CP KACHI GHANI FRONT	PACKAGING MATERIAL	PCS	NULL	LABEL	N	BH-PC	Bhakharpur Production Consumption	23230	0	0	5110.6
PM0000900	LABEL 200 ML CP KACHI GHANI FRONT	PACKAGING MATERIAL	PCS	NULL	LABEL	N	BH-WST	Bhakharpur WASTAGE	300	0	0	66
PM0000901	LABEL 200 ML CP KACHI GHANI BACK	PACKAGING MATERIAL	PCS	NULL	LABEL	N	BH-WST	Bhakharpur WASTAGE	280	0	0	61.6
PM0000901	LABEL 200 ML CP KACHI GHANI BACK	PACKAGING MATERIAL	PCS	NULL	LABEL	N	BH-PM	Bhakharpur Packaging Materials 1st Floor	51000	0	0	11220
PM0000901	LABEL 200 ML CP KACHI GHANI BACK	PACKAGING MATERIAL	PCS	NULL	LABEL	N	BH-PC	Bhakharpur Production Consumption	23250	0	0	5115
PM0000887	LABEL 200 LTR POMACE SANO	PACKAGING MATERIAL	PCS		LABEL	N	BH-PC	Bhakharpur Production Consumption	110	0	0	388.25
PM0000887	LABEL 200 LTR POMACE SANO	PACKAGING MATERIAL	PCS		LABEL	N	GP-NM	Gupta Non-Moving	12	0	0	44.25
PM0000835	TIN 5 LTR FP YELLOW MUSTARD OIL PRINTED	PACKAGING MATERIAL	PCS		TIN	N	BH-PC	Bhakharpur Production Consumption	15	0	4010	1350
PM0000835	TIN 5 LTR FP YELLOW MUSTARD OIL PRINTED	PACKAGING MATERIAL	PCS		TIN	N	BH-PM	Bhakharpur Packaging Materials 1st Floor	0	4010	0	0
PM0000835	TIN 5 LTR FP YELLOW MUSTARD OIL PRINTED	PACKAGING MATERIAL	PCS		TIN	N	BH-WST	Bhakharpur WASTAGE	13	0	0	1126
FA0000391	LCD XIAOMI X PRO SMART GOOGLE TV	FIXED ASSETS	PCS		OFFICE EQUIPMENT	N	BH-FA	Bhakharpur Fixed Assets	4	0	0	123966.19
FG0000155	EXTRA VIRGIN 2 LTR 10 PCS HANDLE	FINISHED	PCS	PREMIUM	OLIVE	N	BH-PF	Bhakharpur Production Finished 1st Floor	290	0	0	161280.48
FG0000155	EXTRA VIRGIN 2 LTR 10 PCS HANDLE	FINISHED	PCS	PREMIUM	OLIVE	N	BH-BT	Bhakharpur New Basement	420	0	0	234551.65
PM0000017	LABEL 1 LTR EXTRA LIGHT BACK	PACKAGING MATERIAL	PCS		LABEL	N	BH-WST	Bhakharpur WASTAGE	5789	0	0	2045.44
PM0000017	LABEL 1 LTR EXTRA LIGHT BACK	PACKAGING MATERIAL	PCS		LABEL	N	BH-PM	Bhakharpur Packaging Materials 1st Floor	55000	20000	0	-4317.9
PM0000017	LABEL 1 LTR EXTRA LIGHT BACK	PACKAGING MATERIAL	PCS		LABEL	N	BH-NM	Bhakharpur Non-Moving	25700	0	0	8995
PM0000017	LABEL 1 LTR EXTRA LIGHT BACK	PACKAGING MATERIAL	PCS		LABEL	N	BH-BS	Bhakharpur Basement	0	6000	0	0
PM0000017	LABEL 1 LTR EXTRA LIGHT BACK	PACKAGING MATERIAL	PCS		LABEL	N	BH-PC	Bhakharpur Production Consumption	67484	176	16000	28097.1
PM0000017	LABEL 1 LTR EXTRA LIGHT BACK	PACKAGING MATERIAL	PCS		LABEL	N	BH-PP	Bhakharpur Production Process 1st Floor	0	0	10000	-286.3
PM0000018	LABEL 1 LTR EXTRA LIGHT FRONT	PACKAGING MATERIAL	PCS		LABEL	N	BH-PM	Bhakharpur Packaging Materials 1st Floor	55000	21040	0	-4317.9
PM0000018	LABEL 1 LTR EXTRA LIGHT FRONT	PACKAGING MATERIAL	PCS		LABEL	N	BH-NM	Bhakharpur Non-Moving	25700	0	0	8995
PM0000018	LABEL 1 LTR EXTRA LIGHT FRONT	PACKAGING MATERIAL	PCS		LABEL	N	BH-PC	Bhakharpur Production Consumption	67732	176	16040	28310.38
PM0000018	LABEL 1 LTR EXTRA LIGHT FRONT	PACKAGING MATERIAL	PCS		LABEL	N	BH-BS	Bhakharpur Basement	0	5000	0	0
PM0000018	LABEL 1 LTR EXTRA LIGHT FRONT	PACKAGING MATERIAL	PCS		LABEL	N	BH-WST	Bhakharpur WASTAGE	7041	0	0	2491.36
PM0000018	LABEL 1 LTR EXTRA LIGHT FRONT	PACKAGING MATERIAL	PCS		LABEL	N	BH-PP	Bhakharpur Production Process 1st Floor	0	0	10000	-286.3
PM0000612	LABEL 12 KGS REFINED SOYBEAN OIL SANO	PACKAGING MATERIAL	PCS		LABEL	N	BH-PC	Bhakharpur Production Consumption	968	0	0	3533.2
PM0000612	LABEL 12 KGS REFINED SOYBEAN OIL SANO	PACKAGING MATERIAL	PCS		LABEL	N	BH-PP	Bhakharpur Production Process 1st Floor	803	0	0	2930.95
FG0000032	COLD PRESS 1 LTR 20 PCS	FINISHED	PCS	PREMIUM	CANOLA	N	BH-GR	Bhakharpur GR	0	0	133	0
FG0000032	COLD PRESS 1 LTR 20 PCS	FINISHED	PCS	PREMIUM	CANOLA	N	BH-PS	BHAKHARPUR PRESHIT	0	20	0	0
FG0000032	COLD PRESS 1 LTR 20 PCS	FINISHED	PCS	PREMIUM	CANOLA	N	DL-PS	PRESHIT SAMAGAM	17	0	0	2344.13
FG0000032	COLD PRESS 1 LTR 20 PCS	FINISHED	PCS	PREMIUM	CANOLA	N	GP-FG	GUPTA GODOWN BASEMENT FINISHED GODOWN	0	20130	0	3422.06
FG0000032	COLD PRESS 1 LTR 20 PCS	FINISHED	PCS	PREMIUM	CANOLA	N	BH-WST	Bhakharpur WASTAGE	2	0	0	282.22
FG0000032	COLD PRESS 1 LTR 20 PCS	FINISHED	PCS	PREMIUM	CANOLA	N	BH-PF	Bhakharpur Production Finished 1st Floor	1464	0	14867	217562.99
