code,factory_name,mark4_name,factory_identity_name,factory_units,mark4_units,units_delta_mark4_minus_factory,factory_litres,mark4_litres,litres_delta_mark4_minus_factory,factory_litres_per_unit,mark4_litres_per_unit
FG0000074,EXTRA VIRGIN OLIVE 5 LTR TIN 4 PCS IMPORTED,EXTRA VIRGIN OLIVE 5 LTR TIN 4 PCS IMPORTED,EXTRA VIRGIN OLIVE 5 LTR TIN 4 PCS IMPORTED,2000.000,2000.0,0.000,10000.000,10000.0,0.000,5.000000,5.0
FG0000081,COLD PRESS SUNFLOWER 1 LTR 20 PCS,COLD PRESS SUNFLOWER 1 LTR 20 PCS,COLD PRESS SUNFLOWER 1 LTR 20 PCS,310000.000,310000.0,0.000,310000.000,310000.0,0.000,1.000000,1.0
FG0000088,COLD PRESS 1 LTR +1 LTR COMBO 10 SET PLAIN,COLD PRESS 1 LTR +1 LTR COMBO 10 SET PLAIN,COLD PRESS 1 LTR +1 LTR COMBO 10 SET PLAIN,2500.000,2500.0,0.000,5000.000,5000.0,0.000,2.000000,2.0
FG0000091,COLD PRESS SUNFLOWER 1 LTR +1 LTR COMBO 10 SET PLAIN,COLD PRESS SUNFLOWER 1 LTR +1 LTR COMBO 10 SET PLAIN,COLD PRESS SUNFLOWER 1 LTR +1 LTR COMBO 10 SET PLAIN,12500.000,12500.0,0.000,25000.000,25000.0,0.000,2.000000,2.0
FG0000106,MUSTARD KACHHI GHANI 1 LTR POUCH 12 PCS,MUSTARD KACHHI GHANI 1 LTR POUCH 12 PCS,MUSTARD KACHHI GHANI 1 LTR POUCH 12 PCS,20000.000,20000.0,0.000,20000.000,20000.0,0.000,1.000000,1.0
FG0000112,EXTRA VIRGIN OLIVE 250 MLS 4 PCS,EXTRA VIRGIN OLIVE 250 MLS 4 PCS,EXTRA VIRGIN OLIVE 250 MLS 4 PCS,2000.000,2000.0,0.000,500.000,500.0,0.000,0.250000,0.25
FG0000114,POMACE OLIVE 2 LTR 10 PCS HANDLE,POMACE OLIVE 2 LTR 10 PCS HANDLE,POMACE OLIVE 2 LTR 10 PCS HANDLE,4000.000,4000.0,0.000,8000.000,8000.0,0.000,2.000000,2.0
FG0000116,EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS,EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS,EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS,6000.000,6000.0,0.000,6000.000,6000.0,0.000,1.000000,1.0
FG0000128,JIVO GOLD 5 LTR 4 PCS,JIVO GOLD 5 LTR 4 PCS,JIVO GOLD 5 LTR 4 PCS,6000.000,6000.0,0.000,30000.000,30000.0,0.000,5.000000,5.0
FG0000132,RICE BRAN OIL 15 LTR,RICE BRAN OIL 15 LTR,RICE BRAN OIL 15 LTR,667.000,667.0,0.000,10005.000,10000.0,-5.000,15.000000,15.0
