code,name,pack_type,pack_litres,bottles_per_hour,pieces_180d,line_hours_180d,rs_per_bottle,rs_per_litre
FG0000387,SUNFLOWER OIL 15 LTR TIN IMPORTED PCS,TIN,15.0,240.0,500,2.1,7.246,0.483
FG0000146,COLD PRESS 5 LTR + POMACE OLIVE 1 LTR 3 PCS SHRINKED,PET,6.0,1500.0,2959,2.0,1.159,0.193
FG0000446,EXTRA VIRGIN OLIVE 3 LTR TIN 3 PCS,TIN,3.0,240.0,471,2.0,7.246,2.415
FG0000440,FIRST PRESSED SUNFLOWER OIL 1 LTR 20 PCS,PET,1.0,3345.0,5201,1.6,0.52,0.52
FG0000443,FIRST PRESSED MUSTARD OIL 1 LTR 20 PCS,PET,1.0,3345.0,5101,1.5,0.52,0.52
FG0000016,REFINED OIL 2 LTR,PET,2.0,990.0,1383,1.4,1.757,0.878
FG0000232,SO OLIVE OIL 5 LTR 4 PCS,PET,5.0,1500.0,2113,1.4,1.159,0.232
FG0000367,SANO POMACE OLIVE OIL 15 L,PET,15.0,1500.0,2009,1.3,1.159,0.077
FG0000157,EXTRA VIRGIN COCONUT OIL 500 MLS 24 PCS,PET,0.5,3345.0,3726,1.1,0.52,1.04
FG0000020,REFINED OIL 5 LTR,PET,5.0,1500.0,1436,1.0,1.159,0.232
FG0000187,ZANO EXTRA VIRGIN OLIVE1 LTR 16 PCS,PET,1.0,3345.0,3248,1.0,0.52,0.52
FG0000319,KIRPA DESI GHEE 500 MLS 16 PCS,PET,0.5,3345.0,3312,1.0,0.52,1.04
FG0000383,REFINED OIL 13 KG,PET,14.285714285714286,1500.0,1545,1.0,1.159,0.081
FG0000116,EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS,PET,1.0,3345.0,2622,0.8,0.52,0.52
FG0000399,JIVO KACHI GHANI COLD PRESSED MUSTARD OIL 5 LTR 4 PCS ( CSD ),PET,5.0,1500.0,1190,0.8,1.159,0.232
FG0000018,COLD PRESS 5 LTR + COLD PRESS 1 LTR 3 PCS SHRINKED,PET,6.0,1500.0,957,0.6,1.159,0.193
FG0000149,JIVO GOLD 1 LTR 20 PCS,PET,1.0,3345.0,1980,0.6,0.52,0.52
FG0000352,SESAME OIL (TOASTED) 500 MLS 12 PCS,PET,0.5,3345.0,1992,0.6,0.52,1.04
FG0000104,EXTRA LIGHT OLIVE 100 MLS 10 PCS(CSD),PET,0.1,3345.0,1536,0.5,0.52,5.199
FG0000445,RICE BRAN OIL 15 KG,PET,16.483516483516482,1500.0,798,0.5,1.159,0.07
FG0000105,EXTRA LIGHT OLIVE 250 MLS 4 PCS(CSD),PET,0.25,3345.0,1293,0.4,0.52,2.08
FG0000400,JIVO KACHI GHANI COLD PRESSED MUSTARD OIL1 LTR 20 PCS(CSD),PET,1.0,3345.0,1269,0.4,0.52,0.52
FG0000039,EXTRA LIGHT OLIVE 500 MLS 24 PCS,PET,0.5,3345.0,997,0.3,0.52,1.04
FG0000013,REFINED OIL 1000 MLS,PET,1.0,3345.0,825,0.2,0.52,0.52
FG0000026,MUSTARD KACCHI GHANI 15 LTR,PET,15.0,1500.0,254,0.2,1.159,0.077
FG0000092,EXTRA VIRGIN OLIVE 1 LTR + 1 LTR COMBO 8 SET PLAIN,PET,2.0,990.0,152,0.2,1.757,0.878
FG0000154,MUSTARD OIL 100 MLS 20 PCS(CSD),PET,0.1,3345.0,798,0.2,0.52,5.199
FG0000184,BB ROYAL CANOLA OIL 5 LTR 4 PCS,PET,5.0,1500.0,319,0.2,1.159,0.232
FG0000185,BB ROYAL BLENDED OIL OLIVE + RICE BRAN 1 LTR 20 PCS,PET,1.0,3345.0,684,0.2,0.52,0.52
FG0000224,JIVO RICE 1 KGS 4 PCS,TIN,1.098901098901099,240.0,42,0.2,7.246,6.594
