code,sku,head,category,pack_type,plan_kl,litres,real_mt,litres_per_piece,lpc_source,pieces,sheet_per_ltrs,sheet_box_lpc,sheet_pcs_lpc,hand_filled,flags
FG0000034,EXTRA LIGHT OLIVE 200 LTR 1 PCS,PREMIUM,EXTRA LIGHT,DRUM,30.0,30000.0,27.3,200.0,200 L drum (hand-filled),150,200KG DRUM,200.0,2.0,Y,PCS_DISAGREES|HAND_FILLED
FG0000128,JIVO GOLD 5 LTR 4 PCS,COMMODITY,GOLD,5 LTR JAR,30.0,30000.0,27.3,5.0,ltr in name,6000,5.0,5.0,5.0,,
FG0000029,MUSTARD PAKKI GHANI 2 LTR 10 PCS,COMMODITY,MUSTARD,PET,30.0,30000.0,27.3,2.0,ltr in name,15000,2.0,2.0,2.0,,
FG0000192,SOYABEAN OIL 5 LTR 4 PCS,COMMODITY,SOYABEAN,5 LTR JAR,30.0,30000.0,27.3,5.0,ltr in name,6000,5.0,5.0,5.0,,
FG0000275,COLD PRESS SUNFLOWER OIL 15 LTR,COMMODITY,SUNFLOWER,TIN,30.0,30000.0,27.3,15.0,ltr in name,2000,15.0,15.0,15.0,,
FG0000064,EXTRA LIGHT OIVE 2 LTR 10 PCS HANDLE,PREMIUM,EXTRA LIGHT,PET,27.0,27000.0,24.57,2.0,ltr in name,13500,2.0,2.0,2.0,,
FG0000226,RICE BRAN OIL 5 LTR 4 PCS,COMMODITY,RICE BRAN,5 LTR JAR,26.0,26000.0,23.66,5.0,ltr in name,5200,5.0,5.0,5.0,,
FG0000324,SESAME OIL 1 LTR 20 PCS,PREMIUM,SESAME,PET 75GM,25.0,25000.0,22.75,1.0,ltr in name,25000,1.0,1.0,1.0,,
FG0000009,EXTRA LIGHT OLIVE 5 LTR TIN 4 PCS,PREMIUM,EXTRA LIGHT,TIN,23.0,23000.0,20.93,5.0,ltr in name,4600,5.0,5.0,5.0,,
FG0000374,YELLOW MUSTARD OIL 5 LTR TIN 4 PCS,PREMIUM,YELLOW MUSTARD,TIN,23.0,23000.0,20.93,5.0,ltr in name,4600,5.0,5.0,5.0,,
FG0000042,EXTRA VIRGIN OLIVE 1 LTR 16 PCS,PREMIUM,EXTRA VIRGIN,PET 52 GRAM,22.0,22000.0,20.02,1.0,ltr in name,22000,1.0,1.0,1.0,,
FG0000227,RICE BRAN OIL 1 LTR 16 PCS,COMMODITY,RICE BRAN,PET 52 GRAM,21.0,21000.0,19.11,1.0,ltr in name,21000,1.0,1.0,1.0,,
FG0000441,COLD PRESS GROUNDNUT 200 MLS 70 PCS - BH,PREMIUM,GROUNDNUT,PET,21.0,21000.0,19.11,0.2,ml in name,105000,200 ML,,0.2,,
FG0000043,COLD PRESS 3 LTR 6 PCS,PREMIUM,CANOLA,3 LTR JAR,20.0,20000.0,18.2,3.0,ltr in name,6667,3.0,3.0,3.0,,
FG0000379,MUSTARD KACHI GHANI 1 LTR 20 PCS ROUND BOTTLE,COMMODITY,MUSTARD,PET 21GM,370.0,370000.0,336.7,1.0,ltr in name,370000,1.0,1.0,1.0,,
FG0000106,MUSTARD KACHHI GHANI 1 LTR POUCH 12 PCS,COMMODITY,MUSTARD,POUCH,20.0,20000.0,18.2,1.0,ltr in name,20000,POUCH,1.0,,,
FG0000419,COLD PRESS GROUNDNUT OIL 2 LTR 10 PCS HANDLE,PREMIUM,GROUNDNUT,PET,20.0,20000.0,18.2,2.0,ltr in name,10000,2.0,2.0,2.0,,
FG0000232,SO OLIVE OIL 5 LTR 4 PCS,PREMIUM,OLIVE,5 LTR JAR,17.0,17000.0,15.47,5.0,ltr in name,3400,5.0,5.0,5.0,,
FG0000228,SO OLIVE OIL 1 LTR 16 PCS,PREMIUM,BLENDED,PET 52 GRAM,15.0,15000.0,13.65,1.0,ltr in name,15000,1.0,1.0,1.0,,
FG0000012,MUSTARD PAKKI GHANI 5 LTR 4 PCS,COMMODITY,MUSTARD,5 LTR JAR,15.0,15000.0,13.65,5.0,ltr in name,3000,5.0,5.0,5.0,,
FG0000021,REFINED OIL 1 LTR POUCH 12 PCS (MULTI PACK),PREMIUM,CANOLA,POUCH,10.4,10400.0,9.464,1.0,ltr in name,10400,POUCH,1.0,,,
FG0000158,REFINED COTTON SEED OIL 15 LTR,COMMODITY,COTTONSEED,TIN,10.0,10000.0,9.1,15.0,ltr in name,667,15.0,15.0,15.0,,
FG0000169,REFINED COTTON SEED OIL 13 KGS,COMMODITY,COTTONSEED,TIN,10.0,10000.0,9.1,14.2857,13kg @910g/L,700,15.0,15.0,15.0,,BOX_DISAGREES|PCS_DISAGREES|PERLTRS_DISAGREES
FG0000074,EXTRA VIRGIN OLIVE 5 LTR TIN 4 PCS IMPORTED,PREMIUM,EXTRA VIRGIN,TIN,10.0,10000.0,9.1,5.0,ltr in name,2000,5.0,5.0,5.0,,
FG0000445,RICE BRAN OIL 15 KGS,COMMODITY,RICE BRAN,TIN,10.0,10000.0,9.1,16.4835,15kg @910g/L,607,15.0,15.0,15.0,,BOX_DISAGREES|PCS_DISAGREES|PERLTRS_DISAGREES
FG0000132,RICE BRAN OIL 15 LTR,COMMODITY,RICE BRAN,TIN,10.0,10000.0,9.1,15.0,ltr in name,667,15.0,15.0,15.0,,
FG0000026,MUSTARD KACCHI GHANI 15 LTR,COMMODITY,MUSTARD,TIN,9.0,9000.0,8.19,15.0,ltr in name,600,15.0,15.0,15.0,,
FG0000189,ZANO POMACE OLIVE 1 LTR 16 PCS,PREMIUM,POMACE,PET 52 GRAM,8.0,8000.0,7.28,1.0,ltr in name,8000,1.0,1.0,1.0,,
FG0000114,POMACE OLIVE 2 LTR 10 PCS HANDLE,PREMIUM,POMACE,PET,8.0,8000.0,7.28,2.0,ltr in name,4000,2.0,2.0,2.0,,
FG0000116,EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS,PREMIUM,COCONUT,PET 52 GRAM,6.0,6000.0,5.46,1.0,ltr in name,6000,1.0,1.0,1.0,,
FG0000013,REFINED OIL 1000 MLS,PREMIUM,CSD,PET 40GM,6.0,6000.0,5.46,1.0,ml in name,6000,1.0,20.0,1.0,,BOX_DISAGREES
FG0000016,REFINED OIL 2 LTR,PREMIUM,CSD,PET,6.0,6000.0,5.46,2.0,ltr in name,3000,2.0,20.0,2.0,,BOX_DISAGREES
FG0000020,REFINED OIL 5 LTR,PREMIUM,CSD,5 LTR JAR,6.0,6000.0,5.46,5.0,ltr in name,1200,5.0,20.0,5.0,,BOX_DISAGREES
FG0000372,POMACE OLIVE 3 LTR TIN 6 PCS,PREMIUM,POMACE,TIN,6.0,6000.0,5.46,3.0,ltr in name,2000,3.0,3.0,3.0,,
FG0000088,COLD PRESS 1 LTR +1 LTR COMBO 10 SET PLAIN,PREMIUM,CANOLA,PET,5.0,5000.0,4.55,2.0,combo 1+1 L,2500,2.0,2.0,2.0,,
FG0000070,COLD PRESS 2 LTR 10 PCS HANDLE,PREMIUM,CANOLA,PET,5.0,5000.0,4.55,2.0,ltr in name,2500,2.0,2.0,2.0,,
FG0000035,COLD PRESS 500 MLS 24 PCS,PREMIUM,CANOLA,PET,5.0,5000.0,4.55,0.5,ml in name,10000,500ML,,0.5,,
FG0000367,SANO POMACE OLIVE OIL 15 L,PREMIUM,POMACE,TIN,5.0,5000.0,4.55,15.0,ltr in name,333,15.0,15.0,15.0,,
FG0000328,SANO POMACE OLIVE 200 LTR 1 PCS,PREMIUM,POMACE,DRUM,5.0,5000.0,4.55,200.0,200 L drum (hand-filled),25,200KG DRUM,200.0,2.0,Y,PCS_DISAGREES|HAND_FILLED
FG0000452,SESAME OIL 500 MLS 12 PCS,PREMIUM,SESAME,PET,5.0,5000.0,4.55,0.5,ml in name,10000,500ML,,0.5,,
FG0000443,FIRST PRESSED MUSTARD OIL 1 LTR 20 PCS,PREMIUM,MUSTARD,PET 75GM,5.0,5000.0,4.55,1.0,ltr in name,5000,1.0,1.0,1.0,,
FG0000440,FIRST PRESSED SUNFLOWER OIL 1 LTR 20 PCS,PREMIUM,SUNFLOWER,PET 75GM,5.0,5000.0,4.55,1.0,ltr in name,5000,1.0,1.0,1.0,,
FG0000449,MUSTARD KACHI GHANI 200 ML 35 PCS,COMMODITY,MUSTARD,PET,5.0,5000.0,4.55,0.2,ml in name,25000,200 ML,,0.2,,
FG0000448,MUSTARD KACHI GHANI 500 ML 24 PCS,COMMODITY,MUSTARD,PET,5.0,5000.0,4.55,0.5,ml in name,10000,500ML,,0.5,,
FG0000451,COLD PRESS SUNFLOWER OIL 200 ML 35 PCS,COMMODITY,SUNFLOWER,PET,5.0,5000.0,4.55,0.2,ml in name,25000,200 ML,,0.2,,
FG0000454,COLD PRESS GROUNDNUT 500 MLS 24 PCS,PREMIUM,GROUNDNUT,PET,5.0,5000.0,4.55,0.5,ml in name,10000,500ML,,0.5,,
FG0000363,LA RASOI COLD PRESSED MUSTARD KACHI GHANI OIL 2 LTR 10 PCS HANDLE,COMMODITY,MUSTARD,PET,4.0,4000.0,3.64,2.0,ltr in name,2000,2.0,2.0,2.0,,
FG0000370,EXTRA LIGHT OLIVE 3 LTR TIN 6 PCS,PREMIUM,EXTRA LIGHT,TIN,3.0,3000.0,2.73,3.0,ltr in name,1000,3.0,3.0,3.0,,
FG0000187,ZANO EXTRA VIRGIN OLIVE1 LTR 16 PCS,PREMIUM,EXTRA VIRGIN,PET 52 GRAM,3.0,3000.0,2.73,1.0,ltr in name,3000,1.0,1.0,1.0,,
FG0000067,MUSTARD KACCHI GHANI 3 LTR 6 PCS,COMMODITY,MUSTARD,3 LTR JAR,3.0,3000.0,2.73,3.0,ltr in name,1000,3.0,3.0,3.0,,
FG0000155,EXTRA VIRGIN 2 LTR 10 PCS HANDLE,PREMIUM,EXTRA VIRGIN,PET,2.0,2000.0,1.82,2.0,ltr in name,1000,2.0,2.0,2.0,,
FG0000137,SANO MUSTARD OIL 5 LTR 4 PCS,COMMODITY,MUSTARD,5 LTR JAR,2.0,2000.0,1.82,5.0,ltr in name,400,5.0,5.0,5.0,,
FG0000395,JIVO EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS ( CSD ),PREMIUM,CSD,PET 52 GRAM,2.0,2000.0,1.82,1.0,ltr in name,2000,1.0,1.0,1.0,,
FG0000105,EXTRA LIGHT OLIVE 250 MLS 4 PCS,PREMIUM,CSD,PET 52 GRAM,1.0,1000.0,0.91,0.25,ml in name,4000,1.0,0.25,1.0,,PCS_DISAGREES|PERLTRS_DISAGREES
FG0000104,EXTRA LIGHT OLIVE 100 MLS 10 PCS,PREMIUM,CSD,PET 52 GRAM,1.0,1000.0,0.91,0.1,ml in name,10000,1.0,0.1,1.0,,PCS_DISAGREES|PERLTRS_DISAGREES
FG0000352,SESAME OIL (TOASTED) 500 MLS 12 PCS,PREMIUM,SESAME,PET,1.0,1000.0,0.91,0.5,ml in name,2000,500ML,,0.5,,
FG0000398,JIVO EXTRA LIGHT OLIVE OIL 1 LTR 16 PCS ( CSD ),PREMIUM,CSD,PET 52 GRAM,1.0,1000.0,0.91,1.0,ltr in name,1000,1.0,1.0,1.0,,
FG0000396,JIVO EXTRA VIRGIN OLIVE OIL 1 LTR 16 PCS ( CSD ),PREMIUM,CSD,PET 52 GRAM,1.0,1000.0,0.91,1.0,ltr in name,1000,1.0,1.0,1.0,,
FG0000006,POMACE OLIVE 200 LTR 1 PCS,PREMIUM,POMACE,DRUM,1.0,1000.0,0.91,200.0,200 L drum (hand-filled),5,200KG DRUM,,2.0,Y,PCS_DISAGREES|HAND_FILLED
FG0000397,JIVO EXTRA VIRGIN OLIVE OIL 500 MLS 24 PCS ( CSD ),PREMIUM,CSD,PET,1.0,1000.0,0.91,0.5,ml in name,2000,500ML,,0.5,,
FG0000157,EXTRA VIRGIN COCONUT OIL 500 MLS 24 PCS,PREMIUM,COCONUT,PET,0.5,500.0,0.455,0.5,ml in name,1000,500ML,,0.5,,
FG0000039,EXTRA LIGHT OLIVE 500 MLS 24 PCS,PREMIUM,EXTRA LIGHT,PET,0.5,500.0,0.455,0.5,ml in name,1000,500ML,,0.5,,
FG0000112,EXTRA VIRGIN OLIVE 250 MLS 4 PCS,PREMIUM,EXTRA VIRGIN,PET,0.5,500.0,0.455,0.25,ml in name,2000,200 ML,,0.25,,
FG0000161,EXTRA VIRGIN OLIVE 500 MLS 24 PCS,PREMIUM,EXTRA VIRGIN,PET,0.5,500.0,0.455,0.5,ml in name,1000,500ML,,0.5,,
FG0000394,JIVO POMACE OLIVE OIL 1 LTR 16 PCS ( CSD ),PREMIUM,CSD,PET 52 GRAM,0.5,500.0,0.455,1.0,ltr in name,500,1.0,1.0,1.0,,
FG0000282,EXTRA VIRGIN COCONUT OIL 200 MLS 6 PCS,PREMIUM,COCONUT,PET,0.5,500.0,0.455,0.2,ml in name,2500,200 ML,,0.2,,
FG0000400,JIVO KACHI GHANI COLD PRESSED MUSTARD OIL 1 LTR 20 PCS ( CSD ),COMMODITY,CSD,,0.0,0.0,0.0,1.0,ltr in name,,1.0,,,,
FG0000399,JIVO KACHI GHANI COLD PRESSED MUSTARD OIL 5 LTR 4 PCS ( CSD ),COMMODITY,CSD,,0.0,0.0,0.0,5.0,ltr in name,,5.0,,,,
FG0000154,MUSTARD OIL 100 MLS 20 PCS,COMMODITY,CSD,,0.0,0.0,0.0,0.1,ml in name,,0.1,,,,
