code,name,group,oih,sold,msl,fg,wip,required_pcs,litres_per_pc,required_litres
FG0000024,COLD PRESS 1 LTR 24 PCS,CANOLA,0.0,0.0,0.0,54.0,0.0,0.0,1.0,0.0
FG0000033,COLD PRESS 1 LTR + 1 LTR COMBO 10 SET,CANOLA,0.0,9929.0,3475.1499999999996,11630.0,0.0,0.0,2.0,0.0
FG0000038,MUSTARD KACCHI GHANI 2 LTR 10 PCS,MUSTARD,3015.0,8484.0,2969.3999999999996,7174.0,0.0,0.0,2.0,0.0
FG0000039,EXTRA LIGHT OLIVE 500 MLS 24 PCS,OLIVE,0.0,1076.0,376.59999999999997,1231.0,0.0,0.0,0.5,0.0
FG0000043,COLD PRESS 3 LTR 6 PCS,CANOLA,0.0,5020.0,1757.0,2652.0,0.0,0.0,3.0,0.0
FG0000045,POMACE OLIVE 500 MLS 24 PCS,OLIVE,0.0,-1898.0,0.0,1966.0,0.0,0.0,0.5011,0.0
FG0000069,COLD PRESS 5 LTR + COLD PRESS 1 LTR 3 PCS SHRINKED PLAIN,CANOLA,0.0,0.0,0.0,50.0,0.0,0.0,6.0,0.0
FG0000070,COLD PRESS 2 LTR 10 PCS HANDLE,CANOLA,0.0,3743.0,1310.05,2310.0,0.0,0.0,2.0,0.0
FG0000082,DESI GHEE A2 500 MLS 16 PCS,GHEE,0.0,0.0,0.0,1067.0,0.0,0.0,0.5,0.0
FG0000083,DESI GHEE A2 1 LTR 9 PCS,GHEE,5.0,3.0,1.0499999999999998,89.0,0.0,0.0,1.0,0.0
FG0000106,MUSTARD KACHHI GHANI 1 LTR POUCH 12 PCS,MUSTARD,0.0,20705.0,7246.749999999999,20370.0,0.0,0.0,1.0,0.0
FG0000123,CANOLA OIL 1 LTR + 1 LTR COMBO 10 SET,CANOLA,0.0,-960.0,0.0,960.0,0.0,0.0,2.0,0.0
FG0000134,SANO CANOLA OIL 1 LTR 20 PCS,CANOLA,0.0,-92.0,0.0,18.0,0.0,0.0,1.0,0.0
FG0000138,SANO SUNFLOWER OIL 1 LTR 20 PCS,SUNFLOWER,0.0,-33.0,0.0,33.0,0.0,0.0,1.0,0.0
FG0000140,SANO SOYABEAN OIL 1 LTR 20 PCS,SOYABEAN,0.0,-261.0,0.0,221.0,0.0,0.0,1.0,0.0
FG0000141,SANO SOYABEAN OIL 5 LTR 4 PCS,SOYABEAN,0.0,-284.0,0.0,273.0,0.0,0.0,5.0,0.0
FG0000148,MUSTARD OIL 1 LTR 20 PCS VEDAKA,MUSTARD,0.0,0.0,0.0,659.0,0.0,0.0,1.0,0.0
FG0000157,EXTRA VIRGIN COCONUT OIL 500 MLS 24 PCS,COCONUT,12.0,-83.0,0.0,1032.0,0.0,0.0,0.5,0.0
FG0000187,ZANO EXTRA VIRGIN OLIVE1 LTR 16 PCS,OLIVE,0.0,400.0,140.0,1232.0,0.0,0.0,1.0022,0.0
FG0000221,JIVO HONEY 500 GMS,HONEY,0.0,2.0,0.7,0.0,0.0,0.7,0.0,0.0
FG0000222,JIVO DESI GHEE 500 MLS 16 PCS,GHEE,0.0,-2.0,0.0,216.0,0.0,0.0,0.5,0.0
FG0000243,SANO MUSTARD OIL 869 GMS 20 PCS,MUSTARD,0.0,-1500.0,0.0,0.0,0.0,0.0,0.954,0.0
FG0000255,DESI GHEE 1000 MLS 12 PCS,GHEE,0.0,0.0,0.0,480.0,0.0,0.0,1.0,0.0
FG0000271,DESI GHEE 1000 MLS 9 PCS STEELJAR,GHEE,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
FG0000275,COLD PRESS SUNFLOWER OIL 15 LTR,SUNFLOWER,0.0,1106.0,387.09999999999997,1795.0,0.0,0.0,15.0,0.0
FG0000282,EXTRA VIRGIN COCONUT OIL 200 MLS 6 PCS,COCONUT,0.0,-1520.0,0.0,1578.0,0.0,0.0,0.2,0.0
FG0000283,COFFIE 100 GMS 15 PCS,COFFEE,0.0,30.0,10.5,0.0,0.0,10.5,0.0,0.0
FG0000295,MUSTARD KACHI GHANI 4 LTR 5 PCS,MUSTARD,0.0,-285.0,0.0,21.0,0.0,0.0,4.0,0.0
