day,line,code,sku,head,slot,oil,pieces,litres,hours,flush_min,realise,value_rs
2026-08-04,Pouch Machine,FG0000299,SOYABEAN OIL 700 GMS POUCH 12 PCS,COMMODITY,POUCH,RM0000025,16701,12846,3.98,,151.02,1940111
2026-08-05,Pouch Machine,FG0000299,SOYABEAN OIL 700 GMS POUCH 12 PCS,COMMODITY,POUCH,RM0000025,17419,13399,4.15,,151.02,2023520
2026-08-05,Tin Head,FG0000316,SOYABEAN OIL 13 KGS (B),COMMODITY,TIN,RM0000025,1685,24078,7.02,,143.18,3447533
2026-08-05,Tin Head,FG0000442,JIVO SOYABEAN OIL 12 KGS,COMMODITY,TIN,RM0000025,1195,15752,4.98,,148.33,2336505
2026-08-06,Tin Head,FG0000442,JIVO SOYABEAN OIL 12 KGS,COMMODITY,TIN,RM0000025,877,11561,3.65,,148.33,1714796
2026-08-14,JP Machine,FG0000407,COLD PRESS 1 LTR 20 PCS (NIRMAL RISHI),PREMIUM,1L,RM0000002,21252,21252,3.94,4.4,154.19,3276942
2026-08-14,Clear Pack,FG0000004,COLD PRESS 5 LTR 4 PCS,PREMIUM,5L,RM0000002,31229,156143,10.41,1.6,156.16,24383219
2026-08-14,10 Head,FG0000053,COLD PRESS SUNFLOWER 5 LTR 4 PCS,COMMODITY,5L,RM0000009,10720,53600,11.91,5.3,148.09,7937720
2026-08-14,6 Head,FG0000053,COLD PRESS SUNFLOWER 5 LTR 4 PCS,COMMODITY,5L,RM0000009,3136,15679,5.23,8.0,148.09,2321865
2026-08-14,Tin Head,FG0000015,REFINED OIL 15 LTR,PREMIUM,TIN,RM0000002,713,10695,2.97,6.7,175.7,1879143
2026-08-14,JP Machine,FG0000422,JIVO MUSTARD KACCHI GHANI 869 GMS 20 PCS,COMMODITY,1L,RM0000003,12790,12213,2.37,4.7,148.89,1818405
2026-08-14,Clear Pack,FG0000449,MUSTARD KACHI GHANI 200 ML 35 PCS,COMMODITY,1L,RM0000003,5506,1101,1.15,25.0,150.0,165189
2026-08-14,6 Head,FG0000064,EXTRA LIGHT OIVE 2 LTR 10 PCS HANDLE,PREMIUM,2L,RM0000001,4581,9162,6.36,16.7,340.37,3118543
2026-08-14,Tin Head,FG0000074,EXTRA VIRGIN OLIVE 5 LTR TIN 4 PCS IMPORTED,PREMIUM,TIN,RM0000001,38,190,0.16,20.0,428.21,81361
2026-08-14,JP Machine,FG0000449,MUSTARD KACHI GHANI 200 ML 35 PCS,COMMODITY,1L,RM0000003,24,5,0.0,,150.0,711
2026-08-14,Tin Head,FG0000169,REFINED COTTON SEED OIL 13 KGS,COMMODITY,TIN,RM0000030,558,7978,2.33,7.0,145.79,1163108
2026-08-14,Tin Head,FG0000009,EXTRA LIGHT OLIVE 5 LTR TIN 4 PCS,PREMIUM,TIN,RM0000001,1356,6779,5.65,20.0,336.22,2279405
2026-08-15,10 Head,FG0000064,EXTRA LIGHT OIVE 2 LTR 10 PCS HANDLE,PREMIUM,2L,RM0000001,7025,14049,5.58,9.5,340.37,4781896
2026-08-15,6 Head,FG0000114,POMACE OLIVE 2 LTR 10 PCS HANDLE,PREMIUM,2L,RM0000001,2500,5000,3.47,,250.52,1252599
2026-08-15,Tin Head,FG0000009,EXTRA LIGHT OLIVE 5 LTR TIN 4 PCS,PREMIUM,TIN,RM0000001,1179,5896,4.91,,336.22,1982246
2026-08-15,10 Head,FG0000038,MUSTARD KACCHI GHANI 2 LTR 10 PCS,COMMODITY,2L,RM0000003,7695,15391,6.11,9.5,147.87,2275883
2026-08-15,6 Head,FG0000038,MUSTARD KACCHI GHANI 2 LTR 10 PCS,COMMODITY,2L,RM0000003,5940,11880,8.25,16.7,147.87,1756735
2026-08-15,Tin Head,FG0000008,POMACE OLIVE 5 LTR TIN 4 PCS,PREMIUM,TIN,RM0000001,1701,8504,7.09,,316.24,2689470
2026-08-17,10 Head,FG0000038,MUSTARD KACCHI GHANI 2 LTR 10 PCS,COMMODITY,2L,RM0000003,3907,7813,3.1,,147.87,1155369
2026-08-17,6 Head,FG0000029,MUSTARD PAKKI GHANI 2 LTR 10 PCS,COMMODITY,2L,RM0000003,8640,17280,12.0,,146.04,2523653
2026-08-17,Tin Head,FG0000442,JIVO SOYABEAN OIL 12 KGS,COMMODITY,TIN,RM0000025,2850,37578,11.87,7.6,148.33,5573942
2026-08-17,10 Head,FG0000029,MUSTARD PAKKI GHANI 2 LTR 10 PCS,COMMODITY,2L,RM0000003,6270,12540,4.98,,146.04,1831401
2026-08-18,Tin Head,FG0000442,JIVO SOYABEAN OIL 12 KGS,COMMODITY,TIN,RM0000025,2662,35105,11.09,,148.33,5207090
2026-08-18,Tin Head,FG0000008,POMACE OLIVE 5 LTR TIN 4 PCS,PREMIUM,TIN,RM0000001,138,689,0.57,20.0,316.24,218028
