code,name,head,group,base_l,mult,proj_l,proj_t,baseB_l,multB,projB_l,projB_t,low_l,high_l,mid_l,2026_06,2026_07,2026_08
FG0000363,LA RASOI COLD PRESSED MUSTARD KACHI GHANI OIL 2 LTR 10 PCS HANDLE,COMMODITY,MUSTARD,2120,0.7338,1556,1.56,1295,0.9876,1279,1.28,1279,1556,1417,6360,0,0
FG0000193,SOYABEAN OIL 1 LTR 20 PCS,COMMODITY,SOYABEAN,222,0.7046,156,0.16,3250,0.8168,2654,2.65,156,2654,1405,399,271,-5
FG0000152,SANO OLIVE CLASSIC 5 LTR TIN 4 PCS,PREMIUM,OLIVE,1800,1.1122,2002,2.0,675,1.0279,694,0.69,694,2002,1348,0,5400,0
FG0000020,REFINED OIL 5 LTR,PREMIUM,CANOLA,1234,1.0155,1253,1.25,1359,0.9678,1315,1.32,1253,1315,1284,1180,1095,1426
FG0000035,COLD PRESS 500 MLS 24 PCS,PREMIUM,CANOLA,1600,1.0155,1625,1.62,750,0.9678,726,0.73,726,1625,1175,0,4800,0
FG0000399,JIVO KACHI GHANI COLD PRESSED MUSTARD OIL 5 LTR 4 PCS ( CSD ),COMMODITY,MUSTARD,1556,0.7338,1142,1.14,747,0.9876,738,0.74,738,1142,940,1285,1755,1628
FG0000443,FIRST PRESSED MUSTARD OIL 1 LTR 20 PCS,COMMODITY,MUSTARD,1669,0.7338,1224,1.22,626,0.9876,618,0.62,618,1224,921,5100,-94,0
FG0000021,REFINED OIL 1 LTR POUCH 12 PCS,PREMIUM,CANOLA,780,1.0155,792,0.79,938,0.9678,908,0.91,792,908,850,21,656,1662
FG0000130,COLD PRESS SUNFLOWER 200 LTR 1 PCS,COMMODITY,SUNFLOWER,1000,1.1992,1199,1.2,375,1.2052,452,0.45,452,1199,826,0,3000,0
FG0000373,EXTRA VIRGIN CANOLA OIL 3 LTR TIN 3 PCS,PREMIUM,CANOLA,1152,1.0155,1170,1.17,432,0.9678,418,0.42,418,1170,794,0,3456,0
FG0000043,COLD PRESS 3 LTR 6 PCS,PREMIUM,CANOLA,1003,1.0155,1019,1.02,376,0.9678,364,0.36,364,1019,692,0,15060,-12050
FG0000187,ZANO EXTRA VIRGIN OLIVE1 LTR 16 PCS,PREMIUM,OLIVE,677,1.1122,753,0.75,536,1.0279,551,0.55,551,753,652,1632,400,0
FG0000018,COLD PRESS 5 LTR + COLD PRESS 1 LTR 3 PCS SHRINKED,PREMIUM,CANOLA,116,1.0155,118,0.12,1143,0.9678,1106,1.11,118,1106,612,0,348,0
FG0000455,EXTRA VIRGIN OLIVE 3 LTR TIN 5 PCS,PREMIUM,OLIVE,804,1.1122,894,0.89,301,1.0279,310,0.31,310,894,602,0,0,2412
FG0000016,REFINED OIL 2 LTR,PREMIUM,CANOLA,483,1.0155,490,0.49,523,0.9678,506,0.51,490,506,498,526,400,523
FG0000305,JAITOON OIL 5 LTR 4 PCS,PREMIUM,OLIVE,200,1.1122,222,0.22,718,1.0279,738,0.74,222,738,480,600,0,0
FG0000161,EXTRA VIRGIN OLIVE 500 MLS 24 PCS,PREMIUM,OLIVE,51,1.1122,57,0.06,859,1.0279,883,0.88,57,883,470,0,152,1
FG0000085,COLD PRESS SOYABEAN 5 LTR 4 PCS,COMMODITY,SOYABEAN,42,0.7046,29,0.03,861,0.8168,703,0.7,29,703,366,0,125,0
FG0000006,POMACE OLIVE 200 LTR 1 PCS,PREMIUM,OLIVE,333,1.1122,371,0.37,250,1.0279,257,0.26,257,371,314,1000,0,0
FG0000112,EXTRA VIRGIN OLIVE 250 MLS 4 PCS,PREMIUM,OLIVE,15,1.1122,17,0.02,513,1.0279,527,0.53,17,527,272,48,-3,0
FG0000446,EXTRA VIRGIN OLIVE 3 LTR TIN 3 PCS,PREMIUM,OLIVE,363,1.1122,403,0.4,136,1.0279,140,0.14,140,403,272,0,0,1088
FG0000155,EXTRA VIRGIN 2 LTR 10 PCS HANDLE,PREMIUM,OLIVE,267,1.1122,297,0.3,184,1.0279,189,0.19,189,297,243,842,-40,0
FG0000349,EXTRA VIRGIN OLIVE 200 MLS 70 PCS,PREMIUM,OLIVE,235,1.1122,261,0.26,186,1.0279,191,0.19,191,261,226,1260,-556,0
FG0000365,LA RASOI POMACE OLIVE OIL 2 LTR 10 PCS HANDLE,PREMIUM,OLIVE,267,1.1122,297,0.3,100,1.0279,103,0.1,103,297,200,800,0,0
FG0000400,JIVO KACHI GHANI COLD PRESSED MUSTARD OIL1 LTR 20 PCS(CSD),COMMODITY,MUSTARD,300,0.7338,220,0.22,157,0.9876,155,0.16,155,220,188,225,293,383
FG0000039,EXTRA LIGHT OLIVE 500 MLS 24 PCS,PREMIUM,OLIVE,200,1.1122,222,0.22,141,1.0279,145,0.14,145,222,184,0,538,62
FG0000352,SESAME OIL (TOASTED) 500 MLS 12 PCS,PREMIUM,SESAME,180,0.886,160,0.16,181,1.03,186,0.19,160,186,173,0,540,0
FG0000382,SPICES JEERA 100 GMS 45 PCS,OTHERS,SPICES,2,0.8866,2,0.0,321,0.9667,311,0.31,2,311,156,2,0,3
FG0000013,REFINED OIL 1000 MLS,PREMIUM,CANOLA,138,1.0155,140,0.14,144,0.9678,139,0.14,139,140,140,160,130,124
FG0000170,SOYABEAN OIL 13 KGS,COMMODITY,SOYABEAN,67,0.7046,47,0.05,184,0.8168,150,0.15,47,150,99,0,200,0
FG0000082,DESI GHEE A2 500 MLS 16 PCS,PREMIUM,GHEE,8,0.8791,7,0.01,205,0.9203,188,0.19,7,188,98,0,0,25
FG0000105,EXTRA LIGHT OLIVE 250 MLS 4 PCS(CSD),PREMIUM,OLIVE,61,1.1122,68,0.07,68,1.0279,70,0.07,68,70,69,59,54,71
FG0000388,CHANA ALMOND BURFI 500 GMS,OTHERS,GIFT PACK,4,0.886,3,0.0,107,0.9523,102,0.1,3,102,53,11,1,0
FG0000395,JIVO EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS ( CSD ),PREMIUM,COCONUT,63,0.9609,60,0.06,35,1.0205,36,0.04,36,60,48,66,87,35
FG0000083,DESI GHEE A2 1 LTR 9 PCS,PREMIUM,GHEE,12,0.8791,11,0.01,85,0.9203,78,0.08,11,78,45,21,3,13
FG0000104,EXTRA LIGHT OLIVE 100 MLS 10 PCS(CSD),PREMIUM,OLIVE,24,1.1122,27,0.03,26,1.0279,27,0.03,27,27,27,26,20,26
FG0000398,JIVO EXTRA LIGHT OLIVE OIL 1 LTR 16 PCS ( CSD ),PREMIUM,OLIVE,33,1.1122,37,0.04,17,1.0279,17,0.02,17,37,27,26,29,45
FG0000396,JIVO EXTRA VIRGIN OLIVE OIL 1 LTR 16 PCS ( CSD ),PREMIUM,OLIVE,27,1.1122,30,0.03,14,1.0279,14,0.01,14,30,22,25,23,34
FG0000221,JIVO HONEY 500 GMS,OTHERS,HONEY,0,0.886,0,0.0,42,0.9655,40,0.04,0,40,20,0,1,0
FG0000086,COLD PRESS SOYABEAN 1 LTR 20 PCS,COMMODITY,SOYABEAN,35,0.7046,25,0.02,13,0.8168,11,0.01,11,25,18,0,105,0
FG0000283,COFFIE 100 GMS 15 PCS,OTHERS,COFFEE,10,0.8857,9,0.01,21,0.966,20,0.02,9,20,14,12,3,14
FG0000109,COLD PRESS SOYABEAN OIL 1 LTR POUCH 12 PCS,COMMODITY,SOYABEAN,26,0.7046,18,0.02,10,0.8168,8,0.01,8,18,13,0,77,0
FG0000394,JIVO POMACE OLIVE OIL 1 LTR 16 PCS ( CSD ),PREMIUM,OLIVE,14,1.1122,16,0.02,8,1.0279,8,0.01,8,16,12,12,20,11
