kind,code,name,uom,qty_aug01,planned_august,note
WIP,FG0000085,COLD PRESS SOYABEAN 5 LTR 4 PCS,PCS,1416,,WO 225026669 Released/standard posted=2025-02-21 due=2025-02-21 whs=BH-PF planned=1416 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,LTR,1300,,WO 626202683 Planned/special posted=2026-06-16 due=2026-06-16 whs=BH-LO planned=1300 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000047,COLD PRESS 3 LTR + EXTRA LIGHT OLIVE 1 LTR 6 PCS,PCS,1200,,WO 1025926716 Released/standard posted=2025-10-29 due=2025-10-29 whs=BH-PF planned=1200 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000053,COLD PRESS SUNFLOWER 5 LTR 4 PCS,PCS,1180,23000,WO 126926774 Released/standard posted=2026-01-27 due=2026-01-27 whs=BH-PF planned=1180 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000186,BB ROYAL BLENDED OIL OLIVE + RICE BRAN 5 LTR 4 PCS,PCS,1152,,WO 325026537 Planned/standard posted=2025-03-07 due=2025-03-07 whs=BH-PF planned=1152 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000146,COLD PRESS 5 LTR + POMACE OLIVE 1 LTR 3 PCS SHRINKED,PCS,1128,,WO 1125926666 Released/standard posted=2025-11-19 due=2025-11-19 whs=BH-PF planned=1128 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,RM0000037,COCONUT EXTRA VIRGIN OIL,LTR,977.005,,WO 526202898 Released/standard posted=2026-05-30 due=2026-05-30 whs=BH-GJ planned=977.005 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000081,COLD PRESS SUNFLOWER 1 LTR 20 PCS,PCS,920,270000,WO 825926757 Released/standard posted=2025-08-21 due=2025-08-21 whs=BH-PF planned=920 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000149,JIVO GOLD 1 LTR 20 PCS,PCS,916,33000,WO 1225926571 Released/standard posted=2025-12-09 due=2025-12-09 whs=BH-PF planned=916 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000114,POMACE OLIVE 2 LTR 10 PCS HANDLE,PCS,902,4000,WO 1225926594 Released/standard posted=2025-12-11 due=2025-12-11 whs=BH-PF planned=902 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
