code,sku,head,category,pack_type,plan_kl,litres,real_mt,litres_per_piece,lpc_source,pieces,sheet_per_ltrs,sheet_box_lpc,sheet_pcs_lpc,hand_filled,flags
FG0000324,SESAME OIL 1 LTR 20 PCS,OTHER PREMIUM,SESAME,PET,25.0,25000.0,22.75,1.0,ltr in name,25000,1.0,1.0,,,
FG0000429,MUSTARD KACHI GHANI 1 LTR + 1 LTR COMBO 10 SET PLAIN,COMMODITY,MUSTARD,PET,25.0,25000.0,22.75,2.0,combo 1+1 L,12500,2.0,0.5,,,BOX_DISAGREES
FG0000009,EXTRA LIGHT OLIVE 5 LTR TIN 4 PCS,PREMIUM,EXTRA LIGHT,TIN,23.0,23000.0,20.93,5.0,ltr in name,4600,5.0,5.0,,,
FG0000042,EXTRA VIRGIN OLIVE 1 LTR 16 PCS,PREMIUM,EXTRA VIRGIN,PET,22.0,22000.0,20.02,1.0,ltr in name,22000,1.0,1.0,,,
FG0000227,RICE BRAN OIL 1 LTR 16 PCS,COMMODITY,RICE BRAN,PET,21.0,21000.0,19.11,1.0,ltr in name,21000,1.0,1.0,,,
FG0000441,COLD PRESS GROUNDNUT 200 MLS 70 PCS - BH,OTHER PREMIUM,GROUNDNUT,PET,21.0,21000.0,19.11,0.2,ml in name,105000,0.2,0.2,,,
FG0000031,MUSTARD PAKKI GHANI 1 LTR 20 PCS,COMMODITY,MUSTARD,PET,20.0,20000.0,18.2,1.0,ltr in name,20000,1.0,1.0,,,
FG0000043,COLD PRESS 3 LTR 6 PCS,PREMIUM,CANOLA,PET,20.0,20000.0,18.2,3.0,ltr in name,6667,3.0,3.0,,,
FG0000106,MUSTARD KACHHI GHANI 1 LTR POUCH 12 PCS,COMMODITY,MUSTARD,POUCH,20.0,20000.0,18.2,1.0,ltr in name,20000,1.0,1.0,,,
FG0000419,COLD PRESS GROUNDNUT OIL 2 LTR 10 PCS HANDLE,OTHER PREMIUM,GROUNDNUT,PET,20.0,20000.0,18.2,2.0,ltr in name,10000,2.0,2.0,,,
FG0000232,SO OLIVE OIL 5 LTR 4 PCS,COMMODITY,OLIVE,PET,17.0,17000.0,15.47,5.0,ltr in name,3400,5.0,5.0,,,
FG0000228,SO OLIVE OIL 1 LTR 16 PCS,OTHER PREMIUM,BLENDED,PET,15.0,15000.0,13.65,1.0,ltr in name,15000,1.0,1.0,,,
FG0000328,SANO POMACE OLIVE 200 LTR 1 PCS,PREMIUM,POMACE,DRUM,15.0,15000.0,13.65,200.0,200 L drum (hand-filled),75,200.0,200.0,,Y,HAND_FILLED
FG0000379,MUSTARD KACHI GHANI 1 LTR 20 PCS ROUND BOTTLE,COMMODITY,MUSTARD,PET,15.0,15000.0,13.65,1.0,ltr in name,15000,1.0,1.0,,,
FG0000012,MUSTARD PAKKI GHANI 5 LTR 4 PCS,COMMODITY,MUSTARD,PET,12.0,12000.0,10.92,5.0,ltr in name,2400,5.0,5.0,,,
FG0000029,MUSTARD PAKKI GHANI 2 LTR 10 PCS,COMMODITY,MUSTARD,PET,12.0,12000.0,10.92,2.0,ltr in name,6000,2.0,2.0,,,
FG0000021,REFINED OIL 1 LTR POUCH 12 PCS,PREMIUM,CANOLA,POUCH,11.0,11000.0,10.01,1.0,ltr in name,11000,1.0,1.0,,,
FG0000074,EXTRA VIRGIN OLIVE 5 LTR TIN 4 PCS IMPORTED,PREMIUM,EXTRA VIRGIN,TIN,10.0,10000.0,9.1,5.0,ltr in name,2000,5.0,5.0,,,
FG0000132,RICE BRAN OIL 15 LTR,COMMODITY,RICE BRAN,PET,10.0,10000.0,9.1,15.0,ltr in name,667,15.0,15.0,,,
FG0000189,ZANO POMACE OLIVE 1 LTR 16 PCS,PREMIUM,POMACE,PET,10.0,10000.0,9.1,1.0,ltr in name,10000,1.0,1.0,,,
FG0000445,RICE BRAN OIL 15 KGS,COMMODITY,RICE BRAN,TIN,10.0,10000.0,9.1,16.4835,15kg @910g/L,607,16.484,16.484,,,
FG0000114,POMACE OLIVE 2 LTR 10 PCS HANDLE,PREMIUM,POMACE,PET,8.0,8000.0,7.28,2.0,ltr in name,4000,2.0,2.0,,,
FG0000158,REFINED COTTON SEED OIL 15 LTR,COMMODITY,COTTONSEED,PET,8.0,8000.0,7.28,15.0,ltr in name,533,15.0,15.0,,,
FG0000367,SANO POMACE OLIVE OIL 15 L,PREMIUM,POMACE,PET,8.0,8000.0,7.28,15.0,ltr in name,533,15.0,15.0,,,
FG0000116,EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS,PREMIUM,COCONUT,PET,6.0,6000.0,5.46,1.0,ltr in name,6000,1.0,1.0,,,
FG0000372,POMACE OLIVE 3 LTR TIN 6 PCS,PREMIUM,POMACE,TIN,6.0,6000.0,5.46,3.0,ltr in name,2000,3.0,3.0,,,
FG0000026,MUSTARD KACCHI GHANI 15 LTR,COMMODITY,MUSTARD,PET,5.0,5000.0,4.55,15.0,ltr in name,333,15.0,15.0,,,
FG0000035,COLD PRESS 500 MLS 24 PCS,PREMIUM,CANOLA,PET,5.0,5000.0,4.55,0.5,ml in name,10000,0.5,0.5,,,
FG0000070,COLD PRESS 2 LTR 10 PCS HANDLE,PREMIUM,CANOLA,PET,5.0,5000.0,4.55,2.0,ltr in name,2500,2.0,2.0,,,
FG0000088,COLD PRESS 1 LTR +1 LTR COMBO 10 SET PLAIN,PREMIUM,CANOLA,PET,5.0,5000.0,4.55,2.0,combo 1+1 L,2500,2.0,2.0,,,
FG0000440,FIRST PRESSED SUNFLOWER OIL 1 LTR 20 PCS,COMMODITY,SUNFLOWER,PET,5.0,5000.0,4.55,1.0,ltr in name,5000,1.0,1.0,,,
FG0000443,FIRST PRESSED MUSTARD OIL 1 LTR 20 PCS,COMMODITY,MUSTARD,PET,5.0,5000.0,4.55,1.0,ltr in name,5000,1.0,1.0,,,
FG0000448,MUSTARD KACHI GHANI 500 ML 24 PCS,COMMODITY,MUSTARD,PET,5.0,5000.0,4.55,0.5,ml in name,10000,0.5,0.5,,,
FG0000449,MUSTARD KACHI GHANI 200 ML 35 PCS,COMMODITY,MUSTARD,PET,5.0,5000.0,4.55,0.2,ml in name,25000,0.2,0.2,,,
FG0000451,COLD PRESS SUNFLOWER OIL 200 ML 35 PCS,COMMODITY,SUNFLOWER,PET,5.0,5000.0,4.55,0.2,ml in name,25000,0.2,0.2,,,
FG0000452,SESAME OIL 500 MLS 12 PCS,OTHER PREMIUM,SESAME,PET,5.0,5000.0,4.55,0.5,ml in name,10000,0.5,0.5,,,
FG0000454,COLD PRESS GROUNDNUT 500 MLS 24 PCS,OTHER PREMIUM,GROUNDNUT,PET,5.0,5000.0,4.55,0.5,ml in name,10000,0.5,0.5,,,
FG0000362,LA RASOI COLD PRESSED CANOLA OIL 2 LTR 10 PCS HANDLE,PREMIUM,CANOLA,PET,4.0,4000.0,3.64,2.0,ltr in name,2000,2.0,2.0,,,
