run_id,date,line,run_number,item_code,product,pack_litres,pieces_per_case,litres_per_case,status,live_status,required_cases,produced_cases_closeout,produced_cases_segment_sum,closeout_minus_segments,produced_litres_closeout,rated_speed_used,preset_for_this_pack,rated_matches_a_preset,total_running_minutes,productive_segment_minutes,segments,achieved_pieces_per_hour,pct_of_rated,breakdown_count,breakdown_minutes,breakdown_categories,breakdown_reasons,header_breakdown_time,waste_pieces_logged,waste_materials,rejected_qty,reworked_qty,line_clearance_status,clearance_all_checks_passed,clearance_qa_latency_min,supervisor,labour_count,sap_sync_status,sap_doc_entry,warehouse_approval
11,2026-07-08,10 Head,2,FG0000085,FG0000085,,4,,DRAFT,DRAFT,10.00,0.0,0,0.0,,,,,0,0,0,,,0,0,,,0,,,0.0,0.0,CLEARED,True,0.7,,0,NOT_APPLICABLE,2650,PARTIALLY_APPROVED
15,2026-07-10,10 Head,4,FG0000028,POMACE OLIVE 1 LTR 16 PCS,1.0,16,16,COMPLETED,COMPLETED,1000.00,1800.0,1900.0,-100.0,28800.0,1920.0,2100,no,1,1,2,1728000.0,90000.0,1,0,RM Short,Material shortage,0,,,0.0,0.0,CLEARED,True,0.9,Ravi,16,NOT_APPLICABLE,,APPROVED
12,2026-07-10,Clear Pack,1,FG0000142,COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS,1.0,16,16,DRAFT,DRAFT,2000.00,0.0,0,0.0,0.0,,4800,,0,0,0,,,0,0,,,0,,,0.0,0.0,,,,ravi,18,NOT_APPLICABLE,3651,NOT_REQUESTED
13,2026-07-10,Clear Pack,2,FG0000142,COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS,1.0,16,16,IN_PROGRESS,STOPPED,2000.00,0.0,100.0,-100.0,0.0,4800.0,4800,yes,0,0,1,,,0,0,,,0,,,0.0,0.0,CLEARED,True,3.1,Ravi,18,NOT_APPLICABLE,3651,PARTIALLY_APPROVED
16,2026-07-10,Clear Pack,5,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,,1,,DRAFT,DRAFT,2000.00,0.0,0,0.0,,300.0,,no,0,0,0,,,0,0,,,0,,,0.0,0.0,DRAFT,True,,Ravi,18,NOT_APPLICABLE,,NOT_REQUESTED
17,2026-07-10,Clear Pack,6,FG0000142,COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS,1.0,16,16,DRAFT,DRAFT,1000.00,0.0,0,0.0,0.0,1920.0,4800,no,0,0,0,,,0,0,,,0,,,0.0,0.0,CLEARED,True,0.7,Ravi,16,NOT_APPLICABLE,,NOT_REQUESTED
19,2026-07-10,Clear Pack,7,FG0000142,COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS,1.0,16,16,DRAFT,DRAFT,2000.00,0.0,0,0.0,0.0,4800.0,4800,yes,0,0,0,,,0,0,,,0,,,0.0,0.0,,,,Ravi,18,NOT_APPLICABLE,,NOT_REQUESTED
14,2026-07-10,JP Machine,3,FG0000142,COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS,1.0,16,16,IN_PROGRESS,STOPPED,500.00,0.0,301.0,-301.0,0.0,2400.0,5400,no,1,1,3,288960.0,12040.0,1,0,RM Short,Oil is not,0,,,0.0,0.0,CLEARED,True,1.1,Ravi,18,NOT_APPLICABLE,3651,PARTIALLY_APPROVED
20,2026-07-13,Clear Pack,1,FG0000004,COLD PRESS 5 LTR 4 PCS,5.0,4,20,DRAFT,DRAFT,1500.00,0.0,0,0.0,0.0,1000.0,3000,no,0,0,0,,,0,0,,,0,,,0.0,0.0,SUBMITTED,True,,Ravi,18,NOT_APPLICABLE,,PARTIALLY_APPROVED
22,2026-07-14,6 Head,2,FG0000008,POMACE OLIVE 5 LTR TIN 4 PCS,5.0,4,20,DRAFT,DRAFT,2000.00,0.0,0,0.0,0.0,880.0,600,no,0,0,0,,,0,0,,,0,,,0.0,0.0,CLEARED,True,11.8,Ravi,14,NOT_APPLICABLE,,APPROVED
21,2026-07-14,Clear Pack,1,FG0000053,COLD PRESS SUNFLOWER 5 LTR 4 PCS,5.0,4,20,COMPLETED,COMPLETED,2000.00,32.0,100.0,-68.0,640.0,880.0,3000,no,11608,50,3,154.0,17.5,0,0,,,0,,,0.0,0.0,CLEARED,True,33.0,Ravi,18,NOT_APPLICABLE,,PARTIALLY_APPROVED
23,2026-07-14,Clear Pack,3,,Sunflower,,,,DRAFT,DRAFT,1200.00,0.0,0,0.0,,250.0,,no,0,0,0,,,0,0,,,0,,,0.0,0.0,,,,Ravi,19,NOT_APPLICABLE,,NOT_REQUESTED
25,2026-07-14,Clear Pack,5,,300,,,,DRAFT,DRAFT,1500.00,0.0,0,0.0,,250.0,,no,0,0,0,,,0,0,,,0,,,0.0,0.0,,,,Ravi,19,NOT_APPLICABLE,,NOT_REQUESTED
26,2026-07-14,Clear Pack,6,,Sunflower,,,,DRAFT,DRAFT,2000.00,0.0,0,0.0,,250.0,,no,0,0,0,,,0,0,,,0,,,0.0,0.0,DRAFT,False,,Ravi,18,NOT_APPLICABLE,,NOT_REQUESTED
27,2026-07-14,Clear Pack,7,,Sunflower,,,,DRAFT,DRAFT,2000.00,0.0,0,0.0,,250.0,,no,0,0,0,,,0,0,,,0,,,0.0,0.0,DRAFT,False,,,0,NOT_APPLICABLE,,NOT_REQUESTED
24,2026-07-14,Pouch Machine,4,FG0000359,SOYABEAN OIL 750 GMS 12 PCS POUCH,,12,9.8904,DRAFT,DRAFT,2500.00,0.0,0,0.0,0.0,2640.0,,no,0,0,0,,,0,0,,,0,,,0.0,0.0,,,,Hardeep,13,NOT_APPLICABLE,,PARTIALLY_APPROVED
32,2026-07-15,10 Head,5,FG0000035,COLD PRESS 500 MLS 24 PCS,0.5,24,12.0,IN_PROGRESS,STOPPED,1000.00,0.0,280.0,-280.0,0.0,2400.0,,no,232,232,3,1738.0,72.4,0,0,,,0,,,0.0,0.0,CLEARED,True,3.3,Ravi,10,NOT_APPLICABLE,,PARTIALLY_APPROVED
28,2026-07-15,Clear Pack,1,FG0000053,COLD PRESS SUNFLOWER 5 LTR 4 PCS,5.0,4,20,IN_PROGRESS,STOPPED,2000.00,0.0,721.0,-721.0,0.0,880.0,3000,no,310,302,12,573.0,65.1,0,0,,,0,,,0.0,0.0,CLEARED,True,12.2,Ravi,16,NOT_APPLICABLE,,PARTIALLY_APPROVED
30,2026-07-15,Clear Pack,3,,Sunflower,,,,DRAFT,DRAFT,2000.00,0.0,0,0.0,,250.0,,no,0,0,0,,,0,0,,,0,,,0.0,0.0,,,,Ravi,16,NOT_APPLICABLE,,NOT_REQUESTED
31,2026-07-15,Clear Pack,4,FG0000004,COLD PRESS 5 LTR 4 PCS,5.0,4,20,IN_PROGRESS,STOPPED,1500.00,0.0,404.0,-404.0,0.0,880.0,3000,no,126,126,5,770.0,87.5,0,0,,,0,,,0.0,0.0,CLEARED,True,12.2,Ravi,18,NOT_APPLICABLE,,PARTIALLY_APPROVED
29,2026-07-15,JP Machine,2,FG0000030,MUSTARD KACHI GHANI 1 LTR 20 PCS,1.0,20,20,IN_PROGRESS,RUNNING,1100.00,0.0,54.0,-54.0,0.0,2000.0,5400,no,169,169,3,383.0,19.1,0,0,,,0,,,0.0,0.0,CLEARED,True,16.9,Ravi,18,NOT_APPLICABLE,,PARTIALLY_APPROVED
46,2026-07-16,6 Head,4,FG0000008,POMACE OLIVE 5 LTR TIN 4 PCS,5.0,4,20,IN_PROGRESS,STOPPED,1000.00,0.0,830.0,-830.0,0.0,880.0,600,no,112,112,6,1779.0,202.2,0,0,,,0,,,0.0,0.0,CLEARED,True,120.8,Ravi,14,NOT_APPLICABLE,,PARTIALLY_APPROVED
41,2026-07-16,Clear Pack,1,FG0000004,COLD PRESS 5 LTR 4 PCS,5.0,4,20,IN_PROGRESS,STOPPED,1500.00,0.0,2166.0,-2166.0,0.0,1000.0,3000,no,477,477,17,1090.0,109.0,0,0,,,0,,,0.0,0.0,CLEARED,True,58.3,Ravi,18,NOT_APPLICABLE,,PARTIALLY_APPROVED
43,2026-07-16,JP Machine,3,FG0000030,MUSTARD KACHI GHANI 1 LTR 20 PCS,1.0,20,20,IN_PROGRESS,STOPPED,1000.00,0.0,180.0,-180.0,0.0,4400.0,5400,no,192,192,5,1125.0,25.6,0,0,,,0,,,0.0,0.0,CLEARED,True,0.8,Ravi,20,NOT_APPLICABLE,,PARTIALLY_APPROVED
42,2026-07-16,Manual,2,FG0000030,MUSTARD KACHI GHANI 1 LTR 20 PCS,1.0,20,20,DRAFT,DRAFT,1300.00,0.0,0,0.0,0.0,,,,0,0,0,,,0,0,,,0,,,0.0,0.0,SUBMITTED,True,,,0,NOT_APPLICABLE,,PARTIALLY_APPROVED
47,2026-07-17,JP Machine,1,FG0000379,MUSTARD KACHI GHANI 1 LTR 20 PCS ROUND BOTTLE,1.0,20,20,DRAFT,DRAFT,1200.00,0.0,0,0.0,0.0,3000.0,5400,no,0,0,0,,,0,0,,,0,,,0.0,0.0,SUBMITTED,True,,Ravi,18,NOT_APPLICABLE,,NOT_REQUESTED
54,2026-07-18,10 Head,6,FG0000142,COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS,1.0,16,16,DRAFT,DRAFT,1000.00,0.0,0,0.0,0.0,1440.0,2100,no,0,0,0,,,0,0,,,0,,,0.0,0.0,CLEARED,True,24364.4,Ravi shukla,17,NOT_APPLICABLE,,PARTIALLY_APPROVED
50,2026-07-18,6 Head,2,FG0000008,POMACE OLIVE 5 LTR TIN 4 PCS,5.0,4,20,DRAFT,DRAFT,1000.00,0.0,0,0.0,0.0,840.0,600,no,0,0,0,,,0,0,,,0,,,0.0,0.0,,,,Ravi,18,NOT_APPLICABLE,,NOT_REQUESTED
