code,sku,plan_pieces,fg_onhand,wip,net_required,makeable_stock_only,makeable_with_po,binding_component,binding_component_name,root_binding_component,root_binding_component_name,shortfall_pieces,plan_litres_at_risk,plan_litres,litres_per_piece,makeable_litres_with_po,makeable_litres_stock_only,binding_stock_only,wip_stale_pieces,note
FG0000193,SOYABEAN OIL 1 LTR 20 PCS,35000,180,0,34820,0,3000,PM0000286,LABEL 1 LTR SOYABEAN FRONT,PM0000286,LABEL 1 LTR SOYABEAN FRONT,31820,31820.0,35000.0,1.0,3000.0,0.0,RM0000025,0,
FG0000034,EXTRA LIGHT OLIVE 200 LTR 1 PCS,150,0,0,150,0,0,RM0000001,LOOSE REFINED OLIVE OIL,RM0000001,LOOSE REFINED OLIVE OIL,150,30000.0,30000.0,200.0,0.0,0.0,RM0000001,0,
FG0000029,MUSTARD PAKKI GHANI 2 LTR 10 PCS,15000,90,0,14910,0,0,RM0000003,MUSTARD LOOSE OIL,RM0000003,MUSTARD LOOSE OIL,14910,29820.0,30000.0,2.0,0.0,0.0,RM0000003,0,
FG0000192,SOYABEAN OIL 5 LTR 4 PCS,6000,42,0,5958,0,0,PM0000094,SHRINKS 5 LTR 340X415 5 LTR SINGAL PCS,PM0000094,SHRINKS 5 LTR 340X415 5 LTR SINGAL PCS,5958,29790.0,30000.0,5.0,0.0,0.0,RM0000025,0,
FG0000128,JIVO GOLD 5 LTR 4 PCS,6000,301,10,5689,0,0,PM0000094,SHRINKS 5 LTR 340X415 5 LTR SINGAL PCS,PM0000094,SHRINKS 5 LTR 340X415 5 LTR SINGAL PCS,5689,28445.0,30000.0,5.0,0.0,0.0,PM0000358,10,
FG0000064,EXTRA LIGHT OIVE 2 LTR 10 PCS HANDLE,13500,1707,0,11793,0,0,RM0000001,LOOSE REFINED OLIVE OIL,RM0000001,LOOSE REFINED OLIVE OIL,11793,23586.0,27000.0,2.0,0.0,0.0,RM0000001,0,
FG0000374,YELLOW MUSTARD OIL 5 LTR TIN 4 PCS,4600,4,0,4596,0,0,RM0000003,MUSTARD LOOSE OIL,RM0000003,MUSTARD LOOSE OIL,4596,22980.0,23000.0,5.0,0.0,0.0,RM0000003,0,
FG0000178,MUSTARD KACHI GHANI 15 KGS(PRINTED),2123,769,0,1354,0,0,RM0000003,MUSTARD LOOSE OIL,RM0000003,MUSTARD LOOSE OIL,1354,22318.7,35000.0,16.4835,0.0,0.0,RM0000003,0,
FG0000324,SESAME OIL 1 LTR 20 PCS,25000,455,0,24545,2286,2286,RM0000054,SEASAME OIL,RM0000054,SEASAME OIL,22258,22258.5,25000.0,1.0,2286.5,2286.5,RM0000054,0,
FG0000149,JIVO GOLD 1 LTR 20 PCS,33000,19,10916,22065,0,0,PM0000397,LABEL 1 LTR GOLD FRONT,PM0000397,LABEL 1 LTR GOLD FRONT,22065,22065.0,33000.0,1.0,0.0,0.0,PM0000397,10916,
