section,company,id,date,entry_no,item_code,item_name,material_type,qty,uom,party,metric,value,unit,status,source,verified,note
qc_inspection,JIVO_OIL,,2026-08-30,GE-2026-0483,RM0000066,PEANUT OIL,,29.650,MTS,DHANLAXMI EDIBLES PRIVATE LIMITED,hold_hours_slip_to_QA_manager,,hours,NOT_STARTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=RM_BULK_OIL; hold_to_chemist_h=; grpo_state=NOT_IN_GRPO_QUEUE
qc_inspection,JIVO_OIL,1698,2026-08-29,GE-2026-1269,PM0000468,CAPS 5 LTR GREEN,Cap_5l_green,4350.000,PCS,RAJ TECHNOPACK PVT LTD,hold_hours_slip_to_QA_manager,0.83,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=0.67; grpo_state=PENDING_IN_APP
qc_inspection,JIVO_OIL,1694,2026-08-29,GE-2026-7444,PM0000468,CAPS 5 LTR GREEN,Cap_5l_green,2600.000,PCS,ECHO PLAST INDIA,hold_hours_slip_to_QA_manager,1.04,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=1.03; grpo_state=PENDING_IN_APP
qc_inspection,JIVO_OIL,1697,2026-08-29,GE-2026-7444,PM0000469,CAPS 5 LTR BROWN,Cap 5l Brown,1825.000,PCS,ECHO PLAST INDIA,hold_hours_slip_to_QA_manager,2.07,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=2.07; grpo_state=PENDING_IN_APP
qc_inspection,JIVO_OIL,1693,2026-08-29,GE-2026-7444,PM0000053,HDPE BOTTLE 5 LTR,5 Ltr. Jerry Can,4425.000,PCS,ECHO PLAST INDIA,hold_hours_slip_to_QA_manager,0.94,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=0.79; grpo_state=PENDING_IN_APP
qc_inspection,JIVO_OIL,1690,2026-08-29,GE-2026-5862,RM0000025,SOYABEAN REFINED LOOSE OIL,Refined Soyben Rm0000025,39.240,MTS,M/S ARORA AGRI BUSINESS VENTURES,hold_hours_slip_to_QA_manager,1.99,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=RM_BULK_OIL; hold_to_chemist_h=1.97; grpo_state=PENDING_IN_APP
qc_inspection,JIVO_OIL,1689,2026-08-29,GE-2026-0485,RM0000025,SOYABEAN REFINED LOOSE OIL,Refined Soyben Rm0000025,38.950,MTS,M/S ARORA AGRI BUSINESS VENTURES,hold_hours_slip_to_QA_manager,2.1,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=RM_BULK_OIL; hold_to_chemist_h=2.02; grpo_state=PENDING_IN_APP
qc_inspection,JIVO_OIL,1692,2026-08-29,GE-2026-8966,PM0000251,PET BOTTLE 2 LTR 80 GMS YELLOW HANDLE,Pet Bottle 2 Ltr 80 Gm Yellow Handle,7392.000,PCS,TPAC PACKAGING INDIA PVT LTD II,hold_hours_slip_to_QA_manager,4.71,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=4.09; grpo_state=PENDING_IN_APP
qc_inspection,JIVO_OIL,1695,2026-08-29,GE-2026-8966,PM0000851,PET BOTTLE 1 LTR 26 GM,Pet_bottle_1_ltr_26gm,20124.000,PCS,TPAC PACKAGING INDIA PVT LTD II,hold_hours_slip_to_QA_manager,5.25,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=5.19; grpo_state=PENDING_IN_APP
qc_inspection,JIVO_OIL,1687,2026-08-29,GE-2026-4902,PM0000851,PET BOTTLE 1 LTR 26 GM,Pet_bottle_1_ltr_26gm,3276.000,PCS,TPAC PACKAGING INDIA PVT LTD II,hold_hours_slip_to_QA_manager,1.51,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=1.5; grpo_state=PENDING_IN_APP
qc_inspection,JIVO_OIL,1686,2026-08-29,GE-2026-4756,PM0000593,TIN 15 KGS/LTR MULTI CP KACCHI GHANI MUSTARD OIL  PRINTED,Tin 15 Kg,3077.000,PCS,NATIONAL TIN INDUSTRIES,hold_hours_slip_to_QA_manager,1.63,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=1.62; grpo_state=PENDING_IN_APP
qc_inspection,JIVO_OIL,1684,2026-08-28,GE-2026-2449,RM0000025,SOYABEAN REFINED LOOSE OIL,Refined Soyben Rm0000025,40.110,MTS,AWL AGRI BUSINESS LIMITED,hold_hours_slip_to_QA_manager,0.27,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=RM_BULK_OIL; hold_to_chemist_h=0.27; grpo_state=PENDING_IN_APP
qc_inspection,JIVO_OIL,1688,2026-08-27,GE-2026-8893,PM0000053,HDPE BOTTLE 5 LTR,5 Ltr. Jerry Can,4644.000,PCS,AG POLY PACKS PVT LTD,hold_hours_slip_to_QA_manager,40.04,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=39.93; grpo_state=NOT_IN_GRPO_QUEUE
qc_inspection,JIVO_OIL,,2026-08-27,GE-2026-8893,PM0000468,CAPS 5 LTR GREEN,,4644.000,PCS,AG POLY PACKS PVT LTD,hold_hours_slip_to_QA_manager,,hours,NOT_STARTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=; grpo_state=NOT_IN_GRPO_QUEUE
qc_inspection,JIVO_OIL,1679,2026-08-27,GE-2026-7155,PM0000308,LABEL 1 LTR PRESSED YELLOW MUSTARD OIL FRONT,Label_jivo_first_pressed_sesame_1l,7800.000,PCS,ROYAL PRIME LABELS,hold_hours_slip_to_QA_manager,0.27,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=0.17; grpo_state=POSTED_VIA_APP
qc_inspection,JIVO_OIL,1680,2026-08-27,GE-2026-7155,PM0000307,LABEL 1 LTR PRESSED YELLOW MUSTARD OIL BACK,Label_jivo_first_pressed_sesame_1l,7800.000,PCS,ROYAL PRIME LABELS,hold_hours_slip_to_QA_manager,0.34,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=0.33; grpo_state=POSTED_VIA_APP
qc_inspection,JIVO_OIL,1681,2026-08-27,GE-2026-8417,PM0000235,CAPS 1 LTR WHITE AND YELLOW SMALL PLAIN,Cap Yellow-white 1l Plain,125000.000,PCS,BABAJI UDYOG PVT. LTD.,hold_hours_slip_to_QA_manager,1.13,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=1.12; grpo_state=POSTED_VIA_APP
qc_inspection,JIVO_OIL,1682,2026-08-27,GE-2026-8417,PM0000085,CAPS 1 OR 2 LTR WHITE AND YELLOW WITH LOGO,Cap_yellow_white_1ltr._&_2_ltr.,51000.000,PCS,BABAJI UDYOG PVT. LTD.,hold_hours_slip_to_QA_manager,1.23,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=1.18; grpo_state=POSTED_VIA_APP
qc_inspection,JIVO_OIL,1678,2026-08-27,GE-2026-0889,PM0000852,PREFORM 49.5 GMS 36 MM,Pet Preform 50 Gm,69360.000,PCS,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q),hold_hours_slip_to_QA_manager,0.82,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=0.51; grpo_state=POSTED_VIA_APP
qc_inspection,JIVO_OIL,1677,2026-08-27,GE-2026-0889,PM0000594,PREFORM 40 GMS 36 MM,Pet Preform 40 Gm,53000.000,PCS,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q),hold_hours_slip_to_QA_manager,0.89,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=0.52; grpo_state=POSTED_VIA_APP
qc_inspection,JIVO_OIL,1675,2026-08-27,GE-2026-3957,PM0000053,HDPE BOTTLE 5 LTR,5 Ltr. Jerry Can,3750.000,PCS,RAJ TECHNOPACK PVT LTD,hold_hours_slip_to_QA_manager,1.18,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=0.93; grpo_state=POSTED_VIA_APP
qc_inspection,JIVO_OIL,1676,2026-08-27,GE-2026-3957,PM0000468,CAPS 5 LTR GREEN,Cap_5l_green,3750.000,PCS,RAJ TECHNOPACK PVT LTD,hold_hours_slip_to_QA_manager,1.17,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=1.16; grpo_state=POSTED_VIA_APP
qc_inspection,JIVO_OIL,1673,2026-08-27,GE-2026-3113,PM0000468,CAPS 5 LTR GREEN,Cap_5l_green,4425.000,PCS,ECHO PLAST INDIA,hold_hours_slip_to_QA_manager,1.21,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=1.01; grpo_state=POSTED_VIA_APP
qc_inspection,JIVO_OIL,1674,2026-08-27,GE-2026-3113,PM0000053,HDPE BOTTLE 5 LTR,5 Ltr. Jerry Can,4425.000,PCS,ECHO PLAST INDIA,hold_hours_slip_to_QA_manager,1.21,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=1.19; grpo_state=POSTED_VIA_APP
qc_inspection,JIVO_OIL,1696,2026-08-27,GE-2026-9885,RM0000003,MUSTARD LOOSE OIL,Mustard Oil,39.910,MTS,VAISHNODEVI REFOILS & SOLVEX PRIVATE LIMITED,hold_hours_slip_to_QA_manager,51.5,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=RM_BULK_OIL; hold_to_chemist_h=51.5; grpo_state=PENDING_IN_APP
qc_inspection,JIVO_OIL,1670,2026-08-27,GE-2026-1705,PM0000469,CAPS 5 LTR BROWN,Cap 5l Brown,3876.000,PCS,AG POLY PACKS PVT LTD,hold_hours_slip_to_QA_manager,1.23,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=1.15; grpo_state=POSTED_VIA_APP
qc_inspection,JIVO_OIL,1669,2026-08-27,GE-2026-1705,PM0000053,HDPE BOTTLE 5 LTR,5 Ltr. Jerry Can,3876.000,PCS,AG POLY PACKS PVT LTD,hold_hours_slip_to_QA_manager,1.23,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=1.06; grpo_state=POSTED_VIA_APP
qc_inspection,JIVO_OIL,1668,2026-08-27,GE-2026-3295,RM0000025,SOYABEAN REFINED LOOSE OIL,Refined Soyben Rm0000025,39.050,MTS,AWL AGRI BUSINESS LIMITED,hold_hours_slip_to_QA_manager,0.95,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=RM_BULK_OIL; hold_to_chemist_h=0.93; grpo_state=PENDING_IN_APP
qc_inspection,JIVO_OIL,1672,2026-08-27,GE-2026-7359,PM0000468,CAPS 5 LTR GREEN,Cap_5l_green,2680.000,PCS,A A ENTERPRISES,hold_hours_slip_to_QA_manager,2.33,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=2.32; grpo_state=POSTED_VIA_APP
qc_inspection,JIVO_OIL,1671,2026-08-27,GE-2026-7359,PM0000053,HDPE BOTTLE 5 LTR,5 Ltr. Jerry Can,2680.000,PCS,A A ENTERPRISES,hold_hours_slip_to_QA_manager,2.22,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=2.2; grpo_state=POSTED_VIA_APP
qc_inspection,JIVO_OIL,1665,2026-08-26,GE-2026-3687,PM0000053,HDPE BOTTLE 5 LTR,5 Ltr. Jerry Can,900.000,PCS,BAL KRISHNA INDUSTRIES,hold_hours_slip_to_QA_manager,2.46,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=1.77; grpo_state=POSTED_VIA_APP
qc_inspection,JIVO_OIL,1662,2026-08-26,GE-2026-7884,RM0000066,PEANUT OIL,Peanut_oil,41.660,MTS,DHANLAXMI EDIBLES PRIVATE LIMITED,hold_hours_slip_to_QA_manager,1.09,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=RM_BULK_OIL; hold_to_chemist_h=1.08; grpo_state=PENDING_IN_APP
qc_inspection,JIVO_OIL,1664,2026-08-26,GE-2026-2007,PM0000896,TIN 200 ML PREMIUM OLIVE OIL,Tin 200 Ml Premium Olive Oil,577.000,PCS,NATIONAL TIN INDUSTRIES,hold_hours_slip_to_QA_manager,1.31,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=1.3; grpo_state=POSTED_VIA_APP
qc_inspection,JIVO_OIL,1666,2026-08-26,GE-2026-2007,PM0000080,TIN 5 LTR POMACE OLIVE PRINTED,Printed Tin 5l Olive Pomace,4993.000,PCS,NATIONAL TIN INDUSTRIES,hold_hours_slip_to_QA_manager,5.34,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=5.2; grpo_state=POSTED_VIA_APP
qc_inspection,JIVO_OIL,1663,2026-08-26,GE-2026-2007,PM0000896,TIN 200 ML PREMIUM OLIVE OIL,Tin 200 Ml Premium Olive Oil,1000.000,PCS,NATIONAL TIN INDUSTRIES,hold_hours_slip_to_QA_manager,1.33,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=1.29; grpo_state=POSTED_VIA_APP
qc_inspection,JIVO_OIL,1667,2026-08-26,GE-2026-2007,PM0000395,TIN 5 LTR POMACE OLIVE SANO,Printed Tin 5 Ltr,1513.000,PCS,NATIONAL TIN INDUSTRIES,hold_hours_slip_to_QA_manager,21.78,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=21.66; grpo_state=POSTED_VIA_APP
qc_inspection,JIVO_OIL,1661,2026-08-26,GE-2026-2007,PM0000835,TIN 5 LTR FP YELLOW MUSTARD OIL PRINTED,Tin 5l Fp Yellow Mustard Oil Printed,4153.000,PCS,NATIONAL TIN INDUSTRIES,hold_hours_slip_to_QA_manager,1.11,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=1.07; grpo_state=POSTED_VIA_APP
qc_inspection,JIVO_OIL,1660,2026-08-26,GE-2026-2198,PM0000411,CARTON 1 LTR 20 PCS PET 26GM,Carton_1l_x_20_pcs_26_gm,8220.000,PCS,SSY CONTAINERS PVT LTD,hold_hours_slip_to_QA_manager,1.15,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=0.99; grpo_state=POSTED_VIA_APP
qc_inspection,JIVO_OIL,1656,2026-08-26,GE-2026-4021,PM0000053,HDPE BOTTLE 5 LTR,5 Ltr. Jerry Can,3750.000,Pcs,RAJ TECHNOPACK PVT LTD,hold_hours_slip_to_QA_manager,0.92,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=0.89; grpo_state=POSTED_VIA_APP
qc_inspection,JIVO_OIL,1658,2026-08-26,GE-2026-4021,PM0000468,CAPS 5 LTR GREEN,Cap_5l_green,3750.000,PCS,RAJ TECHNOPACK PVT LTD,hold_hours_slip_to_QA_manager,1.25,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=1.25; grpo_state=POSTED_VIA_APP
qc_inspection,JIVO_OIL,1657,2026-08-26,GE-2026-0241,PM0000121,PET BOTTLE 1 LTR 52 GMS POMACE,1 Ltr Pet Bottle Pomace (52gm) Br,18624.000,PCS,BR AGROTECH LTD,hold_hours_slip_to_QA_manager,2.24,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=2.17; grpo_state=POSTED_VIA_APP
qc_inspection,JIVO_OIL,1655,2026-08-26,GE-2026-0241,PM0000194,PET BOTTLE 1 LTR 40 GMS,Pet_bottle_1ltr_40gm,21168.000,PCS,BR AGROTECH LTD,hold_hours_slip_to_QA_manager,1.9,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=1.54; grpo_state=POSTED_VIA_APP
qc_inspection,JIVO_OIL,1654,2026-08-26,GE-2026-8011,PM0000251,PET BOTTLE 2 LTR 80 GMS YELLOW HANDLE,Pet Bottle 2 Ltr 80 Gm Yellow Handle,7056.000,PCS,TPAC PACKAGING INDIA PVT LTD II,hold_hours_slip_to_QA_manager,1.69,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=1.44; grpo_state=POSTED_VIA_APP
qc_inspection,JIVO_OIL,1652,2026-08-26,GE-2026-3907,PM0000851,PET BOTTLE 1 LTR 26 GM,Pet_bottle_1_ltr_26gm,42900.000,PCS,TPAC PACKAGING INDIA PVT LTD II,hold_hours_slip_to_QA_manager,1.09,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=0.77; grpo_state=POSTED_VIA_APP
qc_inspection,JIVO_OIL,1685,2026-08-26,GE-2026-6230,RM0000003,MUSTARD LOOSE OIL,Mustard Oil,25.180,MTS,AWL AGRI BUSINESS LIMITED,hold_hours_slip_to_QA_manager,50.45,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=RM_BULK_OIL; hold_to_chemist_h=50.45; grpo_state=PENDING_IN_APP
qc_inspection,JIVO_OIL,1653,2026-08-26,GE-2026-9557,RM0000025,SOYABEAN REFINED LOOSE OIL,Refined Soyben Rm0000025,39.090,MTS,AWL AGRI BUSINESS LIMITED,hold_hours_slip_to_QA_manager,1.27,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=RM_BULK_OIL; hold_to_chemist_h=1.22; grpo_state=PENDING_IN_APP
qc_inspection,JIVO_OIL,1648,2026-08-25,GE-2026-3992,RM0000025,SOYABEAN REFINED LOOSE OIL,Refined Soyben Rm0000025,5.270,MTS,AWL AGRI BUSINESS LIMITED,hold_hours_slip_to_QA_manager,15.79,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=RM_BULK_OIL; hold_to_chemist_h=0.16; grpo_state=PENDING_IN_APP
qc_inspection,JIVO_OIL,1647,2026-08-25,GE-2026-7412,PM0000013,CARTON 5 LTR 4 PCS,Carton_5l_x_4_pcs_canola_(450x257x325),9450.000,PCS,KUBER PAPER & PACK PRIVATE LIMITED AAJCK3867H0,hold_hours_slip_to_QA_manager,16.66,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=3.3; grpo_state=POSTED_VIA_APP
qc_inspection,JIVO_OIL,1644,2026-08-25,GE-2026-6121,PM0000053,HDPE BOTTLE 5 LTR,5 Ltr. Jerry Can,4350.000,PCS,RAJ TECHNOPACK PVT LTD,hold_hours_slip_to_QA_manager,1.56,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=1.29; grpo_state=POSTED_VIA_APP
qc_inspection,JIVO_OIL,1643,2026-08-25,GE-2026-6121,PM0000469,CAPS 5 LTR BROWN,Cap 5l Brown,4350.000,PCS,RAJ TECHNOPACK PVT LTD,hold_hours_slip_to_QA_manager,1.56,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=1.03; grpo_state=POSTED_VIA_APP
qc_inspection,JIVO_OIL,1645,2026-08-25,GE-2026-2131,PM0000884,SHRINK POF ROLL KG,Shrink Film 17x20 Micron,907.200,KGS,JOY PACK INDIA PVT LTD,hold_hours_slip_to_QA_manager,1.61,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=1.54; grpo_state=POSTED_VIA_APP
