code,name,uom,onhand_aug01,onhand_now,net_moved_since,required_august,cover_pct
PM0000038,LABEL 2 LTR PAKKI GHANI BACK,PCS,19600.0,3725.0,-15875.0,15000.0,130.67
PM0000784,LABEL 1 LTR SO OLIVE BLENDED OLIVE OIL BACK,PCS,30000.0,30000.0,0.0,15000.0,200.0
PM0000785,LABEL 1 LTR SO OLIVE BLENDED OLIVE OIL FRONT,PCS,30000.0,30000.0,0.0,15000.0,200.0
PM0000091,LABEL 2 LTR EXTRA LIGHT HANDLE BOTTLE FRONT,PCS,25000.0,16645.0,-8355.0,13500.0,185.19
PM0000090,LABEL 2 LTR EXTRA LIGHT HANDLE BOTTLE BACK,PCS,25000.0,16624.0,-8376.0,13500.0,185.19
RM0000036,COCUNUT RAW MATERIAL GIRI,KGS,0.0,0.0,0.0,13500.0,0.0
PM0000395,TIN 5 LTR POMACE OLIVE SANO,PCS,7844.0,451.0,-7393.0,12000.0,65.37
PM0000082,CARTON 5 LTR OLIVE 4 PCS,PCS,4081.0,3371.0,-710.0,10550.0,38.68
PM0000881,LABEL 2 LTR GROUNDNUT HANDLE BOTTLE FRONT,PCS,0.0,32670.0,32670.0,10000.0,0.0
PM0000880,LABEL 2 LTR GROUNDNUT HANDLE BOTTLE BACK,PCS,0.0,32670.0,32670.0,10000.0,0.0
PM0000126,LABEL 500 MLS COLD PRESS FRONT,PCS,0.0,8142.0,8142.0,10000.0,0.0
PM0000127,LABEL 500 MLS COLD PRESS BACK,PCS,0.0,0.0,0.0,10000.0,0.0
PM0000908,LABEL 500 ML CP GROUNDNUT FRONT,PCS,0.0,1808.0,1808.0,10000.0,0.0
PM0000909,LABEL 500 ML CP GROUNDNUT BACK,PCS,0.0,1808.0,1808.0,10000.0,0.0
PM0000588,CARTON PET BOTTLE 100 ML 10 PCS,PCS,0.0,23.0,23.0,10000.0,0.0
RM0000037,COCONUT EXTRA VIRGIN OIL,LTR,6036.4242,5608.6242,-427.8,9000.0,67.07
PM0000027,LABEL 1 LTR REFINED TOP,PCS,0.0,8244.0,8244.0,9000.0,0.0
PM0000503,LABEL 1 LTR POMACE FRONT ZANO,PCS,0.0,1723.0,1723.0,8000.0,0.0
PM0000504,LABEL 1 LTR POMACE BACK ZANO,PCS,0.0,5866.0,5866.0,8000.0,0.0
PM0000344,LABEL 1 LTR EXTRA VIRGIN COCONUT FRONT,PCS,5400.0,36915.0,31515.0,8000.0,67.5
PM0000345,LABEL 1 LTR EXTRA VIRGIN COCONUT BACK,PCS,5400.0,36915.0,31515.0,8000.0,67.5
PM0000113,HDPE BOTTLE 3 LTR,PCS,0.0,10605.0,10605.0,7667.0,0.0
PM0000187,SHRINKS 3 LTR/4 LTR,PCS,22000.0,22945.0,945.0,7667.0,286.94
RM0000066,PEANUT OIL,LTR,224275.593,230874.871,6599.278,7611.28,2946.62
PM0000890,LABEL 12 KG REFINED SOYABEAN OIL,PCS,0.0,587.0,587.0,7583.0,0.0
PM0000471,CAPS 5 LTR BLUE,PCS,3060.0,7725.0,4665.0,7200.0,42.5
PM0000466,LABEL 13 KGS REFINED SOYBEAN OIL,PCS,4672.0,4710.0,38.0,7000.0,66.74
PM0000118,LABEL 3 LTR COLD PRESS FRONT,PCS,12000.0,6379.0,-5621.0,6667.0,179.99
PM0000117,LABEL 3 LTR COLD PRESS BACK,PCS,13670.0,9442.0,-4228.0,6667.0,205.04
PM0000358,HDPE BOTTLE 5 LTR GOLD,PCS,0.0,265.0,265.0,6000.0,0.0
PM0000359,LABEL 5 LTR GOLD FRONT NEW,PCS,0.0,17606.0,17606.0,6000.0,0.0
