code,name,head,group,base_l,mult,proj_l,proj_t,baseB_l,multB,projB_l,projB_t,low_l,high_l,mid_l,2026_06,2026_07,2026_08
FG0000146,COLD PRESS 5 LTR + POMACE OLIVE 1 LTR 3 PCS SHRINKED,PREMIUM,CANOLA,3589,0.9043,3246,3.25,5391,0.8947,4823,4.82,3246,4823,4034,990,9858,-81
FG0000176,COLD PRESS 4 LTR + POMACE OLIVE 1 LTR 5 PCS,PREMIUM,CANOLA,38,0.9043,35,0.03,7897,0.8947,7066,7.07,35,7066,3550,0,115,0
FG0000070,COLD PRESS 2 LTR 10 PCS HANDLE,PREMIUM,CANOLA,3852,0.9043,3484,3.48,3826,0.8947,3423,3.42,3423,3484,3453,2600,7490,1467
FG0000012,MUSTARD PAKKI GHANI 5 LTR 4 PCS,COMMODITY,MUSTARD,5486,0.5867,3219,3.22,3702,0.8916,3301,3.3,3219,3301,3260,9300,1990,5167
FG0000189,ZANO POMACE OLIVE 1 LTR 16 PCS,PREMIUM,OLIVE,3403,0.9054,3081,3.08,3548,0.9193,3262,3.26,3081,3262,3171,0,10208,0
FG0000009,EXTRA LIGHT OLIVE 5 LTR TIN 4 PCS,PREMIUM,OLIVE,2564,0.9054,2321,2.32,3901,0.9193,3587,3.59,2321,3587,2954,1635,6800,-744
FG0000383,REFINED OIL 13 KG,PREMIUM,CANOLA,2971,0.9043,2687,2.69,3363,0.8947,3009,3.01,2687,3009,2848,4157,4757,0
FG0000445,RICE BRAN OIL 15 KG,COMMODITY,RICE BRAN,4385,0.8323,3649,3.65,1644,0.9427,1550,1.55,1550,3649,2600,13154,0,0
FG0000143,COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS,PREMIUM,GROUNDNUT,2699,0.9251,2497,2.5,2435,0.9863,2402,2.4,2402,2497,2449,2140,3560,2397
FG0000029,MUSTARD PAKKI GHANI 2 LTR 10 PCS,COMMODITY,MUSTARD,5557,0.5867,3260,3.26,1584,0.8916,1412,1.41,1412,3260,2336,4860,5300,6510
FG0000227,RICE BRAN OIL 1 LTR 16 PCS,COMMODITY,RICE BRAN,3227,0.8323,2686,2.69,2076,0.9427,1957,1.96,1957,2686,2321,3681,2161,3840
FG0000374,YELLOW MUSTARD OIL 5 LTR TIN 4 PCS,PREMIUM,MUSTARD,2871,0.5867,1685,1.68,2265,0.8916,2019,2.02,1685,2019,1852,1660,4660,2294
FG0000074,EXTRA VIRGIN OLIVE 5 LTR TIN 4 PCS IMPORTED,PREMIUM,OLIVE,1657,0.9054,1500,1.5,1863,0.9193,1712,1.71,1500,1712,1606,1690,3260,21
FG0000363,LA RASOI COLD PRESSED MUSTARD KACHI GHANI OIL 2 LTR 10 PCS HANDLE,COMMODITY,MUSTARD,2120,0.5867,1244,1.24,1295,0.8916,1155,1.15,1155,1244,1199,6360,0,0
FG0000020,REFINED OIL 5 LTR,PREMIUM,CANOLA,1234,0.9043,1116,1.12,1359,0.8947,1216,1.22,1116,1216,1166,1180,1095,1426
FG0000128,JIVO GOLD 5 LTR 4 PCS,COMMODITY,BLENDED,1066,0.698,744,0.74,1799,0.7338,1320,1.32,744,1320,1032,710,2260,227
FG0000418,SOYABEAN OIL 1 LTR 20 PCS ROUND BOTTLE,COMMODITY,SOYABEAN,2167,0.566,1227,1.23,887,0.7071,627,0.63,627,1227,927,1405,2608,2489
FG0000130,COLD PRESS SUNFLOWER 200 LTR 1 PCS,COMMODITY,SUNFLOWER,1000,1.2015,1201,1.2,375,1.1943,448,0.45,448,1201,825,0,3000,0
FG0000399,JIVO KACHI GHANI COLD PRESSED MUSTARD OIL 5 LTR 4 PCS ( CSD ),COMMODITY,MUSTARD,1556,0.5867,913,0.91,747,0.8916,666,0.67,666,913,790,1285,1755,1628
FG0000021,REFINED OIL 1 LTR POUCH 12 PCS,PREMIUM,CANOLA,780,0.9043,705,0.71,852,0.8947,762,0.76,705,762,734,-39,717,1662
FG0000064,EXTRA LIGHT OIVE 2 LTR 10 PCS HANDLE,PREMIUM,OLIVE,784,0.9054,710,0.71,581,0.9193,534,0.53,534,710,622,1200,1152,0
FG0000043,COLD PRESS 3 LTR 6 PCS,PREMIUM,CANOLA,1003,0.9043,907,0.91,376,0.8947,337,0.34,337,907,622,0,15060,-12050
FG0000187,ZANO EXTRA VIRGIN OLIVE1 LTR 16 PCS,PREMIUM,OLIVE,677,0.9054,613,0.61,534,0.9193,491,0.49,491,613,552,1632,400,0
FG0000423,COLD PRESS SUNFLOWER 1 LTR 24 PCS,COMMODITY,SUNFLOWER,7,1.2015,8,0.01,871,1.1943,1040,1.04,8,1040,524,20,0,0
FG0000193,SOYABEAN OIL 1 LTR 20 PCS,COMMODITY,SOYABEAN,250,0.566,141,0.14,1133,0.7071,801,0.8,141,801,471,399,356,-5
FG0000016,REFINED OIL 2 LTR,PREMIUM,CANOLA,483,0.9043,437,0.44,523,0.8947,468,0.47,437,468,452,526,400,523
FG0000305,JAITOON OIL 5 LTR 4 PCS,PREMIUM,OLIVE,200,0.9054,181,0.18,670,0.9193,616,0.62,181,616,399,600,0,0
FG0000226,RICE BRAN OIL 5 LTR 4 PCS,COMMODITY,RICE BRAN,406,0.8323,338,0.34,392,0.9427,369,0.37,338,369,354,1260,-1220,1178
FG0000006,POMACE OLIVE 200 LTR 1 PCS,PREMIUM,OLIVE,333,0.9054,302,0.3,250,0.9193,230,0.23,230,302,266,1000,0,0
FG0000161,EXTRA VIRGIN OLIVE 500 MLS 24 PCS,PREMIUM,OLIVE,18,0.9054,17,0.02,529,0.9193,487,0.49,17,487,252,0,54,1
FG0000002,COLD PRESS 5 LTR + COLD PRESS 1 LTR 4 PCS,PREMIUM,CANOLA,24,0.9043,22,0.02,410,0.8947,366,0.37,22,366,194,0,72,0
FG0000085,COLD PRESS SOYABEAN 5 LTR 4 PCS,COMMODITY,SOYABEAN,45,0.566,25,0.03,472,0.7071,334,0.33,25,334,180,0,135,0
FG0000018,COLD PRESS 5 LTR + COLD PRESS 1 LTR 3 PCS SHRINKED,PREMIUM,CANOLA,232,0.9043,210,0.21,146,0.8947,130,0.13,130,210,170,0,696,0
FG0000389,JIVO GOLD 1 LTR 20 PCS ROUND BOTTLE,COMMODITY,BLENDED,344,0.698,240,0.24,129,0.7338,95,0.09,95,240,168,0,0,1033
FG0000365,LA RASOI POMACE OLIVE OIL 2 LTR 10 PCS HANDLE,PREMIUM,OLIVE,267,0.9054,241,0.24,100,0.9193,92,0.09,92,241,167,800,0,0
FG0000400,JIVO KACHI GHANI COLD PRESSED MUSTARD OIL1 LTR 20 PCS(CSD),COMMODITY,MUSTARD,300,0.5867,176,0.18,157,0.8916,140,0.14,140,176,158,225,293,383
FG0000352,SESAME OIL (TOASTED) 500 MLS 12 PCS,PREMIUM,SESAME,180,0.7207,130,0.13,179,0.8708,156,0.16,130,156,143,0,540,0
FG0000013,REFINED OIL 1000 MLS,PREMIUM,CANOLA,138,0.9043,125,0.12,144,0.8947,129,0.13,125,129,127,160,130,124
FG0000382,SPICES JEERA 100 GMS 45 PCS,OTHERS,SPICES,2,0.7207,1,0.0,261,0.8412,219,0.22,1,219,110,2,0,3
FG0000170,SOYABEAN OIL 13 KGS,COMMODITY,SOYABEAN,67,0.566,38,0.04,184,0.7071,130,0.13,38,130,84,0,200,0
FG0000149,JIVO GOLD 1 LTR 20 PCS,COMMODITY,BLENDED,86,0.698,60,0.06,132,0.7338,97,0.1,60,97,78,259,-2,0
FG0000319,KIRPA DESI GHEE 500 MLS 16 PCS,PREMIUM,GHEE,75,0.7221,54,0.05,89,0.8223,73,0.07,54,73,64,-8,26,207
FG0000105,EXTRA LIGHT OLIVE 250 MLS 4 PCS(CSD),PREMIUM,OLIVE,61,0.9054,56,0.06,68,0.9193,62,0.06,56,62,59,59,54,71
FG0000191,SOYABEAN OIL 15 LTR,COMMODITY,SOYABEAN,100,0.566,57,0.06,36,0.7071,25,0.03,25,57,41,0,300,0
FG0000395,JIVO EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS ( CSD ),PREMIUM,COCONUT,63,0.727,46,0.05,35,0.8397,30,0.03,30,46,38,66,87,35
FG0000157,EXTRA VIRGIN COCONUT OIL 500 MLS 24 PCS,PREMIUM,COCONUT,3,0.727,2,0.0,76,0.8397,64,0.06,2,64,33,-79,8,80
FG0000082,DESI GHEE A2 500 MLS 16 PCS,PREMIUM,GHEE,8,0.7221,6,0.01,71,0.8223,59,0.06,6,59,32,0,0,25
FG0000104,EXTRA LIGHT OLIVE 100 MLS 10 PCS(CSD),PREMIUM,OLIVE,24,0.9054,22,0.02,26,0.9193,24,0.02,22,24,23,26,20,26
FG0000398,JIVO EXTRA LIGHT OLIVE OIL 1 LTR 16 PCS ( CSD ),PREMIUM,OLIVE,33,0.9054,30,0.03,17,0.9193,15,0.02,15,30,23,26,29,45
FG0000223,JIVO DESI GHEE 1 LTR 16 PCS,PREMIUM,GHEE,39,0.7221,28,0.03,15,0.8223,12,0.01,12,28,20,0,118,0
FG0000039,EXTRA LIGHT OLIVE 500 MLS 24 PCS,PREMIUM,OLIVE,21,0.9054,19,0.02,20,0.9193,18,0.02,18,19,19,0,0,62
FG0000396,JIVO EXTRA VIRGIN OLIVE OIL 1 LTR 16 PCS ( CSD ),PREMIUM,OLIVE,27,0.9054,25,0.02,14,0.9193,13,0.01,13,25,19,25,23,34
FG0000155,EXTRA VIRGIN 2 LTR 10 PCS HANDLE,PREMIUM,OLIVE,1,0.9054,1,0.0,36,0.9193,33,0.03,1,33,17,2,0,0
FG0000114,POMACE OLIVE 2 LTR 10 PCS HANDLE,PREMIUM,OLIVE,19,0.9054,17,0.02,14,0.9193,13,0.01,13,17,15,0,56,0
FG0000086,COLD PRESS SOYABEAN 1 LTR 20 PCS,COMMODITY,SOYABEAN,35,0.566,20,0.02,13,0.7071,9,0.01,9,20,15,0,105,0
FG0000109,COLD PRESS SOYABEAN OIL 1 LTR POUCH 12 PCS,COMMODITY,SOYABEAN,26,0.566,15,0.01,10,0.7071,7,0.01,7,15,11,0,77,0
FG0000394,JIVO POMACE OLIVE OIL 1 LTR 16 PCS ( CSD ),PREMIUM,OLIVE,14,0.9054,13,0.01,8,0.9193,7,0.01,7,13,10,12,20,11
