date,warehouse,sap_onhand_l,invoiced_not_dispatched_l,at_gate_l,physical_l,ceiling_l,free_l,pct_full,invoiced_not_dispatched_intercompany_l,physical_incl_intercompany_l,stale_open_bills_l,basis
2024-10-04,BH-FG (overflow / secondary),217643,,0,217643,,,,,217643,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2024-10-04,BH-SC (overflow / secondary),501,,0,501,,,,,501,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2024-10-05,BH-PF,49166,0,0,49166,377000,327834,13.0,0,49166,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2024-10-05,OIL-FG-TOTAL (BH-BT+BH-PF),49166,0,0,49166,377000,327834,13.0,0,49166,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2024-10-05,GP-FG (overflow / secondary),0,,0,0,,,,,0,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2024-10-05,BH-FG (overflow / secondary),215273,,0,215273,,,,,215273,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2024-10-05,BH-SC (overflow / secondary),501,,0,501,,,,,501,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2024-10-06,BH-PF,49166,0,0,49166,377000,327834,13.0,0,49166,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2024-10-06,OIL-FG-TOTAL (BH-BT+BH-PF),49166,0,0,49166,377000,327834,13.0,0,49166,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2024-10-06,GP-FG (overflow / secondary),0,,0,0,,,,,0,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2024-10-06,BH-FG (overflow / secondary),215273,,0,215273,,,,,215273,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2024-10-06,BH-SC (overflow / secondary),501,,0,501,,,,,501,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2024-10-07,BH-PF,101354,0,0,101354,377000,275646,26.9,0,101354,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2024-10-07,OIL-FG-TOTAL (BH-BT+BH-PF),101354,0,0,101354,377000,275646,26.9,0,101354,0,SAP OnHand ONLY — no physical dispatch record exists this far back
