code,name,kind,uom,need,onhand,onorder,short_vs_stock,short_net,fastest_days,fastest_vendor,slowest_days,slowest_vendor
PM0000507,CARTON 5 LTR 4 PCS PLAIN,CARTON,PCS,252.00,1337.20,25.00,-1085.20,-1110.20,1.5,SSY CONTAINERS PVT LTD,3.0,SHIVALIK CONTAINERS PVT.LTD (AAECS1496B)
PM0000465,LABEL 13 KGS REFINED COTTON SEED OIL,LABEL,PCS,210.70,23359.00,0.00,-23148.30,-23148.30,13.0,ZENBI INTERNATIONAL PRIVATE LIMITED,13.0,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000421,LABEL 500 MLS EXTRA VIRGIN OLIVE OIL FRONT,LABEL,PCS,201.75,3383.00,1000.00,-3181.25,-4181.25,1.0,GRAPHICS ELITE,7.0,ROYAL PRIME LABELS
PM0000422,LABEL 500 MLS EXTRA VIRGIN OLIVE OIL BACK,LABEL,PCS,201.75,3383.00,1000.00,-3181.25,-4181.25,1.0,GRAPHICS ELITE,7.0,ROYAL PRIME LABELS
PM0000498,PET BOTTLE 500 MLS 34 GMS GREEN,PET BOTTLES,PCS,201.75,7243.00,5000.00,-7041.25,-12041.25,8.0,TPAC PACKAGING INDIA PVT LTD,8.0,TPAC PACKAGING INDIA PVT LTD
PM0000838,CARTON 2 LTR 10 PCS HANDLE BOTTLE PLAIN,CARTON,PCS,197.00,1996.00,0.00,-1799.00,-1799.00,4.0,KUBER PAPER & PACK PRIVATE LIMITED AAJCK3867H0,4.0,KUBER PAPER & PACK PRIVATE LIMITED AAJCK3867H0
PM0000218,LABEL 100 ML PET BOTTLE  EXTRA LIGHT FRONT,LABEL,PCS,193.00,17254.00,4000.00,-17061.00,-21061.00,4.0,MEDIA GRAPHIC PRINTS VEND,12.0,PACKGEN INTERNATIONAL PVT LTD
PM0000219,LABEL 100 ML PET BOTTLE  EXTRA LIGHT BACK,LABEL,PCS,193.00,19226.00,4000.00,-19033.00,-23033.00,4.0,MEDIA GRAPHIC PRINTS VEND,12.0,PACKGEN INTERNATIONAL PVT LTD
PM0000587,PET BOTTLE 250 ML BOTTLES,PET BOTTLES,PCS,186.40,12852.00,64000.00,-12665.60,-76665.60,13.7,ECHO PLAST INDIA,13.7,ECHO PLAST INDIA
PM0000332,LABEL 250 GMS EXTRA LIGHT BACK,LABEL,PCS,186.40,22315.00,1002.00,-22128.60,-23130.60,2.8,MEDIA GRAPHIC PRINTS VEND,2.8,MEDIA GRAPHIC PRINTS VEND
PM0000331,LABEL 250 GMS EXTRA LIGHT FRONT,LABEL,PCS,186.40,22279.00,1002.00,-22092.60,-23094.60,2.8,MEDIA GRAPHIC PRINTS VEND,2.8,MEDIA GRAPHIC PRINTS VEND
PM0000766,TIKKI BARCODE CSD 2 LTR CANOLA,TIKKI,PCS,184.00,9983.00,0.00,-9799.00,-9799.00,3.0,MEDIA GRAPHIC PRINTS VEND,3.0,MEDIA GRAPHIC PRINTS VEND
PM0000593,TIN 15 KGS/LTR MULTI CP KACCHI GHANI MUSTARD OIL  PRINTED,TIN,PCS,166.10,1255.00,3000.00,-1088.90,-4088.90,16.6,NATIONAL TIN INDUSTRIES,16.6,NATIONAL TIN INDUSTRIES
PM0000182,CARTON 3 LTR 6 PCS,CARTON,PCS,156.04,2670.26,12484.33,-2514.21,-14998.55,1.7,SSY CONTAINERS PVT LTD,21.0,KUBER PAPER & PACK PRIVATE LIMITED AAJCK3867H0
PM0000083,TIKKI BARCODE CSD 1 LTR CANOLA,TIKKI,PCS,146.00,14076.00,800.00,-13930.00,-14730.00,3.5,MEDIA GRAPHIC PRINTS VEND,3.5,MEDIA GRAPHIC PRINTS VEND
PM0000899,CARTON 3 LTR OLIVE 3 PCS,CARTON,PCS,134.40,1728.00,0.00,-1593.60,-1593.60,,,,
PM0000819,CARTON 1 LTR 20 PCS PLAIN,CARTON,PCS,129.95,1409.05,1.00,-1279.10,-1280.10,,,,
PM0000052,LABEL 5 LTR REFINED FRONT,LABEL,PCS,122.60,6258.00,0.00,-6135.40,-6135.40,17.5,ROYAL PRIME LABELS,17.5,ROYAL PRIME LABELS
PM0000051,LABEL 5 LTR REFINED BACK,LABEL,PCS,122.60,14580.00,0.00,-14457.40,-14457.40,17.5,ROYAL PRIME LABELS,17.5,ROYAL PRIME LABELS
