code,name,kind,uom,need,on_hand,on_order,cover_pct,short,at_zero,skus_blocked,litres_at_risk,value_at_risk,lead_days,first_short_day,order_by,order_basis,status,skus
PM0000500,LABEL 1 LTR EXTRA VIRGIN BACK ZANO,PACK,PCS,3000,3150,0,105.0,0,,0,0,0,6,,,,covered,ZANO EXTRA VIRGIN OLIVE1 LTR 1
PM0000522,LABEL 1 LTR RICE BRAN OIL FRONT,PACK,PCS,21000,57770,0,275.1,0,,0,0,0,6,,,,covered,RICE BRAN OIL 1 LTR 16 PCS
PM0000523,LABEL 1 LTR RICE BRAN OIL BACK,PACK,PCS,21000,57739,0,274.9,0,,0,0,0,6,,,,covered,RICE BRAN OIL 1 LTR 16 PCS
PM0000524,LABEL 5 LTR RICE BRAN OIL FRONT,PACK,PCS,5200,9495,0,182.6,0,,0,0,0,6,,,,covered,RICE BRAN OIL 5 LTR 4 PCS
PM0000525,LABEL 5 LTR RICE BRAN OIL BACK,PACK,PCS,5200,9365,0,180.1,0,,0,0,0,6,,,,covered,RICE BRAN OIL 5 LTR 4 PCS
PM0000535,LABEL 5 LTR COLD PRESS BACK 994,PACK,PCS,45000,11696,60000,159.3,0,,0,0,0,6,,,,covered,COLD PRESS 5 LTR 4 PCS
PM0000567,CAPS 1 LTR WHITE AND ORANGE (SMALL) PLAIN,PACK,PCS,20000,206855,0,999.9,0,,0,0,0,6,,,,covered,MUSTARD PAKKI GHANI 1 LTR 20 P
PM0000590,CARTON PET BOTTLE 250 ML 4 PCS,PACK,PCS,417,3907,0,937.7,0,,0,0,0,6,,,,covered,EXTRA VIRGIN COCONUT OIL 200 M
PM0000609,LABEL 15 KGS REFINED SOYBEAN OIL PCS,PACK,PCS,12133,34589,0,285.1,0,,0,0,0,6,,,,covered,SOYABEAN OIL 15 KGS
PM0000632,CARTON 5 LTR TIN OLIVE 4 PCS SANO,PACK,PCS,3000,1020,6507,250.9,0,,0,0,0,6,,,,covered,SANO POMACE OLIVE 5 LTR TIN 4 
PM0000656,GLASS BOTTLE 250 ML,PACK,PCS,2000,6953,0,347.7,0,,0,0,0,6,,,,covered,EXTRA VIRGIN OLIVE 250 MLS 4 P
PM0000658,CARTON 250 MLS GLASS BOTTLE 4 PCS,PACK,PCS,500,1931,0,386.2,0,,0,0,0,6,,,,covered,EXTRA VIRGIN OLIVE 250 MLS 4 P
PM0000660,TIN STRIP,PACK,KGS,213,930,0,436.2,0,,0,0,0,6,,,,covered,COLD PRESS SUNFLOWER OIL 15 LT;MUSTARD KACCHI GHANI 15 LTR;MUSTARD KACHI GHANI 15 KGS(PRI;REFINED COTTON SEED OIL 15 LTR;RICE BRAN OIL 15 KGS;SANO POMACE OLIVE OIL 15 L;SOYABEAN OI
PM0000690,LABEL 1 LTR PRESSED SESAME OIL FRONT,PACK,PCS,25000,31881,0,127.5,0,,0,0,0,6,,,,covered,SESAME OIL 1 LTR 20 PCS
PM0000691,LABEL 1 LTR PRESSED SESAME OIL BACK,PACK,PCS,25000,31650,0,126.6,0,,0,0,0,6,,,,covered,SESAME OIL 1 LTR 20 PCS
PM0000718,LABEL 1 LTR PRESSED MUSTARD OIL FRONT,PACK,PCS,5000,5191,0,103.8,0,,0,0,0,6,,,,covered,FIRST PRESSED MUSTARD OIL 1 LT
PM0000719,LABEL 1 LTR PRESSED MUSTARD OIL BACK,PACK,PCS,5000,5186,0,103.7,0,,0,0,0,6,,,,covered,FIRST PRESSED MUSTARD OIL 1 LT
PM0000729,CAPS INNER PET BOTTLE 250 MLS,PACK,PCS,4000,6961,0,174.0,0,,0,0,0,6,,,,covered,EXTRA VIRGIN OLIVE 250 MLS 4 P;SESAME OIL (TOASTED) 500 MLS 1
PM0000784,LABEL 1 LTR SO OLIVE BLENDED OLIVE OIL BACK,PACK,PCS,15000,30000,0,200.0,0,,0,0,0,6,,,,covered,SO OLIVE OIL 1 LTR 16 PCS
PM0000785,LABEL 1 LTR SO OLIVE BLENDED OLIVE OIL FRONT,PACK,PCS,15000,30000,0,200.0,0,,0,0,0,6,,,,covered,SO OLIVE OIL 1 LTR 16 PCS
PM0000815,LABEL 500 ML PURE TOASTED SESAME OIL BACK,PACK,PCS,2000,5038,0,251.9,0,,0,0,0,6,,,,covered,SESAME OIL (TOASTED) 500 MLS 1
PM0000816,LABEL 500 ML PURE TOASTED SESAME OIL FRONT,PACK,PCS,2000,5038,0,251.9,0,,0,0,0,6,,,,covered,SESAME OIL (TOASTED) 500 MLS 1
PM0000824,LABEL 1 LTR KACHI GHANI FULL,PACK,PCS,15000,547743,0,999.9,0,,0,0,0,6,,,,covered,MUSTARD KACHI GHANI 1 LTR 20 P
PM0000825,CARTON 1 LTR 20 PCS NEW,PACK,PCS,750,4214,8781,999.9,0,,0,0,0,6,,,,covered,MUSTARD KACHI GHANI 1 LTR 20 P
PM0000831,TIN 3 LTR EXTRA LIGHT OLIVE PRINTED,PACK,PCS,1000,1018,0,101.8,0,,0,0,0,6,,,,covered,EXTRA LIGHT OLIVE 3 LTR TIN 6 
PM0000841,LABEL 2 LTR CP CANOLA OIL HANDLE BOTTLE BACK LA RASOI,PACK,PCS,2000,2500,0,125.0,0,,0,0,0,6,,,,covered,LA RASOI COLD PRESSED CANOLA O
PM0000842,LABEL 2 LTR CP CANOLA OIL HANDLE BOTTLE FRONT LA RASOI,PACK,PCS,2000,2500,0,125.0,0,,0,0,0,6,,,,covered,LA RASOI COLD PRESSED CANOLA O
PM0000843,LABEL 2 LTR CP MUSTARD OIL HANDLE BOTTLE BACK LA RASOI,PACK,PCS,2000,3983,0,199.2,0,,0,0,0,6,,,,covered,LA RASOI COLD PRESSED MUSTARD 
PM0000846,LABEL 2 LTR CP MUSTARD OIL HENDLE BOTTLE FRONT LA RASOI,PACK,PCS,2000,3905,0,195.2,0,,0,0,0,6,,,,covered,LA RASOI COLD PRESSED MUSTARD 
PM0000851,PET BOTTLE 1 LTR 26 GM,PACK,PCS,977831,230742,1064900,132.5,0,,0,0,0,6,,,,covered,JIVO GOLD 1 LTR 20 PCS;JIVO MUSTARD KACCHI GHANI 869 ;MUSTARD KACHI GHANI 1 LTR 20 P;MUSTARD PAKKI GHANI 1 LTR 20 P;SANO MUSTARD OIL 1 LTR 20 PCS;SOYABEAN OIL 1 LTR 20 PCS
PM0000864,LABEL 1 LTR CANOLA FRONT (NIRMAL RISHI),PACK,PCS,60000,109180,0,182.0,0,,0,0,0,6,,,,covered,COLD PRESS 1 LTR 20 PCS (NIRMA
PM0000880,LABEL 2 LTR GROUNDNUT HANDLE BOTTLE BACK,PACK,PCS,10000,32670,0,326.7,0,,0,0,0,6,,,,covered,COLD PRESS GROUNDNUT OIL 2 LTR
PM0000881,LABEL 2 LTR GROUNDNUT HANDLE BOTTLE FRONT,PACK,PCS,10000,32670,0,326.7,0,,0,0,0,6,,,,covered,COLD PRESS GROUNDNUT OIL 2 LTR
PM0000884,SHRINK POF ROLL KG,PACK,KGS,252,1264,0,501.4,0,,0,0,0,6,,,,covered,COLD PRESS GROUNDNUT OIL 5 LTR;COLD PRESS SUNFLOWER 5 LTR 4 P
PM0000891,POUCH SOYABEAN MULTI  KGS,PACK,KGS,1215,5943,0,489.1,0,,0,0,0,6,,,,covered,SOYABEAN OIL 1 LTR POUCH 12 PC
PM0000892,LABEL 1 LTR PRESSED SUNFLOWER OIL FRONT,PACK,PCS,5000,5236,0,104.7,0,,0,0,0,6,,,,covered,FIRST PRESSED SUNFLOWER OIL 1 
PM0000893,LABEL 1 LTR PRESSED SUNFLOWER OIL BACK,PACK,PCS,5000,5179,0,103.6,0,,0,0,0,6,,,,covered,FIRST PRESSED SUNFLOWER OIL 1 
RM0000013,POMACE OLIVE LOOSE OIL IMPORTED,OIL,LTR,1807,65288,286,999.9,0,,0,0,0,11,,,,covered,JIVO GOLD 1 LTR 20 PCS;JIVO GOLD 5 LTR 4 PCS;SO OLIVE OIL 1 LTR 16 PCS;SO OLIVE OIL 5 LTR 4 PCS
RM0000015,LOOSE OIL COLD PRESS/REFINED,OIL,LTR,23908,35295,0,147.6,0,,0,0,0,11,,,,covered,JIVO GOLD 1 LTR 20 PCS;JIVO GOLD 5 LTR 4 PCS;SO OLIVE OIL 1 LTR 16 PCS;SO OLIVE OIL 5 LTR 4 PCS
RM0000025,SOYABEAN REFINED LOOSE OIL,OIL,LTR,502356,137198,942539,214.9,0,,0,0,0,11,,,,covered,JIVO GOLD 1 LTR 20 PCS;JIVO GOLD 5 LTR 4 PCS;SOYABEAN OIL 1 LTR 20 PCS;SOYABEAN OIL 1 LTR POUCH 12 PC;SOYABEAN OIL 15 KGS;SOYABEAN OIL 15 LTR;SOYABEAN OIL 5 LTR 4 PCS
RM0000053,LOOSE OIL SESAME SEED OIL (TOASTED),OIL,LTR,1000,13105,0,999.9,0,,0,0,0,11,,,,covered,SESAME OIL (TOASTED) 500 MLS 1
