code,name,kind,uom,need,on_hand,on_order,cover_pct,short,at_zero,skus_blocked,litres_at_risk,value_at_risk,lead_days,first_short_day,order_by,order_basis,status,skus
PM0000085,CAPS 1 OR 2 LTR WHITE AND YELLOW WITH LOGO,PACK,PCS,735000,57000,521000,78.6,157000,,0,0,0,6,,,,covered,COLD PRESS GROUNDNUT 500 MLS 2;COLD PRESS GROUNDNUT OIL 1 LTR;COLD PRESS SUNFLOWER 1 LTR +1 ;COLD PRESS SUNFLOWER 1 LTR 20 ;FIRST PRESSED SUNFLOWER OIL 1 
PM0000006,CARTON 1 LTR 20 PCS PET 40 GM,PACK,PCS,28250,10267,3990,50.5,13993,,0,0,0,6,,,,covered,COLD PRESS 1 LTR + 1 LTR COMBO;COLD PRESS 1 LTR +1 LTR COMBO ;COLD PRESS 1 LTR 20 PCS;COLD PRESS 1 LTR 20 PCS (NIRMA;COLD PRESS SUNFLOWER 1 LTR +1 ;COLD PRESS SUNFLOWER 1 LTR 20 ;M
PM0000411,CARTON 1 LTR 20 PCS PET 26GM,PACK,PCS,43142,12135,17616,69.0,13390,,0,0,0,6,,,,covered,JIVO GOLD 1 LTR 20 PCS;JIVO MUSTARD KACCHI GHANI 869 ;MUSTARD KACHI GHANI 1 LTR 20 P;MUSTARD PAKKI GHANI 1 LTR 20 P;SOYABEAN OIL 1 LTR 20 PCS
PM0000408,CAPS 1 & 2 LTR WHITE AND GREEN PLAIN,PACK,PCS,88000,78002,0,88.6,9998,,0,0,0,6,,,,covered,SANO POMACE OLIVE 1 LTR 16 PCS;SO OLIVE OIL 1 LTR 16 PCS;ZANO EXTRA VIRGIN OLIVE1 LTR 1;ZANO POMACE OLIVE 1 LTR 16 PCS
PM0000080,TIN 5 LTR POMACE OLIVE PRINTED,PACK,PCS,31000,224,23816,77.5,6960,,0,0,0,6,,,,covered,POMACE OLIVE 5 LTR TIN 4 PCS
PM0000426,LABEL 1 LTR GROUNDNUT BACK,PACK,PCS,385000,231500,150000,99.1,3500,,0,0,0,6,,,,covered,COLD PRESS GROUNDNUT OIL 1 LTR
PM0000425,LABEL 1 LTR GROUNDNUT FRONT,PACK,PCS,385000,232317,150000,99.3,2683,,0,0,0,6,,,,covered,COLD PRESS GROUNDNUT OIL 1 LTR
PM0000657,CARTON 1 LTR 16 PCS SANO,PACK,PCS,3750,2025,890,77.7,835,,0,0,0,6,,,,covered,SANO POMACE OLIVE 1 LTR 16 PCS
PM0000835,TIN 5 LTR FP YELLOW MUSTARD OIL PRINTED,PACK,PCS,6600,15,6000,91.1,585,,0,0,0,6,,,,covered,YELLOW MUSTARD OIL 5 LTR TIN 4
PM0000005,CARTON 1 LTR 12 POUCHES,PACK,PCS,15083,7397,7194,96.7,492,,0,0,0,6,,,,covered,MUSTARD KACHHI GHANI 1 LTR POU;REFINED OIL 1 LTR POUCH 12 PCS;SOYABEAN OIL 1 LTR POUCH 12 PC
