code,name,kind,need,on_hand,on_order,cover_pct,short,skus_blocked,litres_at_risk,value_at_risk,lead_days,order_by,status
RM0000037,COCONUT EXTRA VIRGIN OIL,OIL,7000,5609,0,80.1,1391,3,7000,1038310,11,2026-08-21,LATE
PM0000126,LABEL 500 MLS COLD PRESS FRONT,PACK,10000,8142,0,81.4,1858,1,5000,850000,6,2026-08-26,LATE
PM0000908,LABEL 500 ML CP GROUNDNUT FRONT,PACK,10000,1808,0,18.1,8192,1,5000,850000,6,2026-08-26,LATE
PM0000909,LABEL 500 ML CP GROUNDNUT BACK,PACK,10000,1808,0,18.1,8192,1,5000,850000,6,2026-08-26,LATE
PM0000900,LABEL 200 ML CP KACHI GHANI FRONT,PACK,25000,2360,0,9.4,22640,1,5000,750000,6,2026-08-26,LATE
PM0000901,LABEL 200 ML CP KACHI GHANI BACK,PACK,25000,2380,0,9.5,22620,1,5000,750000,6,2026-08-26,LATE
PM0000333,CAPS 250 MLS GLASS BOTTLE,PACK,4000,1442,0,36.0,2558,2,1500,428643,6,2026-08-26,LATE
PM0000084,PET BOTTLE 5 LTR,PACK,400,22,0,5.5,378,1,2000,296660,6,2026-08-26,LATE
PM0000150,GLASS BOTTLE 500 MLS,PACK,2000,435,0,21.8,1565,1,1000,243668,6,2026-08-26,LATE
PM0000153,CARTON 500 MLS EXTRA VIRGIN 12 PCS,PACK,167,10,0,6.1,157,1,1000,243668,6,2026-08-26,LATE
PM0000854,LABEL 10 ML EXTRA VIRGIN OLIVE OIL,PACK,30000,1060,0,3.5,28940,1,300,44499,6,2026-08-26,LATE
PM0000852,PREFORM 49.5 GMS 36 MM,PACK,732000,223109,361189,79.8,147702,0,0,0,6,2026-08-26,LATE
