row,code,brand,head,category,sub,sku,per_ltrs,pack_type,ltrs_box,case_pack,total_pcs,gt_mt_roi_t,ecom_t,total_t
36,FG0000192,JIVO,COMMODITY,SOYABEAN,JIVO SOYABEAN,SOYABEAN OIL 5 LTR 4 PCS,5,5 LTR JAR,20,4,6000.0,20.0,10.0,30.0
37,FG0000275,JIVO,COMMODITY,SUNFLOWER,JIVO SUNFLOWER,COLD PRESS SUNFLOWER OIL 15 LTR,15,TIN,15,1,2000.0,30.0,0.0,30.0
38,FG0000064,JIVO,PREMIUM,EXTRA LIGHT,JIVO EL,EXTRA LIGHT OIVE 2 LTR 10 PCS HANDLE,2,PET,20,10,13500.0,2.0,25.0,27.0
39,FG0000226,JIVO,COMMODITY,RICE BRAN,JIVO RICE BRAIN HEALTH,RICE BRAN OIL 5 LTR 4 PCS,5,5 LTR JAR,20,4,5200.0,6.0,20.0,26.0
40,FG0000324,JIVO,PREMIUM,SESAME,SESAME,SESAME OIL 1 LTR 20 PCS,1,PET 75GM,16,16,25000.0,5.0,20.0,25.0
41,FG0000009,JIVO,PREMIUM,EXTRA LIGHT,JIVO EL,EXTRA LIGHT OLIVE 5 LTR TIN 4 PCS,5,TIN,20,4,4600.0,8.0,15.0,23.0
42,FG0000374,JIVO,PREMIUM,YELLOW MUSTARD,YELLOW MUSTARD,YELLOW MUSTARD OIL 5 LTR TIN 4 PCS,5,TIN,20,4,4600.0,8.0,15.0,23.0
43,FG0000042,JIVO,PREMIUM,EXTRA VIRGIN,EXTRA VIRGIN,EXTRA VIRGIN OLIVE 1 LTR 16 PCS,1,PET 52 GRAM,16,16,22000.0,12.0,10.0,22.0
44,FG0000227,JIVO,COMMODITY,RICE BRAN,JIVO RICE BRAIN HEALTH,RICE BRAN OIL 1 LTR 16 PCS,1,PET 52 GRAM,20,20,21000.0,6.0,15.0,21.0
45,FG0000441,JIVO,PREMIUM,GROUNDNUT,JIVO GROUNDNUT,COLD PRESS GROUNDNUT 200 MLS 70 PCS - BH,200 ML,PET,#VALUE!,70,105000.0,0.0,21.0,21.0
