item,item_code,qty,uom,supplier,region,contract_ref,contract_date,delivery_by,delivered,pending,rate,value_inr,status
MUSTARD LOOSE OIL,RM0000003,13.0000,MT,VAISHNODEVI OIL SEEDS  PROCESSING INDUSTRIES,Gujarat (GJ),DC-104|PO-825226569,2025-08-12,2025-08-19,12.7200,0.2800,166500.00,2164500.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,42.0000,MT,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED,Gujarat (GJ),DC-103|PO-825226528,2025-08-09,2025-08-13,41.5300,0.4700,121000.00,5082000.00,dc/RECEIVED
GROUNDNUT LOOSE OIL,RM0000011,42.0000,MT,VINOD AGRO INDUSTRIES PRIVATE LIMITED,Rajasthan (RJ),DC-102|PO-825226514,2025-08-07,2025-08-12,41.0100,0.9900,140000.00,5880000.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,39.0000,MT,DIL EXIM COMMODITIES PRIVATE LIMITED,Gujarat (GJ),DC-99|PO-825226512,2025-08-07,2025-08-11,38.3900,0.6100,119800.00,4672200.00,dc/RECEIVED
MUSTARD LOOSE OIL,RM0000003,7.0000,MT,VAISHNODEVI OIL SEEDS  PROCESSING INDUSTRIES,Gujarat (GJ),DC-100|PO-725226536,2025-08-06,2025-08-11,6.8700,0.1300,155000.00,1085000.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,43.0000,MT,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED,Gujarat (GJ),DC-98|PO-825226511,2025-08-06,2025-08-08,41.9700,1.0300,120300.00,5172900.00,dc/RECEIVED
RICE BRAN REFINED OIL,RM0000007,35.0000,MT,JAYSHREE SOLVEX INDIA PRIVATE LIMITED,Chhattisgarh (CT),DC-101|PO-825226538,2025-08-06,2025-08-12,34.3000,0.7000,137000.00,4795000.00,dc/RECEIVED
MUSTARD LOOSE OIL,RM0000003,39.0000,MT,VAISHNODEVI OIL SEEDS  PROCESSING INDUSTRIES,Gujarat (GJ),DC-97|PO-725226635,2025-08-02,2025-08-07,37.9400,1.0600,166500.00,6493500.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,38.0000,MT,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED,Gujarat (GJ),DC-96|PO-725226636,2025-07-29,2025-08-02,37.8600,0.1400,119400.00,4537200.00,dc/RECEIVED
RICE BRAN REFINED OIL,RM0000007,43.0000,MT,MODI OIL TRADERS,Punjab (PB),DC-92|PO-725226659,2025-07-29,2025-07-31,41.8900,1.1100,132000.00,5676000.00,dc/RECEIVED
LOOSE REFINED OLIVE OIL,RM0000001,38.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-94|PO-825226501,2025-07-28,2025-08-01,37.7100,0.2900,250000.00,9500000.00,dc/RECEIVED
LOOSE REFINED OLIVE OIL,RM0000001,38.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-93|PO-825226500,2025-07-28,2025-08-01,37.7700,0.2300,250000.00,9500000.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,43.0000,MT,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED,Gujarat (GJ),DC-90|PO-725226601,2025-07-24,2025-07-28,42.5800,0.4200,119000.00,5117000.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,43.0000,MT,DIL EXIM COMMODITIES PRIVATE LIMITED,Gujarat (GJ),DC-95|PO-725226598,2025-07-23,2025-08-01,42.7000,0.3000,119600.00,5142800.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,43.0000,MT,DIL EXIM COMMODITIES PRIVATE LIMITED,Gujarat (GJ),DC-195|PO-725226599,2025-07-23,2025-07-26,42.6700,0.3300,119600.00,5142800.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,43.0000,MT,DIL EXIM COMMODITIES PRIVATE LIMITED,Gujarat (GJ),DC-91|PO-725226597,2025-07-23,2025-07-30,42.7000,0.3000,119600.00,5142800.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,43.0000,MT,NETAJI OIL DEPOT PVT LTD,Gujarat (GJ),DC-89|PO-725226574,2025-07-19,2025-07-22,42.7700,0.2300,117500.00,5052500.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,40.0000,MT,DIL EXIM COMMODITIES PRIVATE LIMITED,Gujarat (GJ),DC-88|PO-725226569,2025-07-18,2025-07-21,39.4900,0.5100,117500.00,4700000.00,dc/RECEIVED
MUSTARD LOOSE OIL,RM0000003,43.0000,MT,VAISHNODEVI OIL SEEDS  PROCESSING INDUSTRIES,Gujarat (GJ),DC-86|PO-625226536,2025-07-16,2025-07-19,42.5400,0.4600,155000.00,6665000.00,dc/RECEIVED
LOOSE REFINED OLIVE OIL,RM0000001,43.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-85|PO-725226591,2025-07-15,2025-07-19,42.6400,0.3600,250000.00,10750000.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,44.0000,MT,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED,Gujarat (GJ),DC-87|PO-725226556,2025-07-13,2025-07-19,43.0300,0.9700,116500.00,5126000.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,43.0000,MT,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED,Gujarat (GJ),DC-81|PO-725226550,2025-07-13,2025-07-17,42.7900,0.2100,115500.00,4966500.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,43.0000,MT,LEGACY COMMODITIES PRIVATE LIMITED(VEND),Gujarat (GJ),DC-84|PO-725226545,2025-07-12,2025-07-17,42.7400,0.2600,116000.00,4988000.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,43.0000,MT,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED,Gujarat (GJ),DC-82|PO-725226544,2025-07-11,2025-07-15,42.5700,0.4300,116000.00,4988000.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,42.0000,MT,GOYAL OIL MILLS,Delhi (DL),DC-79|PO-725226526,2025-07-09,2025-07-11,41.5400,0.4600,120476.00,5059992.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,42.0000,MT,GOYAL OIL MILLS,Delhi (DL),DC-78|PO-725226525,2025-07-08,2025-07-10,41.5200,0.4800,126500.00,5313000.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,43.0000,MT,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED,Gujarat (GJ),DC-80|PO-725226522,2025-07-08,2025-07-12,42.6000,0.4000,115600.00,4970800.00,dc/RECEIVED
COCONUT EXTRA VIRGIN OIL,RM0000037,0.0230,MT,SAMSON GLOBAL PRIVATE LIMITED,Tamil Nadu (TN),DC-83|PO-725226513,2025-07-07,2025-07-15,5.0000,0.0000,428000.00,9844.00,dc/RECEIVED|unit-normalised-kg-to-MT
GROUNDNUT LOOSE OIL,RM0000011,31.0000,MT,DHANLAXMI EDIBLES PRIVATE LIMITED,Gujarat (GJ),DC-77|PO-725226512,2025-07-04,2025-07-09,30.3800,0.6200,140000.00,4340000.00,dc/RECEIVED
SEASAME OIL,RM0000054,2.0200,MT,TIRUPATI AGRO INDUSTRIES,Rajasthan (RJ),DC-75|PO-755226509,2025-07-03,2025-07-04,2.0800,0.0000,170000.00,343400.00,dc/RECEIVED|unit-normalised-kg-to-MT
SOYABEAN REFINED LOOSE OIL,RM0000025,43.0000,MT,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED,Gujarat (GJ),DC-76|PO-625226639,2025-06-29,2025-07-05,42.7400,0.2600,115500.00,4966500.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,43.0000,MT,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED,Gujarat (GJ),DC-74|PO-625226630,2025-06-28,2025-07-04,42.4500,0.5500,115300.00,4957900.00,dc/RECEIVED
MUSTARD LOOSE OIL,RM0000003,258.0000,MT,VAISHNODEVI OIL SEEDS  PROCESSING INDUSTRIES,Gujarat (GJ),DC-72|PO-625226596,2025-06-27,2025-06-28,42.5500,215.4500,146000.00,37668000.00,dc/RECEIVED
GROUNDNUT LOOSE OIL,RM0000011,43.0000,MT,DHANLAXMI EDIBLES PRIVATE LIMITED,Gujarat (GJ),DC-73|PO-625226602,2025-06-26,2025-07-01,42.4400,0.5600,144000.00,6192000.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,43.0000,MT,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED,Gujarat (GJ),DC-71|PO-625226608,2025-06-26,2025-06-28,41.7700,1.2300,115100.00,4949300.00,dc/RECEIVED
RICE BRAN REFINED OIL,RM0000007,41.0000,MT,GARG OILS TRADERS,Uttar Pradesh (UP),DC-69|PO-625226600,2025-06-21,2025-06-24,40.1200,0.8800,120950.00,4958950.00,dc/RECEIVED
MUSTARD LOOSE OIL,RM0000003,43.0000,MT,VAISHNODEVI OIL SEEDS  PROCESSING INDUSTRIES,Gujarat (GJ),DC-70|PO-625226553,2025-06-21,2025-06-24,42.5300,0.4700,145000.00,6235000.00,dc/RECEIVED
MUSTARD LOOSE OIL,RM0000003,43.0000,MT,VAISHNODEVI OIL SEEDS  PROCESSING INDUSTRIES,Gujarat (GJ),DC-68|PO-625226544,2025-06-18,2025-06-21,42.2100,0.7900,145000.00,6235000.00,dc/RECEIVED
REFINED SUNFLOWER OIL,RM0000009,40.0000,MT,GOYAL OIL MILLS,Delhi (DL),DC-66|PO-625226543,2025-06-13,2025-06-17,39.5900,0.4100,149500.00,5980000.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,43.0000,MT,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED,Gujarat (GJ),DC-67|PO-625226524,2025-06-11,2025-06-21,42.3200,0.6800,111800.00,4807400.00,dc/RECEIVED
MUSTARD LOOSE OIL,RM0000003,43.0000,MT,VAISHNODEVI OIL SEEDS  PROCESSING INDUSTRIES,Gujarat (GJ),DC-64|PO-625226523,2025-06-11,2025-06-14,42.5600,0.4400,142000.00,6106000.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,43.0000,MT,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED,Gujarat (GJ),DC-65|PO-625226522,2025-06-10,2025-06-17,42.8300,0.1700,112000.00,4816000.00,dc/RECEIVED
LOOSE REFINED OLIVE OIL,RM0000001,43.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-63|PO-625226533,2025-06-09,2025-06-13,42.4300,0.5700,250000.00,10750000.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,43.0000,MT,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED,Gujarat (GJ),DC-62|PO-625226521,2025-06-08,2025-06-12,43.1900,0.0000,111800.00,4807400.00,dc/RECEIVED
MUSTARD LOOSE OIL,RM0000003,43.0000,MT,VAISHNODEVI OIL SEEDS  PROCESSING INDUSTRIES,Gujarat (GJ),DC-61|PO-625226520,2025-06-08,2025-06-11,42.3600,0.6400,141500.00,6084500.00,dc/RECEIVED
MUSTARD LOOSE OIL,RM0000003,43.0000,MT,VAISHNODEVI OIL SEEDS  PROCESSING INDUSTRIES,Gujarat (GJ),DC-59|PO-625226512,2025-06-07,2025-06-10,42.8600,0.1400,141500.00,6084500.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,43.0000,MT,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED,Gujarat (GJ),DC-60|PO-625226513,2025-06-07,2025-06-10,42.5000,0.5000,112000.00,4816000.00,dc/RECEIVED
LOOSE REFINED OLIVE OIL,RM0000001,43.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-57|PO-625226508,2025-06-04,2025-06-07,42.7000,0.3000,250000.00,10750000.00,dc/RECEIVED
LOOSE REFINED OLIVE OIL,RM0000001,43.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-56|PO-625226507,2025-06-04,2025-06-07,42.2000,0.8000,250000.00,10750000.00,dc/RECEIVED
LOOSE REFINED OLIVE OIL,RM0000001,43.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-58|PO-625226509,2025-06-04,2025-06-10,42.2100,0.7900,250000.00,10750000.00,dc/RECEIVED
LOOSE REFINED OLIVE OIL,RM0000001,43.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-54|PO-625226504,2025-06-02,2025-06-03,42.4100,0.5900,250000.00,10750000.00,dc/RECEIVED
MUSTARD LOOSE OIL,RM0000003,43.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-52|PO-525226670,2025-05-31,2025-05-31,42.0800,0.9200,119000.00,5117000.00,dc/RECEIVED
MUSTARD LOOSE OIL,RM0000003,43.0000,MT,VAISHNODEVI OIL SEEDS  PROCESSING INDUSTRIES,Gujarat (GJ),DC-51|PO-525226624,2025-05-27,2025-05-30,41.9800,1.0200,141500.00,6084500.00,dc/RECEIVED
LOOSE REFINED OLIVE OIL,RM0000001,43.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-55|PO-625226505,2025-05-27,2025-06-03,42.3600,0.6400,250000.00,10750000.00,dc/RECEIVED
LOOSE REFINED OLIVE OIL,RM0000001,43.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-53|PO-625226503,2025-05-27,2025-06-03,42.6000,0.4000,250000.00,10750000.00,dc/RECEIVED
MUSTARD LOOSE OIL,RM0000003,29.0000,MT,MODI OIL TRADERS,Punjab (PB),DC-50|PO-525226636,2025-05-25,2025-05-28,28.7000,0.3000,119000.00,3451000.00,dc/RECEIVED
MUSTARD LOOSE OIL,RM0000003,43.0000,MT,VAISHNODEVI OIL SEEDS  PROCESSING INDUSTRIES,Gujarat (GJ),DC-49|PO-525226622,2025-05-24,2025-05-27,42.2300,0.7700,140000.00,6020000.00,dc/RECEIVED
MUSTARD LOOSE OIL,RM0000003,43.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-48|PO-525226625,2025-05-23,2025-05-26,42.2000,0.8000,121000.00,5203000.00,dc/RECEIVED
MUSTARD LOOSE OIL,RM0000003,43.0000,MT,VAISHNODEVI OIL SEEDS  PROCESSING INDUSTRIES,Gujarat (GJ),DC-47|PO-525226594,2025-05-22,2025-05-25,42.4300,0.5700,140000.00,6020000.00,dc/RECEIVED
MUSTARD LOOSE OIL,RM0000003,43.0000,MT,VAISHNODEVI OIL SEEDS  PROCESSING INDUSTRIES,Gujarat (GJ),DC-42|PO-525226534,2025-05-20,2025-05-26,42.2500,0.7500,132500.00,5697500.00,dc/RECEIVED
LOOSE REFINED OLIVE OIL,RM0000001,42.0000,MT,INDRANI FOODS,Haryana (HR),DC-41|PO-525226584,2025-05-17,2025-05-19,41.4900,0.5100,241500.00,10143000.00,dc/RECEIVED
LOOSE REFINED OLIVE OIL,RM0000001,41.0000,MT,INDRANI FOODS,Haryana (HR),DC-43|PO-525226592,2025-05-17,2025-05-20,40.7600,0.2400,241500.00,9901500.00,dc/RECEIVED
MUSTARD LOOSE OIL,RM0000003,43.0000,MT,INDRANI FOODS,Haryana (HR),DC-44|PO-525226587,2025-05-15,2025-05-19,42.6200,0.3800,241500.00,10384500.00,dc/RECEIVED
(blank in EXIM),FG0000297,0.0260,MT,MAA JAWALA OVERSEAS,Haryana (HR),DC-46|PO-525226569,2025-05-13,2025-05-17,2.0000,0.0000,1715000.00,44590.00,dc/RECEIVED|unit-normalised-kg-to-MT|no-product-name
MUSTARD LOOSE OIL,RM0000003,41.0000,MT,CHANDRA INDUSTRIES,Rajasthan (RJ),DC-40|PO-525226542,2025-05-10,2025-05-14,40.6800,0.3200,136500.00,5596500.00,dc/RECEIVED
MUSTARD LOOSE OIL,RM0000003,43.0000,MT,VAISHNODEVI OIL SEEDS  PROCESSING INDUSTRIES,Gujarat (GJ),DC-37|PO-525226507,2025-05-09,2025-05-12,42.4400,0.5600,132000.00,5676000.00,dc/RECEIVED
LOOSE REFINED OLIVE OIL,RM0000001,42.0000,MT,INDRANI FOODS,Haryana (HR),DC-45|PO-525226600,2025-05-08,2025-05-21,41.6000,0.4000,243500.00,10227000.00,dc/RECEIVED
MUSTARD LOOSE OIL,RM0000003,43.0000,MT,VAISHNODEVI OIL SEEDS  PROCESSING INDUSTRIES,Gujarat (GJ),DC-38|PO-525226515,2025-05-05,2025-05-10,40.1200,2.8800,132000.00,5676000.00,dc/RECEIVED
MUSTARD LOOSE OIL,RM0000003,43.0000,MT,INDRANI FOODS,Haryana (HR),DC-39|PO-525226557,2025-05-02,2025-05-12,42.7500,0.2500,116000.00,4988000.00,dc/RECEIVED
MUSTARD LOOSE OIL,RM0000003,43.0000,MT,INDRANI FOODS,Haryana (HR),DC-36|PO-425226655,2025-04-28,2025-05-03,42.5000,0.5000,118000.00,5074000.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,43.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-34|PO-425226647,2025-04-26,2025-04-28,42.7200,0.2800,128500.00,5525500.00,dc/RECEIVED
MUSTARD LOOSE OIL,RM0000003,43.0000,MT,VAISHNODEVI OIL SEEDS  PROCESSING INDUSTRIES,Gujarat (GJ),DC-30|PO-425226622,2025-04-25,2025-04-28,42.4300,0.5700,132500.00,5697500.00,dc/RECEIVED
MUSTARD LOOSE OIL,RM0000003,43.0000,MT,VAISHNODEVI OIL SEEDS  PROCESSING INDUSTRIES,Gujarat (GJ),DC-35|PO-425226585,2025-04-22,2025-04-28,42.2300,0.7700,133000.00,5719000.00,dc/RECEIVED
MUSTARD LOOSE OIL,RM0000003,31.0000,MT,JMVD INTERNATIONAL,Rajasthan (RJ),DC-29|PO-425226583,2025-04-21,2025-04-23,29.8900,1.1100,132750.00,4115250.00,dc/RECEIVED
LOOSE REFINED OLIVE OIL,RM0000001,43.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-33|PO-425226634,2025-04-21,2025-04-28,42.8500,0.1500,250000.00,10750000.00,dc/RECEIVED
MUSTARD LOOSE OIL,RM0000003,31.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-32|PO-425226609,2025-04-21,2025-04-23,30.7700,0.2300,118500.00,3673500.00,dc/RECEIVED
MUSTARD LOOSE OIL,RM0000003,44.0000,MT,CONCEPT COLOUR,Delhi (DL),DC-31|PO-425226604,2025-04-19,2025-04-24,43.0100,0.9900,119000.00,5236000.00,dc/RECEIVED
REFINED SUNFLOWER OIL,RM0000009,43.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-28|PO-425226590,2025-04-15,2025-04-21,42.3100,0.6900,136500.00,5869500.00,dc/RECEIVED
MUSTARD LOOSE OIL,RM0000003,44.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-26|PO-425226599,2025-04-15,2025-04-19,43.2900,0.7100,132000.00,5808000.00,dc/RECEIVED
COCONUT EXTRA VIRGIN OIL,RM0000037,43.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-25|PO-425226591,2025-04-15,2025-04-19,42.7700,0.2300,133500.00,5740500.00,dc/RECEIVED
GROUNDNUT LOOSE OIL,RM0000011,36.0000,MT,VINOD AGRO INDUSTRIES PRIVATE LIMITED,Rajasthan (RJ),DC-24|PO-425226571,2025-04-15,2025-04-21,35.2300,0.7700,141000.00,5076000.00,dc/RECEIVED
MUSTARD LOOSE OIL,RM0000003,43.0000,MT,VAISHNODEVI OIL SEEDS  PROCESSING INDUSTRIES,Gujarat (GJ),DC-21|PO-325226700,2025-04-11,2025-04-15,42.3000,0.7000,132000.00,5676000.00,dc/RECEIVED
REFINED SUNFLOWER OIL,RM0000009,43.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-27|PO-425226584,2025-04-11,2025-04-19,42.3100,0.6900,135000.00,5805000.00,dc/RECEIVED
LOOSE REFINED OLIVE OIL,RM0000001,43.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-23|PO-425226573,2025-04-11,2025-04-18,42.6800,0.3200,250000.00,10750000.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,43.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-22|PO-425226574,2025-04-11,2025-04-18,42.7200,0.2800,128000.00,5504000.00,dc/RECEIVED
LOOSE REFINED OLIVE OIL,RM0000001,43.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-18|PO-425226560,2025-04-09,2025-04-18,42.6400,0.3600,250000.00,10750000.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,43.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-20|PO-425226570,2025-04-09,2025-04-18,42.3600,0.6400,127500.00,5482500.00,dc/RECEIVED
LOOSE REFINED OLIVE OIL,RM0000001,43.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-19|PO-425226565,2025-04-09,2025-04-14,42.7900,0.2100,250000.00,10750000.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,43.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-15|PO-425226559,2025-04-09,2025-04-14,42.7700,0.2300,127500.00,5482500.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,43.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-13|PO-425226527,2025-04-05,2025-04-08,42.5700,0.4300,128000.00,5504000.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,43.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-14|PO-425226534,2025-04-05,2025-04-08,42.7300,0.2700,128000.00,5504000.00,dc/RECEIVED
LOOSE REFINED OLIVE OIL,RM0000001,43.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-12|PO-425226535,2025-04-05,2025-04-11,42.7600,0.2400,295000.00,12685000.00,dc/RECEIVED
REFINED SUNFLOWER OIL,RM0000009,43.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-6|PO-425226523,2025-04-03,2025-04-08,42.3700,0.6300,138000.00,5934000.00,dc/RECEIVED
RICE BRAN REFINED OIL,RM0000007,43.0000,MT,SS OILS & FIBRES,Haryana (HR),DC-11|PO-325226711,2025-04-03,2025-04-07,42.8100,0.1900,119000.00,5117000.00,dc/RECEIVED
GROUNDNUT LOOSE OIL,RM0000011,43.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-10|PO-425226516,2025-04-02,2025-04-03,42.5300,0.4700,142000.00,6106000.00,dc/RECEIVED
MUSTARD LOOSE OIL,RM0000003,44.0000,MT,VAISHNODEVI OIL SEEDS  PROCESSING INDUSTRIES,Gujarat (GJ),DC-9|PO-325226701,2025-04-01,2025-04-05,43.0700,0.9300,132000.00,5808000.00,dc/RECEIVED
LOOSE REFINED OLIVE OIL,RM0000001,44.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-8|PO-425226506,2025-04-01,2025-04-02,43.1600,0.8400,250000.00,11000000.00,dc/RECEIVED
REFINED SUNFLOWER OIL,RM0000009,43.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-7|PO-425226505,2025-04-01,2025-04-02,42.5200,0.4800,140000.00,6020000.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,250.0000,MT,AWL AGRI BUSINESS LIMITED,Gujarat (GJ),DC-304|PO-220526051,2026-05-13,,,250.0000,149500.00,37375000.00,dc/CONTRACT
MUSTARD LOOSE OIL,RM0000003,250.0000,MT,AWL AGRI BUSINESS LIMITED,Gujarat (GJ),DC-307|PO-220526066,2026-05-13,,,250.0000,149500.00,37375000.00,dc/CONTRACT
RICE BRAN REFINED OIL,RM0000007,120.0000,MT,AWL AGRI BUSINESS LIMITED,Gujarat (GJ),DC-305|PO-220526052,2026-05-13,,,120.0000,145000.00,17400000.00,dc/CONTRACT
GROUNDNUT LOOSE OIL,RM0000011,42.0000,MT,DHANLAXMI EDIBLES PRIVATE LIMITED,Gujarat (GJ),DC-306|PO-220526038,2026-05-09,,,42.0000,158000.00,6636000.00,dc/CONTRACT
SOYABEAN REFINED LOOSE OIL,RM0000025,240.0000,MT,AWL AGRI BUSINESS LIMITED,Gujarat (GJ),DC-303|PO-220526031,2026-05-08,,,240.0000,149500.00,35880000.00,dc/CONTRACT
GROUNDNUT LOOSE OIL,RM0000011,40.0000,MT,DHANLAXMI EDIBLES PRIVATE LIMITED,Gujarat (GJ),DC-302|PO-220426141,2026-04-30,,,40.0000,160000.00,6400000.00,dc/CONTRACT
MUSTARD LOOSE OIL,RM0000003,250.0000,MT,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED,Gujarat (GJ),DC-301|PO-220426113,2026-04-26,,,250.0000,145000.00,36250000.00,dc/CONTRACT
MUSTARD LOOSE OIL,RM0000003,40.0000,MT,AWL AGRI BUSINESS LIMITED,Gujarat (GJ),DC-300|PO-220426103,2026-04-24,,,40.0000,148000.00,5920000.00,dc/CONTRACT
MUSTARD LOOSE OIL,RM0000003,250.0000,MT,AWL AGRI BUSINESS LIMITED,Gujarat (GJ),DC-299|PO-220426102,2026-04-24,,,250.0000,148000.00,37000000.00,dc/CONTRACT
MUSTARD LOOSE OIL,RM0000003,126.0000,MT,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED,Gujarat (GJ),DC-298|PO-220426087,2026-04-21,,,126.0000,145300.00,18307800.00,dc/CONTRACT
RICE BRAN REFINED OIL,RM0000007,11.0000,MT,AWL AGRI BUSINESS LIMITED,Gujarat (GJ),DC-296|PO-220426064,2026-04-16,2026-04-18,10.7400,0.2600,147000.00,1617000.00,dc/RECIEVED
RICE BRAN REFINED OIL,RM0000007,19.0000,MT,AWL AGRI BUSINESS LIMITED,Gujarat (GJ),DC-297|PO-220426064,2026-04-16,,19.0700,0.0000,147000.00,2793000.00,dc/RECIEVED
MUSTARD LOOSE OIL,RM0000003,42.0000,MT,VAISHNODEVI OIL SEEDS  PROCESSING INDUSTRIES,Gujarat (GJ),DC-292|PO-220426062,2026-04-15,,,42.0000,140500.00,5901000.00,dc/CONTRACT
COCONUT OIL,RM0000043,80.0000,MT,AWL AGRI BUSINESS LIMITED,Gujarat (GJ),DC-291|PO-220426049,2026-04-13,,,80.0000,156500.00,12520000.00,dc/CONTRACT
COCONUT OIL,RM0000043,2.0000,MT,SAMSON GLOBAL PRIVATE LIMITED,Tamil Nadu (TN),DC-293|PO-220426026,2026-04-07,,,2.0000,255000.00,510000.00,dc/CONTRACT
SOYABEAN REFINED LOOSE OIL,RM0000025,42.0000,MT,BD EDIBLE OILS PVT LTD,Rajasthan (RJ),DC-295|PO-220426018,2026-04-06,2026-04-17,41.8300,0.1700,154300.00,6480600.00,dc/RECIEVED
COCONUT EXTRA VIRGIN OIL,RM0000037,2.0000,MT,APEX COCO AND SOLAR ENERGY LIMITED,Tamil Nadu (TN),DC-289|PO-220426027,2026-04-06,,,2.0000,370000.00,740000.00,dc/CONTRACT|unit-normalised-kg-to-MT
SOYABEAN REFINED LOOSE OIL,RM0000025,126.0000,MT,BD EDIBLE OILS PVT LTD,Rajasthan (RJ),DC-290|PO-220426018,2026-04-06,,,126.0000,154300.00,19441800.00,dc/CONTRACT
SOYABEAN REFINED LOOSE OIL,RM0000025,42.0000,MT,BD EDIBLE OILS PVT LTD,Rajasthan (RJ),DC-274|PO-220426018,2026-04-04,2026-04-14,41.4000,0.6000,154300.00,6480600.00,dc/RECIEVED
