item_code,item_name,pack_litres,orders,total_completed,median_units_per_day,p90_units_per_day,resource_codes,_process,_uom,_otype,_days,_pack_src,_category,_variety,_median_litres_per_day
FG0000021,REFINED OIL 1 LTR POUCH 12 PCS,1,3,6833.0,3180.0,3516.0,JWPL09240001,FILLING,PCS,S,3,SAP resource BaseQty,PREMIUM,CANOLA,3180.0
FG0000317,SOYABEAN OIL 15 KGS TIN IMP PCS,16.4835,4,6700.0,1300.0,2550.0,,FILLING_NO_RESOURCE_LINE,PCS,S,4,name: 15kg @910g/L,COMMODITY,SOYABEAN,21428.5
FG0000114,POMACE OLIVE 2 LTR 10 PCS HANDLE,2.004,4,6520.0,1135.0,3532.0,JWPL09240001,FILLING,PCS,S,4,SAP resource BaseQty,PREMIUM,OLIVE,2274.5
FG0000374,YELLOW MUSTARD OIL 5 LTR TIN 4 PCS,5,7,6236.0,1220.0,1776.8,JWPL09240002,FILLING,PCS,S,5,SAP resource BaseQty,PREMIUM,MUSTARD,6100.0
FG0000003,COLD PRESS 5 LTR + EXTRA LIGHT OLIVE 1 LTR 4 PCS,5,7,5409.0,876.0,1794.0,JWPL09240001,FILLING,PCS,S,6,SAP resource BaseQty,PREMIUM,CANOLA,4380.0
FG0000012,MUSTARD PAKKI GHANI 5 LTR 4 PCS,5,6,5261.0,376.0,2472.8,JWPL09240002,FILLING,PCS,S,5,SAP resource BaseQty,COMMODITY,MUSTARD,1880.0
FG0000297,SOYABEAN OIL 13 KGS TIN IMPORTED PCS,14.2857,3,5230.0,1800.0,2080.0,,FILLING_NO_RESOURCE_LINE,PCS,S,3,name: 13kg @910g/L,COMMODITY,SOYABEAN,25714.3
FG0000440,FIRST PRESSED SUNFLOWER OIL 1 LTR 20 PCS,1,2,5201.0,2600.5,4680.1,JWPL09240002,FILLING,PCS,S,2,SAP resource BaseQty,COMMODITY,SUNFLOWER,2600.5
FG0000363,LA RASOI COLD PRESSED MUSTARD KACHI GHANI OIL 2 LTR 10 PCS HANDLE,2,3,5150.0,2080.0,2848.0,JWPL09240002,FILLING,PCS,S,3,SAP resource BaseQty,COMMODITY,MUSTARD,4160.0
FG0000443,FIRST PRESSED MUSTARD OIL 1 LTR 20 PCS,1,3,5101.0,2550.5,4590.1,JWPL09240002,FILLING,PCS,S,2,SAP resource BaseQty,COMMODITY,MUSTARD,2550.5
FG0000275,COLD PRESS SUNFLOWER OIL 15 LTR,15,9,5078.0,488.0,893.0,JWPL09240002,FILLING,PCS,S,9,SAP resource BaseQty,COMMODITY,SUNFLOWER,7320.0
FG0000074,EXTRA VIRGIN OLIVE 5 LTR TIN 4 PCS IMPORTED,5.011,8,4163.0,680.0,1047.0,JWPL09240001,FILLING,PCS,S,7,SAP resource BaseQty,PREMIUM,OLIVE,3407.5
FG0000157,EXTRA VIRGIN COCONUT OIL 500 MLS 24 PCS,0.5,5,3726.0,720.0,1100.8,JWPL09240001,FILLING,PCS,S,5,SAP resource BaseQty,PREMIUM,COCONUT,360.0
FG0000178,MUSTARD KACHI GHANI 15 KGS,16.48,7,3641.0,400.0,944.4,JWPL09240002,FILLING,PCS,S,7,SAP resource BaseQty,COMMODITY,MUSTARD,6592.0
