item,item_code,rate_type,rate,currency,unit,as_of,source_endpoint
Soya Refined 15 Kg Tin,,basic_rate_pack,2464.5000,INR,per pack (15 Kg Tin),2026-07-18,GET /rates/rate-table/latest/ [STALE]
Cottonseed Refined 15 Kg Tin,,basic_rate_pack,2662.2000,INR,per pack (15 Kg Tin),2026-07-18,GET /rates/rate-table/latest/ [STALE]
Ricebran Refined 15 Kg Tin,,basic_rate_pack,2524.2000,INR,per pack (15 Kg Tin),2026-07-18,GET /rates/rate-table/latest/ [STALE]
Mustard Refined 15 Kg Tin,,basic_rate_pack,2797.5000,INR,per pack (15 Kg Tin),2026-07-18,GET /rates/rate-table/latest/ [STALE]
Soya Refined 13 Kg Tin,,basic_rate_pack,2135.9000,INR,per pack (13 Kg Tin),2026-07-18,GET /rates/rate-table/latest/ [STALE]
Cottonseed Refined 13 Kg Tin,,basic_rate_pack,2307.2400,INR,per pack (13 Kg Tin),2026-07-18,GET /rates/rate-table/latest/ [STALE]
Ricebran Refined 13 Kg Tin,,basic_rate_pack,2187.6400,INR,per pack (13 Kg Tin),2026-07-18,GET /rates/rate-table/latest/ [STALE]
Mustard Refined 13 Kg Tin,,basic_rate_pack,2424.5000,INR,per pack (13 Kg Tin),2026-07-18,GET /rates/rate-table/latest/ [STALE]
EXTRA LIGHT,RM0EL,purchased_in_tank_kg,567.0870,INR,per KG,2026-04-23,"GET /stock-status/ (id=342, JIVO WELLNESS PVT LTD - DL, Sonipat Factory)"
EXTRA LIGHT,RM0EL,purchased_in_tank_ltr,516.0500,INR,per LTR,2026-04-23,"GET /stock-status/ (id=342, JIVO WELLNESS PVT LTD - DL, Sonipat Factory)"
MUSTARD REFINED DARK,RM00MRD,purchased_in_tank_kg,145.3000,INR,per KG,2026-04-26,"GET /stock-status/ (id=353, VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED, GUJARAT)"
