item,item_code,rate_type,rate,currency,unit,as_of,source_endpoint
Korean Won,,customs_fx_import,7.0500,INR,per 1 Korean Won,2026-08-21,GET /exim-rates/fetch/ (notif 24/2026)
Korean Won,,customs_fx_export,6.6500,INR,per 1 Korean Won,2026-08-21,GET /exim-rates/fetch/ (notif 24/2026)
Kuwaiti Dinar,,customs_fx_import,320.0000,INR,per 1 Kuwaiti Dinar,2026-08-21,GET /exim-rates/fetch/ (notif 24/2026)
Kuwaiti Dinar,,customs_fx_export,300.9500,INR,per 1 Kuwaiti Dinar,2026-08-21,GET /exim-rates/fetch/ (notif 24/2026)
Newzealand Dollar,,customs_fx_import,58.3000,INR,per 1 Newzealand Dollar,2026-08-21,GET /exim-rates/fetch/ (notif 24/2026)
Newzealand Dollar,,customs_fx_export,55.5500,INR,per 1 Newzealand Dollar,2026-08-21,GET /exim-rates/fetch/ (notif 24/2026)
Norwegian Krone,,customs_fx_import,9.7000,INR,per 1 Norwegian Krone,2026-07-03,GET /exim-rates/fetch/ (notif 19/2026)
Norwegian Krone,,customs_fx_export,9.4500,INR,per 1 Norwegian Krone,2026-07-03,GET /exim-rates/fetch/ (notif 19/2026)
Norwegian Kroner,,customs_fx_import,10.4000,INR,per 1 Norwegian Kroner,2026-08-21,GET /exim-rates/fetch/ (notif 24/2026)
Norwegian Kroner,,customs_fx_export,10.1500,INR,per 1 Norwegian Kroner,2026-08-21,GET /exim-rates/fetch/ (notif 24/2026)
Qatari Riyal,,customs_fx_import,28.1500,INR,per 1 Qatari Riyal,2026-08-21,GET /exim-rates/fetch/ (notif 24/2026)
Qatari Riyal,,customs_fx_export,24.7500,INR,per 1 Qatari Riyal,2026-08-21,GET /exim-rates/fetch/ (notif 24/2026)
Saudi Arabian Riyal,,customs_fx_import,27.0500,INR,per 1 Saudi Arabian Riyal,2026-08-21,GET /exim-rates/fetch/ (notif 24/2026)
Saudi Arabian Riyal,,customs_fx_export,24.1500,INR,per 1 Saudi Arabian Riyal,2026-08-21,GET /exim-rates/fetch/ (notif 24/2026)
Singapore Dollar,,customs_fx_import,76.5000,INR,per 1 Singapore Dollar,2026-08-21,GET /exim-rates/fetch/ (notif 24/2026)
Singapore Dollar,,customs_fx_export,73.9500,INR,per 1 Singapore Dollar,2026-08-21,GET /exim-rates/fetch/ (notif 24/2026)
South African Rand,,customs_fx_import,6.1000,INR,per 1 South African Rand,2026-08-21,GET /exim-rates/fetch/ (notif 24/2026)
South African Rand,,customs_fx_export,5.7500,INR,per 1 South African Rand,2026-08-21,GET /exim-rates/fetch/ (notif 24/2026)
Sterling Pound,,customs_fx_import,132.2500,INR,per 1 Sterling Pound,2026-08-21,GET /exim-rates/fetch/ (notif 24/2026)
Sterling Pound,,customs_fx_export,128.1500,INR,per 1 Sterling Pound,2026-08-21,GET /exim-rates/fetch/ (notif 24/2026)
Swedish Kroner,,customs_fx_import,10.2500,INR,per 1 Swedish Kroner,2026-08-21,GET /exim-rates/fetch/ (notif 24/2026)
Swedish Kroner,,customs_fx_export,10.0000,INR,per 1 Swedish Kroner,2026-08-21,GET /exim-rates/fetch/ (notif 24/2026)
Swiss Franc,,customs_fx_import,122.2500,INR,per 1 Swiss Franc,2026-08-21,GET /exim-rates/fetch/ (notif 24/2026)
Swiss Franc,,customs_fx_export,117.0500,INR,per 1 Swiss Franc,2026-08-21,GET /exim-rates/fetch/ (notif 24/2026)
Turkish Lira,,customs_fx_import,2.0500,INR,per 1 Turkish Lira,2026-08-21,GET /exim-rates/fetch/ (notif 24/2026)
Turkish Lira,,customs_fx_export,1.9500,INR,per 1 Turkish Lira,2026-08-21,GET /exim-rates/fetch/ (notif 24/2026)
U.S.Dollar,,customs_fx_import,96.5000,INR,per 1 U.S.Dollar,2026-08-21,GET /exim-rates/fetch/ (notif 24/2026)
U.S.Dollar,,customs_fx_export,94.8000,INR,per 1 U.S.Dollar,2026-08-21,GET /exim-rates/fetch/ (notif 24/2026)
UAE Dirham,,customs_fx_import,26.8500,INR,per 1 UAE Dirham,2026-08-21,GET /exim-rates/fetch/ (notif 24/2026)
UAE Dirham,,customs_fx_export,25.3000,INR,per 1 UAE Dirham,2026-08-21,GET /exim-rates/fetch/ (notif 24/2026)
MUSTARD LOOSE OIL,RM0000003,AUGUST_COSTING_RATE (contracted),158.7950,INR,per LTR,2026-08-28,/stock-status/ id=761 M/S ARORA AGRI BUSINESS VENTURES | exim_item=RM0MKG | map_conf=high | req=1245959.23 L | value=197852095.93 INR
LOOSE REFINED OLIVE OIL,RM0000001,AUGUST_COSTING_RATE (last_paid_in_tank),318.5000,INR,per LTR,2026-08-17,/stock-status/ id=720 MIGASA ACEITES S L U | exim_item=RM00POM | map_conf=medium | req=675486.54 L | value=215142462.99 INR
CRUDE DEGUMMED RAPESEED OIL NEW,RM0000016,AUGUST_COSTING_RATE (contracted),114.6600,INR,per LTR,2026-07-23,/stock-status/ id=674 UKRAINE | exim_item=RM0CDRO | map_conf=high | req=620254.90 L | value=71118426.83 INR
CANOLA COLD PRESS LOOSE OIL OLD,RM0000002,AUGUST_COSTING_RATE (last_paid_in_tank),127.4000,INR,per LTR,2026-04-23,/stock-status/ id=332 JIVO WELLNESS PVT LTD - DL | exim_item=RM00CPC | map_conf=high | req=578168.36 L | value=73658649.06 INR
