account	profile	/api/auth/profile/
account	users	/api/auth/users/list/
account	user-parties	/api/auth/users/{id}/parties/
account	user-page-permissions	/api/auth/users/{id}/page-permissions/
account	roles	/api/auth/roles/
account	companies	/api/auth/companies/
account	states	/api/auth/states/
account	categories	/api/auth/categories/
account	main-groups	/api/auth/mainGroup/
account	party-products	/api/auth/parties/{card_code}/products/
orders	list	/api/orders/list/
orders	by-user	/api/orders/ordersbyuser/{user_id}/
orders	detail	/api/orders/orderdetailsbyid/{id}/
orders	logs	/api/orders/{id}/orderlogs/
orders	status	/api/orders/status/
orders	status-tracking	/api/orders/status-tracking/
orders	stock-check	/api/orders/stock-check/
orders	dispatches	/api/orders/dispatches/
orders	notifications	/api/orders/notifications/
orders	addresses	/api/orders/addresses/
orders	branch	/api/orders/branch/
orders	parties	/api/orders/parties/
orders	products	/api/orders/products/
orders	staff-products	/api/orders/staff-products/
orders	party-products	/api/orders/party-products/{card_code}/
orders	schemes	/api/orders/schemes/
orders	flow-config	/api/orders/flow-config/
orders	party-flow-config	/api/orders/party-flow-config/
quotations	overview	/api/orders/quotation-overview/
quotations	status	/api/orders/quotation-status/
dashboard	summary	/api/orders/dashboardW/
dashboard	charts	/api/orders/dashboardW/charts/
sap	logs	/api/sap/logs/
sap	branches	/api/sap/branches/
sap	parties	/api/sap/parties/
sap	party-categories	/api/sap/parties/category/
sap	products	/api/sap/products/
sap	product-varieties	/api/sap/product-varieties/
sap	addresses	/api/sap/addresses/
sap	quotation-log	/api/sap/quotation-log/{id}/
hana	product-stock	/api/hana/product-stock/
hana	product-so	/api/hana/product-so/
hana	so	/api/hana/so/
hana	open-parties	/api/hana/open-parties/
hana	all-customers	/api/hana/all-customers/
hana	fg-items	/api/hana/fg-items/
hana	freight-masters	/api/hana/freight-masters/
hana	inventory-details	/api/hana/inventory-details/
hana	batch-details	/api/hana/batch-details/
hana	customer-details	/api/hana/customer-details/
hana	address	/api/hana/address/
hana	item-price	/api/hana/item-price/
hana	next-doc-number	/api/hana/next-doc-number/
hana	salesperson-details	/api/hana/salesperson-details/
invoices	all	/api/invoice/all/
invoices	history	/api/invoice/history/{id}/
invoices	skus	/api/sku/all/
invoices	skus-pending	/api/sku/pending/
invoices	sku	/api/sku/{item_code}/
tracker	my-queue	/api/tracker/my-queue/
tracker	invoices	/api/tracker/invoices/
tracker	invoice-detail	/api/tracker/invoices/{id}/
tracker	all-invoices	/api/tracker/all-invoices/
tracker	all-invoices-export	/api/tracker/all-invoices/export/
tracker	alerts	/api/tracker/alerts/
tracker	reports	/api/tracker/reports/
tracker	vendors	/api/tracker/vendors/
tracker	lookups	/api/tracker/lookups/
tracker	stage-advanced	/api/tracker/stage-advanced/
tracker	admin-stages	/api/tracker/admin/stages/
tracker	admin-users	/api/tracker/admin/users/
tracker	admin-tracker-users	/api/tracker/admin/tracker-users/
tracker	admin-lookups	/api/tracker/admin/lookups/{type}/
