MONTH_KEY	MONTH_LABEL	FAMILY	GRP_NAME	LINES_CNT	DOCS_CNT	NET_L	DEBIT_L	CREDIT_L	PART_MONTH
2026-04	APR-26	INDIRECT	EMPLOYEES BENEFIT EXPENSE	191	10	121.9900000000000	124.9900000000000	3.0000000000000	N
2026-04	APR-26	INDIRECT	FINANCE EXPENSE	244	67	51.0000000000000	55.1800000000000	4.1800000000000	N
2026-04	APR-26	INDIRECT	DELIVERY EXPENSES	161	56	36.9200000000000	48.2700000000000	11.3500000000000	N
2026-04	APR-26	INDIRECT	SELLING EXPENSE	55	46	20.7800000000000	21.6400000000000	0.8600000000000	N
2026-04	APR-26	INDIRECT	GENERAL EXPENSES	1138	995	18.5900000000000	25.6000000000000	7.0000000000000	N
2026-04	APR-26	INDIRECT	RENTS RATES AND TAXES	41	24	9.3600000000000	28.0700000000000	18.7100000000000	N
2026-04	APR-26	INDIRECT	TRAVELLING EXPENSE	39	36	9.2400000000000	9.2400000000000	0.0000000000000	N
2026-04	APR-26	CASUAL LABOUR	CASUAL LABOUR (direct)	15	11	6.9800000000000	12.7200000000000	5.7300000000000	N
2026-04	APR-26	INDIRECT	REPAIR AND MAINTENANCE	107	60	2.6400000000000	6.7000000000000	4.0600000000000	N
2026-05	MAY-26	INDIRECT	EMPLOYEES BENEFIT EXPENSE	204	8	122.6900000000000	122.6900000000000	0.0000000000000	N
2026-05	MAY-26	INDIRECT	DELIVERY EXPENSES	210	90	52.8900000000000	66.3600000000000	13.4800000000000	N
2026-05	MAY-26	INDIRECT	FINANCE EXPENSE	124	55	37.7300000000000	42.5800000000000	4.8500000000000	N
2026-05	MAY-26	INDIRECT	GENERAL EXPENSES	1293	1137	25.6800000000000	33.8200000000000	8.1300000000000	N
2026-05	MAY-26	INDIRECT	RENTS RATES AND TAXES	40	24	9.5100000000000	9.5400000000000	0.0300000000000	N
2026-05	MAY-26	CASUAL LABOUR	CASUAL LABOUR (direct)	13	13	8.8900000000000	16.0700000000000	7.1700000000000	N
2026-05	MAY-26	INDIRECT	REPAIR AND MAINTENANCE	125	73	8.0700000000000	8.9900000000000	0.9100000000000	N
2026-05	MAY-26	INDIRECT	SELLING EXPENSE	56	53	3.3600000000000	6.0200000000000	2.6600000000000	N
2026-05	MAY-26	INDIRECT	TRAVELLING EXPENSE	30	26	2.9000000000000	2.9000000000000	0.0000000000000	N
2026-06	JUN-26	INDIRECT	SELLING EXPENSE	130	111	194.6900000000000	431.4800000000000	236.7900000000000	N
2026-06	JUN-26	INDIRECT	EMPLOYEES BENEFIT EXPENSE	195	9	123.5000000000000	125.5300000000000	2.0400000000000	N
2026-06	JUN-26	INDIRECT	DELIVERY EXPENSES	303	151	45.0900000000000	71.2300000000000	26.1500000000000	N
2026-06	JUN-26	INDIRECT	GENERAL EXPENSES	1189	985	37.5400000000000	56.2900000000000	18.7500000000000	N
2026-06	JUN-26	INDIRECT	FINANCE EXPENSE	146	65	36.7200000000000	47.8300000000000	11.1200000000000	N
2026-06	JUN-26	CASUAL LABOUR	CASUAL LABOUR (direct)	11	11	12.4700000000000	17.8400000000000	5.3700000000000	N
2026-06	JUN-26	INDIRECT	REPAIR AND MAINTENANCE	116	78	11.6600000000000	23.7300000000000	12.0700000000000	N
2026-06	JUN-26	INDIRECT	RENTS RATES AND TAXES	37	24	10.0800000000000	10.0800000000000	0.0000000000000	N
2026-06	JUN-26	INDIRECT	TRAVELLING EXPENSE	39	31	1.9000000000000	1.9000000000000	0.0000000000000	N
2026-07	JUL-26	INDIRECT	DELIVERY EXPENSES	284	76	49.5700000000000	75.3500000000000	25.7800000000000	N
2026-07	JUL-26	INDIRECT	GENERAL EXPENSES	1116	1023	44.4900000000000	49.5300000000000	5.0400000000000	N
2026-07	JUL-26	INDIRECT	FINANCE EXPENSE	152	46	41.9100000000000	42.0400000000000	0.1200000000000	N
2026-07	JUL-26	INDIRECT	EMPLOYEES BENEFIT EXPENSE	9	2	20.3500000000000	23.3500000000000	3.0000000000000	N
2026-07	JUL-26	CASUAL LABOUR	CASUAL LABOUR (direct)	10	10	9.8600000000000	22.5500000000000	12.6900000000000	N
2026-07	JUL-26	INDIRECT	RENTS RATES AND TAXES	23	18	9.8100000000000	9.8100000000000	0.0000000000000	N
2026-07	JUL-26	INDIRECT	REPAIR AND MAINTENANCE	81	48	8.1600000000000	10.4500000000000	2.2900000000000	N
2026-07	JUL-26	INDIRECT	TRAVELLING EXPENSE	21	16	0.7600000000000	0.7600000000000	0.0000000000000	N
2026-07	JUL-26	INDIRECT	SELLING EXPENSE	72	54	-121.8200000000000	389.3200000000000	511.1400000000000	N
2026-08	AUG-26	CASUAL LABOUR	CASUAL LABOUR (direct)	10	10	9.9100000000000	10.0700000000000	0.1500000000000	Y
2026-08	AUG-26	INDIRECT	RENTS RATES AND TAXES	6	6	8.4700000000000	8.4700000000000	0.0000000000000	Y
2026-08	AUG-26	INDIRECT	DELIVERY EXPENSES	15	4	1.6100000000000	1.6100000000000	0.0000000000000	Y
2026-08	AUG-26	INDIRECT	GENERAL EXPENSES	327	322	0.8500000000000	0.8500000000000	0.0000000000000	Y
2026-08	AUG-26	INDIRECT	SELLING EXPENSE	1	1	0.3600000000000	0.3600000000000	0.0000000000000	Y
2026-08	AUG-26	INDIRECT	REPAIR AND MAINTENANCE	4	3	0.0200000000000	0.0200000000000	0.0000000000000	Y
2026-08	AUG-26	INDIRECT	FINANCE EXPENSE	12	2	0.0000000000000	0.0000000000000	0.0000000000000	Y
