KIND	N_CUSTOMERS	N_EFF_CUSTOMERS	N_OPEN_INV	N_EFF_INV	RAW_OPEN_INR	UNAPPLIED_CREDIT_INR	EFF_OPEN_INR	NOTDUE_INR	D1_30_INR	D31_60_INR	D61_90_INR	D91_180_INR	D181_365_INR	D365P_INR	OVERDUE_INR	OD60P_INR	MIGRATED_OPEN_INR	BAL_NOT_IN_INV_INR	OCRD_DEBIT_INR	OCRD_CREDIT_INR	UNAPPLIED_RECEIPTS_INR	OPEN_CREDIT_NOTES_INR	OLDEST_OPEN_DUE
BRANCH	4	4	931	931	775637171.8	0	775637171.8	0	419984	73139	229857	7703658	165395105	601815428.8	775637171.8	775144048.8	0	0	775637171.8	0	0	0	2024-10-04
INTERCO	2	1	201	176	286808393.87	30900576	255907817.87	17346000	236036700	2525117.87	0	0	0	0	238561817.87	0	0	0	255907817.87	-21632401.29	49583279	272780	2026-07-22
STAFF	17	11	399	24	4725883	4588279	137604	9257	3346	5658	49109	2115	68119	0	128347	119343	0	0	137604	-77798	4358699	265405	2025-10-16
TRADE	356	89	11499	1325	758571559.41	685022496.94	73549062.47	22740511	14430835.04	8019294.87	574135.8	1895148.55	14856196.41	11032940.8	50808551.47	28358421.55	10655574.47	6507488.01	80056550.48	-13376844.86	662153999.71	11856063.13	2019-12-12
ZZ_TOTAL	379	105	13030	2456	1825743008.07	720511351.94	1105231656.13	40095768	250890865.04	10623209.74	853101.8	9600921.55	180319420.4	612848369.6	1065135888.13	803621813.35	10655574.47	6507488.01	1111739144.14	-35087044.15	716095977.71	12394248.13	2019-12-12
