SCOPE	GRP_KEY	GRP_LABEL	SORT_KEY	GRPO_DOCS	GRPO_LINES	GRPO_NET	GRPO_GST	GRPO_GROSS	UNBILLED_DOCS	UNBILLED_LINES	UNBILLED_NET	UNBILLED_GST	UNBILLED_GROSS	UB_0_30	UB_31_60	UB_61_90	UB_91_180	UB_181_365	UB_365PLUS	UB_90PLUS_DOCS	UB_90PLUS_GROSS	UB_ZEROQTY_LINES	UB_ZEROQTY_GROSS	OLDEST_UB_DATE	OLDEST_UB_DAYS	CLOSED_NOBILL_DOCS	CLOSED_NOBILL_LINES	CLOSED_NOBILL_GROSS	RETURNED_DOCS	RETURNED_LINES	RETURNED_GROSS	INVOICED_DOCS	NOINV_DOCS	NOINV_GROSS	INV_PAIR_DOCS	INV_SAMEDAY_DOCS	INV_SAMEDAY_PCT	INV_LAG_AVG_DAYS	INV_LAG_MED_DAYS	EXT_GRPO_DOCS	EXT_GRPO_GROSS	EXT_UNBILLED_DOCS	EXT_UNBILLED_GROSS	EXT_UB_90PLUS_DOCS	EXT_UB_90PLUS_GROSS
VENDOR	VENDA001008	ILAHI CO [EXTERNAL]	5	7	23	191193.33	9559.67	200753	1	2	63390.72	3169.54	66560.26	0	0	0	0	66560.26	0	1	66560.26	0	0	2026-01-19	215	0	0	0	0	0	0	6	1	66560.26	6	6	100	0	0	7	200753	1	66560.26	1	66560.26
VENDOR	VENDA000910	THE LABEL STORE AFOPC8295E [EXTERNAL]	5	3	3	123216	22178.88	145394.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	3	0	0	3	3	100	0	0	3	145394.88	0	0	0	0
VENDOR	VENDA000636	DELHI PUNJAB TRANSPORT CO [EXTERNAL]	5	9	22	131561	6578.05	138139.05	6	16	90767	4538.35	95305.35	42411.6	52893.75	0	0	0	0	0	0	16	95305.35	2026-07-01	52	0	0	0	0	0	0	3	6	95305.35	3	3	100	0	0	9	138139.05	6	95305.35	0	0
VENDOR	VENDA000935	ARNAV TRANSPORT SERVICE [EXTERNAL]	5	12	26	130036	6501.8	136537.8	4	7	42216	2110.8	44326.8	23100	21226.8	0	0	0	0	0	0	7	44326.8	2026-07-16	37	0	0	0	0	0	0	8	4	44326.8	8	2	25	4.88	4.5	12	136537.8	4	44326.8	0	0
VENDOR	VENDA000941	UNICORN INFOSOLUTIONS PVT LTD [EXTERNAL]	5	1	1	100727.54	18130.96	118858.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	1	0	0	1	0	0	-53	-53	1	118858.5	0	0	0	0
VENDOR	VENDA000930	TRUEX LOGISTIC SERVICES PRIVATE LIMITED [EXTERNAL]	5	1	5	113000	5650	118650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	1	5	118650	0	0	0	0	1	118650	0	0	NULL	NULL	NULL	1	118650	0	0	0	0
VENDOR	VENDA000517	ROYAL PRIME LABELS [EXTERNAL]	5	7	7	92060	16570.8	108630.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	7	0	0	7	2	28.57	18.57	5	7	108630.8	0	0	0	0
VENDOR	VENDA000004	JIVO WELLNESS PVT LTD - DL [INTERCOMPANY]	5	2	2	85797.6	4289.88	90087.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	2	0	0	2	2	100	0	0	0	0	0	0	0	0
VENDOR	VENDA000707	PACKSTER PACKAGING SOLUTIONS [EXTERNAL]	5	2	6	72606.2	3630.31	76236.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	2	0	0	2	2	100	0	0	2	76236.51	0	0	0	0
VENDOR	VENDA001010	MAHAVIR TRANSPORT [EXTERNAL]	5	8	18	65529	3276.45	68805.45	1	1	5513	275.65	5788.65	0	5788.65	0	0	0	0	0	0	1	5788.65	2026-07-09	44	0	0	0	0	0	0	7	1	5788.65	7	0	0	8	8	8	68805.45	1	5788.65	0	0
