SCOPE	GRP_KEY	GRP_LABEL	SORT_KEY	GRPO_DOCS	GRPO_LINES	GRPO_NET	GRPO_GST	GRPO_GROSS	UNBILLED_DOCS	UNBILLED_LINES	UNBILLED_NET	UNBILLED_GST	UNBILLED_GROSS	UB_0_30	UB_31_60	UB_61_90	UB_91_180	UB_181_365	UB_365PLUS	UB_90PLUS_DOCS	UB_90PLUS_GROSS	UB_ZEROQTY_LINES	UB_ZEROQTY_GROSS	OLDEST_UB_DATE	OLDEST_UB_DAYS	CLOSED_NOBILL_DOCS	CLOSED_NOBILL_LINES	CLOSED_NOBILL_GROSS	RETURNED_DOCS	RETURNED_LINES	RETURNED_GROSS	INVOICED_DOCS	NOINV_DOCS	NOINV_GROSS	INV_PAIR_DOCS	INV_SAMEDAY_DOCS	INV_SAMEDAY_PCT	INV_LAG_AVG_DAYS	INV_LAG_MED_DAYS	EXT_GRPO_DOCS	EXT_GRPO_GROSS	EXT_UNBILLED_DOCS	EXT_UNBILLED_GROSS	EXT_UB_90PLUS_DOCS	EXT_UB_90PLUS_GROSS
MONTH	2025-10	2025-10	3	457	1118	335726922.46	15417595.26	351144517.72	1	1	67320	3366	70686	0	0	0	0	70686	0	1	70686	0	0	2025-10-13	313	3	3	3670	0	0	0	453	4	74356	453	236	52.1	12.45	0	394	314804034.73	1	70686	1	70686
MONTH	2025-11	2025-11	3	401	927	280663125.65	11439051.47	292102177.11	1	1	255	45.9	300.9	0	0	0	0	300.9	0	1	300.9	0	0	2025-11-30	265	4	11	152595.78	0	0	0	396	5	152896.68	396	201	50.76	8.14	0	368	277673786.04	1	300.9	1	300.9
MONTH	2025-12	2025-12	3	481	978	298125887.15	15021078	313146965.14	4	5	56479.01	2291.34	58770.35	0	0	0	0	58770.35	0	4	58770.35	4	15090.35	2025-12-02	263	23	48	1320837.8	0	0	0	455	26	1379607.11	455	248	54.51	9.78	0	462	309024490.95	4	58770.35	4	58770.35
MONTH	2026-01	2026-01	3	492	1068	355611439.65	16659881.27	372271320.92	5	6	34308	5720.44	40028.44	0	0	0	0	40028.44	0	5	40028.44	6	40028.44	2026-01-04	230	9	21	284244.17	0	0	0	478	14	324272.61	478	253	52.93	11.95	0	492	372271320.92	5	40028.44	5	40028.44
MONTH	2026-02	2026-02	3	345	722	161730401.16	6288691.02	168019092.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	1	1	90683.24	0	0	0	344	1	90683.24	344	169	49.13	8.17	1	344	167928408.95	0	0	0	0
MONTH	2026-03	2026-03	3	366	718	308236202.02	9517550.94	317753752.96	6	7	27743.69	2627.26	30370.96	0	0	0	30370.96	0	0	6	30370.96	3	20627.43	2026-03-01	174	5	9	253950.62	0	0	0	355	11	284321.57	355	183	51.55	11.56	0	360	317369452.35	6	30370.96	6	30370.96
MONTH	2026-04	2026-04	3	393	930	160891361.72	7004001.24	167895362.96	5	8	31519	1392.13	32911.13	0	0	0	32911.13	0	0	5	32911.13	3	27133.05	2026-04-01	143	4	27	239214.11	0	0	0	384	9	272125.24	384	204	53.13	9.22	0	389	167656148.86	5	32911.13	5	32911.13
MONTH	2026-05	2026-05	3	411	978	280332528.56	17068150.16	297400678.72	5	13	70474	3523.7	73997.7	0	0	43837.5	30160.2	0	0	3	30160.2	13	73997.7	2026-05-07	107	3	69	123699.84	0	0	0	403	8	197697.54	403	249	61.79	6.56	0	408	297020603.88	5	73997.7	3	30160.2
MONTH	2026-06	2026-06	3	541	1166	428676125.58	21373541.97	450049667.56	18	37	473126.57	38262.07	511388.64	0	47870	463518.64	0	0	0	0	0	31	316952.29	2026-06-01	82	1	1	46554.11	0	0	0	524	17	557942.64	524	302	57.63	9.38	0	540	450003113.44	18	511388.64	0	0
MONTH	2026-07	2026-07	3	428	946	296039771.7	16796276.46	312836048.17	85	143	1479347.24	140898.09	1620245.33	480773.55	1139471.78	0	0	0	0	0	0	76	861616.11	2026-07-01	52	5	9	2144206.84	0	0	0	339	89	3747503.6	339	261	76.99	2.21	0	423	310691841.32	85	1620245.33	0	0
MONTH	2026-08	2026-08	3	225	512	236116237.45	14029325.04	250145562.49	172	415	57696135.22	4636544.38	62332679.59	62332679.59	0	0	0	0	0	0	0	39	307891.23	2026-08-01	21	2	15	104050.38	0	0	0	51	174	62436729.97	51	50	98.04	0.06	0	223	250041512.11	172	62332679.59	0	0
