FAM_KEY	TN_SAMPLE	YM	DISP_DOCS	DISP_VAL_L	EXT_DISP_VAL_L	LR_PCT	VEH_PCT	VARIANTS	VENDOR_NAME	FRT_DOCS	FRT_SPEND_L	FRT_PCT_OF_DISP
ARNAVTRANSPORT	ARNAV TRANSPORT	2024-11	44	481.73	291.5	68.2	88.6	3	ARNAV TRANSPORT SERVICE	3	3.88	0.8
ARNAVTRANSPORT	ARNAV TRANSPORT	2024-12	22	251.82	141.41	90.9	90.9	2	ARNAV TRANSPORT SERVICE	8	8.17	3.2
ARNAVTRANSPORT	ARNAV TRANSPORT	2025-01	96	1092.27	561.55	90.6	100	2	ARNAV TRANSPORT SERVICE	2	2.27	0.2
ARNAVTRANSPORT	ARNAV TRANSPORT	2025-02	63	671.46	251.11	96.8	93.7	3	ARNAV TRANSPORT SERVICE	5	7.9	1.2
ARNAVTRANSPORT	ARNAV TRANSPORT	2025-03	49	557.24	298.5	100	100	3	ARNAV TRANSPORT SERVICE	3	2.61	0.5
ARNAVTRANSPORT	ARNAV TRANSPORT	2025-04	34	300.21	265.23	100	100	2	ARNAV TRANSPORT SERVICE	2	2.04	0.7
ARNAVTRANSPORT	ARNAV TRANSPORT	2025-05	48	504.92	286.94	100	100	2	ARNAV TRANSPORT SERVICE	4	2.83	0.6
ARNAVTRANSPORT	ARNAV TRANSPORT	2025-06	30	287.19	148.62	100	100	2	ARNAV TRANSPORT SERVICE	1	0.83	0.3
ARNAVTRANSPORT	ARNAV TRANSPORT	2025-07	36	262.39	210.16	100	100	2	ARNAV TRANSPORT SERVICE	4	1.98	0.8
ARNAVTRANSPORT	ARNAV TRANSPORT	2025-08	72	482.52	353.41	100	100	2	ARNAV TRANSPORT SERVICE	4	1.94	0.4
ARNAVTRANSPORT	ARNAV TRANSPORT	2025-09	59	429.82	187.86	100	98.3	2	ARNAV TRANSPORT SERVICE	3	2.28	0.5
ARNAVTRANSPORT	ARNAV TRANSPORT	2025-10	41	280.05	187.93	100	100	2	ARNAV TRANSPORT SERVICE	1	0.52	0.2
