ROW_KIND	DOC_ENTRY	DOC_NUM	DOC_DATE	DOC_MONTH	DAYS_OPEN	AGE_BUCKET	DOC_STATUS	CARD_CODE	CARD_NAME	VENDOR_GROUP	PARTY_CLASS	BRANCH_ID	BRANCH_NAME	WAREHOUSES	VENDOR_REF	PO_DOCNUMS	NUM_LINES	NUM_UNBILLED_LINES	NUM_ZEROQTY_UNBILLED_LINES	DOC_NET	DOC_GST	DOC_GROSS	OPEN_NET	OPEN_GST	OPEN_GROSS	HAS_AP_INVOICE	AP_INVOICE_COUNT	AP_INVOICE_DOCNUMS	AP_LAG_DAYS
UNBILLED	25878	2026086699	2026-08-19	2026-08	3	0-30	O	VENDA000517	ROYAL PRIME LABELS	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	RPL/1214/2026-27	220826040	2	2	0	116127.96	20903.04	137031	116128	20903.04	137031.04	N	0	NULL	NULL
UNBILLED	25888	2026086703	2026-08-21	2026-08	1	0-30	O	VENDA000515	ECHO PLAST INDIA	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	493/26-27	220726072	2	2	0	113056.1	20349.9	133406	113055	20350.09	133405.09	N	0	NULL	NULL
UNBILLED	25801	2026086670	2026-08-18	2026-08	4	0-30	O	VENDA001465	A A ENTERPRISES	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	AAE/2026-27/093	220526083	2	2	0	108479.6	19526.4	128006	108480	19526.4	128006.4	N	0	NULL	NULL
UNBILLED	25826	2026086680	2026-08-19	2026-08	3	0-30	O	VENDA000515	ECHO PLAST INDIA	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	484/26-27	220726072	2	2	0	108454.19	19521.81	127976	108454.5	19521.81	127976.31	N	0	NULL	NULL
UNBILLED	25577	2026086575	2026-08-10	2026-08	12	0-30	O	VENDA000335	KUBER PAPER & PACK PRIVATE LIMITED AAJCK3867H0	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	KPP/2026-27/1696	326226587	1	1	0	121145.73	6057.27	127203	121145.4	6057.27	127202.67	N	0	NULL	NULL
UNBILLED	25403	2026076885	2026-07-24	2026-07	29	0-30	O	VENDA000972	BOMBAY SRINAGAR TRANSPORT REGD	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	1856	NULL	2	2	2	106920	0	106920	106920	5346	112266	N	0	NULL	NULL
UNBILLED	25485	2026086542	2026-08-06	2026-08	16	0-30	O	VENDA001524	EMAAR GLASS INDUSTRIES	SERVICE	EXTERNAL	2	FACTORY	BH-PM	2026-27/0890	220826002	2	2	0	94400	16992	111392	86400	15552	101952	N	0	NULL	NULL
UNBILLED	25870	2026086692	2026-08-07	2026-08	15	0-30	O	VENDA001571	BHARGAVE ROAD CARRIER	SERVICE	EXTERNAL	2	FACTORY	(none)	1748	NULL	3	3	3	94050	0	94050	94050	4702.5	98752.5	N	0	NULL	NULL
UNBILLED	25399	2026076884	2026-07-14	2026-07	39	31-60	O	VENDA000972	BOMBAY SRINAGAR TRANSPORT REGD	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	1845	NULL	1	1	1	92200	0	92200	92200	4610	96810	N	0	NULL	NULL
UNBILLED	25877	2026086698	2026-08-19	2026-08	3	0-30	O	VENDA000517	ROYAL PRIME LABELS	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	RPL/1215/2026-27	220826023	6	6	0	81695.72	14705.28	96401	81696	14705.28	96401.28	N	0	NULL	NULL
UNBILLED	23691	2026066657	2026-06-06	2026-06	77	61-90	O	VENDA001676	ABHIMAN EXPRESS	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	260358	NULL	1	1	1	90600	0	90600	90600	4530	95130	N	0	NULL	NULL
UNBILLED	25542	2026086558	2026-08-08	2026-08	14	0-30	O	VENDA000601	FRYSTAL PET PRIVATE LIMITED	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	NINV/26-27/0826	220726016	1	1	0	73439.8	13219.2	86659	73440	13219.2	86659.2	N	0	NULL	NULL
UNBILLED	25671	2026086609	2026-08-12	2026-08	10	0-30	O	VENDA000601	FRYSTAL PET PRIVATE LIMITED	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	NINV/26-27/0841	220726016	1	1	0	73439.8	13219.2	86659	73440	13219.2	86659.2	N	0	NULL	NULL
UNBILLED	25892	2026086706	2026-08-21	2026-08	1	0-30	O	VENDA000945	MULTILAYER INDUSTRIES	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	919	220826058	1	1	0	71594.9	12887.1	84482	71595	12887.1	84482.1	N	0	NULL	NULL
UNBILLED	15583	2025106666	2025-10-13	2025-10	313	181-365	O	VENDA000027	INDIYUM FOODS PRIVATE LIMITED	PURCHASE	EXTERNAL	2	FACTORY	BH-FG	406	1025226548	1	1	0	67320	3366	70686	67320	3366	70686	N	0	NULL	NULL
UNBILLED	25872	2026086694	2026-08-19	2026-08	3	0-30	O	VENDA000939	TPAC PACKAGING INDIA PVT LTD II	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	2606000855	220726021	1	1	0	58110.2	10459.8	68570	58110	10459.8	68569.8	N	0	NULL	NULL
UNBILLED	25645	2026076922	2026-07-24	2026-07	29	0-30	O	VENDA001676	ABHIMAN EXPRESS	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	DEL/260667	NULL	2	2	2	64000	0	64000	64000	3200	67200	N	0	NULL	NULL
UNBILLED	25646	2026076923	2026-07-24	2026-07	29	0-30	O	VENDA001676	ABHIMAN EXPRESS	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	DEL/260668	NULL	2	2	2	63902	0	63902	63902	3195.1	67097.1	N	0	NULL	NULL
UNBILLED	25773	2026086654	2026-08-17	2026-08	5	0-30	O	VENDA001320	BALAJI INC.	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	4206	220626002,220826005	2	2	0	63824.75	3191.25	67016	63825	3191.25	67016.25	N	0	NULL	NULL
UNBILLED	25628	2026076912	2026-07-20	2026-07	33	31-60	O	VENDA001737	NATIONAL AIRCON ENGINEERS	PURCHASE	EXTERNAL	2	FACTORY	BH-FA	2026-27/090	220726054	4	4	0	54620.4	9831.6	64452	54620	9831.6	64451.6	N	0	NULL	NULL
UNBILLED	25618	2026086591	2026-08-11	2026-08	11	0-30	O	VENDA001688	CORE PACKAGING	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	CORE/26-27/2380	220726023	2	2	0	49820.4	8967.6	58788	49820	8967.6	58787.6	N	0	NULL	NULL
UNBILLED	25768	2026086652	2026-08-14	2026-08	8	0-30	O	VENDA001737	NATIONAL AIRCON ENGINEERS	PURCHASE	EXTERNAL	2	FACTORY	BH-FA	2026-27/104	220826032	1	1	0	47260.2	8506.8	55767	47260	8506.8	55766.8	N	0	NULL	NULL
UNBILLED	25894	2026086707	2026-08-13	2026-08	9	0-30	O	VENDA001661	PICK & SHIP LOGISTICS PRIVATE LIMITED	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	NCR-3864	NULL	4	4	4	53044	0	53044	53044	2652.2	55696.2	N	0	NULL	NULL
