ROW_KIND	DOC_ENTRY	DOC_NUM	DOC_DATE	DOC_MONTH	DAYS_OPEN	AGE_BUCKET	DOC_STATUS	CARD_CODE	CARD_NAME	VENDOR_GROUP	PARTY_CLASS	BRANCH_ID	BRANCH_NAME	WAREHOUSES	VENDOR_REF	PO_DOCNUMS	NUM_LINES	NUM_UNBILLED_LINES	NUM_ZEROQTY_UNBILLED_LINES	DOC_NET	DOC_GST	DOC_GROSS	OPEN_NET	OPEN_GST	OPEN_GROSS	HAS_AP_INVOICE	AP_INVOICE_COUNT	AP_INVOICE_DOCNUMS	AP_LAG_DAYS
UNBILLED	9914	2026088076	2026-08-04	2026-08	18	0-30	O	VENDA000948	ARNAV TRANSPORT SERVICE	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	7286	NULL	1	1	1	10000	0	10000	10000	500	10500	N	0	NULL	NULL
UNBILLED	9570	2026078287	2026-07-22	2026-07	31	31-60	O	VENDA000948	ARNAV TRANSPORT SERVICE	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	7212	NULL	1	1	1	9866	0	9866	9866	493.3	10359.3	N	0	NULL	NULL
UNBILLED	9780	2026078379	2026-07-23	2026-07	30	0-30	O	VENDA000948	ARNAV TRANSPORT SERVICE	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	7219	NULL	1	1	1	9833	0	9833	9833	491.65	10324.65	N	0	NULL	NULL
UNBILLED	9908	2026088072	2026-08-04	2026-08	18	0-30	O	VENDA000948	ARNAV TRANSPORT SERVICE	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	7282	NULL	1	1	1	9241	0	9241	9241	462.05	9703.05	N	0	NULL	NULL
UNBILLED	9759	2026078367	2026-07-30	2026-07	23	0-30	O	VENDA000948	ARNAV TRANSPORT SERVICE	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	7256	NULL	1	1	1	8989	0	8989	8989	449.45	9438.45	N	0	NULL	NULL
UNBILLED	7816	2026038215	2026-03-20	2026-03	155	91-180	O	VENDA000269	MAHADEV TEMPO SERVICE	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	2672	NULL	1	1	1	8000	400	8400	8000	400	8400	N	0	NULL	NULL
UNBILLED	9362	2026078153	2026-07-13	2026-07	40	31-60	O	VENDA000470	ARMAF LUXURY FRAGRANCE INDIA PVT LTD VEND	PURCHASE	EXTERNAL	2	FACTORY	(none)	7159	NULL	2	2	2	7993	0	7993	7993	399.65	8392.65	N	0	NULL	NULL
UNBILLED	9567	2026078285	2026-07-22	2026-07	31	31-60	O	VENDA000948	ARNAV TRANSPORT SERVICE	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	7210	NULL	1	1	1	7933	0	7933	7933	396.65	8329.65	N	0	NULL	NULL
UNBILLED	9897	2026088063	2026-08-01	2026-08	21	0-30	O	VENDA000948	ARNAV TRANSPORT SERVICE	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	7273	NULL	1	1	1	7923	0	7923	7923	396.15	8319.15	N	0	NULL	NULL
UNBILLED	9937	2026088097	2026-08-10	2026-08	12	0-30	O	VENDA000948	ARNAV TRANSPORT SERVICE	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	7317	NULL	1	1	1	7923	0	7923	7923	396.15	8319.15	N	0	NULL	NULL
UNBILLED	9591	2026078292	2026-07-23	2026-07	30	0-30	O	VENDA000948	ARNAV TRANSPORT SERVICE	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	7220	NULL	1	1	1	7913	0	7913	7913	395.65	8308.65	N	0	NULL	NULL
UNBILLED	9748	2026078362	2026-07-29	2026-07	24	0-30	O	VENDA000948	ARNAV TRANSPORT SERVICE	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	7250	NULL	1	1	1	7913	0	7913	7913	395.65	8308.65	N	0	NULL	NULL
UNBILLED	4906	2025098062	2025-09-13	2025-09	343	181-365	O	VENDA000517	ROYAL PRIME LABELS	PURCHASE	EXTERNAL	2	FACTORY	BH-FA	RPL/985/2025-26	925228016	1	1	0	7000	1260	8260	7000	1260	8260	N	0	NULL	NULL
UNBILLED	9558	2026078281	2026-07-21	2026-07	32	31-60	O	VENDA000948	ARNAV TRANSPORT SERVICE	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	7205	NULL	1	1	1	7763	0	7763	7763	388.15	8151.15	N	0	NULL	NULL
UNBILLED	9928	2026088089	2026-08-07	2026-08	15	0-30	O	VENDA000948	ARNAV TRANSPORT SERVICE	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	7305	NULL	2	2	2	7743	0	7743	7743	387.15	8130.15	N	0	NULL	NULL
