KIND	N_CUSTOMERS	N_EFF_CUSTOMERS	N_OPEN_INV	N_EFF_INV	RAW_OPEN_INR	UNAPPLIED_CREDIT_INR	EFF_OPEN_INR	NOTDUE_INR	D1_30_INR	D31_60_INR	D61_90_INR	D91_180_INR	D181_365_INR	D365P_INR	OVERDUE_INR	OD60P_INR	MIGRATED_OPEN_INR	BAL_NOT_IN_INV_INR	OCRD_DEBIT_INR	OCRD_CREDIT_INR	UNAPPLIED_RECEIPTS_INR	OPEN_CREDIT_NOTES_INR	OLDEST_OPEN_DUE
BRANCH	5	2	229	116	69057284	24127694	44929590	0	823	3701419	418051	16358752	1757570	22692975	44929590	41227348	0	73247569.28	118177159.28	-49119876.28	0	0	2025-02-08
INTERCO	1	1	35	7	91707409	71027599	20679810	0	0	20679810	0	0	0	0	20679810	0	0	0	20679810	0	1500000	52560	2026-06-24
STAFF	3	3	16	3	27504.87	18445	9059.87	0	0	9059.87	0	0	0	0	9059.87	0	0	0	9059.87	0	0	0	2026-07-04
TRADE	55	24	4049	741	1138437158.84	1035479375.04	102957783.8	11471035.68	86700390.86	1772095.84	28502	1037926.8	1074442.45	873390.18	91486748.12	3014261.42	0	1309165.98	104266949.78	-3570360.68	897875617.62	115841909	2025-04-30
ZZ_TOTAL	64	30	4329	867	1299229356.71	1130653113.04	168576243.67	11471035.68	86701213.86	26162384.71	446553	17396678.8	2832012.45	23566365.18	157105207.99	44241609.42	0	74556735.26	243132978.93	-52690236.96	899375617.62	115894469	2025-02-08
