MONTH_KEY	MONTH_LABEL	FAMILY	GRP_NAME	LINES_CNT	DOCS_CNT	NET_L	DEBIT_L	CREDIT_L	PART_MONTH
2026-04	APR-26	INDIRECT	SELLING EXPENSE	34	20	81.4600000000000	141.9000000000000	60.4400000000000	N
2026-04	APR-26	INDIRECT	DELIVERY EXPENSES	174	36	12.9100000000000	24.5300000000000	11.6200000000000	N
2026-04	APR-26	INDIRECT	EMPLOYEES BENEFIT EXPENSE	13	8	11.9900000000000	11.9900000000000	0.0000000000000	N
2026-04	APR-26	INDIRECT	GENERAL EXPENSES	1166	1145	1.4800000000000	1.9200000000000	0.4400000000000	N
2026-04	APR-26	INDIRECT	FINANCE EXPENSE	4	1	1.2300000000000	1.2300000000000	0.0000000000000	N
2026-04	APR-26	INDIRECT	TRAVELLING EXPENSE	4	4	1.0800000000000	1.0800000000000	0.0000000000000	N
2026-04	APR-26	INDIRECT	REPAIR AND MAINTENANCE	6	4	0.0400000000000	0.0400000000000	0.0000000000000	N
2026-04	APR-26	INDIRECT	RENTS, RATES AND TAXES	1	1	0.0000000000000	0.0000000000000	0.0000000000000	N
2026-05	MAY-26	INDIRECT	SELLING EXPENSE	155	66	124.3100000000000	357.2300000000000	232.9100000000000	N
2026-05	MAY-26	INDIRECT	DELIVERY EXPENSES	224	50	19.2600000000000	32.0000000000000	12.7400000000000	N
2026-05	MAY-26	INDIRECT	EMPLOYEES BENEFIT EXPENSE	17	12	10.2000000000000	10.2200000000000	0.0200000000000	N
2026-05	MAY-26	INDIRECT	GENERAL EXPENSES	1183	1160	3.3500000000000	3.9800000000000	0.6300000000000	N
2026-05	MAY-26	INDIRECT	FINANCE EXPENSE	4	1	1.2700000000000	1.2700000000000	0.0000000000000	N
2026-05	MAY-26	INDIRECT	TRAVELLING EXPENSE	22	17	1.1600000000000	1.1600000000000	0.0000000000000	N
2026-05	MAY-26	INDIRECT	REPAIR AND MAINTENANCE	5	4	0.1200000000000	0.1400000000000	0.0200000000000	N
2026-05	MAY-26	INDIRECT	RENTS, RATES AND TAXES	1	1	0.0000000000000	0.0000000000000	0.0000000000000	N
2026-06	JUN-26	INDIRECT	DELIVERY EXPENSES	238	81	30.4300000000000	51.6800000000000	21.2500000000000	N
2026-06	JUN-26	INDIRECT	EMPLOYEES BENEFIT EXPENSE	12	8	13.6900000000000	13.6900000000000	0.0000000000000	N
2026-06	JUN-26	INDIRECT	GENERAL EXPENSES	1345	1232	5.2400000000000	9.5300000000000	4.3000000000000	N
2026-06	JUN-26	INDIRECT	FINANCE EXPENSE	4	1	1.2300000000000	1.2300000000000	0.0000000000000	N
2026-06	JUN-26	INDIRECT	TRAVELLING EXPENSE	13	9	0.3600000000000	0.6000000000000	0.2400000000000	N
2026-06	JUN-26	INDIRECT	REPAIR AND MAINTENANCE	3	3	0.1100000000000	0.1100000000000	0.0000000000000	N
2026-06	JUN-26	INDIRECT	RENTS, RATES AND TAXES	7	7	0.0000000000000	0.0000000000000	0.0000000000000	N
2026-06	JUN-26	INDIRECT	SELLING EXPENSE	145	108	-12.0600000000000	627.5000000000000	639.5600000000000	N
2026-07	JUL-26	INDIRECT	SELLING EXPENSE	67	57	373.0900000000000	561.5800000000000	188.4900000000000	N
2026-07	JUL-26	INDIRECT	DELIVERY EXPENSES	196	87	26.3900000000000	40.5000000000000	14.1000000000000	N
2026-07	JUL-26	INDIRECT	GENERAL EXPENSES	1060	1023	4.9100000000000	7.7600000000000	2.8500000000000	N
2026-07	JUL-26	INDIRECT	TRAVELLING EXPENSE	20	19	3.6500000000000	3.6500000000000	0.0000000000000	N
2026-07	JUL-26	INDIRECT	FINANCE EXPENSE	4	1	1.2700000000000	1.2700000000000	0.0000000000000	N
2026-07	JUL-26	INDIRECT	EMPLOYEES BENEFIT EXPENSE	14	12	0.6200000000000	0.6200000000000	0.0000000000000	N
2026-07	JUL-26	INDIRECT	REPAIR AND MAINTENANCE	12	6	0.1900000000000	0.1900000000000	0.0000000000000	N
2026-07	JUL-26	INDIRECT	RENTS, RATES AND TAXES	3	3	0.0000000000000	0.0000000000000	0.0000000000000	N
2026-08	AUG-26	INDIRECT	SELLING EXPENSE	9	9	49.1400000000000	49.1400000000000	0.0000000000000	Y
2026-08	AUG-26	INDIRECT	DELIVERY EXPENSES	34	16	2.1700000000000	2.6100000000000	0.4400000000000	Y
2026-08	AUG-26	INDIRECT	GENERAL EXPENSES	399	394	1.7700000000000	1.8100000000000	0.0400000000000	Y
2026-08	AUG-26	INDIRECT	TRAVELLING EXPENSE	3	3	0.0700000000000	0.0700000000000	0.0000000000000	Y
2026-08	AUG-26	INDIRECT	EMPLOYEES BENEFIT EXPENSE	3	2	0.0600000000000	0.0600000000000	0.0000000000000	Y
2026-08	AUG-26	INDIRECT	REPAIR AND MAINTENANCE	4	2	0.0300000000000	0.0300000000000	0.0000000000000	Y
