SECTION	SORT_KEY	ROW_KEY	ROW_LABEL	ROW_NOTE	INV_CNT	INV_GROSS_INR	INV_NET_INR	CN_CNT	CN_GROSS_INR	CN_NET_INR	TURNOVER_NET_INR	OPEN_CNT	OPEN_INR	UNAPPLIED_RCT_INR	LEDGER_BAL_INR	TXN_CNT	CASH_TENDER_INR	GL_DEBIT_INR	GL_CREDIT_INR
4_WAREHOUSE	BH-EC	BH-EC	BHAKHARPUR FINISHED E-COMMERCE	dominant stock warehouse | excl. migrated openings	54	58420	55638.09	0	0	0	55638.09	47	54590	0	0	0	0	0	0
4_WAREHOUSE	BH-FG	BH-FG	Bhakharpur Finished Basement	dominant stock warehouse | excl. migrated openings	569	425394	401415.1	0	0	0	401415.1	14	7335	0	0	0	0	0	0
4_WAREHOUSE	BH-FU	BH-FU	Bhakharpur Finished 1st Floor	dominant stock warehouse | excl. migrated openings	17	80175	76357.14	0	0	0	76357.14	0	0	0	0	0	0	0	0
4_WAREHOUSE	BH-GR	BH-GR	Bhakharpur GR	dominant stock warehouse | excl. migrated openings	1	350	296.61	0	0	0	296.61	0	0	0	0	0	0	0	0
4_WAREHOUSE	BH-PF	BH-PF	Bhakharpur Production Finished 1st Floor	dominant stock warehouse | excl. migrated openings	34	59210	56390.48	0	0	0	56390.48	22	43780	0	0	0	0	0	0
4_WAREHOUSE	BH-SC	BH-SC	Bhakharpur Schemes	dominant stock warehouse | excl. migrated openings	10	9665	8982.32	0	0	0	8982.32	7	8615	0	0	0	0	0	0
4_WAREHOUSE	DL-J3	DL-J3	Rajouri Garden Warehouse	dominant stock warehouse | excl. migrated openings	84	416001	389306.34	1	180	171.43	389134.91	1	1284.7	0	0	0	0	0	0
4_WAREHOUSE	GP-FG	GP-FG	GUPTA GODOWN BASEMENT FINISHED GODOWN	dominant stock warehouse | excl. migrated openings	287	348790	332055.06	0	0	0	332055.06	136	192545	0	0	0	0	0	0
5_CUSTOMER	CUSTA000025	CUSTA000025	HARPREET SINGH CASH SALE	master name (invoice snapshots may differ) | excl. migrated openings	1012	1026689	973381.31	0	0	0	973381.31	255	333800	317953.86	13711.14	0	54500	0	0
5_CUSTOMER	CUSTA000886	CUSTA000886	KAMALPREET SINGH (CASH SALE)	master name (invoice snapshots may differ) | excl. migrated openings	3	1470	1400	0	0	0	1400	3	1470	6282	-4812	0	0	0	0
5_CUSTOMER	CUSTA001015	CUSTA001015	KAMALJEET CASH SALE J3	master name (invoice snapshots may differ) | excl. migrated openings	84	416001	389306.34	1	180	171.43	389134.91	1	1284.7	0	1284.7	0	217443.48	0	0
6_TENDER_MONTH	2024-10	2024-10	2024-10	ORCT."CashSum", DocType=C, external only (cash COLLECTED, not cash SOLD)	0	0	0	0	0	0	0	0	0	0	0	134	726244.02	0	0
6_TENDER_MONTH	2024-11	2024-11	2024-11	ORCT."CashSum", DocType=C, external only (cash COLLECTED, not cash SOLD)	0	0	0	0	0	0	0	0	0	0	0	180	1206093.03	0	0
6_TENDER_MONTH	2024-12	2024-12	2024-12	ORCT."CashSum", DocType=C, external only (cash COLLECTED, not cash SOLD)	0	0	0	0	0	0	0	0	0	0	0	254	1646913.1	0	0
6_TENDER_MONTH	2025-01	2025-01	2025-01	ORCT."CashSum", DocType=C, external only (cash COLLECTED, not cash SOLD)	0	0	0	0	0	0	0	0	0	0	0	77	639386.9	0	0
6_TENDER_MONTH	2025-02	2025-02	2025-02	ORCT."CashSum", DocType=C, external only (cash COLLECTED, not cash SOLD)	0	0	0	0	0	0	0	0	0	0	0	7	1380041	0	0
6_TENDER_MONTH	2025-03	2025-03	2025-03	ORCT."CashSum", DocType=C, external only (cash COLLECTED, not cash SOLD)	0	0	0	0	0	0	0	0	0	0	0	22	490785.01	0	0
6_TENDER_MONTH	2025-04	2025-04	2025-04	ORCT."CashSum", DocType=C, external only (cash COLLECTED, not cash SOLD)	0	0	0	0	0	0	0	0	0	0	0	36	83575.03	0	0
6_TENDER_MONTH	2025-05	2025-05	2025-05	ORCT."CashSum", DocType=C, external only (cash COLLECTED, not cash SOLD)	0	0	0	0	0	0	0	0	0	0	0	34	76645.5	0	0
6_TENDER_MONTH	2025-06	2025-06	2025-06	ORCT."CashSum", DocType=C, external only (cash COLLECTED, not cash SOLD)	0	0	0	0	0	0	0	0	0	0	0	35	162933.05	0	0
6_TENDER_MONTH	2025-07	2025-07	2025-07	ORCT."CashSum", DocType=C, external only (cash COLLECTED, not cash SOLD)	0	0	0	0	0	0	0	0	0	0	0	11	33000.01	0	0
6_TENDER_MONTH	2025-08	2025-08	2025-08	ORCT."CashSum", DocType=C, external only (cash COLLECTED, not cash SOLD)	0	0	0	0	0	0	0	0	0	0	0	9	98000	0	0
6_TENDER_MONTH	2025-09	2025-09	2025-09	ORCT."CashSum", DocType=C, external only (cash COLLECTED, not cash SOLD)	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0
6_TENDER_MONTH	2025-10	2025-10	2025-10	ORCT."CashSum", DocType=C, external only (cash COLLECTED, not cash SOLD)	0	0	0	0	0	0	0	0	0	0	0	20	380110	0	0
6_TENDER_MONTH	2025-11	2025-11	2025-11	ORCT."CashSum", DocType=C, external only (cash COLLECTED, not cash SOLD)	0	0	0	0	0	0	0	0	0	0	0	30	345460	0	0
6_TENDER_MONTH	2025-12	2025-12	2025-12	ORCT."CashSum", DocType=C, external only (cash COLLECTED, not cash SOLD)	0	0	0	0	0	0	0	0	0	0	0	35	66538	0	0
6_TENDER_MONTH	2026-01	2026-01	2026-01	ORCT."CashSum", DocType=C, external only (cash COLLECTED, not cash SOLD)	0	0	0	0	0	0	0	0	0	0	0	30	261850.02	0	0
6_TENDER_MONTH	2026-02	2026-02	2026-02	ORCT."CashSum", DocType=C, external only (cash COLLECTED, not cash SOLD)	0	0	0	0	0	0	0	0	0	0	0	30	450.04	0	0
6_TENDER_MONTH	2026-03	2026-03	2026-03	ORCT."CashSum", DocType=C, external only (cash COLLECTED, not cash SOLD)	0	0	0	0	0	0	0	0	0	0	0	19	110000	0	0
6_TENDER_MONTH	2026-04	2026-04	2026-04	ORCT."CashSum", DocType=C, external only (cash COLLECTED, not cash SOLD)	0	0	0	0	0	0	0	0	0	0	0	25	141850	0	0
6_TENDER_MONTH	2026-05	2026-05	2026-05	ORCT."CashSum", DocType=C, external only (cash COLLECTED, not cash SOLD)	0	0	0	0	0	0	0	0	0	0	0	22	209510.01	0	0
6_TENDER_MONTH	2026-06	2026-06	2026-06	ORCT."CashSum", DocType=C, external only (cash COLLECTED, not cash SOLD)	0	0	0	0	0	0	0	0	0	0	0	13	41500	0	0
6_TENDER_MONTH	2026-07	2026-07	2026-07	ORCT."CashSum", DocType=C, external only (cash COLLECTED, not cash SOLD)	0	0	0	0	0	0	0	0	0	0	0	14	50000	0	0
6_TENDER_MONTH	2026-08	2026-08	2026-08	ORCT."CashSum", DocType=C, external only (cash COLLECTED, not cash SOLD)	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
7_GL_CASH	1101014	1101014	SUNDRY DEBTORS CASH SALE	AR CONTROL	0	0	0	0	0	0	0	0	0	0	0	1300	0	3592328	3583426.86
7_GL_CASH	1105001	1105001	CASH SALE	CASH TILL	0	0	0	0	0	0	0	0	0	0	0	503	0	10171367.74	11194787.74
7_GL_CASH	1105002	1105002	CASH IN HAND	CASH TILL	0	0	0	0	0	0	0	0	0	0	0	13	0	718901.32	718901.32
7_GL_CASH	1105003	1105003	CASH SALE MAYAPURI	CASH TILL	0	0	0	0	0	0	0	0	0	0	0	1031	0	3991535.32	3979719.17
9_TOTAL	A	CASH_SALE_INVOICES	Cash-sale register (invoices on cash-sale cards)	excl. 2024-09-30 migrated openings; excl. cancelled. OPEN_INR is NOT a receivable - LEDGER_BAL_INR (OCRD balance, +DR/-CR) is what is owed.	1099	1444160	1364087.65	1	180	171.43	1363916.22	259	336554.7	380985.86	10185.83	0	0	0	0
9_TOTAL	B	MIGRATED_OPENINGS	Go-live opening balances dated 2024-09-30 (NOT sales)	EXCLUDED from A and from the 3_/4_/5_ breakdowns. Cards: CUSTA000238	35	2441924	2441924	0	0	0	2441924	1	2	0	0	0	0	0	0
9_TOTAL	C	CASH_TENDER_RECEIPTS	Cash tendered by customers (ORCT."CashSum"), external only	DIFFERENT POPULATION - cash collected against ordinary credit sales. Do not add to A.	0	0	0	0	0	0	0	0	0	0	0	1070	8150884.75	0	0
9_TOTAL	D	CASH_TENDER_GROUP	Cash tendered by JIVO group / branch cards	NOT TRADE - excluded from C and from 6_TENDER_MONTH; shown so it is never silently folded into a cash figure.	0	0	0	0	0	0	0	0	0	0	0	6	147000	0	0
