SCOPE	GRP_KEY	GRP_LABEL	SORT_KEY	GRPO_DOCS	GRPO_LINES	GRPO_NET	GRPO_GST	GRPO_GROSS	UNBILLED_DOCS	UNBILLED_LINES	UNBILLED_NET	UNBILLED_GST	UNBILLED_GROSS	UB_0_30	UB_31_60	UB_61_90	UB_91_180	UB_181_365	UB_365PLUS	UB_90PLUS_DOCS	UB_90PLUS_GROSS	UB_ZEROQTY_LINES	UB_ZEROQTY_GROSS	OLDEST_UB_DATE	OLDEST_UB_DAYS	CLOSED_NOBILL_DOCS	CLOSED_NOBILL_LINES	CLOSED_NOBILL_GROSS	RETURNED_DOCS	RETURNED_LINES	RETURNED_GROSS	INVOICED_DOCS	NOINV_DOCS	NOINV_GROSS	INV_PAIR_DOCS	INV_SAMEDAY_DOCS	INV_SAMEDAY_PCT	INV_LAG_AVG_DAYS	INV_LAG_MED_DAYS	EXT_GRPO_DOCS	EXT_GRPO_GROSS	EXT_UNBILLED_DOCS	EXT_UNBILLED_GROSS	EXT_UB_90PLUS_DOCS	EXT_UB_90PLUS_GROSS
VENDOR_UNBILLED	VENDA000948	ARNAV TRANSPORT SERVICE [EXTERNAL]	6	1942	2347	11509556.7	576383.09	12085939.78	97	114	709413	35470.65	744883.65	637094.85	87145.8	4725	15918	0	0	3	15918	114	744883.65	2026-03-11	164	8	9	64684.2	0	0	0	1837	105	809567.85	1837	2	0.11	13.4	10	1942	12085939.78	97	744883.65	3	15918
VENDOR_UNBILLED	VENDA001259	BHARGAVE ROAD CARRIER [EXTERNAL]	6	550	553	2853937.76	142696.89	2996634.65	75	76	394174	19708.7	413882.7	413882.7	0	0	0	0	0	0	0	76	413882.7	2026-07-26	27	0	0	0	0	0	0	475	75	413882.7	475	11	2.32	7.42	7	550	2996634.65	75	413882.7	0	0
VENDOR_UNBILLED	VENDA001185	NILANCHAL POLY EXTRUSION PVT. LTD. [EXTERNAL]	6	4	4	725000	130500	855500	2	2	345000	62100	407100	407100	0	0	0	0	0	0	0	0	0	2026-08-05	17	0	0	0	0	0	0	2	2	407100	2	2	100	0	0	4	855500	2	407100	0	0
VENDOR_UNBILLED	VENDA001345	BARFLEX POLYFILMS LTD [EXTERNAL]	6	1	3	322553	58059.54	380612.54	1	3	322553	58059.54	380612.54	0	0	0	380612.54	0	0	1	380612.54	0	0	2026-03-23	152	0	0	0	0	0	0	0	1	380612.54	0	0	NULL	NULL	NULL	1	380612.54	1	380612.54	1	380612.54
VENDOR_UNBILLED	VENDA001072	BALAJI INC. [EXTERNAL]	6	30	44	2376551.75	191773.87	2568325.62	1	3	131180	6559	137739	137739	0	0	0	0	0	0	0	0	0	2026-08-14	8	0	0	0	0	0	0	29	1	137739	29	28	96.55	0.1	0	30	2568325.62	1	137739	0	0
VENDOR_UNBILLED	VENDA000116	DOMINO PRINTECH INDIA LLP [EXTERNAL]	6	17	39	1373409	247213.62	1620622.62	2	5	84972	15294.96	100266.96	100266.96	0	0	0	0	0	0	0	0	0	2026-08-05	17	0	0	0	0	0	0	15	2	100266.96	15	13	86.67	0.2	0	17	1620622.62	2	100266.96	0	0
VENDOR_UNBILLED	VENDA000345	PUNJAB FUSION PVT LTD [EXTERNAL]	6	17	17	1287880	231818.4	1519698.4	1	1	74000	13320	87320	87320	0	0	0	0	0	0	0	0	0	2026-08-12	10	1	1	87329.44	0	0	0	15	2	174649.44	15	13	86.67	1.53	0	17	1519698.4	1	87320	0	0
VENDOR_UNBILLED	VENDA000933	MULTILAYER INDUSTRIES [EXTERNAL]	6	18	27	2151991.8	387358.52	2539350.32	1	2	70685	12723.3	83408.3	0	0	0	0	0	83408.3	1	83408.3	0	0	2025-03-05	535	0	0	0	0	0	0	17	1	83408.3	17	12	70.59	9.71	0	18	2539350.32	1	83408.3	1	83408.3
VENDOR_UNBILLED	VENDA000269	MAHADEV TEMPO SERVICE [EXTERNAL]	6	153	196	1563671.3	78183.57	1641854.87	3	4	30160	1508	31668	0	0	0	31668	0	0	3	31668	4	31668	2026-03-20	155	6	6	56458.5	0	0	0	144	9	88126.5	144	1	0.69	31.37	17.5	153	1641854.87	3	31668	3	31668
VENDOR_UNBILLED	VENDA000987	ECOCARE TECHNOLOGIES PVT LTD [EXTERNAL]	6	9	11	265300	47754	313054	1	1	26000	4680	30680	30680	0	0	0	0	0	0	0	0	0	2026-08-14	8	1	1	15340	0	0	0	7	2	46020	7	3	42.86	66.14	2	9	313054	1	30680	0	0
