ACCT_CODE	ACCT_NAME	RECON_NO	STMT_DATE	PERFORMED_DATE	LAG_DAYS_N	LINES_CLEARED_N	CLEARED_RECEIPTS_N	CLEARED_RECEIPTS_L	CLEARED_PAYMENTS_N	CLEARED_PAYMENTS_L	CLEARED_NET_L	BANK_SIDE_L	TIEOUT_DIFF_L	OLDEST_ITEM_DATE	MAX_ITEM_AGE_AT_STMT_N
1104108	ICICI BANK 629305042079	5	2026-05-31	2026-06-15	15	574	359	1940.58	215	1859.43	81.15	81.15	0	2026-01-31	120
1104108	ICICI BANK 629305042079	4	2026-03-27	2026-03-30	3	1662	1277	6521.88	385	6404.15	117.74	117.74	0	2025-04-01	360
1104108	ICICI BANK 629305042079	3	2025-10-31	2025-11-11	11	378	300	3743.1	78	3906.23	-163.13	-163.13	0	2025-10-01	30
1104111	ICICI BANK - 629305042589	2	2025-10-31	2025-11-11	11	16	2	30	14	28.99	1.01	1.01	0	2025-10-09	22
1104108	ICICI BANK 629305042079	2	2025-09-30	2025-10-13	13	881	598	4174.9	283	4040.46	134.44	134.44	0	2025-03-31	183
1104111	ICICI BANK - 629305042589	1	2025-09-30	2025-10-14	14	116	22	130.28	94	128.87	1.4	1.4	0	2025-04-10	173
1104108	ICICI BANK 629305042079	1	2025-07-01	2025-08-02	32	2457	1739	11532.09	718	11484.15	47.94	47.94	0	2024-12-31	182
