product_group,subgroup_id,sub_group,skus,active_skus
Electricals,348,Cell,16,16
Electricals,696,Room Heater,15,15
Electricals,385,Computer Parts,9,6
Electricals,1010,Hair Dryer,5,5
Electricals,1026,Hot Plate,3,3
Electricals,445,Extention,3,3
Electricals,507,Heater Rod,2,2
Electricals,1056,Internet Switch,2,2
Electricals,1022,Tube Light,2,2
Fabric,446,Fabric,3,3
Fabrics,782,Than,94,94
Fabrics,786,Thread,5,5
Fashion Jewellery,499,Hair Clip,51,51
Fashion Jewellery,371,Clutcher,25,25
Fashion Jewellery,698,Rubber Band,13,13
Fashion Jewellery,436,Ear Tops,3,0
Fashion Jewellery,456,Finger Ring,2,0
Fashion Jewellery,687,Rakhi,2,2
Food,1078,Uttappam,1,1
Food Supplement,546,Premix Soup,57,57
Food Supplement,349,Cerelac,35,35
Food Supplement,515,Horlicks,24,24
Food Supplement,513,Honey,21,21
Food Supplement,384,Complan,15,15
Food Supplement,462,Food Supplement,13,13
Food Supplement,442,Health Drink,11,11
Food Supplement,631,Nutella,10,10
Food Supplement,550,Lactogen,7,7
Food Supplement,363,Chocolate Powder,6,6
Food Supplement,1054,Chayanprash,2,2
Food Supplement,1051,Pop Corn,1,1
Food Supplement,1052,Nutrela,1,1
Food Supplement,1053,Musli,1,1
Food Supplement,1061,Kheer,1,1
Footwear,729,Shoes,211,198
Footwear,743,Slipper,198,192
Footwear,709,Sandal,33,33
Footwear,270,Bally,22,22
Footwear,893,Ladies Slipper,17,17
Footwear,710,Sandals,13,12
Footwear,1071,Crocks,2,2
Frozen,467,Frozen,40,40
Frozen,673,Potato Bites,13,13
Frozen,745,Smilyes,3,3
Frozen,491,Green Peas,1,1
Fruits,250,Apple,50,11
Fruits,671,Pomegranate,37,0
Fruits,468,Fruit,26,26
Fruits,576,Mango,22,9
Fruits,642,Papaya,17,2
Fruits,648,Peach,17,2
Fruits,487,Grapes,16,3
Fruits,633,Orange,14,4
Fruits,588,Melon,13,4
Fruits,538,Keenu,11,1
Fruits,650,Pears,11,4
Fruits,494,Guava,11,1
Fruits,843,Water Melon,10,2
Fruits,274,Banana,6,1
Fruits,564,Litchi,6,1
Fruits,669,Plum,5,2
Fruits,569,Long Melon,1,1
Fruits,573,Lychee,1,1
Fruits,485,Goosebeery,1,1
General Items,629,Noodles,119,119
General Items,244,Agarbatti,112,112
General Items,391,Corn Flakes,75,75
General Items,690,Ready To Cook,73,73
General Items,689,Ready Food,40,40
General Items,416,Dhoop,40,40
General Items,426,Drinks Instant Mix,31,31
General Items,326,Peanut Butter,25,25
General Items,899,Gazzak,25,25
General Items,617,Vermicelli,23,23
General Items,774,Syrup,20,20
General Items,1008,Milk Powder,19,19
General Items,900,Mungfali,6,6
General Items,881,Kapoor,6,6
General Items,1034,Papad,5,5
General Items,884,Baking Powder,4,4
General Items,691,Ready To Food,4,4
General Items,1058,Sweet Corn,3,3
General Items,1011,Cornflour,2,2
General Items,584,Match Box,2,2
Gurmat,497,Gurmat,17,17
Gurmat,859,Gatra,10,10
Home Furnishing,812,Towel,98,98
Home Furnishing,288,Bed Sheet,51,51
Home Furnishing,301,Blanket,39,38
Home Furnishing,401,Curtain,14,14
Home Furnishing,663,Pillow,13,13
Home Furnishing,512,Home Furnishing,10,10
Home Furnishing,1019,Hand Towel,3,3
Home Furnishing,402,Cushion,2,2
Home Furnishing,1063,Cover,1,1
Hot Drink,989,Tea Cup,12,9
Hot Drinks,933,Hot Coffee,12,11
Hot Drinks,376,Coffee Drinks,6,6
House Hold,840,Water Bottle,102,102
House Hold,276,Basket,58,58
House Hold,845,Wiper,36,36
House Hold,309,Bottle,23,23
House Hold,323,Bucket,20,20
House Hold,582,Mat,18,18
House Hold,593,Milk Feeder,18,18
House Hold,594,Milk Pot,17,17
House Hold,322,Brush,17,17
House Hold,279,Bath Mug,15,15
House Hold,748,Soap Case,15,15
House Hold,422,Door Mat,14,14
House Hold,392,Corner Rack,13,13
House Hold,282,Bath Stool,13,13
House Hold,842,Water Jug,13,13
House Hold,874,Sipper,12,12
House Hold,321,Broom,12,12
House Hold,498,Hair Brush,12,12
House Hold,504,Hanger,12,12
House Hold,280,Bath Scrubber,10,10
House Hold,796,Toilet Brush,10,10
House Hold,697,Rope,10,10
House Hold,879,Tub,10,10
House Hold,837,Wash Brush,10,10
House Hold,761,Stand,9,9
House Hold,432,Duster,9,9
House Hold,433,Duster Cloth,9,9
House Hold,463,Foot Scrubber,8,8
House Hold,370,Cloth Clip,8,8
House Hold,611,Multi Purpose Stand,8,8
House Hold,251,Apron,7,7
House Hold,434,Dustpan,7,7
House Hold,431,Dustbin,7,7
House Hold,620,Namak Dani,6,6
House Hold,604,Mop,6,6
House Hold,570,Lota,6,6
House Hold,310,Bottle Brush,5,5
House Hold,419,Dispensar,4,4
House Hold,783,Thapi,4,4
House Hold,579,Masala Dani,3,3
House Hold,557,Laundry Basket,3,3
House Hold,364,Chopping Board,3,3
House Hold,556,Laundry,2,2
House Hold,621,Napkin,2,2
House Hold,685,Rain Cap,2,2
House Hold,1066,Grabage Bage,2,2
House Hold,1047,Toilet Seat,1,1
House Hold,866,Laundry Bag,1,1
House Hold,372,Coat Brush,1,1
House Hold,311,Bottle Rush,1,1
Jam & Sauce,713,Sauce,192,192
Jam & Sauce,660,Pickle,65,65
Jam & Sauce,585,Mayonnaise,61,61
Jam & Sauce,525,Jam,33,33
