host	path	method	class	wired	app	source_chunk	const	evidence
brand-portal-service-http.swiggy.com	/api/discounting/v1/campaign	POST	UNKNOWN	no	im-discounts	js__async__bundle.a6c530750e767fae.js		direct literal call site .post("/api/discounting/v1/campaign")
brand-portal-service-http.swiggy.com	/api/discounting/v1/campaign/config	GET	READ	yes	im-discounts	js__async__bundle.a6c530750e767fae.js		direct literal call site .get("/api/discounting/v1/campaign/config")
brand-portal-service-http.swiggy.com	/api/discounting/v1/campaign/disable	PUT	WRITE	no	im-discounts	js__async__bundle.a6c530750e767fae.js		direct literal call site .put("api/discounting/v1/campaign/disable")
brand-portal-service-http.swiggy.com	/api/discounting/v1/campaign/file	GET	READ	yes	im-discounts	js__async__bundle.a6c530750e767fae.js		direct literal call site .get("api/discounting/v1/campaign/file")
brand-portal-service-http.swiggy.com	/api/discounting/v1/campaign/search	POST	READ	yes	im-discounts	js__async__bundle.a6c530750e767fae.js		direct literal call site .post("/api/discounting/v1/campaign/search")
brand-portal-service-http.swiggy.com	/api/discounting/v1/campaign/spins	GET	READ	yes	im-discounts	js__async__bundle.a6c530750e767fae.js		direct literal call site .get("api/discounting/v1/campaign/spins")
brand-portal-service-http.swiggy.com	/api/discounting/v1/campaign/upload-status	GET	WRITE	no	im-discounts	js__async__bundle.a6c530750e767fae.js		direct literal call site .get("/api/discounting/v1/campaign/upload-status")
brand-portal-service-http.swiggy.com	/api/discounting/v1/campaigns	POST	UNKNOWN	no	im-discounts	js__async__bundle.8951bf6f9c77fd8f.js		direct literal call site .post("/api/discounting/v1/campaigns")
brand-portal-service-http.swiggy.com	/api/discounting/v1/metrics/batch	POST	READ	yes	im-discounts	js__async__bundle.8951bf6f9c77fd8f.js		direct literal call site .post("/api/discounting/v1/metrics/batch")
brand-portal-service-http.swiggy.com	/api/discounting/v1/tnc/acceptance	POST	UNKNOWN	no	im-discounts	js__async__bundle.150c06b438807541.js		direct literal call site .post("/api/discounting/v1/tnc/acceptance") — path also served by another verb; kept the mutating one so deny-by-default wins
brand-portal-service-http.swiggy.com	/api/v1/3p/advertiser/metrics/batch	POST	READ	yes	brandverse	bundle.05256bd9.js	BATCH_METRICS	call site .post() on BATCH_METRICS | live: ['POST'] -> [403], 69B
brand-portal-service-http.swiggy.com	/api/v1/account/permissions	GET	READ	yes	brand-portal-client	441.1de474225309243dd836.js	ACCOUNT_PERMISSIONS	call site .get() on ACCOUNT_PERMISSIONS | live: ['POST'] -> [200], 481B
brand-portal-service-http.swiggy.com	/api/v1/ads-chat/chat	POST	UNKNOWN	no	brand-portal-client	441.1de474225309243dd836.js	ADS_CHAT	call site .post() on ADS_CHAT
brand-portal-service-http.swiggy.com	/api/v1/ads-chat/conversations/list	POST	READ	yes	brand-portal-client	441.1de474225309243dd836.js	ADS_CHAT_LIST_SESSIONS	call site .post() on ADS_CHAT_LIST_SESSIONS
brand-portal-service-http.swiggy.com	/api/v1/ads-chat/conversations/{conversation_id}	DELETE	WRITE	no	brand-portal-client	441.1de474225309243dd836.js	ADS_CHAT_DELETE_SESSION	call site .delete() on ADS_CHAT_DELETE_SESSION
brand-portal-service-http.swiggy.com	/api/v1/ads-chat/conversations/{conversation_id}/messages/list	POST	READ	yes	brand-portal-client	441.1de474225309243dd836.js	ADS_CHAT_GET_SESSION	call site .post() on ADS_CHAT_GET_SESSION
brand-portal-service-http.swiggy.com	/api/v1/advertiser/metrics	POST	READ	yes	brand-portal-client	441.1de474225309243dd836.js	BRAND_INSIGHTS_METRICS	call site .post() on BRAND_INSIGHTS_METRICS | live: ['POST'] -> [200], 6884B
