host	path	method	class	app	const	why
partner-api.swiggy.com	/im-discounts/v1/account/list	GET	READ	im-discounts		observed GET
partner-api.swiggy.com	/im-discounts/v1/account/permissions	GET	READ	im-discounts		observed GET
partner-api.swiggy.com	/im-discounts/v1/configs	GET	READ	im-discounts		observed GET
partner-api.swiggy.com	/instamart/v1/account/get	GET	READ	brand-portal-client	ACCOUNT_GET	observed GET
partner-api.swiggy.com	/instamart/v1/account/list	GET	READ	brand-portal-client	ACCOUNT_LIST	observed GET
partner-api.swiggy.com	/instamart/v1/account/permissions	GET	READ	brand-portal-client	ACCOUNT_PERMISSIONS	observed GET
partner-api.swiggy.com	/instamart/v1/campaign/bpo	GET	READ	brand-portal-client	CAMPAIGN_GET_BPO	observed GET
partner-api.swiggy.com	/instamart/v1/configs	GET	READ	brand-portal-client	FETCH_CONFIGS	observed GET
partner-api.swiggy.com	/instamart/v1/metrics	POST	READ	brand-portal-client	METRICS	POST-to-read (list/search/get/metrics semantics, no mutating token)
partner-api.swiggy.com	/instamart/v1/products/filter	POST	READ	brand-portal-client	PRODUCTS_FILTER	POST-to-read (list/search/get/metrics semantics, no mutating token)
partner-api.swiggy.com	/instamart/v1/report	POST	READ	brand-portal-client	GET_REPORT	POST-to-read (list/search/get/metrics semantics, no mutating token)
partner-api.swiggy.com	/instamart/v1/report/list-bdpo	POST	READ	brand-portal-client	GET_BDPO_REPORT	POST-to-read (list/search/get/metrics semantics, no mutating token)
partner-api.swiggy.com	/instamart/v1/report/list-sales	POST	READ	brand-portal-client	GET_SALES_REPORT	POST-to-read (list/search/get/metrics semantics, no mutating token)
partner-api.swiggy.com	/time	GET	READ	brand-portal-client	TIME	observed GET
picker.swiggy.com	/api/v1/batch/list	GET	READ	im-vendor	BATCH_LIST	observed GET
picker.swiggy.com	/api/v1/brands/list	GET	READ	im-vendor		observed GET
picker.swiggy.com	/api/v1/category/list	GET	READ	im-vendor		observed GET
picker.swiggy.com	/api/v1/external/indent/get	POST	READ	im-vendor	GET_INDENT	POST-to-read (list/search/get/metrics semantics, no mutating token)
picker.swiggy.com	/api/v1/external/indent/list_indent_items	POST	READ	im-vendor	GET_INDENT_ITEM_LIST	POST-to-read (list/search/get/metrics semantics, no mutating token)
picker.swiggy.com	/api/v1/external/indent/list_indents	POST	READ	im-vendor	GET_INDENT_LIST	POST-to-read (list/search/get/metrics semantics, no mutating token)
picker.swiggy.com	/api/v1/external/indent/po/download	POST	READ_FILE	im-vendor	PO_DOWNLOAD	file-download marker ['download']
picker.swiggy.com	/api/v1/grn/searchGrnLines	POST	READ	im-vendor		POST-to-read (list/search/get/metrics semantics, no mutating token)
picker.swiggy.com	/api/v1/inventory/metrics	POST	READ	im-vendor		POST-to-read (list/search/get/metrics semantics, no mutating token)
picker.swiggy.com	/api/v1/inventory/search/itemInventories	POST	READ	im-vendor		POST-to-read (list/search/get/metrics semantics, no mutating token)
picker.swiggy.com	/api/v1/inventory/search/lowStockFcs	POST	READ	im-vendor		POST-to-read (list/search/get/metrics semantics, no mutating token)
picker.swiggy.com	/api/v1/listAllFCs	POST	READ	im-vendor		POST-to-read (list/search/get/metrics semantics, no mutating token)
picker.swiggy.com	/api/v1/listPurchaseOrderLines	POST	READ	im-vendor	GET_ITEM_LIST_DATA	POST-to-read (list/search/get/metrics semantics, no mutating token)
picker.swiggy.com	/api/v1/purchaseMetrics	POST	READ	im-vendor		POST-to-read (list/search/get/metrics semantics, no mutating token)
picker.swiggy.com	/api/v1/returnMetrics	POST	READ	im-vendor		POST-to-read (list/search/get/metrics semantics, no mutating token)
picker.swiggy.com	/api/v1/search/rtv	POST	READ	im-vendor		POST-to-read (list/search/get/metrics semantics, no mutating token)
picker.swiggy.com	/api/v1/search/rtvLines	POST	READ	im-vendor		POST-to-read (list/search/get/metrics semantics, no mutating token)
picker.swiggy.com	/api/v1/searchGrns	POST	READ	im-vendor		POST-to-read (list/search/get/metrics semantics, no mutating token)
picker.swiggy.com	/api/v1/searchInventoryAvailabilityMetrics	POST	READ	im-vendor		POST-to-read (list/search/get/metrics semantics, no mutating token)
picker.swiggy.com	/api/v1/searchPurchaseOrder	POST	READ	im-vendor	GET_PO_DETAILS	POST-to-read (list/search/get/metrics semantics, no mutating token)
picker.swiggy.com	/api/v1/searchPurchaseReturnLines	POST	READ	im-vendor		POST-to-read (list/search/get/metrics semantics, no mutating token)
picker.swiggy.com	/api/v1/searchPurchaseReturns	POST	READ	im-vendor		POST-to-read (list/search/get/metrics semantics, no mutating token)
picker.swiggy.com	/api/v1/searchSupplierPerformanceMetrics	POST	READ	im-vendor		POST-to-read (list/search/get/metrics semantics, no mutating token)
picker.swiggy.com	/api/v1/vendorPortal/accessInfo	GET	READ	im-vendor		observed GET
