route	apps	constants
/instamart/campaign/{0}/edit-1cc	instamart	ONE_CC_CAMPAIGN_EDIT
/instamart/employee-login	brand-portal-client,im-discounts,im-sampling,im-vendor,instamart	EMPLOYEE_LOGIN,InternalLogin
/instamart/instamart/*	brand-portal-client	
/instamart/login	brand-portal-client,im-discounts,im-sampling,im-vendor,instamart	EXTERNAL_LOGIN,ExternalLogin
/instamart/login/success	brand-portal-client,im-discounts,im-sampling,instamart	LOGIN_SUCCESS,Success
/instamart/mock/third-party-login	instamart	MOCK_THIRD_PARTY_LOGIN
/instamart/npi	brand-portal-client,im-discounts,instamart	NPI,npi
/instamart/reports	brand-portal-client,im-discounts,instamart	REPORTS,reports
/instamart/requisition-orders	brand-portal-client,im-discounts,instamart	REQUISITION_ORDERS,RO_LIST,requisitionOrders
/instamart/sales	brand-portal-client,im-discounts,instamart	SALES,sales
/instamart/sales-insights	brand-portal-client,im-discounts,instamart	SALES_INSIGHTS,salesInsights
/instamart_new_to_brand	im-discounts	
/login	brand-portal-client,im-catalog,im-vendor,instamart	EXTERNAL_LOGIN,ExternalLogin,loginUrl,path
/login/success	brand-portal-client,instamart	LOGIN_SUCCESS,path
/migration-bridge	brand-portal-client	MIGRATION_BRIDGE,path
