account	me	/api/auth/me
account	permissions	/api/auth/permissions
dashboard	latest-month	/api/dashboard/latest-month
dashboard	top-skus	/api/dashboard/top-skus
dashboard	category-breakdown	/api/dashboard/category-breakdown
dashboard	category-litres	/api/dashboard/category-litres
dashboard	category-platform-breakdown	/api/dashboard/category-platform-breakdown
dashboard	category-sku-breakdown	/api/dashboard/category-sku-breakdown
dashboard	category-trend	/api/dashboard/category-trend
dashboard	state-sales	/api/dashboard/state-sales
dashboard	state-sales-detail	/api/dashboard/state-sales/detail
dashboard	fulfilment-health	/api/dashboard/fulfilment-health
dashboard	inventory-charts	/api/dashboard/inventory-charts
dashboard	primary-po-litres	/api/dashboard/primary-po-litres
dashboard	secondary-yoy-growth	/api/dashboard/secondary-yoy-growth
dashboard	expiry-alerts	/api/dashboard/expiry-alerts/{platform}
dashboard	platform-expiry-alerts	/api/dashboard/platform-expiry-alerts
dashboard	lead-time-report	/api/dashboard/lead-time-report
dashboard	realise-overview	/api/dashboard/realise-overview
dashboard	realise-breakdown	/api/dashboard/realise-breakdown
dashboard	realise-trend	/api/dashboard/realise-trend
dashboard	realise-waterfall	/api/dashboard/realise-waterfall
dashboard	state-sales-detail-cities	/api/dashboard/state-sales/detail/cities
dashboard	state-sales-detail-city-skus	/api/dashboard/state-sales/detail/city-skus
dashboard	state-sales-detail-options	/api/dashboard/state-sales/detail/options
dashboard	state-sales-export	/api/dashboard/state-sales/export
dashboard	expiry-alerts-pos	/api/dashboard/platform-expiry-alerts/{platform}/pos
dashboard	expiry-alerts-po-items	/api/dashboard/platform-expiry-alerts/{platform}/pos/{po}/items
tables	counts	/api/dashboard/table-counts
tables	count	/api/dashboard/table-count/{table}
tables	columns	/api/dashboard/table-columns/{table}
tables	data	/api/dashboard/table-data/{table}
tables	distinct	/api/dashboard/table-distinct/{table}/{column}
master	products	/api/master/products
master	fcs	/api/master/fcs
notifications	list	/api/notifications
notifications	get	/api/notifications/{id}
notifications	inventory-doh	/api/notifications/inventory-doh/{id}
platform	stats	/api/platform/{platform}/stats
platform	primary	/api/platform/{platform}/primary-dashboard
platform	secondary	/api/platform/{platform}/sec-dashboard
platform	secondary-years	/api/platform/{platform}/sec-dashboard-years
platform	secondary-monthly	/api/platform/{platform}/sec-monthly-dashboard
platform	ads	/api/platform/{platform}/ads-dashboard
platform	price	/api/platform/{platform}/price-dashboard
platform	drr	/api/platform/{platform}/drr-dashboard
platform	comparison	/api/platform/{platform}/comparison-dashboard
platform	coupon	/api/platform/{platform}/coupon-dashboard
platform	marketplace	/api/platform/{platform}/mp-dashboard
platform	pendency	/api/platform/{platform}/pendency-dashboard
platform	region-doh	/api/platform/{platform}/region-doh-dashboard
platform	soh-doh	/api/platform/{platform}/soh-doh-dashboard
platform	month-on-month-sale	/api/platform/{platform}/month-on-month-sale
platform	pos	/api/platform/{platform}/pos
platform	inventory-match	/api/platform/{platform}/inventory-match
platform	month-targets	/api/platform/{platform}/month-targets
platform	primary-month-targets	/api/platform/{platform}/primary-month-targets
platform	ads-summary	/api/platform/ads-summary
platform	meta	/api/platform/meta
platform	primary-overview-total	/api/platform/primary-overview-total
platform	primary-summary	/api/platform/primary-summary
platform	primary-summary-version	/api/platform/primary-summary-version
platform	call-center-targets	/api/platform/call-center-targets
platform	month-targets-dashboard	/api/platform/month-targets/dashboard
platform	primary-month-targets-dashboard	/api/platform/primary-month-targets/dashboard
platform	ads-total-sales	/api/platform/{platform}/ads-total-sales
platform	mp-dashboard-version	/api/platform/{platform}/mp-dashboard-version
platform	landing-rate	/api/platform/{platform}/landing-rate
platform	landing-rate-skus	/api/platform/{platform}/landing-rate/skus
platform	bigbasket-ads-dashboard	/api/platform/{platform}/bigbasket-ads-dashboard
platform	bigbasket-ads-daily-dashboard	/api/platform/{platform}/bigbasket-ads-daily-dashboard
platform	blinkit-ads-dashboard	/api/platform/{platform}/blinkit-ads-dashboard
platform	blinkit-brandfund-dashboard	/api/platform/{platform}/blinkit-brandfund-dashboard
platform	swiggy-ads-dashboard	/api/platform/{platform}/swiggy-ads-dashboard
platform	swiggy-ads-daily-dashboard	/api/platform/{platform}/swiggy-ads-daily-dashboard
platform	swiggy-brandfund-dashboard	/api/platform/{platform}/swiggy-brandfund-dashboard
platform	zepto-ads-dashboard	/api/platform/{platform}/zepto-ads-dashboard
platform	zepto-ads-daily-dashboard	/api/platform/{platform}/zepto-ads-daily-dashboard
platform	zepto-brandfund-dashboard	/api/platform/{platform}/zepto-brandfund-dashboard
platform	flipkart-ads-dashboard	/api/platform/{platform}/flipkart-ads-dashboard
platform	flipkart-fsn-dashboard	/api/platform/{platform}/flipkart-fsn-dashboard
reports	amazon-po	/api/reports/amazon-po
reports	amazon-po-summary	/api/reports/amazon-po/summary
reports	amazon-po-new-po	/api/reports/amazon-po/new-po
reports	amazon-po-matrix	/api/reports/amazon-po/matrix
reports	amazon-po-filter-options	/api/reports/amazon-po/filter-options
reports	appointment	/api/reports/appointment
reports	appointment-summary	/api/reports/appointment/summary
reports	appointment-filter-options	/api/reports/appointment/filter-options
reports	columns	/api/reports/columns
reports	raw	/api/reports/raw
sap	distributors	/api/sap/distributors
sap	distributor	/api/sap/distributors/{code}
sap	distributor-inventory	/api/sap/distributor-inventory
sap	distributor-invoices	/api/sap/distributor-invoices/{code}
sap	distributor-orders	/api/sap/distributor-orders/{code}
sap	platform-distributors	/api/sap/platform-distributors/{platform}
sap	platform-distributor	/api/sap/platform-distributors/{platform}/{code}
sap	platform-sales-invoices	/api/sap/platform-sales-invoices/{platform}
sap	inventory-finished-goods	/api/sap/inventory-finished-goods
sap	inventory-overview	/api/sap/inventory-overview
sap	inventory-warehouse-comparison	/api/sap/inventory-warehouse-comparison
sap	stock-by-warehouse	/api/sap/stock-by-warehouse
sap	items	/api/sap/items
sap	sales-invoices	/api/sap/sales-invoices
sap	sales-invoice	/api/sap/sales-invoices/{id}
sap	sales-invoice-lines	/api/sap/sales-invoice-lines/{id}
sap	sales-analysis	/api/sap/sales-analysis
shipment	all-appointments	/api/shipment/all-appointments
shipment	appointment-commits	/api/shipment/appointment-commits
shipment	appointments	/api/shipment/appointments
shipment	appointment-dates	/api/shipment/appointments/dates
shipment	asin-catalog	/api/shipment/asin-catalog
shipment	inventory	/api/shipment/inventory
shipment	po-items	/api/shipment/po-items
shipment	po-shipment-lookup	/api/shipment/po-shipment-lookup
shipment	po-short-supply	/api/shipment/po-short-supply
