WHS	ITEMCODE	ITEMNAME	GRP	ONHAND_NOW	MOVE_SINCE_0801	PCS_OPEN_0801
BH-PF	FG0000030	MUSTARD KACHI GHANI 1 LTR 20 PCS	102	14320.000000	14120.000000	200.000000
BH-PF	FG0000031	MUSTARD PAKKI GHANI 1 LTR 20 PCS	102	0.000000	0.000000	0.000000
BH-PF	FG0000032	COLD PRESS 1 LTR 20 PCS	102	0.000000	-1464.000000	1464.000000
BH-PF	FG0000033	COLD PRESS 1 LTR + 1 LTR COMBO 10 SET	102	0.000000	-3176.000000	3176.000000
BH-PF	FG0000034	EXTRA LIGHT OLIVE 200 LTR 1 PCS	102	0.000000	0.000000	0.000000
BH-PF	FG0000035	COLD PRESS 500 MLS 24 PCS	102	0.000000	-984.000000	984.000000
BH-PF	FG0000038	MUSTARD KACCHI GHANI 2 LTR 10 PCS	102	0.000000	-5.000000	5.000000
BH-PF	FG0000039	EXTRA LIGHT OLIVE 500 MLS 24 PCS	102	0.000000	-60.000000	60.000000
BH-PF	FG0000042	EXTRA VIRGIN OLIVE 1 LTR 16 PCS	102	7376.000000	7257.000000	119.000000
BH-PF	FG0000043	COLD PRESS 3 LTR 6 PCS	102	4950.000000	4950.000000	0.000000
BH-PF	FG0000045	POMACE OLIVE 500 MLS 24 PCS	102	0.000000	-65.000000	65.000000
BH-PF	FG0000047	COLD PRESS 3 LTR + EXTRA LIGHT OLIVE 1 LTR 6 PCS	102	0.000000	-2.000000	2.000000
BH-PF	FG0000053	COLD PRESS SUNFLOWER 5 LTR 4 PCS	102	0.000000	-651.000000	651.000000
BH-PF	FG0000054	COLD PRESS 4 LTR + EXTRA LIGHT OLIVE 1 LTR 5 PCS	102	0.000000	-13.000000	13.000000
BH-PF	FG0000064	EXTRA LIGHT OIVE 2 LTR 10 PCS HANDLE	102	0.000000	-108.000000	108.000000
BH-PF	FG0000069	COLD PRESS 5 LTR + COLD PRESS 1 LTR 3 PCS SHRINKED PLAIN	102	0.000000	-31.000000	31.000000
BH-PF	FG0000070	COLD PRESS 2 LTR 10 PCS HANDLE	102	0.000000	0.000000	0.000000
BH-PF	FG0000074	EXTRA VIRGIN OLIVE 5 LTR TIN 4 PCS IMPORTED	102	171.000000	-310.000000	481.000000
BH-PF	FG0000081	COLD PRESS SUNFLOWER 1 LTR 20 PCS	102	3991.000000	1271.000000	2720.000000
BH-PF	FG0000082	DESI GHEE A2 500 MLS 16 PCS	102	1001.000000	978.000000	23.000000
BH-PF	FG0000083	DESI GHEE A2 1 LTR 9 PCS	102	0.000000	-4.000000	4.000000
BH-PF	FG0000085	COLD PRESS SOYABEAN 5 LTR 4 PCS	102	0.000000	-2.000000	2.000000
BH-PF	FG0000088	COLD PRESS 1 LTR +1 LTR COMBO 10 SET PLAIN	102	460.000000	-870.000000	1330.000000
BH-PF	FG0000091	COLD PRESS SUNFLOWER 1 LTR +1 LTR COMBO 10 SET PLAIN	102	0.000000	0.000000	0.000000
BH-PF	FG0000092	EXTRA VIRGIN OLIVE 1 LTR + 1 LTR COMBO 8 SET PLAIN	102	0.000000	0.000000	0.000000
BH-PF	FG0000104	EXTRA LIGHT OLIVE 100 MLS 10 PCS(CSD)	102	0.000000	0.000000	0.000000
BH-PF	FG0000105	EXTRA LIGHT OLIVE 250 MLS 4 PCS(CSD)	102	0.000000	-265.000000	265.000000
BH-PF	FG0000106	MUSTARD KACHHI GHANI 1 LTR POUCH 12 PCS	102	15570.000000	15567.000000	3.000000
BH-PF	FG0000112	EXTRA VIRGIN OLIVE 250 MLS 4 PCS	102	1640.000000	1588.000000	52.000000
