DOCNUM	DOCDATE	CARDCODE	CARDNAME	WHS	ITEMCODE	ITEMNAME	QTY	SRC
626060501	2026-06-29	CUSTA001102	DWARKA DASS NARINDER KUMAR	BH-PF	FG0000299	SOYABEAN OIL 700 GMS POUCH 12 PCS	2400.000000	INVOICE
626060501	2026-06-29	CUSTA001102	DWARKA DASS NARINDER KUMAR	BH-PF	FG0000444	SOYABEAN OIL 12 KGS (B)	265.000000	INVOICE
626070134	2026-07-01	CUSTA000007	ARJUN DASS & SONS PUNJAB NEW	BH-PF	FG0000383	REFINED OIL 13 KG	15.000000	INVOICE
626070550	2026-07-25	CUSTA000357	G PURE INDIA	BH-BT	FG0000032	COLD PRESS 1 LTR 20 PCS	441.000000	INVOICE
626070534	2026-07-25	CUSTA000357	G PURE INDIA	BH-BT	FG0000005	EXTRA LIGHT OLIVE 1 LTR 16 PCS	1925.000000	INVOICE
626070534	2026-07-25	CUSTA000357	G PURE INDIA	BH-BT	FG0000005	EXTRA LIGHT OLIVE 1 LTR 16 PCS	385.000000	INVOICE
626070534	2026-07-25	CUSTA000357	G PURE INDIA	BH-BT	FG0000150	SANO POMACE OLIVE 1 LTR 16 PCS	400.000000	INVOICE
626070534	2026-07-25	CUSTA000357	G PURE INDIA	BH-BT	FG0000151	SANO POMACE OLIVE 5 LTR TIN 4 PCS	120.000000	INVOICE
626070549	2026-07-25	CUSTA000357	G PURE INDIA	BH-BT	FG0000005	EXTRA LIGHT OLIVE 1 LTR 16 PCS	2388.000000	INVOICE
626070551	2026-07-25	CUSTA000357	G PURE INDIA	BH-BT	FG0000004	COLD PRESS 5 LTR 4 PCS	560.000000	INVOICE
626070551	2026-07-25	CUSTA000357	G PURE INDIA	BH-BT	FG0000151	SANO POMACE OLIVE 5 LTR TIN 4 PCS	100.000000	INVOICE
626070551	2026-07-25	CUSTA000357	G PURE INDIA	BH-BT	FG0000374	YELLOW MUSTARD OIL 5 LTR TIN 4 PCS	20.000000	INVOICE
626070551	2026-07-25	CUSTA000357	G PURE INDIA	BH-BT	FG0000028	POMACE OLIVE 1 LTR 16 PCS	750.000000	INVOICE
626070551	2026-07-25	CUSTA000357	G PURE INDIA	BH-BT	FG0000005	EXTRA LIGHT OLIVE 1 LTR 16 PCS	150.000000	INVOICE
626070551	2026-07-25	CUSTA000357	G PURE INDIA	BH-BT	FG0000005	EXTRA LIGHT OLIVE 1 LTR 16 PCS	132.000000	INVOICE
626070551	2026-07-25	CUSTA000357	G PURE INDIA	BH-BT	FG0000028	POMACE OLIVE 1 LTR 16 PCS	528.000000	INVOICE
626070547	2026-07-25	CUSTA000357	G PURE INDIA	BH-BT	FG0000407	COLD PRESS 1 LTR (NIRMAL RISHI )20 PCS	10000.000000	INVOICE
626070588	2026-07-28	CUSTA000872	SAI TRADERS LUDHIANA	BH-BT	FG0000004	COLD PRESS 5 LTR 4 PCS	2000.000000	INVOICE
626070586	2026-07-28	CUSTA001109	SAI TRADING COMPANY	BH-BT	FG0000192	SOYABEAN OIL 5 LTR 4 PCS	160.000000	INVOICE
626070591	2026-07-28	CUSTA000872	SAI TRADERS LUDHIANA	BH-BT	FG0000032	COLD PRESS 1 LTR 20 PCS	6000.000000	INVOICE
626070622	2026-07-29	CUSTA001028	JINDAL BROTHERS	BH-PF	FG0000422	JIVO MUSTARD KACCHI GHANI 869 GMS 20 PCS	4920.000000	INVOICE
626070507	2026-07-24	CUSTA000577	JAGDAMBA ENTERPRISES CHD	BH-BT	FG0000004	COLD PRESS 5 LTR 4 PCS	280.000000	INVOICE
626070507	2026-07-24	CUSTA000577	JAGDAMBA ENTERPRISES CHD	BH-BT	FG0000142	COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS	400.000000	INVOICE
626070486	2026-07-23	CUSTA000577	JAGDAMBA ENTERPRISES CHD	BH-BT	FG0000008	POMACE OLIVE 5 LTR TIN 4 PCS	40.000000	INVOICE
