DOCNUM	DOCDATE	WHS	ITEMNAME	QTY	SRC
626080214	2026-08-08	BH-PF	COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS	1600.000000	INVOICE
626080215	2026-08-08	BH-PF	COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS	1600.000000	INVOICE
626080326	2026-08-12	BH-BT	MUSTARD KACHI GHANI 1 LTR 20 PCS	1600.000000	INVOICE
626080106	2026-08-03	BH-PF	POMACE OLIVE 1 LTR 16 PCS	4320.000000	INVOICE
626080107	2026-08-03	BH-PF	COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS	7200.000000	INVOICE
626080108	2026-08-03	BH-PF	COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS	7200.000000	INVOICE
626080114	2026-08-03	BH-BT	MUSTARD KACHI GHANI 1 LTR 20 PCS ROUND BOTTLE	1.000000	INVOICE
626080114	2026-08-03	BH-BT	EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS	1.000000	INVOICE
626080140	2026-08-04	BH-BT	MUSTARD KACHI GHANI 1 LTR 20 PCS	1000.000000	INVOICE
626080147	2026-08-05	BH-BT	SOYABEAN OIL 5 LTR 4 PCS	1.000000	INVOICE
626080137	2026-08-04	BH-BT	MUSTARD KACHI GHANI 1 LTR 20 PCS	2000.000000	INVOICE
626080138	2026-08-04	BH-PF	MUSTARD KACHI GHANI 15 KGS	68.000000	INVOICE
626080144	2026-08-05	BH-BT	MUSTARD KACHI GHANI 1 LTR 20 PCS	600.000000	INVOICE
626080148	2026-08-05	BH-PF	MUSTARD KACHI GHANI 1 LTR 20 PCS	9000.000000	INVOICE
626080132	2026-08-04	BH-PF	COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS	7200.000000	INVOICE
626080133	2026-08-04	BH-PF	COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS	7200.000000	INVOICE
626080149	2026-08-05	BH-BT	MUSTARD KACCHI GHANI 5 LTR 4 PCS	1.000000	INVOICE
626080151	2026-08-05	BH-PF	SANO POMACE OLIVE 1 LTR 16 PCS	7200.000000	INVOICE
626080152	2026-08-05	BH-PF	COLD PRESS SUNFLOWER 1 LTR +1 LTR COMBO 10 SET PLAIN	4000.000000	INVOICE
626080162	2026-08-05	BH-BT	SOYABEAN OIL 1 LTR 20 PCS ROUND BOTTLE	1.000000	INVOICE
626080163	2026-08-05	BH-BT	MUSTARD KACCHI GHANI 5 LTR 4 PCS	1.000000	INVOICE
626080163	2026-08-05	BH-BT	SOYABEAN OIL 1 LTR 20 PCS ROUND BOTTLE	1.000000	INVOICE
626080184	2026-08-06	BH-PF	SESAME OIL 1 LTR 20 PCS	3.000000	INVOICE
626080187	2026-08-06	BH-PF	COLD PRESS SUNFLOWER 1 LTR +1 LTR COMBO 10 SET PLAIN	4000.000000	INVOICE
626080198	2026-08-07	BH-BT	MUSTARD KACHI GHANI 1 LTR 20 PCS ROUND BOTTLE	1000.000000	INVOICE
626080199	2026-08-07	BH-BT	MUSTARD KACCHI GHANI 5 LTR 4 PCS	144.000000	INVOICE
