WHS	ITEMCODE	D	MV
BH-PF	FG0000112	2026-07-03	40.000000
BH-PF	FG0000157	2026-07-03	264.000000
BH-PF	FG0000319	2026-07-03	25.000000
BH-PF	FG0000318	2026-07-03	152.000000
BH-PF	FG0000324	2026-07-03	2741.000000
BH-PF	FG0000030	2026-07-07	-9840.000000
BH-PF	FG0000011	2026-07-07	0.000000
BH-PF	FG0000081	2026-07-07	8000.000000
BH-PF	FG0000187	2026-07-07	-400.000000
BH-PF	FG0000189	2026-07-07	-1040.000000
BH-PF	FG0000074	2026-07-07	-3.000000
BH-PF	FG0000004	2026-07-07	-1.000000
BH-PF	FG0000359	2026-07-07	-12000.000000
BH-PF	FG0000032	2026-07-07	9748.000000
BH-PF	FG0000081	2026-07-08	-7860.000000
BH-PF	FG0000028	2026-07-08	-1488.000000
BH-PF	FG0000070	2026-07-08	-340.000000
BH-PF	FG0000033	2026-07-08	-180.000000
BH-PF	FG0000324	2026-07-08	-2240.000000
BH-PF	FG0000009	2026-07-08	0.000000
BH-PF	FG0000005	2026-07-08	0.000000
BH-PF	FG0000008	2026-07-08	-196.000000
BH-PF	FG0000407	2026-07-08	0.000000
BH-PF	FG0000306	2026-07-08	-720.000000
BH-PF	FG0000032	2026-07-08	-10160.000000
BH-PF	FG0000142	2026-07-08	-5424.000000
BH-PF	FG0000053	2026-07-08	2904.000000
BH-PF	FG0000441	2026-07-08	9590.000000
BH-PF	FG0000030	2026-07-08	520.000000
BH-PF	FG0000419	2026-07-08	2570.000000
BH-PF	FG0000381	2026-07-08	160.000000
BH-PF	FG0000015	2026-07-08	-30.000000
BH-PF	FG0000444	2026-07-08	-835.000000
BH-PF	FG0000015	2026-07-09	490.000000
BH-PF	FG0000011	2026-07-09	4316.000000
BH-PF	FG0000030	2026-07-09	-520.000000
BH-PF	FG0000379	2026-07-09	268.000000
BH-PF	FG0000419	2026-07-09	-2570.000000
BH-PF	FG0000053	2026-07-09	2216.000000
BH-PF	FG0000028	2026-07-09	4720.000000
BH-PF	FG0000009	2026-07-09	0.000000
BH-PF	FG0000300	2026-07-09	0.000000
BH-PF	FG0000227	2026-07-09	0.000000
BH-PF	FG0000003	2026-07-09	0.000000
BH-PF	FG0000146	2026-07-09	0.000000
BH-PF	FG0000381	2026-07-09	1033.000000
BH-PF	FG0000005	2026-07-09	0.000000
BH-PF	SF0000001	2026-07-09	600.000000
BH-PF	FG0000404	2026-07-09	0.000000
BH-PF	FG0000194	2026-07-09	-25.000000
BH-PF	FG0000359	2026-07-09	-69.000000
BH-PF	FG0000275	2026-07-09	488.000000
BH-PF	FG0000106	2026-07-09	10800.000000
BH-PF	FG0000441	2026-07-09	-9590.000000
BH-PF	FG0000169	2026-07-09	-200.000000
BH-PF	FG0000359	2026-07-10	-3600.000000
BH-PF	FG0000275	2026-07-10	-10.000000
BH-PF	FG0000143	2026-07-10	0.000000
BH-PF	FG0000028	2026-07-10	-2992.000000
BH-PF	FG0000178	2026-07-10	954.000000
BH-PF	FG0000444	2026-07-10	-821.000000
BH-PF	FG0000299	2026-07-10	-13116.000000
BH-PF	FG0000053	2026-07-10	-5088.000000
BH-PF	FG0000422	2026-07-10	300.000000
BH-PF	FG0000030	2026-07-10	0.000000
BH-PF	FG0000169	2026-07-10	-314.000000
BH-PF	FG0000142	2026-07-10	0.000000
BH-PF	FG0000106	2026-07-10	9600.000000
BH-PF	FG0000381	2026-07-10	-1000.000000
BH-PF	FG0000316	2026-07-10	-678.000000
BH-PF	FG0000440	2026-07-10	0.000000
BH-PF	FG0000136	2026-07-10	2680.000000
BH-PF	FG0000011	2026-07-11	-1192.000000
BH-PF	FG0000053	2026-07-11	2492.000000
BH-PF	FG0000005	2026-07-11	79.000000
BH-PF	FG0000028	2026-07-11	-3120.000000
BH-PF	FG0000194	2026-07-11	-6.000000
BH-PF	FG0000226	2026-07-11	912.000000
BH-PF	FG0000444	2026-07-11	520.000000
BH-PF	FG0000030	2026-07-11	0.000000
BH-PF	FG0000359	2026-07-11	17880.000000
BH-PF	FG0000136	2026-07-11	60.000000
BH-PF	FG0000034	2026-07-11	0.000000
BH-PF	FG0000005	2026-07-13	11840.000000
BH-PF	FG0000004	2026-07-13	280.000000
BH-PF	FG0000444	2026-07-13	107.000000
BH-PF	FG0000359	2026-07-13	-10356.000000
BH-PF	FG0000299	2026-07-13	-13200.000000
BH-PF	FG0000136	2026-07-13	-2761.000000
BH-PF	FG0000011	2026-07-13	-1600.000000
BH-PF	FG0000081	2026-07-13	8100.000000
BH-PF	FG0000143	2026-07-13	3280.000000
BH-PF	FG0000316	2026-07-13	-1000.000000
BH-PF	FG0000004	2026-07-14	688.000000
BH-PF	FG0000053	2026-07-14	-2332.000000
BH-PF	FG0000444	2026-07-14	-204.000000
BH-PF	SF0000001	2026-07-14	600.000000
BH-PF	FG0000299	2026-07-14	9600.000000
BH-PF	FG0000136	2026-07-14	0.000000
BH-PF	FG0000151	2026-07-14	-1160.000000
BH-PF	FG0000379	2026-07-14	-260.000000
BH-PF	FG0000422	2026-07-14	-322.000000
BH-PF	FG0000081	2026-07-14	-8240.000000
BH-PF	FG0000083	2026-07-14	-31.000000
BH-PF	FG0000143	2026-07-14	-3280.000000
BH-PF	FG0000227	2026-07-14	0.000000
BH-PF	FG0000169	2026-07-14	-98.000000
BH-PF	FG0000224	2026-07-14	0.000000
BH-PF	FG0000381	2026-07-14	-193.000000
BH-PF	FG0000316	2026-07-14	-450.000000
BH-PF	FG0000352	2026-07-14	912.000000
BH-PF	FG0000150	2026-07-15	2400.000000
BH-PF	FG0000008	2026-07-15	0.000000
BH-PF	FG0000053	2026-07-15	2732.000000
BH-PF	FG0000444	2026-07-15	-296.000000
BH-PF	FG0000299	2026-07-15	480.000000
BH-PF	FG0000373	2026-07-15	0.000000
BH-PF	FG0000011	2026-07-15	-1524.000000
BH-PF	FG0000379	2026-07-15	4232.000000
BH-PF	FG0000169	2026-07-15	11.000000
BH-PF	FG0000359	2026-07-15	7680.000000
BH-PF	FG0000030	2026-07-15	0.000000
BH-PF	FG0000299	2026-07-16	1440.000000
BH-PF	FG0000359	2026-07-16	-3240.000000
BH-PF	FG0000053	2026-07-16	-1444.000000
BH-PF	FG0000389	2026-07-16	0.000000
BH-PF	FG0000004	2026-07-16	632.000000
BH-PF	FG0000005	2026-07-16	-4320.000000
BH-PF	FG0000379	2026-07-16	-4000.000000
BH-PF	FG0000444	2026-07-16	-127.000000
BH-PF	FG0000004	2026-07-17	-640.000000
BH-PF	FG0000028	2026-07-17	-256.000000
BH-PF	FG0000116	2026-07-17	40.000000
BH-PF	FG0000157	2026-07-17	191.000000
BH-PF	FG0000083	2026-07-17	4.000000
BH-PF	FG0000082	2026-07-17	11.000000
BH-PF	FG0000008	2026-07-17	28.000000
BH-PF	FG0000328	2026-07-17	5.000000
BH-PF	FG0000379	2026-07-17	-120.000000
BH-PF	FG0000142	2026-07-17	0.000000
BH-PF	FG0000005	2026-07-17	-6480.000000
BH-PF	FG0000367	2026-07-17	210.000000
BH-PF	FG0000447	2026-07-17	0.000000
BH-PF	FG0000316	2026-07-17	897.000000
BH-PF	SF0000001	2026-07-17	600.000000
BH-PF	FG0000299	2026-07-17	-7200.000000
BH-PF	FG0000015	2026-07-17	-1.000000
BH-PF	FG0000030	2026-07-17	0.000000
BH-PF	FG0000150	2026-07-17	-720.000000
BH-PF	FG0000142	2026-07-18	1600.000000
BH-PF	FG0000299	2026-07-18	14472.000000
BH-PF	FG0000004	2026-07-18	2608.000000
BH-PF	FG0000053	2026-07-18	-988.000000
BH-PF	FG0000030	2026-07-18	7700.000000
BH-PF	FG0000143	2026-07-18	0.000000
BH-PF	FG0000379	2026-07-18	8120.000000
BH-PF	FG0000008	2026-07-18	1844.000000
BH-PF	FG0000359	2026-07-18	10320.000000
BH-PF	FG0000226	2026-07-20	0.000000
BH-PF	FG0000008	2026-07-20	-1040.000000
BH-PF	FG0000151	2026-07-20	984.000000
BH-PF	FG0000142	2026-07-20	-1456.000000
BH-PF	FG0000441	2026-07-20	17360.000000
BH-PF	FG0000081	2026-07-20	5740.000000
BH-PF	FG0000299	2026-07-20	14040.000000
BH-PF	FG0000194	2026-07-20	-6000.000000
BH-PF	FG0000367	2026-07-20	-218.000000
BH-PF	FG0000316	2026-07-20	-400.000000
BH-PF	FG0000359	2026-07-20	1200.000000
BH-PF	FG0000443	2026-07-20	0.000000
BH-PF	FG0000440	2026-07-20	0.000000
BH-PF	FG0000407	2026-07-20	-2.000000
BH-PF	FG0000030	2026-07-20	-2.000000
BH-PF	FG0000379	2026-07-21	-2220.000000
BH-PF	FG0000030	2026-07-21	-2800.000000
BH-PF	FG0000194	2026-07-21	-2400.000000
BH-PF	FG0000142	2026-07-21	2912.000000
BH-PF	FG0000152	2026-07-21	0.000000
BH-PF	FG0000081	2026-07-21	-3200.000000
BH-PF	FG0000359	2026-07-21	17160.000000
BH-PF	FG0000226	2026-07-21	1164.000000
BH-PF	FG0000316	2026-07-21	-250.000000
BH-PF	FG0000299	2026-07-21	-600.000000
BH-PF	FG0000228	2026-07-22	288.000000
BH-PF	FG0000232	2026-07-22	72.000000
BH-PF	FG0000081	2026-07-22	11340.000000
BH-PF	FG0000408	2026-07-22	-441.000000
BH-PF	FG0000035	2026-07-22	10584.000000
BH-PF	FG0000142	2026-07-22	6256.000000
BH-PF	FG0000441	2026-07-22	5810.000000
BH-PF	FG0000175	2026-07-22	147.000000
BH-PF	FG0000032	2026-07-22	84.000000
BH-PF	FG0000069	2026-07-22	31.000000
BH-PF	FG0000023	2026-07-22	7.000000
BH-PF	FG0000004	2026-07-22	76.000000
BH-PF	FG0000409	2026-07-22	175.000000
BH-PF	FG0000143	2026-07-22	50.000000
BH-PF	FG0000053	2026-07-22	159.000000
BH-PF	FG0000275	2026-07-22	1.000000
BH-PF	FG0000133	2026-07-22	40.000000
BH-PF	FG0000005	2026-07-22	77.000000
BH-PF	FG0000009	2026-07-22	98.000000
BH-PF	FG0000039	2026-07-22	60.000000
BH-PF	FG0000155	2026-07-22	100.000000
BH-PF	FG0000042	2026-07-22	176.000000
BH-PF	FG0000161	2026-07-22	25.000000
BH-PF	FG0000389	2026-07-22	11.000000
BH-PF	FG0000014	2026-07-22	192.000000
BH-PF	FG0000011	2026-07-22	18.000000
BH-PF	FG0000030	2026-07-22	-3998.000000
BH-PF	FG0000295	2026-07-22	1.000000
BH-PF	FG0000148	2026-07-22	0.000000
BH-PF	FG0000028	2026-07-22	100.000000
BH-PF	FG0000008	2026-07-22	95.000000
BH-PF	FG0000045	2026-07-22	65.000000
BH-PF	FB0000011	2026-07-22	160.000000
BH-PF	FG0000227	2026-07-22	80.000000
BH-PF	FG0000150	2026-07-22	64.000000
BH-PF	FG0000306	2026-07-22	107.000000
BH-PF	FG0000193	2026-07-22	16.000000
BH-PF	FG0000379	2026-07-22	9600.000000
BH-PF	FG0000328	2026-07-22	-10.000000
BH-PF	FG0000383	2026-07-22	-100.000000
BH-PF	FG0000015	2026-07-22	-100.000000
BH-PF	FG0000299	2026-07-22	-6600.000000
BH-BT	FG0000142	2026-07-22	8320.000000
BH-BT	FG0000081	2026-07-22	20000.000000
BH-PF	FG0000226	2026-07-22	-1968.000000
BH-BT	FG0000226	2026-07-22	1968.000000
BH-PF	FG0000359	2026-07-22	-12000.000000
BH-PF	FG0000379	2026-07-23	-5780.000000
BH-PF	FG0000081	2026-07-23	-5260.000000
BH-PF	FG0000142	2026-07-23	-4752.000000
BH-BT	FG0000151	2026-07-22	7440.000000
BH-BT	FG0000150	2026-07-22	25496.000000
BH-BT	FG0000004	2026-07-22	718.000000
BH-BT	FG0000032	2026-07-22	6332.000000
BH-BT	FG0000032	2026-07-23	44960.000000
BH-BT	FG0000028	2026-07-23	29427.000000
BH-BT	FG0000227	2026-07-23	7.000000
BH-PF	FG0000422	2026-07-23	3780.000000
BH-PF	FG0000015	2026-07-23	1560.000000
BH-PF	FG0000004	2026-07-23	-2858.000000
BH-BT	FG0000004	2026-07-23	3441.000000
BH-BT	FG0000185	2026-07-23	982.000000
BH-BT	FG0000186	2026-07-23	128.000000
BH-BT	FG0000183	2026-07-23	839.000000
BH-BT	FG0000184	2026-07-23	492.000000
BH-BT	FG0000362	2026-07-23	30.000000
BH-BT	FG0000312	2026-07-23	17.000000
BH-BT	FG0000332	2026-07-23	32.000000
BH-BT	FG0000334	2026-07-23	4.000000
BH-BT	FG0000187	2026-07-23	10.000000
BH-BT	FG0000344	2026-07-23	282.000000
BH-BT	FG0000029	2026-07-23	60.000000
BH-BT	FG0000352	2026-07-23	10.000000
BH-BT	FG0000189	2026-07-23	10.000000
BH-BT	FG0000088	2026-07-23	4589.000000
BH-BT	FG0000047	2026-07-23	238.000000
BH-BT	FG0000142	2026-07-23	6586.000000
BH-BT	FG0000081	2026-07-23	-885.000000
BH-BT	FG0000064	2026-07-23	2129.000000
BH-BT	FG0000149	2026-07-23	14.000000
BH-BT	FG0000038	2026-07-23	4.000000
BH-BT	FG0000114	2026-07-23	40.000000
BH-BT	FG0000021	2026-07-23	58.000000
BH-BT	FG0000020	2026-07-23	5.000000
BH-BT	FG0000232	2026-07-23	33.000000
BH-BT	FG0000194	2026-07-23	2.000000
BH-BT	FG0000374	2026-07-23	88.000000
BH-BT	FG0000023	2026-07-23	3.000000
BH-BT	FG0000069	2026-07-23	20.000000
BH-BT	FG0000148	2026-07-23	659.000000
BH-BT	FG0000161	2026-07-23	23.000000
BH-BT	FG0000193	2026-07-23	76.000000
BH-BT	FG0000389	2026-07-23	14.000000
BH-PF	FG0000407	2026-07-23	0.000000
BH-PF	FG0000441	2026-07-23	-22680.000000
BH-BT	FG0000005	2026-07-23	7119.000000
BH-BT	FG0000106	2026-07-23	3274.000000
BH-BT	FG0000143	2026-07-23	3383.000000
BH-BT	FG0000441	2026-07-23	6650.000000
BH-BT	FG0000379	2026-07-23	9540.000000
BH-BT	FG0000418	2026-07-23	7696.000000
BH-BT	FG0000407	2026-07-23	15935.000000
BH-BT	FG0000011	2026-07-23	10534.000000
BH-BT	FG0000039	2026-07-23	294.000000
BH-BT	FG0000074	2026-07-23	9.000000
BH-BT	FG0000009	2026-07-23	7034.000000
BH-BT	FG0000053	2026-07-23	7155.000000
BH-BT	FG0000349	2026-07-23	2778.000000
BH-BT	FG0000155	2026-07-23	420.000000
BH-BT	FG0000008	2026-07-23	4473.000000
BH-BT	FG0000045	2026-07-23	1900.000000
BH-BT	FG0000386	2026-07-23	4717.000000
BH-BT	FG0000136	2026-07-23	4555.000000
BH-BT	FG0000030	2026-07-23	1957.000000
BH-BT	FG0000372	2026-07-23	28.000000
BH-BT	FG0000002	2026-07-23	20.000000
BH-BT	FG0000018	2026-07-23	58.000000
BH-BT	FG0000035	2026-07-23	2400.000000
BH-BT	FG0000123	2026-07-23	960.000000
BH-BT	FG0000138	2026-07-23	33.000000
BH-BT	FG0000319	2026-07-23	2934.000000
BH-BT	FG0000282	2026-07-23	1520.000000
BH-BT	FG0000433	2026-07-23	700.000000
BH-BT	FG0000440	2026-07-23	200.000000
BH-BT	FG0000408	2026-07-23	3720.000000
BH-BT	FG0000443	2026-07-23	95.000000
BH-BT	FG0000419	2026-07-23	370.000000
BH-BT	FG0000373	2026-07-23	1052.000000
BH-BT	FG0000320	2026-07-23	33.000000
BH-BT	FG0000141	2026-07-23	273.000000
BH-BT	FG0000417	2026-07-23	3.000000
BH-BT	FG0000306	2026-07-23	6.000000
BH-BT	FG0000192	2026-07-23	263.000000
BH-BT	FG0000140	2026-07-23	221.000000
BH-BT	FG0000042	2026-07-23	7.000000
BH-BT	FG0000434	2026-07-23	548.000000
BH-BT	FG0000295	2026-07-23	21.000000
BH-PF	FG0000299	2026-07-23	6600.000000
BH-PF	FG0000157	2026-07-23	99.000000
BH-PF	FG0000316	2026-07-23	-300.000000
BH-PF	FG0000191	2026-07-23	1.000000
BH-PF	FG0000275	2026-07-23	-689.000000
BH-PF	FG0000320	2026-07-23	1.000000
BH-PF	FG0000070	2026-07-23	2.000000
BH-PF	FG0000085	2026-07-23	2.000000
BH-PF	FG0000232	2026-07-23	3.000000
BH-PF	FG0000149	2026-07-23	5.000000
BH-PF	FG0000137	2026-07-23	7.000000
BH-PF	FG0000267	2026-07-23	7.000000
BH-PF	FG0000141	2026-07-23	11.000000
BH-PF	FG0000112	2026-07-23	12.000000
BH-PF	FG0000264	2026-07-23	12.000000
BH-PF	FG0000417	2026-07-23	12.000000
BH-PF	FG0000306	2026-07-23	26.000000
BH-PF	FG0000228	2026-07-23	36.000000
BH-PF	FG0000192	2026-07-23	37.000000
BH-PF	FG0000140	2026-07-23	40.000000
BH-PF	FG0000324	2026-07-23	45.000000
BH-PF	FG0000370	2026-07-23	81.000000
BH-PF	FG0000193	2026-07-23	85.000000
BH-PF	FG0000134	2026-07-23	92.000000
BH-PF	FG0000064	2026-07-23	108.000000
BH-PF	FG0000042	2026-07-23	121.000000
BH-PF	FG0000226	2026-07-23	127.000000
BH-PF	FG0000088	2026-07-23	130.000000
BH-PF	FG0000434	2026-07-23	152.000000
BH-PF	FG0000389	2026-07-23	220.000000
BH-PF	FG0000295	2026-07-23	264.000000
BH-PF	FG0000151	2026-07-23	267.000000
BH-PF	FG0000128	2026-07-23	301.000000
BH-PF	FG0000150	2026-07-23	578.000000
BH-PF	FG0000032	2026-07-23	860.000000
BH-PF	FG0000028	2026-07-23	942.000000
BH-PF	FG0000227	2026-07-23	2304.000000
BH-PF	FG0000034	2026-07-23	0.000000
BH-BT	FG0000150	2026-07-23	-880.000000
BH-BT	FG0000151	2026-07-23	-1920.000000
BH-PF	FG0000444	2026-07-23	269.000000
BH-PF	FG0000005	2026-07-23	-1.000000
BH-PF	FG0000359	2026-07-23	-2400.000000
BH-PF	FG0000441	2026-07-24	10220.000000
BH-BT	FG0000106	2026-07-24	-600.000000
BH-BT	FG0000379	2026-07-24	-2000.000000
BH-PF	FG0000005	2026-07-24	6224.000000
BH-PF	FG0000142	2026-07-24	1184.000000
BH-PF	FG0000407	2026-07-24	0.000000
BH-PF	FG0000422	2026-07-24	5400.000000
BH-PF	FG0000064	2026-07-24	3940.000000
BH-BT	FG0000407	2026-07-24	21488.000000
BH-BT	FG0000005	2026-07-24	6275.000000
BH-BT	FG0000030	2026-07-24	-1900.000000
BH-BT	FG0000142	2026-07-24	-1200.000000
BH-BT	FG0000011	2026-07-24	-160.000000
BH-BT	FG0000143	2026-07-24	-100.000000
BH-BT	FG0000004	2026-07-24	-472.000000
BH-PF	FG0000299	2026-07-24	-4500.000000
BH-PF	FG0000444	2026-07-24	230.000000
BH-PF	FG0000379	2026-07-24	-8000.000000
BH-PF	FG0000035	2026-07-24	-9600.000000
BH-PF	FG0000030	2026-07-24	-900.000000
BH-BT	FG0000081	2026-07-24	-2400.000000
BH-BT	FG0000053	2026-07-24	-120.000000
BH-BT	FG0000418	2026-07-24	-200.000000
BH-PF	FG0000359	2026-07-24	-3600.000000
BH-BT	FG0000192	2026-07-24	-100.000000
BH-BT	FG0000064	2026-07-24	-130.000000
BH-PF	FG0000026	2026-07-24	0.000000
BH-PF	FG0000316	2026-07-24	385.000000
BH-PF	FG0000232	2026-07-25	960.000000
BH-BT	FG0000005	2026-07-25	2220.000000
BH-BT	FG0000150	2026-07-25	-400.000000
BH-BT	FG0000151	2026-07-25	-220.000000
BH-BT	FG0000028	2026-07-25	-1294.000000
BH-BT	FG0000081	2026-07-25	-100.000000
BH-BT	FG0000004	2026-07-25	-600.000000
BH-BT	FG0000053	2026-07-25	-40.000000
BH-BT	FG0000418	2026-07-25	-200.000000
BH-PF	FG0000005	2026-07-25	-7200.000000
BH-PF	FG0000227	2026-07-25	176.000000
BH-BT	FG0000227	2026-07-25	400.000000
BH-PF	FG0000088	2026-07-25	1200.000000
BH-PF	FG0000033	2026-07-25	0.000000
BH-PF	FG0000359	2026-07-25	-1200.000000
BH-BT	FG0000033	2026-07-25	4970.000000
BH-BT	FG0000222	2026-07-25	216.000000
BH-BT	FG0000318	2026-07-25	1.000000
BH-BT	FG0000319	2026-07-25	15.000000
BH-BT	FG0000106	2026-07-25	-2400.000000
BH-BT	FG0000379	2026-07-25	-3000.000000
BH-PF	FG0000081	2026-07-25	-8000.000000
BH-PF	FG0000064	2026-07-25	-3940.000000
BH-PF	FG0000106	2026-07-25	-1200.000000
BH-BT	FG0000407	2026-07-25	-10000.000000
BH-PF	FG0000316	2026-07-25	-150.000000
BH-BT	FG0000032	2026-07-25	-441.000000
BH-BT	FG0000374	2026-07-25	-20.000000
BH-BT	FG0000011	2026-07-25	-56.000000
BH-PF	FG0000454	2026-07-27	10176.000000
BH-PF	FG0000228	2026-07-27	480.000000
BH-PF	FG0000379	2026-07-27	10760.000000
BH-PF	FG0000449	2026-07-27	36470.000000
BH-PF	FG0000005	2026-07-27	720.000000
BH-PF	FG0000151	2026-07-27	1072.000000
BH-PF	FG0000444	2026-07-27	1195.000000
BH-PF	FG0000316	2026-07-27	62.000000
BH-PF	FG0000033	2026-07-27	0.000000
BH-BT	FG0000033	2026-07-27	8000.000000
BH-PF	FG0000232	2026-07-27	-960.000000
BH-PF	FG0000116	2026-07-27	-1.000000
BH-PF	FG0000081	2026-07-27	2100.000000
BH-PF	FG0000024	2026-07-27	48.000000
BH-PF	FG0000012	2026-07-27	1.000000
BH-PF	FG0000021	2026-07-27	53.000000
BH-PF	FG0000015	2026-07-27	-1350.000000
BH-PF	FG0000226	2026-07-27	108.000000
BH-PF	FG0000227	2026-07-27	10000.000000
BH-PF	FG0000422	2026-07-27	13760.000000
BH-BT	FG0000143	2026-07-27	-2400.000000
BH-PF	FG0000275	2026-07-27	300.000000
BH-PF	FG0000004	2026-07-27	-1.000000
BH-PF	FG0000157	2026-07-27	-1.000000
BH-BT	FG0000151	2026-07-27	-80.000000
BH-PF	FG0000074	2026-07-27	368.000000
BH-PF	FG0000299	2026-07-27	-3852.000000
BH-BT	FG0000011	2026-07-27	-80.000000
BH-BT	FG0000227	2026-07-27	-160.000000
BH-BT	FG0000005	2026-07-27	-800.000000
BH-BT	FG0000142	2026-07-27	-1000.000000
BH-BT	FG0000081	2026-07-27	-3400.000000
BH-PF	FG0000142	2026-07-28	-4208.000000
BH-PF	FG0000114	2026-07-28	240.000000
BH-PF	FG0000444	2026-07-28	400.000000
BH-PF	FG0000004	2026-07-28	-80.000000
BH-BT	FG0000004	2026-07-28	552.000000
BH-BT	FG0000386	2026-07-28	-4717.000000
BH-PF	FG0000038	2026-07-28	0.000000
BH-BT	FG0000038	2026-07-28	2570.000000
BH-BT	FG0000011	2026-07-28	-780.000000
BH-BT	FG0000143	2026-07-28	-20.000000
BH-BT	FG0000142	2026-07-28	-80.000000
BH-BT	FG0000032	2026-07-28	-6316.000000
BH-BT	FG0000005	2026-07-28	-1026.000000
BH-PF	FG0000454	2026-07-28	-9600.000000
BH-PF	FG0000449	2026-07-28	-25200.000000
BH-PF	FG0000379	2026-07-28	5080.000000
BH-BT	FG0000192	2026-07-28	-160.000000
BH-PF	FG0000227	2026-07-28	7280.000000
BH-PF	FG0000359	2026-07-28	16560.000000
BH-PF	FG0000275	2026-07-28	-130.000000
BH-PF	FG0000422	2026-07-28	540.000000
BH-PF	FG0000011	2026-07-28	2368.000000
BH-BT	FG0000379	2026-07-28	-3200.000000
BH-BT	FG0000407	2026-07-28	-3000.000000
BH-BT	FG0000028	2026-07-28	-385.000000
BH-BT	FG0000151	2026-07-28	-120.000000
BH-BT	FG0000374	2026-07-28	-60.000000
BH-PF	FG0000299	2026-07-28	-2400.000000
BH-PF	FG0000178	2026-07-28	-225.000000
BH-BT	FG0000319	2026-07-28	-32.000000
BH-BT	FG0000053	2026-07-28	-240.000000
BH-BT	FG0000418	2026-07-28	-2000.000000
BH-PF	FG0000143	2026-07-29	340.000000
BH-PF	FG0000042	2026-07-29	0.000000
BH-PF	FG0000227	2026-07-29	-14400.000000
BH-BT	FG0000227	2026-07-29	6880.000000
BH-BT	FG0000042	2026-07-29	2936.000000
BH-PF	FG0000299	2026-07-29	-7200.000000
BH-PF	FG0000316	2026-07-29	-400.000000
BH-PF	FG0000011	2026-07-29	-1600.000000
BH-PF	FG0000142	2026-07-29	5600.000000
BH-PF	FG0000389	2026-07-29	0.000000
BH-BT	FG0000011	2026-07-29	-61.000000
BH-BT	FG0000081	2026-07-29	-600.000000
BH-BT	FG0000053	2026-07-29	-48.000000
BH-BT	FG0000038	2026-07-29	-150.000000
BH-PF	FG0000422	2026-07-29	-5420.000000
BH-BT	FG0000379	2026-07-29	-261.000000
BH-BT	FG0000142	2026-07-29	-1000.000000
BH-PF	FG0000004	2026-07-29	-668.000000
BH-PF	FG0000379	2026-07-29	-16000.000000
BH-PF	FG0000136	2026-07-29	0.000000
BH-BT	FG0000009	2026-07-29	-1.000000
BH-PF	FG0000306	2026-07-29	0.000000
BH-BT	FG0000306	2026-07-29	3650.000000
BH-PF	FG0000324	2026-07-29	-60.000000
BH-BT	FG0000004	2026-07-29	6000.000000
BH-PF	FG0000008	2026-07-30	-88.000000
BH-PF	FG0000030	2026-07-30	200.000000
BH-PF	FG0000105	2026-07-30	265.000000
BH-BT	FG0000042	2026-07-30	6094.000000
BH-BT	FG0000005	2026-07-30	-987.000000
BH-PF	FG0000033	2026-07-30	2360.000000
BH-PF	FG0000374	2026-07-30	0.000000
BH-PF	FG0000042	2026-07-30	-12.000000
BH-BT	FG0000306	2026-07-30	-2370.000000
BH-PF	FG0000324	2026-07-30	-40.000000
BH-PF	FG0000015	2026-07-30	-257.000000
BH-PF	FG0000389	2026-07-30	4940.000000
BH-PF	FG0000074	2026-07-30	736.000000
BH-PF	FG0000142	2026-07-30	-4080.000000
BH-PF	FG0000151	2026-07-30	-1664.000000
BH-PF	FG0000446	2026-07-30	471.000000
BH-PF	FG0000004	2026-07-30	1348.000000
BH-BT	FG0000004	2026-07-30	-2620.000000
BH-BT	FG0000008	2026-07-30	-24.000000
BH-PF	FG0000379	2026-07-30	-12.000000
BH-PF	FG0000011	2026-07-30	-12.000000
BH-PF	FG0000005	2026-07-30	-12.000000
BH-PF	FG0000161	2026-07-30	-12.000000
BH-PF	FG0000116	2026-07-30	-12.000000
BH-PF	FG0000028	2026-07-30	-12.000000
BH-BT	FG0000407	2026-07-30	-9860.000000
BH-BT	FG0000035	2026-07-30	-2400.000000
BH-BT	FG0000441	2026-07-30	-6650.000000
BH-BT	FG0000440	2026-07-30	-200.000000
BH-BT	FG0000434	2026-07-30	-548.000000
BH-BT	FG0000433	2026-07-30	-700.000000
BH-BT	FG0000419	2026-07-30	-370.000000
BH-PF	FG0000383	2026-07-30	-10.000000
BH-BT	FG0000373	2026-07-30	-1052.000000
BH-BT	FG0000032	2026-07-30	-700.000000
BH-BT	FG0000028	2026-07-30	-80.000000
BH-BT	FG0000142	2026-07-30	-160.000000
BH-PF	FG0000032	2026-07-30	0.000000
BH-PF	FG0000306	2026-07-30	4220.000000
BH-BT	FG0000374	2026-07-30	436.000000
BH-PF	FG0000299	2026-07-30	-1680.000000
BH-PF	FG0000444	2026-07-30	-305.000000
BH-PF	FG0000422	2026-07-30	-1600.000000
BH-BT	FG0000033	2026-07-30	-1110.000000
BH-BT	FG0000379	2026-07-30	-980.000000
BH-BT	FG0000011	2026-07-30	-120.000000
BH-BT	FG0000081	2026-07-30	-200.000000
BH-BT	FG0000038	2026-07-30	-300.000000
BH-PF	FG0000106	2026-07-30	-600.000000
BH-PF	FG0000178	2026-07-30	-50.000000
BH-PF	FG0000359	2026-07-30	-3000.000000
BH-BT	FG0000319	2026-07-30	-20.000000
BH-PF	FG0000004	2026-07-31	-1228.000000
BH-PF	FG0000136	2026-07-31	9260.000000
BH-PF	FG0000142	2026-07-31	-2064.000000
