WHS	ITEMCODE	D	MV
BH-PF	FG0000359	2026-08-29	-10008.000000
BH-BT	FG0000053	2026-08-29	-140.000000
BH-BT	FG0000143	2026-08-29	-120.000000
BH-BT	FG0000324	2026-08-29	-100.000000
BH-PF	FG0000028	2026-08-29	5472.000000
BH-PF	FG0000064	2026-08-29	0.000000
BH-PF	FG0000008	2026-08-29	-4160.000000
BH-BT	FG0000319	2026-08-29	-160.000000
BH-BT	FG0000009	2026-08-29	-20.000000
BH-BT	FG0000128	2026-08-29	-20.000000
BH-BT	FG0000011	2026-08-29	-20.000000
BH-BT	FG0000418	2026-08-29	-400.000000
BH-BT	FG0000228	2026-08-29	-32.000000
BH-BT	FG0000038	2026-08-30	-1.000000
BH-PF	FG0000032	2026-08-28	7780.000000
BH-PF	FG0000032	2026-08-30	-8580.000000
BH-BT	FG0000032	2026-08-30	8580.000000
BH-PF	FG0000004	2026-08-30	-4800.000000
BH-BT	FG0000004	2026-08-30	4800.000000
BH-PF	FG0000150	2026-06-01	0.000000
BH-PF	FG0000405	2026-06-01	10.000000
BH-PF	FG0000404	2026-06-01	21.000000
BH-PF	FG0000074	2026-06-01	764.000000
BH-PF	FG0000441	2026-06-01	0.000000
BH-PF	FG0000178	2026-06-01	0.000000
BH-PF	FG0000155	2026-06-01	-1.000000
BH-PF	FG0000031	2026-06-02	0.000000
BH-PF	FG0000005	2026-06-02	-11904.000000
BH-PF	FG0000038	2026-06-02	-2590.000000
BH-PF	FG0000023	2026-06-02	-390.000000
BH-PF	FG0000143	2026-06-02	-396.000000
BH-PF	FG0000145	2026-06-02	0.000000
BH-PF	FG0000028	2026-06-02	0.000000
BH-PF	FG0000012	2026-06-02	0.000000
BH-PF	FG0000178	2026-06-02	-156.000000
BH-PF	FG0000074	2026-06-02	-763.000000
BH-PF	FG0000053	2026-06-02	-64.000000
BH-PF	FG0000032	2026-06-02	-2420.000000
BH-PF	FG0000194	2026-06-02	-1200.000000
BH-PF	FG0000029	2026-06-02	1530.000000
BH-PF	FG0000423	2026-06-02	0.000000
BH-PF	FG0000030	2026-06-02	0.000000
BH-PF	FG0000015	2026-06-03	30.000000
BH-PF	FG0000029	2026-06-03	-1530.000000
BH-PF	FG0000028	2026-06-03	0.000000
BH-PF	FG0000407	2026-06-03	10340.000000
BH-PF	FG0000011	2026-06-03	0.000000
BH-PF	FG0000074	2026-06-03	3.000000
BH-PF	FG0000143	2026-06-03	12.000000
BH-PF	FG0000005	2026-06-03	240.000000
BH-PF	FG0000194	2026-06-03	0.000000
BH-PF	FG0000016	2026-06-03	0.000000
BH-PF	FG0000142	2026-06-04	0.000000
BH-PF	FG0000011	2026-06-04	0.000000
BH-PF	FG0000081	2026-06-04	16620.000000
BH-PF	FG0000407	2026-06-04	-10400.000000
BH-PF	FG0000030	2026-06-04	1720.000000
BH-PF	FG0000015	2026-06-04	200.000000
BH-PF	FG0000423	2026-06-04	0.000000
BH-PF	FG0000006	2026-06-04	0.000000
BH-PF	FG0000328	2026-06-04	10.000000
BH-PF	FG0000161	2026-06-04	240.000000
BH-PF	FG0000011	2026-06-05	0.000000
BH-PF	FG0000030	2026-06-05	-1720.000000
BH-PF	FG0000081	2026-06-05	-16620.000000
BH-PF	FG0000106	2026-06-05	0.000000
BH-PF	FG0000020	2026-06-05	0.000000
BH-PF	FG0000407	2026-06-05	-1440.000000
BH-PF	FG0000015	2026-06-05	-120.000000
BH-PF	FG0000142	2026-06-05	0.000000
BH-PF	FG0000359	2026-06-05	-3600.000000
BH-PF	FG0000423	2026-06-05	0.000000
BH-PF	FG0000053	2026-06-05	-56.000000
BH-PF	FG0000317	2026-06-05	0.000000
BH-PF	FG0000116	2026-06-05	-944.000000
BH-PF	FG0000161	2026-06-05	-302.000000
BH-PF	FG0000013	2026-06-05	0.000000
BH-PF	FG0000399	2026-06-05	0.000000
BH-PF	FG0000042	2026-06-05	-400.000000
BH-PF	FG0000400	2026-06-05	0.000000
BH-PF	FG0000397	2026-06-05	0.000000
BH-PF	FG0000396	2026-06-05	0.000000
BH-PF	FG0000395	2026-06-05	0.000000
BH-PF	FG0000394	2026-06-05	0.000000
BH-PF	FG0000398	2026-06-05	0.000000
BH-PF	FG0000154	2026-06-05	0.000000
BH-PF	FG0000105	2026-06-05	0.000000
BH-PF	FG0000104	2026-06-05	0.000000
BH-PF	FG0000178	2026-06-06	338.000000
BH-PF	FG0000142	2026-06-06	0.000000
BH-PF	FG0000011	2026-06-06	0.000000
BH-PF	FG0000081	2026-06-06	0.000000
BH-PF	FG0000030	2026-06-06	900.000000
BH-PF	FG0000028	2026-06-06	0.000000
BH-PF	FG0000034	2026-06-08	0.000000
BH-PF	FG0000005	2026-06-08	-1.000000
BH-PF	FG0000081	2026-06-08	0.000000
BH-PF	FG0000030	2026-06-08	-900.000000
BH-PF	FG0000011	2026-06-08	0.000000
BH-PF	FG0000142	2026-06-08	0.000000
BH-PF	FG0000178	2026-06-08	-300.000000
BH-PF	FG0000383	2026-06-08	-20.000000
BH-PF	FG0000042	2026-06-08	-20.000000
BH-PF	FG0000161	2026-06-08	48.000000
BH-PF	FG0000053	2026-06-08	-96.000000
BH-PF	FG0000142	2026-06-09	0.000000
BH-PF	FG0000011	2026-06-09	0.000000
BH-PF	FG0000030	2026-06-09	0.000000
BH-PF	FG0000299	2026-06-09	-24.000000
BH-PF	FG0000053	2026-06-09	0.000000
BH-PF	FG0000383	2026-06-09	55.000000
BH-PF	FG0000015	2026-06-09	-50.000000
BH-PF	FG0000053	2026-06-10	1720.000000
BH-PF	FG0000112	2026-06-10	0.000000
BH-PF	FG0000011	2026-06-10	0.000000
BH-PF	FG0000422	2026-06-10	-1020.000000
BH-PF	FG0000005	2026-06-10	192.000000
BH-PF	FG0000142	2026-06-10	0.000000
BH-PF	FG0000081	2026-06-10	1500.000000
BH-PF	FG0000128	2026-06-10	0.000000
BH-PF	FG0000015	2026-06-10	0.000000
BH-PF	FG0000359	2026-06-10	3120.000000
BH-PF	FG0000030	2026-06-10	6620.000000
BH-PF	FG0000178	2026-06-10	-38.000000
BH-PF	FG0000030	2026-06-11	1140.000000
BH-PF	FG0000053	2026-06-11	-1889.000000
BH-PF	FG0000005	2026-06-11	-447.000000
BH-PF	FG0000142	2026-06-11	0.000000
BH-PF	FG0000150	2026-06-11	0.000000
BH-PF	FG0000359	2026-06-11	-3600.000000
BH-PF	FG0000011	2026-06-11	0.000000
BH-PF	FG0000422	2026-06-11	920.000000
BH-PF	FG0000004	2026-06-11	3312.000000
BH-PF	FG0000316	2026-06-11	165.000000
BH-PF	FG0000004	2026-06-12	-3200.000000
BH-PF	FG0000030	2026-06-12	1000.000000
BH-PF	FG0000008	2026-06-12	1088.000000
BH-PF	FG0000328	2026-06-12	-10.000000
BH-PF	FG0000015	2026-06-12	-5.000000
BH-PF	FG0000053	2026-06-12	2995.000000
BH-PF	FG0000005	2026-06-12	13008.000000
BH-PF	FG0000359	2026-06-12	1920.000000
BH-PF	FG0000192	2026-06-12	1640.000000
BH-PF	FG0000316	2026-06-13	952.000000
BH-PF	FG0000008	2026-06-13	1164.000000
BH-PF	FG0000030	2026-06-13	-7380.000000
BH-PF	FG0000192	2026-06-13	-1600.000000
BH-PF	FG0000053	2026-06-13	-2080.000000
BH-PF	FG0000227	2026-06-13	15088.000000
BH-PF	FG0000038	2026-06-13	0.000000
BH-PF	FG0000359	2026-06-13	240.000000
BH-PF	FG0000299	2026-06-13	-840.000000
BH-PF	FG0000169	2026-06-15	261.000000
BH-PF	FG0000299	2026-06-15	3144.000000
BH-PF	FG0000316	2026-06-15	430.000000
BH-PF	FG0000005	2026-06-15	-4864.000000
BH-PF	FG0000008	2026-06-15	-2080.000000
BH-PF	FG0000030	2026-06-15	200.000000
BH-PF	FG0000227	2026-06-15	-15088.000000
BH-PF	FG0000038	2026-06-15	0.000000
BH-PF	FG0000306	2026-06-15	0.000000
BH-PF	FG0000004	2026-06-15	-112.000000
BH-PF	FG0000226	2026-06-15	2400.000000
BH-PF	FG0000194	2026-06-15	1200.000000
BH-PF	FG0000151	2026-06-15	416.000000
BH-PF	FG0000227	2026-06-16	720.000000
