WHS	ITEMCODE	ITEMNAME	ONHAND
BH-BT	FG0000191	SOYABEAN OIL 15 LTR	0.000000
BH-BT	FG0000195	SPICES BLACK CARDAMOM 100 GMS	0.000000
BH-BT	FG0000196	SPICES BLACK PEPPER 100 GMS	0.000000
BH-BT	FG0000197	SPICES CARDAMOM 100 GMS	0.000000
BH-BT	FG0000198	SPICES CINNAMON 100 GMS	0.000000
BH-BT	FG0000199	SPICES CUMIN SEEDS 100 GMS	0.000000
BH-BT	FG0000203	JIVO GIFT PACK WG 5 + A2 1 + MUSELI 1	0.000000
BH-BT	FG0000205	JIVO CHOCO FLAKES 375 GMS 20 PCS	0.000000
BH-BT	FG0000206	JIVO CHOCO FLAKES 125 GMS 72 PCS	0.000000
BH-BT	FG0000207	JIVO HONEY ALMOND FLAKES 20 GMS 216 PCS	0.000000
BH-BT	FG0000208	DIET MIXTURE 120 GMS PKT	0.000000
BH-BT	FG0000209	JIVO CHOCO FLAKES 375 GMS 4 PCS CSD	0.000000
BH-BT	FG0000210	JIVO CHOCO FLAKES 125 GMS 10 PCS CSD	0.000000
BH-BT	FG0000211	MULTI VITAMIN SPORTS	0.000000
BH-BT	FG0000212	OMEGA 3 180 MGS EPA 120 MGS DHA	0.000000
BH-BT	FG0000213	MULTI VITAMIN MEN	0.000000
BH-BT	FG0000216	SANO HONEY 1 KGS	0.000000
BH-BT	FG0000218	HONEY 500 GMS 12 PCS	0.000000
BH-BT	FG0000221	JIVO HONEY 500 GMS	0.000000
BH-BT	FG0000223	JIVO DESI GHEE 1 LTR 16 PCS	0.000000
BH-BT	FG0000224	JIVO RICE 1 KGS 4 PCS	0.000000
BH-BT	FG0000251	OMEGA 3 FISH OIL	0.000000
BH-BT	FG0000252	SAPPHIRE TRUFFLE 350 GMS	0.000000
BH-BT	FG0000253	COLD PRESS 4  LTR + 1  LTR (WHEATGRASS MANGO 500 MLS  FREE) 5 PCS	0.000000
BH-BT	FG0000256	QUINOA SEEDS 800 GMS	0.000000
BH-BT	FG0000257	FLAX  (ALSI) SEEDS 800 GMS 1 PCS	0.000000
BH-BT	FG0000258	SUNFLOWER SEEDS 800 GMS 1 PCS	0.000000
BH-BT	FG0000259	SWEETS BASEN BURFI 900 GMS	0.000000
BH-BT	FG0000260	SWEETS BASEN BURFI 450 GMS	0.000000
BH-BT	FG0000261	SANO SOYABEAN OIL 12 KGS	0.000000
BH-BT	FG0000262	EXTRA LIGHT 1 LTR + POMACE 1 LTR + 1 LTR	0.000000
BH-BT	FG0000263	EXTRA LIGHT 1 LTR 2 PCS + POMACE OLIVE 1 LTR 4 PCS ( 1 SET )	0.000000
BH-BT	FG0000265	MUSTARD KACHI GHANI 1 LTR 2 PCS ( 1 SET )	0.000000
BH-BT	FG0000269	SWEETS BESAN BURFI 1 KGS	0.000000
BH-BT	FG0000272	DESI  GHEE 5 LTR TIN 1 PCS	0.000000
BH-BT	FG0000273	POMACE 5 LTR 4 PCS + 5 KGS ORGANIC RICE	0.000000
BH-BT	FG0000274	PALMOLEIN OIL 15 LTR	0.000000
BH-BT	FG0000275	COLD PRESS SUNFLOWER OIL 15 LTR	0.000000
BH-BT	FG0000276	SANO SOYABEAN OIL 850 GMS POUCH 12 PCS	0.000000
BH-BT	FG0000277	GIFT PACK 3 PCS ( EXTRA VIRGIN OLIVE 500 MLS , COCONUT OIL 500 MLS  & EXTRA VIRGIN CANOLA 500 MLS	0.000000
BH-BT	FG0000278	GIFT PACK 3 PCS ( MUESLI 350 GMS , HONEY 500 GMS & A2 DESI GHEE 850 GMS)	0.000000
BH-BT	RM0000005	SOYA CHUNK 20 KGS PACK	0.000000
BH-BT	FG0000106	MUSTARD KACHHI GHANI 1 LTR POUCH 12 PCS	0.000000
BH-BT	FG0000021	REFINED OIL 1 LTR POUCH 12 PCS	0.000000
BH-BT	FG0000194	SOYABEAN OIL 1 LTR POUCH 12 PCS	0.000000
BH-BT	FG0000015	REFINED OIL 15 LTR	0.000000
BH-BT	FB0000001	EXTRA LIGHT 1 LTR PACK OF 3 SET	0.000000
BH-BT	FB0000002	POMACE OLIVE OIL 1 + 1 + 1 LTR	0.000000
BH-BT	FB0000003	RICE BRAN OIL 1 + 1 LTR	0.000000
BH-BT	FB0000004	EXTRA LIGHT 1 +  1 LTR	0.000000
BH-BT	FB0000005	MUSTARD OIL 2 LTR	0.000000
BH-BT	FB0000006	EXTRA VIRGIN 1 + 1 LTR	0.000000
BH-BT	FB0000008	CANOLA OIL 3 LTR	0.000000
BH-BT	FB0000009	JIVO SO OLIVE OIL 1 + 1 LTR	0.000000
BH-BT	FB0000010	GROUNDNUT 1 + 1 LTR	0.000000
BH-BT	FB0000011	POMACE OLIVE OIL 1 + 1 LTR	0.000000
BH-BT	FB0000012	JIVO GOLD OIL 1 + 1 LTR	0.000000
BH-BT	FB0000013	EXTRA LIGHT 1 LTR 1 PCS + POMACE OLIVE 1 LTR 2 PCS ( 1 SET )	0.000000
BH-BT	FB0000014	EXTRA VIRGIN OLIVE 1 LTR 16 PCS	0.000000
BH-BT	FB0000015	RICE BRAN OIL 5 LTR 4 PCS	0.000000
BH-BT	FB0000016	COLD PRESS 5 LTR 4 PCS	0.000000
BH-BT	FB0000017	MUSTARD KACCHI GHANI 5 LTR 4 PCS	0.000000
BH-BT	FB0000018	POMACE OLIVE 1 LTR 16 PCS	0.000000
BH-BT	FB0000019	POMACE OLIVE 5 LTR TIN 4 PCS	0.000000
BH-BT	FG0000279	GIFT PACK -  AKHROT , MULTIVITAMIN , OMEGA 3 & WHEATGRASS LEMON POWDER 125 GMS	0.000000
BH-BT	FG0000280	SANO RICE BRAN 889 GMS POUCH 12 PCS	0.000000
BH-BT	FG0000281	COLD PRESS 4 LTR + COUPON 5 PCS	0.000000
BH-BT	FG0000283	COFFIE 100 GMS 15 PCS	0.000000
BH-BT	FG0000284	SLICED OXIDIZED BLACK OLIVES (470 GM) 12 PCS	0.000000
BH-BT	FG0000285	VICTORY OIL 1000 MLS 12 PCS	0.000000
BH-BT	FG0000286	RC OIL 1000 MLS 12 PCS	0.000000
BH-BT	FG0000287	VICTORY OIL 500 MLS 12 PCS	0.000000
BH-BT	FG0000288	RC OIL 500 MLS 12 PCS	0.000000
BH-BT	FG0000289	ROSEMARY LEAVE 150 GMS	0.000000
BH-BT	FG0000290	MAKKI ATTA 500 GMS	0.000000
BH-BT	FG0000291	SANO POMACE OLIVE 1 LTR 3 PCS ( 1 SET )	0.000000
BH-BT	FG0000292	EXTRA LIGHT 1 LTR 1 PCS + POMACE OLIVE 1 LTR 1 PCS + EXTRA VIRGIN 1 LTR 1 PCS ( 1 SET )	0.000000
BH-BT	FG0000293	EXTRA LIGHT 1 LTR 2 PCS + POMACE OLIVE 1 LTR 2 PCS + EXTRA VIRGIN 1 LTR 2 PCS ( 1 SET )	0.000000
BH-BT	FG0000294	EXTRA VIRGIN OLIVE 200 LTR 1 PCS	0.000000
BH-BT	FG0000296	SUNFLOWER 4 LTR 5 PCS	0.000000
BH-BT	FG0000297	SOYABEAN OIL 13 KGS TIN IMPORTED PCS	0.000000
BH-BT	FG0000298	IMPORTED OIL 250 MLS( SPECIAL)	0.000000
BH-BT	FG0000299	SOYABEAN OIL 700 GMS POUCH 12 PCS	0.000000
BH-BT	FG0000300	SOYABEAN OIL 770 GMS POUCH 12 PCS	0.000000
BH-BT	FG0000301	EXTRA VIRGIN OLIVE 28 ML 100 PCS	0.000000
BH-BT	FG0000302	QUINOA SEEDS 200 GMS	0.000000
BH-BT	FG0000303	QUINOA SEEDS 400 GMS	0.000000
BH-BT	FG0000304	COLD PRESS 200 LTR 1 PCS	0.000000
BH-BT	FG0000308	VEDAKA EXTRA LIGHT 2 LTR 10 PCS	0.000000
BH-BT	FG0000309	VEDAKA EXTRA LIGHT 1 LTR 16 PCS	0.000000
BH-BT	FG0000310	VEDAKA EXTRA LIGHT 500 ML 24 PCS	0.000000
BH-BT	FG0000311	VEDAKA POMACE 2 LTR 10 PCS	0.000000
BH-BT	FG0000313	VEDAKA EXTRA VIRGIN 2 LTR 10 PCS	0.000000
BH-BT	FG0000314	VEDAKA EXTRA VIRGIN 1 LTR 16 PCS	0.000000
BH-BT	FG0000315	VEDAKA EXTRA VIRGIN 500 ML 24 PCS	0.000000
BH-BT	FG0000316	SOYABEAN OIL 13 KGS (B)	0.000000
BH-BT	FG0000321	DESI GHEE A2 500 MLS 12 PCS	0.000000
BH-BT	FG0000323	LE CHEF EXTRA VIRGIN  1 LTR 16 PCS	0.000000
BH-BT	FG0000328	SANO POMACE OLIVE 200 LTR 1 PCS	0.000000
BH-BT	FG0000329	VEDAKA SUNFLOWER OIL 1 LTR 16 PCS	0.000000
BH-BT	FG0000330	VEDAKA COLD PRESSED MUSTARD OIL 1 LTR 16 PCS	0.000000
BH-BT	FG0000331	VEDAKA WOOD PRESSED PEANUT OIL 1 LTR 16 PCS	0.000000
BH-BT	FG0000333	VEDAKA COLD PRESSED MUSTARD OIL 5 LTR 4 PCS	0.000000
BH-BT	FG0000335	VEDAKA COLD PRESSED MUSTARD OIL 2 LTR 8 PCS	0.000000
BH-BT	FG0000336	JIVO HEALTHY GREETING GIFT BOX 240 GMS	0.000000
BH-BT	FG0000337	JIVO CELEBRATION GIFT BOX 410 GMS	0.000000
BH-BT	FG0000338	JIVO SAFFRON 1 GM	0.000000
BH-BT	FG0000339	JIVO PREMIUM OIL AND NUTS GIFT BOX	0.000000
BH-BT	FG0000340	JIVO PREMIUM SAFFRON AND NUTS GIFT BOX	0.000000
BH-BT	FG0000341	CHANA ALMOND BURFI 950  GMS	0.000000
BH-BT	FG0000342	CHANA ALMOND BURFI 450  GMS	0.000000
BH-BT	FG0000343	SOYABEAN 4 LTR 5 PCS	0.000000
BH-BT	FG0000345	WHEATGRASS GUMMY (SUGAR FREE)	0.000000
BH-BT	FG0000346	VIP BOX GIFT PACK	0.000000
BH-BT	FG0000347	VIP BOX OLIVE GIFT PACK	0.000000
BH-BT	FG0000350	KIRPA DESI GHEE 15 KGS PCS	0.000000
BH-BT	FG0000351	MAKKI ATTA 500 GMS 20 PCS	0.000000
BH-BT	FG0000353	EXTRA VIRGIN COCONUT OIL 15 LTR	0.000000
BH-BT	FG0000354	SESAME OIL 15 LTR	0.000000
BH-BT	FG0000355	KALI DRAKH 1 KGS	0.000000
BH-BT	FG0000356	ROASTED BADAM 1 KGS	0.000000
BH-BT	FG0000357	ROASTED KAJU 1 KGS	0.000000
BH-BT	FG0000358	PISTA NAMKEEN 1 KGS	0.000000
BH-BT	FG0000359	SOYABEAN OIL 750 GMS 12 PCS POUCH	0.000000
BH-BT	FG0000360	DEMO	0.000000
BH-BT	FG0000361	COLD PRESS SUNFLOWER 3 LTR 6 PCS	0.000000
BH-BT	FG0000363	LA RASOI COLD PRESSED MUSTARD KACHI GHANI OIL 2 LTR 10 PCS HANDLE	0.000000
BH-BT	FG0000364	LA RASOI DESI GHEE A2 1 LTR 9 PCS	0.000000
BH-BT	FG0000365	LA RASOI POMACE OLIVE OIL 2 LTR 10 PCS HANDLE	0.000000
BH-BT	FG0000366	DEMO	0.000000
BH-BT	FG0000367	SANO POMACE OLIVE OIL 15 L	0.000000
BH-BT	FG0000369	DEMO	0.000000
BH-BT	FG0000371	EXTRA VIRGIN OLIVE 3 LTR TIN 6 PCS	0.000000
BH-BT	FG0000375	SO OLIVE OIL 5LTR TIN 4 PCS	0.000000
BH-BT	FG0000378	ILAHI POMACE OLIVE 1 LTR 12 PCS	0.000000
BH-BT	FG0000380	COFFEE 50 GMS 36 PCS	0.000000
BH-BT	FG0000382	SPICES JEERA 100 GMS 45 PCS	0.000000
BH-BT	FG0000383	REFINED OIL 13 KG	0.000000
BH-BT	FG0000384	SANO EXTRA VIRGIN 1 LTR 16 PCS	0.000000
BH-BT	FG0000385	EXTRA VIRGIN PREMIUM OLIVE 1 LTR 12 PCS	0.000000
BH-BT	FG0000387	SUNFLOWER OIL 15 LTR TIN IMPORTED PCS	0.000000
BH-BT	FG0000388	CHANA ALMOND BURFI 500 GMS	0.000000
BH-BT	FG0000390	COLD PRESS GROUNDNUT OIL 200 MLS 36 PCS	0.000000
BH-BT	FG0000391	SESAME OIL 1 LTR 20 PCS + JEERA 100 GMS SHRINKED	0.000000
BH-BT	FG0000392	COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS + JEERA 100 GMS SHRINKED	0.000000
BH-BT	FG0000393	YELLOW MUSTARD OIL 1 LTR 20 PCS + JEERA 100 GMS SHRINKED	0.000000
BH-BT	FG0000403	JIVO GOLD 1 LTR 20 PCS ROUND BOTTLE	0.000000
BH-BT	FG0000406	COLD PRESS 1 LTR + 1 LTR (NIRMAL RISHI ) COMBO 10 SET	0.000000
BH-BT	FG0000410	JIVO PREMIUM OLIVE OIL 200 MLS 35 PCS	0.000000
BH-BT	FG0000411	JIVO PREMIUM OLIVE OIL 500 MLS 24 PCS	0.000000
BH-BT	FG0000412	JIVO PREMIUM OLIVE OIL 1 LTR 16 PCS	0.000000
BH-BT	FG0000413	DIVINE HARVEST EXTRA VIRGIN OLIVE 500 MLS 24 PCS	0.000000
BH-BT	FG0000414	COLD PRESS 5 LTR (NIRMAL RISHI )+ POMACE OLIVE 1 LTR 4 PCS	0.000000
BH-BT	FG0000415	DIVINE HARVEST DESI GHEE 500 MLS 16 PCS	0.000000
BH-BT	FG0000416	MUESLI 300 GMS 25 PCS	0.000000
BH-BT	FG0000420	COLD PRESS GROUNDNUT OIL 2 LTR 10 PCS	0.000000
BH-BT	FG0000421	COLD PRESS GROUNDNUT OIL 2 LTR 10 PCS	0.000000
BH-BT	FG0000425	DIVINE HARVEST MUSTARD KACCHI GHANI 1 LTR 20 PCS	0.000000
BH-BT	FG0000426	COLD PRESS SUNFLOWER 1 LTR +1 LTR COMBO 10 SET	0.000000
BH-BT	FG0000427	SOYABEAN OIL 1 LTR + 1 LTR COMBO 10 SET	0.000000
BH-BT	FG0000428	RICE BRAN OIL 1 LTR +1 LTR COMBO 8 SET	0.000000
BH-BT	FG0000430	JIVO GOLD 1 LTR + 1 LTR COMBO 10 SET	0.000000
BH-BT	FG0000431	SESAME OIL 1 LTR + 1 LTR COMBO 10 SET	0.000000
BH-BT	FG0000432	SANO POMACE OLIVE 1 LTR + 1 LTR COMBO 8 SET	0.000000
BH-BT	FG0000435	EXTRA LIGHT OLIVE 1 LTR + 1 LTR COMBO 8 SET	0.000000
BH-BT	FG0000436	YELLOW MUSTARD OIL 1 LTR + 1 LTR COMBO 10 SET	0.000000
BH-BT	FG0000437	COLD PRESS GROUNDNUT OIL 1 LTR + 1 LTR COMBO 8 SET	0.000000
BH-BT	FG0000438	EXTRA VIRGIN COCONUT 1 LTR + 1 LTR COMBO 8 SET	0.000000
BH-BT	FG0000439	SO OLIVE 1 LTR + 1 LTR COMBO 8 SET	0.000000
BH-BT	FG0000442	SOYABEAN OIL 12 KGS	0.000000
BH-BT	FG0000444	SOYABEAN OIL 12 KGS (B)	0.000000
BH-BT	FG0000445	RICE BRAN OIL 15 KG	0.000000
BH-BT	FG0000447	EXTRA LIGHT OLIVE 15 LTR	0.000000
BH-BT	SF0000001	SOYABEAN OIL 13 KGS TIN IMP	0.000000
BH-BT	SF0000002	SOYABEAN OIL 15 KGS TIN IMP	0.000000
BH-BT	SF0000003	SAFFRON	0.000000
BH-BT	SF0000004	SUNFLOWER OIL 15 LTR IMP	0.000000
BH-BT	SF0000005	JIVO HONEY 500 GMS	0.000000
BH-BT	SF0000006	CHAI 250 GMS 40 PCS	0.000000
BH-BT	SF0000007	COLD PRESS GROUNDNUT 200 ML 70 PCS	0.000000
BH-BT	SF0000008	POMACE OLIVE OIL 15KG TIN	0.000000
BH-BT	FG0000152	SANO OLIVE CLASSIC 5 LTR TIN 4 PCS	0.000000
BH-BT	FG0000386	CHAI 250 GMS 40 PCS	0.000000
BH-BT	FG0000440	FIRST PRESSED SUNFLOWER OIL 1 LTR 20 PCS	0.000000
BH-BT	FG0000434	EXTRA VIRGIN OLIVE 1 LTR + 1 LTR COMBO 8 SET	0.000000
BH-BT	FG0000433	POMACE OLIVE 1 LTR + 1 LTR COMBO 8 SET	0.000000
BH-PF	FG0000234	REFINED HIGH OLEIC SUNFLOWER 200 LTR 1 PCS	0.000000
BH-PF	FG0000249	SANO SOYABEAN OIL 13 KGS	0.000000
BH-PF	FG0000270	SANO CANOLA 3 LTR 6 PCS	0.000000
BH-PF	FG0000248	SANO SOYABEAN OIL 15 KGS	0.000000
BH-BT	FG0000409	COLD PRESS GROUNDNUT OIL 200 MLS 70 PCS	0.000000
BH-BT	FG0000429	MUSTARD KACHI GHANI 1 LTR + 1 LTR COMBO 10 SET PLAIN	0.000000
BH-BT	FG0000373	EXTRA VIRGIN CANOLA OIL 3 LTR TIN 3 PCS	0.000000
BH-BT	FG0000451	COLD PRESS SUNFLOWER OIL 200 ML 70 PCS	0.000000
BH-PF	FG0000451	COLD PRESS SUNFLOWER OIL 200 ML 70 PCS	0.000000
BH-BT	FG0000450	COLD PRESS SUNFLOWER OIL 500 ML 24 PCS	0.000000
BH-PF	FG0000450	COLD PRESS SUNFLOWER OIL 500 ML 24 PCS	0.000000
BH-BT	FG0000402	COLD PRESS GROUNDNUT OIL 200 LTR 1 PCS	0.000000
BH-PF	FG0000454	COLD PRESS GROUNDNUT 500 MLS 24 PCS	0.000000
BH-PF	SF0000009	REFINED CANOLA OIL 15 KG TIN	0.000000
BH-PF	FG0000446	EXTRA VIRGIN OLIVE 3 LTR TIN 3 PCS	0.000000
BH-PF	FG0000245	GOLDEN GIFT PACK 100 GMS EACH (RAISIN+ALMOND+CASHEW SALTED+PISTACHIO SALTED)	0.000000
BH-PF	FG0000247	SBS GIFT PACK 50 GMS EACH (RAISIN+ALMOND+CASHEW SALTED+PISTACHIO SALTED)	0.000000
BH-BT	FG0000267	COLD PRESS SUNFLOWER 5 LTR 1 PCS ( 1 SET )	0.000000
BH-BT	FG0000264	EXTRA LIGHT 1 LTR 1 PCS + POMACE OLIVE 1 LTR 2 PCS ( 1 SET )	0.000000
BH-BT	FG0000086	COLD PRESS SOYABEAN 1 LTR 20 PCS	0.000000
BH-BT	FG0000109	COLD PRESS SOYABEAN OIL 1 LTR POUCH 12 PCS	0.000000
BH-BT	FG0000158	REFINED COTTON SEED OIL 15 LTR	0.000000
BH-PF	FG0000242	SANO SUNFLOWER OIL 869 GMS 20 PCS	0.000000
BH-BT	FG0000456	COLD PRESS SUNFLOWER 1 LTR 20 PCS 26	0.000000
BH-PF	FG0000456	COLD PRESS SUNFLOWER 1 LTR 20 PCS 26	0.000000
BH-BT	FG0000453	DESI GHEE A2 200 MLS 24 PCS	0.000000
BH-BT	FG0000449	MUSTARD KACHI GHANI 200 ML 70 PCS	0.000000
BH-BT	FG0000419	COLD PRESS GROUNDNUT OIL 2 LTR 10 PCS HANDLE	0.000000
BH-BT	FG0000448	MUSTARD KACHI GHANI 500 ML 24 PCS	0.000000
BH-BT	FG0000452	SESAME OIL 500 MLS 12 PCS	0.000000
BH-BT	FG0000376	EXTRA VIRGIN OLIVE 200 MLS 35 PCS	0.000000
BH-BT	FG0000458	COLD PRESS SUNFLOWER OIL 15 KG	0.000000
BH-PF	FG0000458	COLD PRESS SUNFLOWER OIL 15 KG	0.000000
BH-BT	FG0000349	EXTRA VIRGIN OLIVE 200 MLS 70 PCS	0.000000
BH-PF	FG0000371	EXTRA VIRGIN OLIVE 3 LTR TIN 6 PCS	0.000000
BH-PF	FG0000375	SO OLIVE OIL 5LTR TIN 4 PCS	0.000000
BH-PF	FG0000377	ILAHI EXTRA VIRGIN OLIVE 1 LTR 12 PCS	0.000000
BH-PF	FG0000378	ILAHI POMACE OLIVE 1 LTR 12 PCS	0.000000
BH-PF	FG0000372	POMACE OLIVE 3 LTR TIN 2 PCS	0.000000
BH-PF	FG0000399	JIVO KACHI GHANI COLD PRESSED MUSTARD OIL 5 LTR 4 PCS ( CSD )	0.000000
BH-PF	FG0000400	JIVO KACHI GHANI COLD PRESSED MUSTARD OIL1 LTR 20 PCS(CSD)	0.000000
BH-PF	FG0000396	JIVO EXTRA VIRGIN OLIVE OIL 1 LTR 16 PCS ( CSD )	0.000000
BH-PF	FG0000394	JIVO POMACE OLIVE OIL 1 LTR 16 PCS ( CSD )	0.000000
BH-PF	FG0000395	JIVO EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS ( CSD )	0.000000
BH-PF	FG0000397	JIVO EXTRA VIRGIN OLIVE OIL 500 MLS 24 PCS ( CSD )	0.000000
BH-PF	FG0000398	JIVO EXTRA LIGHT OLIVE OIL 1 LTR 16 PCS ( CSD )	0.000000
BH-PF	FG0000370	EXTRA LIGHT OLIVE 3 LTR TIN 2 PCS	0.000000
BH-PF	FG0000374	YELLOW MUSTARD OIL 5 LTR TIN 4 PCS	0.000000
BH-PF	FG0000415	DIVINE HARVEST DESI GHEE 500 MLS 16 PCS	0.000000
BH-PF	FG0000413	DIVINE HARVEST EXTRA VIRGIN OLIVE 500 MLS 24 PCS	0.000000
BH-PF	FG0000412	JIVO PREMIUM OLIVE OIL 1 LTR 16 PCS	0.000000
BH-PF	FG0000411	JIVO PREMIUM OLIVE OIL 500 MLS 24 PCS	0.000000
BH-PF	FG0000410	JIVO PREMIUM OLIVE OIL 200 MLS 35 PCS	0.000000
BH-PF	FG0000406	COLD PRESS 1 LTR + 1 LTR (NIRMAL RISHI ) COMBO 10 SET	0.000000
BH-PF	FG0000403	JIVO GOLD 1 LTR 20 PCS ROUND BOTTLE	0.000000
BH-PF	FG0000393	YELLOW MUSTARD OIL 1 LTR 20 PCS + JEERA 100 GMS SHRINKED	0.000000
BH-PF	FG0000392	COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS + JEERA 100 GMS SHRINKED	0.000000
BH-PF	FG0000391	SESAME OIL 1 LTR 20 PCS + JEERA 100 GMS SHRINKED	0.000000
BH-PF	FG0000351	MAKKI ATTA 500 GMS 20 PCS	0.000000
BH-PF	FG0000380	COFFEE 50 GMS 36 PCS	0.000000
BH-PF	FG0000382	SPICES JEERA 100 GMS 45 PCS	0.000000
BH-PF	FG0000384	SANO EXTRA VIRGIN 1 LTR 16 PCS	0.000000
BH-PF	FG0000385	EXTRA VIRGIN PREMIUM OLIVE 1 LTR 12 PCS	0.000000
BH-PF	FG0000387	SUNFLOWER OIL 15 LTR TIN IMPORTED PCS	0.000000
BH-PF	FG0000414	COLD PRESS 5 LTR (NIRMAL RISHI )+ POMACE OLIVE 1 LTR 4 PCS	0.000000
BH-PF	FG0000417	COLD PRESS SUNFLOWER 5LTR 5 PCS	0.000000
BH-PF	FG0000352	SESAME OIL (TOASTED) 500 MLS 12 PCS	0.000000
BH-PF	FG0000381	EXTRA VIRGIN OLIVE OIL 10ML	0.000000
BH-PF	FG0000416	MUESLI 300 GMS 25 PCS	0.000000
BH-PF	FG0000390	COLD PRESS GROUNDNUT OIL 200 MLS 36 PCS	0.000000
BH-PF	FG0000388	CHANA ALMOND BURFI 500 GMS	0.000000
BH-PF	FG0000340	JIVO PREMIUM SAFFRON AND NUTS GIFT BOX	0.000000
BH-PF	FG0000350	KIRPA DESI GHEE 15 KGS PCS	0.000000
BH-PF	FG0000354	SESAME OIL 15 LTR	0.000000
BH-PF	FG0000408	COLD PRESS 1 LTR (NIRMAL RISHI ) 24 PCS	0.000000
BH-PF	FG0000263	EXTRA LIGHT 1 LTR 2 PCS + POMACE OLIVE 1 LTR 4 PCS ( 1 SET )	0.000000
BH-PF	FG0000265	MUSTARD KACHI GHANI 1 LTR 2 PCS ( 1 SET )	0.000000
BH-PF	FG0000292	EXTRA LIGHT 1 LTR 1 PCS + POMACE OLIVE 1 LTR 1 PCS + EXTRA VIRGIN 1 LTR 1 PCS ( 1 SET )	0.000000
BH-PF	FG0000293	EXTRA LIGHT 1 LTR 2 PCS + POMACE OLIVE 1 LTR 2 PCS + EXTRA VIRGIN 1 LTR 2 PCS ( 1 SET )	0.000000
BH-PF	FG0000294	EXTRA VIRGIN OLIVE 200 LTR 1 PCS	0.000000
BH-PF	FG0000302	QUINOA SEEDS 200 GMS	0.000000
BH-PF	FG0000303	QUINOA SEEDS 400 GMS	0.000000
BH-PF	FG0000313	VEDAKA EXTRA VIRGIN 2 LTR 10 PCS	0.000000
BH-PF	FG0000283	COFFIE 100 GMS 15 PCS	0.000000
BH-PF	FG0000338	JIVO SAFFRON 1 GM	0.000000
BH-PF	FG0000339	JIVO PREMIUM OIL AND NUTS GIFT BOX	0.000000
BH-PF	FG0000336	JIVO HEALTHY GREETING GIFT BOX 240 GMS	0.000000
BH-PF	FB0000001	EXTRA LIGHT 1 LTR PACK OF 3 SET	0.000000
BH-PF	FB0000002	POMACE OLIVE OIL 1 + 1 + 1 LTR	0.000000
BH-PF	FB0000004	EXTRA LIGHT 1 +  1 LTR	0.000000
BH-PF	FB0000005	MUSTARD OIL 2 LTR	0.000000
BH-PF	FB0000006	EXTRA VIRGIN 1 + 1 LTR	0.000000
BH-PF	FB0000008	CANOLA OIL 3 LTR	0.000000
BH-PF	FB0000009	JIVO SO OLIVE OIL 1 + 1 LTR	0.000000
BH-PF	FB0000010	GROUNDNUT 1 + 1 LTR	0.000000
BH-PF	FG0000256	QUINOA SEEDS 800 GMS	0.000000
BH-PF	FG0000252	SAPPHIRE TRUFFLE 350 GMS	0.000000
BH-PF	FG0000257	FLAX  (ALSI) SEEDS 800 GMS 1 PCS	0.000000
BH-PF	FG0000258	SUNFLOWER SEEDS 800 GMS 1 PCS	0.000000
BH-PF	FG0000271	DESI GHEE 1000 MLS 9 PCS STEELJAR	0.000000
BH-PF	FG0000282	EXTRA VIRGIN COCONUT OIL 200 MLS 6 PCS	0.000000
BH-PF	FG0000442	SOYABEAN OIL 12 KGS	0.000000
BH-PF	FG0000439	SO OLIVE 1 LTR + 1 LTR COMBO 8 SET	0.000000
BH-PF	FG0000438	EXTRA VIRGIN COCONUT 1 LTR + 1 LTR COMBO 8 SET	0.000000
BH-PF	FG0000437	COLD PRESS GROUNDNUT OIL 1 LTR + 1 LTR COMBO 8 SET	0.000000
BH-PF	FG0000436	YELLOW MUSTARD OIL 1 LTR + 1 LTR COMBO 10 SET	0.000000
BH-PF	FG0000435	EXTRA LIGHT OLIVE 1 LTR + 1 LTR COMBO 8 SET	0.000000
BH-PF	FG0000433	POMACE OLIVE 1 LTR + 1 LTR COMBO 8 SET	0.000000
BH-PF	FG0000432	SANO POMACE OLIVE 1 LTR + 1 LTR COMBO 8 SET	0.000000
BH-PF	FG0000431	SESAME OIL 1 LTR + 1 LTR COMBO 10 SET	0.000000
BH-PF	FG0000430	JIVO GOLD 1 LTR + 1 LTR COMBO 10 SET	0.000000
BH-PF	FG0000428	RICE BRAN OIL 1 LTR +1 LTR COMBO 8 SET	0.000000
BH-PF	FG0000427	SOYABEAN OIL 1 LTR + 1 LTR COMBO 10 SET	0.000000
BH-PF	FG0000426	COLD PRESS SUNFLOWER 1 LTR +1 LTR COMBO 10 SET	0.000000
BH-PF	FG0000425	DIVINE HARVEST MUSTARD KACCHI GHANI 1 LTR 20 PCS	0.000000
BH-PF	FG0000423	COLD PRESS SUNFLOWER 1 LTR 24 PCS	0.000000
BH-PF	FG0000421	COLD PRESS GROUNDNUT OIL 2 LTR 10 PCS	0.000000
BH-PF	FG0000420	COLD PRESS GROUNDNUT OIL 2 LTR 10 PCS	0.000000
BH-PF	FG0000443	FIRST PRESSED MUSTARD OIL 1 LTR 20 PCS	0.000000
BH-PF	FG0000440	FIRST PRESSED SUNFLOWER OIL 1 LTR 20 PCS	0.000000
BH-PF	FG0000418	SOYABEAN OIL 1 LTR 20 PCS ROUND BOTTLE	0.000000
