WHS	ITEMCODE	ITEMNAME	ONHAND
BH-PF	FG0000111	EXTRA LIGHT OLIVE 5 LTR TIN 4 PCS IMPORTED	0.000000
BH-PF	FG0000171	CHIA SEEDS 50 GMS	0.000000
BH-PF	FG0000172	FLAX SEEDS 50 GMS	0.000000
BH-PF	FG0000201	RICE 1 KGS PACK OF 20 PCS JIVO	0.000000
BH-PF	FG0000219	HONEY 1 KGS 6 PCS	0.000000
BH-PF	FG0000220	JIVO HONEY 1 KGS	0.000000
BH-PF	FG0000180	BASIL SEEDS 200 GMS 1 PCS	0.000000
BH-PF	FG0000182	PUMPKIN SEEDS 200 GMS 1 PCS	0.000000
BH-PF	FG0000181	SUNFLOWER SEEDS 200 GMS 1 PCS	0.000000
BH-PF	FG0000196	SPICES BLACK PEPPER 100 GMS	0.000000
BH-PF	FG0000131	COLD PRESS 5 LTR + EXTRA LIGHT OLIVE 1 LTR 3 PCS SHRINKED PLAIN	0.000000
BH-PF	FG0000184	BB ROYAL CANOLA OIL 5 LTR 4 PCS	0.000000
BH-PF	FG0000198	SPICES CINNAMON 100 GMS	0.000000
BH-PF	FG0000221	JIVO HONEY 500 GMS	0.000000
BH-PF	FG0000183	BB ROYAL CANOLA OIL 1 LTR 20 PCS	0.000000
BH-PF	FG0000167	CHIA SEEDS 800 GMS 1 PCS	0.000000
BH-PF	FG0000176	COLD PRESS 4 LTR + POMACE OLIVE 1 LTR 5 PCS	0.000000
BH-PF	FG0000224	JIVO RICE 1 KGS 4 PCS	0.000000
BH-PF	FG0000175	COLD PRESS 1 LTR +1 LTR COMBO 12 SET	0.000000
BH-PF	FG0000069	COLD PRESS 5 LTR + COLD PRESS 1 LTR 3 PCS SHRINKED PLAIN	0.000000
BH-PF	FG0000034	EXTRA LIGHT OLIVE 200 LTR 1 PCS	0.000000
BH-PF	FG0000185	BB ROYAL BLENDED OIL OLIVE + RICE BRAN 1 LTR 20 PCS	0.000000
BH-PF	FG0000093	CHIA SEEDS 500 GMS 1 POUCH	0.000000
BH-PF	FG0000165	CHIA SEEDS 200 GMS 1 PCS	0.000000
BH-PF	FG0000166	CHIA SEEDS 400 GMS 1 PCS	0.000000
BH-PF	FG0000179	FLAX SEEDS 200 GMS 1 PCS	0.000000
BH-PF	FG0000073	MUSTARD KACCHI GHANI 5 LTR 1 PCS	0.000000
BH-PF	FG0000078	POMACE OLIVE 1 LTR 1 PCS	0.000000
BH-PF	FG0000090	MUSTARD KACCHI GHANI 1 LTR + 1 LTR COMBO 10 SET PLAIN	0.000000
BH-PF	FG0000144	COLD PRESS 3 LTR + 1 LTR 6 PCS	0.000000
BH-PF	FG0000163	EXTRA VIRGIN COCONUT OIL 200 MLS 36 PCS	0.000000
BH-PF	FG0000203	JIVO GIFT PACK WG 5 + A2 1 + MUSELI 1	0.000000
BH-PF	FG0000197	SPICES CARDAMOM 100 GMS	0.000000
BH-PF	RM0000005	SOYA CHUNK 20 KGS PACK	0.000000
BH-PF	FG0000001	COLD PRESS 15 LTR	0.000000
BH-PF	FG0000010	MUSTARD KACCHI GHANI 1 LTR 16 PCS	0.000000
