PoNumber,Entity,FacilityId,FacilityName,City,PoCreatedAt,PoModifiedAt,Status,SupplierCode,VendorName,PoAmount,SkuCode,SkuDescription,CategoryId,OrderedQty,ReceivedQty,BalancedQty,Tax,PoLineValueWithoutTax,PoLineValueWithTax,Mrp,UnitBasedCost,ExpectedDeliveryDate,PoExpiryDate,OtbReferenceNumber,InternalExternalPo,PoAgeing,BrandName,ReferencePoNumber
CADPO216034,SCOOTSY LOGISTICS PRIVATE LIMITED,CAD,AHM Delhivery,AHMEDABAD,2026-07-22 01:32:08,2026-07-22 01:32:08,CONFIRMED,85235374,CHIRAG ENTERPRISES,65880.00,986423,Jivo Cold Press Groundnut Oil 500.0 ml,"Edible Oils and Ghee, Edible Oils",24,0,24,113.14,2262.86,2376.00,280.00,94.29,2026-07-27,2026-07-30,2026_07_21_AHMEDABAD_AHM DELHIVERY_0,external,7,Jivo,
CMFPO345365,SCOOTSY LOGISTICS PRIVATE LIMITED,CMF,MUM FC22,MUMBAI,2026-07-29 01:53:09,2026-07-29 01:53:10,CONFIRMED,85235374,CHIRAG ENTERPRISES,2310.00,942181,Jivo Cold Press Kachi Ghani Mustard Oil 200.0 ml,"Edible Oils and Ghee, Edible Oils",70,0,70,110.00,2200.00,2310.00,100.00,31.43,2026-08-04,2026-08-07,2026_07_28_MUMBAI_MUM FC22_0,external,0,Jivo,
ETPPO81073,SCOOTSY LOGISTICS PRIVATE LIMITED,ETP,NOI IM1,NOIDA,2026-07-22 23:55:53,2026-07-22 23:55:53,CONFIRMED,77098658,SUSTAINQUEST PRIVATE LIMITED,68190.00,337993,Jivo Cold Press Canola Oil 500.0 ml,"Edible Oils and Ghee, Edible Oils",72,0,72,373.71,7474.29,7848.00,188.00,103.81,2026-07-28,2026-07-31,2026_07_22_NOIDA_NOI IM1_0,external,6,Jivo,
ETPPO81073,SCOOTSY LOGISTICS PRIVATE LIMITED,ETP,NOI IM1,NOIDA,2026-07-22 23:55:53,2026-07-22 23:55:53,CONFIRMED,77098658,SUSTAINQUEST PRIVATE LIMITED,68190.00,427256,Jivo Cold Press Sunflower Oil 500.0 ml,"Edible Oils and Ghee, Edible Oils",96,0,96,377.14,7542.86,7920.00,138.00,78.57,2026-07-28,2026-07-31,2026_07_22_NOIDA_NOI IM1_0,external,6,Jivo,
ETPPO81073,SCOOTSY LOGISTICS PRIVATE LIMITED,ETP,NOI IM1,NOIDA,2026-07-22 23:55:53,2026-07-22 23:55:53,CONFIRMED,77098658,SUSTAINQUEST PRIVATE LIMITED,68190.00,565902,Jivo Cold Press Kachi Ghani Mustard Oil 500.0 ml,"Edible Oils and Ghee, Edible Oils",96,0,96,365.71,7314.29,7680.00,128.00,76.19,2026-07-28,2026-07-31,2026_07_22_NOIDA_NOI IM1_0,external,6,Jivo,
ETPPO81073,SCOOTSY LOGISTICS PRIVATE LIMITED,ETP,NOI IM1,NOIDA,2026-07-22 23:55:53,2026-07-22 23:55:53,CONFIRMED,77098658,SUSTAINQUEST PRIVATE LIMITED,68190.00,575949,Jivo Sesame Oil 500.0 ml,"Edible Oils and Ghee, Edible Oils",24,0,24,147.43,2948.57,3096.00,300.00,122.86,2026-07-28,2026-07-31,2026_07_22_NOIDA_NOI IM1_0,external,6,Jivo,
ETPPO81073,SCOOTSY LOGISTICS PRIVATE LIMITED,ETP,NOI IM1,NOIDA,2026-07-22 23:55:53,2026-07-22 23:55:53,CONFIRMED,77098658,SUSTAINQUEST PRIVATE LIMITED,68190.00,942181,Jivo Cold Press Kachi Ghani Mustard Oil 200.0 ml,"Edible Oils and Ghee, Edible Oils",1190,0,1190,1870.00,37400.00,39270.00,100.00,31.43,2026-07-28,2026-07-31,2026_07_22_NOIDA_NOI IM1_0,external,6,Jivo,
ETPPO81073,SCOOTSY LOGISTICS PRIVATE LIMITED,ETP,NOI IM1,NOIDA,2026-07-22 23:55:53,2026-07-22 23:55:53,CONFIRMED,77098658,SUSTAINQUEST PRIVATE LIMITED,68190.00,986423,Jivo Cold Press Groundnut Oil 500.0 ml,"Edible Oils and Ghee, Edible Oils",24,0,24,113.14,2262.86,2376.00,280.00,94.29,2026-07-28,2026-07-31,2026_07_22_NOIDA_NOI IM1_0,external,6,Jivo,
JCEPO187357,SCOOTSY LOGISTICS PRIVATE LIMITED,JCE,CBE Ecom,COIMBATORE,2026-07-28 23:53:51,2026-07-28 23:53:52,CONFIRMED,79934149,KNOWTABLE ONLINE SERVICES PRIVATE LIMITED,2310.00,942181,Jivo Cold Press Kachi Ghani Mustard Oil 200.0 ml,"Edible Oils and Ghee, Edible Oils",70,0,70,110.00,2200.00,2310.00,100.00,31.43,2026-08-12,2026-08-15,2026_07_28_COIMBATORE_CBE ECOM_0,external,0,Jivo,
MBIPO415311,SCOOTSY LOGISTICS PRIVATE LIMITED,MBI,BLR IM1,BANGALORE,2026-07-28 23:53:55,2026-07-28 23:53:55,CONFIRMED,79934149,KNOWTABLE ONLINE SERVICES PRIVATE LIMITED,4620.00,942181,Jivo Cold Press Kachi Ghani Mustard Oil 200.0 ml,"Edible Oils and Ghee, Edible Oils",140,0,140,220.00,4400.00,4620.00,100.00,31.43,2026-08-12,2026-08-15,2026_07_28_BANGALORE_BLR IM1_0,external,0,Jivo,
